Time,CV,FF,Input
0,0,-0.791238,0
0.015625,0,-0.7777878,0
0.0333252,0,-0.7500234,0
0.04919434,0,-0.7358032,0
0.06567383,0,-0.6923848,0
0.08276367,0,-0.6633232,0
0.09875488,0,-0.6489156,0
0.1156006,0,-0.6206132,0
0.1326904,0,-0.593346,0
0.1494141,0,-0.5802304,0
0.1660156,0,-0.5675273,0
0.1931152,0,-0.5323752,0
0.2155762,0,-0.5118558,0
0.2320557,0,-0.4940503,0
0.2490234,0,-0.486255,0
0.2668457,0,-0.4730349,0
0.2824707,0,-0.4631459,0
0.2993164,0,-0.4567465,0
0.31604,0,-0.4539393,0
0.3425293,0,-0.4565442,0
0.3657227,0,-0.4627806,0
0.3824463,0,-0.4725033,0
0.3986816,0,-0.4786234,0
0.4173584,0,-0.4932536,0
0.4328613,0,-0.5108612,0
0.4488525,0,-0.5206915,0
0.4649658,0,-0.5421999,0
0.4829102,0,-0.5658689,0
0.5092773,0,-0.5913042,0
0.5325928,0,-0.6318371,0
0.5499268,0,-0.6457594,0
0.5661621,0,-0.6738763,0
0.583252,0,-0.7019695,0
0.6002197,0,-0.7295777,0
0.6170654,0,-0.7430583,0
0.6320801,0,-0.7690991,0
0.6499023,0,-0.781554,0
0.675293,0,-0.8160644,0
0.6986084,0,-0.8362432,0
0.715332,0,-0.8537888,0
0.7329102,0,-0.8684354,0
0.7484131,0,-0.8746027,0
0.7658691,0,-0.8845169,0
0.7824707,0,-0.8911005,0
0.7990723,0,-0.8931182,0
0.815918,0,-0.8945866,0
0.84375,0,-0.8904243,0
0.8664551,0,-0.8835292,0
0.8829346,0,-0.8735074,0
0.8997803,0,-0.867385,0
0.9163818,0,-0.8530648,0
0.9332275,0,-0.8362042,0
0.9503174,0,-0.8171071,0
0.9661865,0,-0.8068232,0
0.9923096,0,-0.7735636,0
1.016479,0,-0.7498492,0
1.034058,0,-0.7253472,0
1.048584,0,-0.712921,0
1.065796,0,-0.6879557,0
1.082642,0,-0.6631487,0
1.099365,0,-0.6509163,0
1.115356,0,-0.6270046,0
1.132935,0,-0.6040916,0
1.159424,0,-0.5824616,0
1.182983,0,-0.5529502,0
1.199219,0,-0.543995,0
1.21582,0,-0.527523,0
1.23291,0,-0.5130574,0
1.251831,0,-0.5006616,0
1.265991,0,-0.4952463,0
1.282715,0,-0.4859672,0
1.299072,0,-0.482089,0
1.326294,0,-0.4733532,0
1.348999,0,-0.46977,0
1.365723,0,-0.4677703,0
1.381836,0,-0.4671366,0
1.398804,0,-0.4672561,0
1.416138,0,-0.4682027,0
1.432007,0,-0.4698598,0
1.448853,0,-0.4708642,0
1.467896,0,-0.4730396,0
1.492065,0,-0.4761607,0
1.515503,0,-0.4777206,0
1.533203,0,-0.4785382,0
1.54895,0,-0.4785872,0
1.566528,0,-0.4778149,0
1.581909,0,-0.4757027,0
1.599609,0,-0.4740841,0
1.615967,0,-0.4696212,0
1.632568,0,-0.4634173,0
1.660156,0,-0.4506551,0
1.682251,0,-0.4397838,0
1.698975,0,-0.4336401,0
1.71582,0,-0.4199642,0
1.732666,0,-0.4045047,0
1.748535,0,-0.3961408,0
1.765015,0,-0.3782343,0
1.783203,0,-0.3589017,0
1.810181,0,-0.3276778,0
1.832764,0,-0.305721,0
1.848755,0,-0.2944964,0
1.866089,0,-0.271725,0
1.883545,0,-0.2487579,0
1.899048,0,-0.2372899,0
1.916626,0,-0.2145639,0
1.932861,0,-0.1923522,0
