Time,CV,FF,Input
0,0,-0.791238,0
0.01550293,0,-0.7777878,0
0.0324707,0,-0.7500234,0
0.04968262,0,-0.7358032,0
0.06677246,0,-0.6923848,0
0.08258057,0,-0.6633232,0
0.09912109,0,-0.6489156,0
0.1157227,0,-0.6206132,0
0.1329346,0,-0.593346,0
0.1609497,0,-0.5675273,0
0.1824951,0,-0.5435532,0
0.1994629,0,-0.5323752,0
0.2156982,0,-0.5118558,0
0.2331543,0,-0.4940503,0
0.2487183,0,-0.486255,0
0.2660522,0,-0.4730349,0
0.2822266,0,-0.4631459,0
0.2995605,0,-0.4567465,0
0.3259277,0,-0.4538988,0
0.348999,0,-0.4565442,0
0.3674316,0,-0.4627806,0
0.3823853,0,-0.4725033,0
0.3991089,0,-0.4786234,0
0.4155273,0,-0.4932536,0
0.432251,0,-0.5108612,0
0.4487305,0,-0.5206915,0
0.4658203,0,-0.5421999,0
0.4926758,0,-0.5783916,0
0.5164795,0,-0.6045529,0
0.5324707,0,-0.6318371,0
0.5495605,0,-0.6457594,0
0.5678711,0,-0.6738763,0
0.5827026,0,-0.7019695,0
0.5994873,0,-0.7158628,0
0.616272,0,-0.7430583,0
0.6434326,0,-0.781554,0
0.6659546,0,-0.8050833,0
0.6833496,0,-0.8264645,0
0.6988525,0,-0.8362432,0
0.7174683,0,-0.8537888,0
0.7324829,0,-0.8684354,0
0.7489014,0,-0.8746027,0
0.7664795,0,-0.8845169,0
0.7965698,0,-0.8931182,0
0.8161621,0,-0.8945866,0
0.8327026,0,-0.8926497,0
0.8491211,0,-0.8904243,0
0.8656616,0,-0.8835292,0
0.8822632,0,-0.8735074,0
0.8987427,0,-0.867385,0
0.9157104,0,-0.8530648,0
0.932251,0,-0.8362042,0
0.9592896,0,-0.8171071,0
0.9823608,0,-0.7850056,0
1.000549,0,-0.761829,0
1.016113,0,-0.7498492,0
1.033203,0,-0.7253472,0
1.049377,0,-0.712921,0
1.066711,0,-0.6879557,0
1.082642,0,-0.6631487,0
1.10968,0,-0.6388547,0
1.132629,0,-0.6040916,0
1.149597,0,-0.5930999,0
1.166016,0,-0.5722063,0
1.182678,0,-0.5529502,0
1.200806,0,-0.5355142,0
1.215942,0,-0.527523,0
1.232361,0,-0.5130574,0
1.249268,0,-0.5065988,0
1.278809,0,-0.4903501,0
1.299561,0,-0.482089,0
1.316467,0,-0.4757976,0
1.33197,0,-0.4713513,0
1.349548,0,-0.46977,0
1.366516,0,-0.4677703,0
1.382629,0,-0.4671366,0
1.398987,0,-0.4672561,0
1.418213,0,-0.4682027,0
1.442932,0,-0.4708642,0
1.466309,0,-0.4730396,0
1.482849,0,-0.4751885,0
1.499268,0,-0.4761607,0
1.515747,0,-0.4777206,0
1.532654,0,-0.4785382,0
1.548706,0,-0.4785872,0
1.566345,0,-0.4778149,0
1.582397,0,-0.4757027,0
1.608337,0,-0.4720629,0
1.631897,0,-0.4634173,0
1.649597,0,-0.4596318,0
1.66626,0,-0.4506551,0
1.682129,0,-0.4397838,0
1.699097,0,-0.4336401,0
1.716003,0,-0.4199642,0
1.732605,0,-0.4045047,0
1.759155,0,-0.3873772,0
1.782898,0,-0.3589017,0
1.799194,0,-0.3487625,0
1.816528,0,-0.3276778,0
1.834351,0,-0.305721,0
1.849426,0,-0.2944964,0
1.866577,0,-0.271725,0
1.883423,0,-0.2487579,0
1.907776,0,-0.2258801,0
1.932434,0,-0.1923522,0
1.948975,0,-0.181525,0
1.966064,0,-0.1605923,0
1.983276,0,-0.1408275,0
1.999084,0,-0.1314549,0
2.015869,0,-0.1138591,0
2.032654,0,-0.0979481,0
2.050781,0,-0.08387588,0
2.076965,0,-0.07176242,0
2.099304,0,-0.06169154,0
2.116394,0,-0.05370994,0
2.132324,0,-0.04782701,0
2.148865,0,-0.04566544,0
2.165894,0,-0.04286845,0
2.182251,0,-0.04203686,0
2.199097,0,-0.04232466,0
2.216064,0,-0.04422472,0
2.244446,0,-0.05009052,0
2.265381,0,-0.05575124,0
2.282715,0,-0.0625826,0
2.29895,0,-0.0663723,0
2.315979,0,-0.07456644,0
2.333191,0,-0.08340163,0
2.349365,0,-0.08799331,0
2.365662,0,-0.09739605,0
2.38269,0,-0.1069279,0
2.408325,0,-0.1164065,0
2.432068,0,-0.1301741,0
2.449463,0,-0.1345749,0
2.467468,0,-0.1430111,0
2.482544,0,-0.1508925,0
2.499023,0,-0.154607,0
2.515625,0,-0.1615641,0
2.533203,0,-0.1678892,0
2.56012,0,-0.1762534,0
2.583252,0,-0.1811704,0
2.599182,0,-0.183465,0
2.615784,0,-0.1877979,0
2.632141,0,-0.1919017,0
2.648987,0,-0.1939142,0
2.66571,0,-0.1979621,0
2.684082,0,-0.2021844,0
2.708801,0,-0.20676,0
2.732239,0,-0.2146819,0
2.749329,0,-0.2176936,0
2.766174,0,-0.2244006,0
2.782776,0,-0.2321486,0
2.799072,0,-0.2364574,0
2.815857,0,-0.2460212,0
2.83252,0,-0.2569306,0
2.849365,0,-0.2629147,0
2.876404,0,-0.2830569,0
2.89978,0,-0.2983276,0
2.915588,0,-0.3150476,0
2.93219,0,-0.3331545,0
2.949341,0,-0.3426985,0
2.965881,0,-0.362689,0
2.982666,0,-0.3837526,0
2.998779,0,-0.3946301,0
3.01593,0,-0.4169467,0
3.042725,0,-0.4513848,0
3.065613,0,-0.4746094,0
3.082825,0,-0.497722,0
3.100647,0,-0.5204306,0
3.115906,0,-0.5315406,0
3.132568,0,-0.5530853,0
3.149475,0,-0.5634463,0
3.166504,0,-0.5831656,0
3.193115,0,-0.609725,0
3.215393,0,-0.6250502,0
3.23291,0,-0.638211,0
3.249023,0,-0.6439202,0
3.265442,0,-0.6534974,0
3.282471,0,-0.6605172,0
3.299316,0,-0.66304,0
3.317749,0,-0.6660798,0
3.34314,0,-0.6656207,0
3.365784,0,-0.6620363,0
3.382019,0,-0.6559479,0
3.399048,0,-0.6520115,0
3.415771,0,-0.642473,0
3.432617,0,-0.6309046,0
3.449646,0,-0.6244403,0
3.466492,0,-0.6103345,0
3.483398,0,-0.5949274,0
3.51062,0,-0.5701413,0
3.53186,0,-0.553045,0
3.549255,0,-0.5444707,0
3.566284,0,-0.5275169,0
3.582336,0,-0.5111523,0
3.598938,0,-0.503313,0
3.615784,0,-0.4885579,0
3.632385,0,-0.4753371,0
3.648682,0,-0.4694099,0
3.6828,0,-0.4511575,0
3.692932,0,-0.4481283,0
3.714661,0,-0.4441102,0
3.733276,0,-0.4429569,0
3.747986,0,-0.4434964,0
3.764954,0,-0.4468611,0
3.781738,0,-0.4533031,0
3.798523,0,-0.4576754,0
3.814941,0,-0.468685,0
3.841309,0,-0.4906398,0
3.865112,0,-0.5086469,0
3.88208,0,-0.5290744,0
3.899536,0,-0.5401058,0
3.915771,0,-0.5635989,0
3.934204,0,-0.5886957,0
3.949585,0,-0.601723,0
3.965881,0,-0.6284735,0
3.991943,0,-0.6695091,0
4.016418,0,-0.6968034,0
4.032288,0,-0.7235013,0
4.049438,0,-0.7364799,0
4.066284,0,-0.7614087,0
4.082703,0,-0.7845929,0
4.099243,0,-0.7953957,0
4.116089,0,-0.8151686,0
4.148743,0,-0.839547,0
4.165771,0,-0.8460963,0
4.182129,0,-0.8566105,0
4.198303,0,-0.8605136,0
4.215454,0,-0.8654824,0
4.2323,0,-0.866536,0
4.248535,0,-0.8655591,0
4.266785,0,-0.8605593,0
4.296143,0,-0.8454419,0
