Time,CV,FF,Input
0,0,-0.791238,0
0.01721191,0,-0.7777878,0
0.03356934,0,-0.7500234,0
0.05047607,0,-0.706933,0
0.07641602,0,-0.6778306,0
0.100647,0,-0.6346613,0
0.1165161,0,-0.6206132,0
0.1334229,0,-0.593346,0
0.1517334,0,-0.5675273,0
0.166626,0,-0.5675273,0
0.1838379,0,-0.5435532,0
0.2006226,0,-0.5217956,0
0.2302856,0,-0.4940503,0
0.2496948,0,-0.486255,0
0.2667236,0,-0.4730349,0
0.2835083,0,-0.4631459,0
0.2998657,0,-0.4567465,0
0.3166504,0,-0.4539393,0
0.3324585,0,-0.4547684,0
0.3505249,0,-0.4592187,0
0.3670654,0,-0.4627806,0
0.3931885,0,-0.4786234,0
0.4163208,0,-0.4932536,0
0.435791,0,-0.5108612,0
0.4500122,0,-0.5311522,0
0.4667358,0,-0.5421999,0
0.4832764,0,-0.5658689,0
0.5004272,0,-0.5913042,0
0.5178833,0,-0.6045529,0
0.5440063,0,-0.6457594,0
0.5667725,0,-0.6738763,0
0.5835571,0,-0.7019695,0
0.6003418,0,-0.7295777,0
0.6165161,0,-0.7430583,0
0.6356812,0,-0.7690991,0
0.6498413,0,-0.781554,0
0.666687,0,-0.8050833,0
0.6844482,0,-0.8264645,0
0.7116699,0,-0.8537888,0
0.7330933,0,-0.8684354,0
0.7506104,0,-0.8799692,0
0.7668457,0,-0.8845169,0
0.7833252,0,-0.8911005,0
0.8001709,0,-0.8942802,0
0.8164063,0,-0.8945866,0
0.833374,0,-0.8926497,0
0.8526001,0,-0.8873783,0
0.8761597,0,-0.8788977,0
0.9001465,0,-0.8605601,0
0.9165649,0,-0.8530648,0
0.9334106,0,-0.8362042,0
0.9503784,0,-0.8171071,0
0.9674683,0,-0.8068232,0
0.9835815,0,-0.7850056,0
1.000488,0,-0.761829,0
1.017212,0,-0.7498492,0
1.042664,0,-0.712921,0
1.066895,0,-0.6879557,0
1.083801,0,-0.6631487,0
1.100586,0,-0.6388547,0
1.117004,0,-0.6270046,0
1.133667,0,-0.6040916,0
1.151001,0,-0.5824616,0
1.167358,0,-0.5722063,0
1.198792,0,-0.543995,0
1.217102,0,-0.527523,0
1.233154,0,-0.5130574,0
1.250183,0,-0.5006616,0
1.268433,0,-0.4952463,0
1.28302,0,-0.4859672,0
1.30011,0,-0.4787039,0
1.316772,0,-0.4757976,0
1.333618,0,-0.4713513,0
1.369324,0,-0.4677703,0
1.385498,0,-0.4671366,0
1.40271,0,-0.4676228,0
1.418823,0,-0.4682027,0
1.436523,0,-0.4698598,0
1.456848,0,-0.4719366,0
1.485291,0,-0.4751885,0
1.508606,0,-0.4770165,0
1.532593,0,-0.4785382,0
1.549988,0,-0.4783555,0
1.566223,0,-0.4778149,0
1.583374,0,-0.4757027,0
1.599854,0,-0.4740841,0
1.616699,0,-0.4696212,0
1.633423,0,-0.4634173,0
1.650574,0,-0.4553794,0
1.677124,0,-0.4454565,0
1.699829,0,-0.4336401,0
1.717407,0,-0.4199642,0
1.734009,0,-0.4045047,0
1.750305,0,-0.3873772,0
1.766968,0,-0.3782343,0
1.783569,0,-0.3589017,0
1.800415,0,-0.3383447,0
1.816895,0,-0.3276778,0
1.843018,0,-0.2944964,0
1.867249,0,-0.271725,0
