Time,CV,FF,Input
0,0,-0.791238,0
0.01644897,0,-0.7777878,0
0.03268433,0,-0.7500234,0
0.0501709,0,-0.706933,0
0.06542969,0,-0.6923848,0
0.08270264,0,-0.6633232,0
0.09951782,0,-0.6489156,0
0.1175842,0,-0.6206132,0
0.1334839,0,-0.593346,0
0.162262,0,-0.5675273,0
0.1825562,0,-0.5435532,0
0.1992798,0,-0.5323752,0
0.2159424,0,-0.5118558,0
0.2330933,0,-0.4940503,0
0.249176,0,-0.486255,0
0.2660522,0,-0.4730349,0
0.282959,0,-0.4631459,0
0.29953,0,-0.4567465,0
0.3296204,0,-0.4538988,0
0.349823,0,-0.4565442,0
0.366333,0,-0.4627806,0
0.3824768,0,-0.4725033,0
0.3994446,0,-0.4786234,0
0.4158936,0,-0.4932536,0
0.4335632,0,-0.5108612,0
0.4492493,0,-0.5206915,0
0.4658813,0,-0.5421999,0
0.4936523,0,-0.5783916,0
0.5158691,0,-0.6045529,0
0.5326538,0,-0.6318371,0
0.552124,0,-0.6597918,0
0.5657654,0,-0.6738763,0
0.5834351,0,-0.7019695,0
0.5997314,0,-0.7158628,0
0.616272,0,-0.7430583,0
0.643158,0,-0.781554,0
0.6655884,0,-0.8050833,0
0.6828308,0,-0.8264645,0
0.6992798,0,-0.8362432,0
0.7159424,0,-0.8537888,0
0.7328186,0,-0.8684354,0
0.7510681,0,-0.8799692,0
0.7660217,0,-0.8845169,0
0.7825623,0,-0.8911005,0
0.8088989,0,-0.8942802,0
0.8334656,0,-0.8926497,0
0.8499146,0,-0.8904243,0
0.8655701,0,-0.8835292,0
0.8825684,0,-0.8735074,0
0.8995667,0,-0.867385,0
0.915802,0,-0.8530648,0
0.9335022,0,-0.8362042,0
0.9616089,0,-0.8068232,0
0.9826965,0,-0.7850056,0
0.9993591,0,-0.7735636,0
1.016632,0,-0.7498492,0
1.032776,0,-0.7253472,0
1.049072,0,-0.712921,0
1.06601,0,-0.6879557,0
1.082764,0,-0.6631487,0
1.099518,0,-0.6509163,0
1.12619,0,-0.6154047,0
1.149536,0,-0.5930999,0
1.167603,0,-0.5722063,0
1.182739,0,-0.5529502,0
1.199219,0,-0.543995,0
1.2164,0,-0.527523,0
1.232758,0,-0.5130574,0
1.250214,0,-0.5006616,0
1.27597,0,-0.4903501,0
