Time,CV,FF,Input
0,0,0.805491,0
0.01635742,0,0.8039248,0
0.03289795,0,0.7974825,0
0.0489502,0,0.7926365,0
0.06625366,0,0.7718899,0
0.08325195,0,0.7532292,0
0.100708,0,0.7311146,0
0.1262207,0,0.7059755,0
0.1499329,0,0.6783011,0
0.1670532,0,0.6636803,0
0.1830139,0,0.633228,0
0.1994629,0,0.6175454,0
0.2168579,0,0.5856496,0
0.2330322,0,0.5535658,0
0.2493591,0,0.5376484,0
0.266449,0,0.5064486,0
0.2922668,0,0.4486593,0
0.3165588,0,0.423172,0
0.3323975,0,0.4006096,0
0.3510132,0,0.3813854,0
0.3666992,0,0.3731348,0
0.3832092,0,0.359533,0
0.3996277,0,0.354237,0
0.4157104,0,0.3467513,0
0.4329224,0,0.3434716,0
0.4593201,0,0.3443953,0
0.4825745,0,0.3534332,0
0.499054,0,0.3583899,0
0.5167236,0,0.3710111,0
0.5332336,0,0.3869451,0
0.5513306,0,0.4057721,0
0.5673218,0,0.4161216,0
0.5834045,0,0.438364,0
0.6094666,0,0.462192,0
0.6329651,0,0.4995916,0
0.6491089,0,0.5121875,0
0.665741,0,0.5370958,0
0.6828918,0,0.561097,0
0.7001343,0,0.5835679,0
0.71698,0,0.5940413,0
0.7327576,0,0.6131068,0
0.7491455,0,0.621564,0
0.7780762,0,0.6418929,0
0.799469,0,0.6507018,0
0.8161316,0,0.6552907,0
0.8329773,0,0.6553783,0
0.8488464,0,0.6536682,0
0.8665771,0,0.646653,0
0.8829346,0,0.6347889,0
0.8994141,0,0.6270372,0
0.9281616,0,0.5966201,0
0.9492798,0,0.5705694,0
0.9691467,0,0.5401694,0
0.9828186,0,0.5057264,0
1,0,0.4676066,0
1.016144,0,0.4472963,0
1.03302,0,0.4044556,0
1.049408,0,0.382044,0
1.077362,0,0.3115898,0
1.098877,0,0.2625792,0
1.116333,0,0.2125401,0
1.132355,0,0.161984,0
1.149109,0,0.1366675,0
1.16626,0,0.08625536,0
1.184143,0,0.03651004,0
1.199432,0,0.01201799,0
1.226654,0,-0.05937757,0
1.249084,0,-0.10484,0
1.266632,0,-0.1482859,0
1.283813,0,-0.189517,0
1.299957,0,-0.2092566,0
1.316071,0,-0.2469265,0
1.33316,0,-0.2821507,0
1.349792,0,-0.2988468,0
1.375519,0,-0.3453586,0
1.399719,0,-0.3735209,0
1.417023,0,-0.3995839,0
1.432953,0,-0.4237413,0
1.449005,0,-0.435174,0
1.466766,0,-0.4568969,0
1.482941,0,-0.4773065,0
1.500031,0,-0.4966608,0
1.527588,0,-0.5152174,0
1.549438,0,-0.5332247,0
1.565979,0,-0.5509146,0
1.582733,0,-0.5684945,0
1.601379,0,-0.5861416,0
1.616821,0,-0.5950361,0
1.633362,0,-0.6130363,0
1.649536,0,-0.622162,0
1.66626,0,-0.6406935,0
1.693542,0,-0.6691921,0
1.717041,0,-0.6885929,0
1.733246,0,-0.708204,0
1.749512,0,-0.7180454,0
1.76593,0,-0.7376928,0
1.782806,0,-0.7571251,0
1.800903,0,-0.7761153,0
1.817139,0,-0.7853668,0
1.842896,0,-0.8117487,0
1.866455,0,-0.8278479,0
1.883179,0,-0.8424318,0
1.900085,0,-0.8552293,0
1.916809,0,-0.8608772,0
1.933075,0,-0.8705205,0
1.949097,0,-0.8744607,0
1.967316,0,-0.880455,0
2.000671,0,-0.8843591,0
2.016144,0,-0.88357,0
2.03299,0,-0.8798228,0
2.049988,0,-0.8731834,0
2.066132,0,-0.8687912,0
2.083862,0,-0.8579144,0
2.099976,0,-0.8514609,0
2.116547,0,-0.8366253,0
2.133148,0,-0.8193889,0
2.161377,0,-0.7895799,0
2.182373,0,-0.7675017,0
2.199463,0,-0.7559244,0
2.215271,0,-0.7319165,0
2.235229,0,-0.7070826,0
2.249023,0,-0.6944758,0
2.264984,0,-0.6691263,0
2.282318,0,-0.6439192,0
2.299011,0,-0.6314885,0
2.3255,0,-0.5954372,0
2.348877,0,-0.5728646,0
2.366241,0,-0.5518225,0
2.383179,0,-0.5325764,0
2.400116,0,-0.5153458,0
2.416718,0,-0.5075409,0
2.43576,0,-0.4936312,0
2.450256,0,-0.4820524,0
2.475311,0,-0.4728291,0
2.499573,0,-0.4659267,0
2.516998,0,-0.4612511,0
2.533478,0,-0.4586516,0
2.549133,0,-0.4580684,0
2.566101,0,-0.4581833,0
2.583038,0,-0.4597721,0
2.599213,0,-0.4610215,0
2.616302,0,-0.4642164,0
2.643829,0,-0.4700569,0
2.666351,0,-0.474084,0
2.683685,0,-0.4777537,0
2.699371,0,-0.4793299,0
2.71701,0,-0.4817212,0
2.73291,0,-0.4827842,0
2.749207,0,-0.4827056,0
2.767059,0,-0.4811212,0
2.792999,0,-0.4746257,0
2.816254,0,-0.4671856,0
2.83313,0,-0.4570325,0
2.849152,0,-0.4508952,0
2.868713,0,-0.4364442,0
2.883911,0,-0.4190613,0
2.899536,0,-0.4092734,0
2.916229,0,-0.3875426,0
2.933533,0,-0.363033,0
2.960632,0,-0.3214266,0
2.98288,0,-0.2907912,0
2.999939,0,-0.2747064,0
3.016663,0,-0.2411981,0
3.032959,0,-0.2061897,0
3.049042,0,-0.1882359,0
3.066162,0,-0.1516661,0
3.085052,0,-0.1145379,0
3.110687,0,-0.05865808,0
3.132751,0,-0.02184343,0
