Time,CV,FF,Input
0,0,0.805491,0
0.01516724,0,0.8039248,0
0.03198242,0,0.7974825,0
0.05008698,0,0.7798095,0
0.06531525,0,0.7718899,0
0.08172607,0,0.7532292,0
0.09970093,0,0.7425783,0
0.1154709,0,0.7188938,0
0.1314316,0,0.6924225,0
0.1480179,0,0.6783011,0
0.1649551,0,0.6636803,0
0.1816101,0,0.633228,0
0.2076569,0,0.60166,0
0.2318649,0,0.5535658,0
0.2489777,0,0.5376484,0
0.2669144,0,0.5064486,0
0.2818069,0,0.4765949,0
0.2983017,0,0.4486593,0
0.3158112,0,0.423172,0
0.3310547,0,0.4006096,0
0.3481979,0,0.3905571,0
0.3750992,0,0.3658406,0
0.3980637,0,0.354237,0
0.4150467,0,0.3467513,0
0.4311752,0,0.3434716,0
0.4489746,0,0.3434118,0
0.4674606,0,0.3464077,0
0.4819336,0,0.3534332,0
0.4992294,0,0.3583899,0
0.5281982,0,0.3785886,0
0.5482712,0,0.3960258,0
0.565155,0,0.4161216,0
0.5816498,0,0.438364,0
0.5985794,0,0.4501164,0
0.6153183,0,0.4745148,0
0.6311798,0,0.4995916,-0.01045123
0.6483231,-5.043317E-06,0.5121875,-0.04345741
0.6656723,-3.103677E-05,0.5370958,-0.06877725
0.6944504,-9.021537E-05,0.5725618,-0.1171562
0.716217,-0.0002058894,0.5940413,-0.1569445
0.7421722,-0.0003972924,0.621564,-0.1953764
0.7651215,-0.0006829288,0.6360142,-0.2211484
0.7818832,-0.001075219,0.6468043,-0.2261219
0.7981949,-0.001576597,0.6507018,-0.2342605
0.8152237,-0.002190945,0.6552907,-0.2464682
0.8323135,-0.002924097,0.6553783,-0.2509896
0.8593521,-0.003778205,0.6507639,-0.2672667
0.8812256,-0.004761111,0.6347889,-0.2794745
0.9000092,-0.005878702,0.618082,-0.2984643
0.9153976,-0.007140098,0.6079368,-0.3111242
0.9332809,-0.008551352,0.5841551,-0.3260448
0.9580994,-0.01011968,0.5558953,-0.3400612
0.9816513,-0.01185181,0.5057264,-0.3527211
0.9985428,-0.01375379,0.4871012,-0.3604074
1.026077,-0.01582931,0.4262265,-0.3812059
1.048737,-0.01808839,0.382044,-0.4069779
1.075401,-0.02054342,0.3115898,-0.4264199
1.100952,-0.02320375,0.237656,-0.4607825
1.115738,-0.02608588,0.2125401,-0.4788681
1.132271,-0.02919855,0.161984,-0.4942408
1.148277,-0.03254912,0.1366675,-0.5200129
1.165787,-0.03614998,0.08625536,-0.5344814
1.191811,-0.04000806,0.01201799,-0.5611575
1.215103,-0.04413613,-0.03596843,-0.5801474
1.2323,-0.04854335,-0.08234609,-0.5869296
1.247917,-0.0532329,-0.10484,-0.5887381
1.26516,-0.0582056,-0.1482859,-0.5887381
1.282593,-0.06346141,-0.189517,-0.585121
1.311852,-0.06899853,-0.2469265,-0.581956
1.34021,-0.07481536,-0.2988468,-0.5801474
1.365143,-0.08091099,-0.3304395,-0.5801474
1.381935,-0.08728537,-0.3597129,-0.5801474
1.399086,-0.09393845,-0.3735209,-0.5805996
1.425919,-0.1008704,-0.4118874,-0.5805996
1.448479,-0.1080811,-0.435174,-0.5805996
1.465759,-0.1155706,-0.4568969,-0.5796953
1.481651,-0.1233384,-0.4773065,-0.5796953
1.508965,-0.1313843,-0.4966608,-0.5774346
1.526344,-0.1397073,-0.5152174,-0.5778868
1.547989,-0.1483075,-0.5332247,-0.5778868
1.565399,-0.1571847,-0.5509146,-0.5760782
1.582016,-0.1663383,-0.5684945,-0.5738174
1.598015,-0.1757669,-0.5773,-0.5643225
1.615814,-0.1854659,-0.5950361,-0.5521147
1.642906,-0.1954295,-0.622162,-0.5213692
1.65757,-0.2056426,-0.6313801,-0.501475
1.681839,-0.2160956,-0.6596037,-0.4544525
1.699333,-0.2267658,-0.6691921,-0.4246113
1.715538,-0.2376388,-0.6885929,-0.3888923
1.734734,-0.2486973,-0.708204,-0.355434
1.757736,-0.2599251,-0.7278829,-0.2460161
1.78212,-0.2712693,-0.7571251,-0.1605617
1.798965,-0.2826888,-0.7666907,-0.05114382
1.824539,-0.2941306,-0.7944124,0
1.849289,-0.3055701,-0.8117487,0
1.875168,-0.3170074,-0.8353465,0
1.899315,-0.3284423,-0.8490703,0
1.91555,-0.339875,-0.8608772,0
1.934746,-0.3513054,-0.8705205,0
1.948196,-0.3627335,-0.8744607,0
1.965919,-0.3741593,-0.880455,0
1.99128,-0.3855828,-0.8844319,0
2.01532,-0.3970041,-0.88357,0
2.03199,-0.408423,-0.8798228,0
2.049156,-0.4198397,-0.8768631,0
2.065796,-0.4312541,-0.8687912,0
2.082581,-0.4426662,-0.8579144,0
2.099182,-0.4540761,-0.8514609,0
2.115242,-0.4654836,-0.8366253,0
2.132614,-0.4768889,-0.8193889,0
2.163651,-0.4882919,-0.7895799,0
2.181946,-0.4996926,-0.7675017,0
2.198532,-0.511091,-0.7559244,0
2.21524,-0.5224872,-0.7319165,0.06470802
2.232071,-0.5338498,-0.7070826,0.1117306
2.248138,-0.5451562,-0.6944758,0.1564924
2.265121,-0.5563848,-0.6691263,0.2152706
2.281975,-0.5675073,-0.6439192,0.2523461
2.298225,-0.5785058,-0.6314885,0.3011772
2.325729,-0.5893568,-0.5954372,0.3631203
2.346535,-0.6000305,-0.5728646,0.3988394
2.36499,-0.6105095,-0.5518225,0.4209942
2.381348,-0.6207833,-0.5325764,0.4481226
2.398087,-0.6308388,-0.5236974,0.4616868
2.415443,-0.6406695,-0.5075409,0.4779638
2.431747,-0.6502675,-0.4936312,0.4874588
2.458992,-0.6596284,-0.4820524,0.4996665
2.474174,-0.6687463,-0.4728291,0.5010229
2.49823,-0.6776206,-0.4659267,0.5019273
2.522224,-0.686251,-0.4597035,0.5019273
2.548782,-0.6946374,-0.4580684,0.5032836
2.576157,-0.7027793,-0.4588124,0.5069008
2.598099,-0.710675,-0.4610215,0.5073529
2.615196,-0.7183243,-0.4642164,0.5073529
2.64109,-0.7257273,-0.4700569,0.5082572
2.66552,-0.7328835,-0.474084,0.5096136
2.691948,-0.7397922,-0.4793299,0.5123264
2.715279,-0.7464525,-0.4817212,0.5123264
2.731529,-0.7528641,-0.4827842,0.5123264
2.748497,-0.7590273,-0.4827056,0.5123264
2.766045,-0.764942,-0.4811212,0.507805
2.794441,-0.7706105,-0.4746257,0.4996665
2.815392,-0.7760368,-0.4671856,0.4969537
2.831825,-0.7812222,-0.4570325,0.4933366
2.849174,-0.7861684,-0.4508952,0.4924322
2.865433,-0.790876,-0.4364442,0.4897195
2.883217,-0.7953464,-0.4190613,0.4897195
2.908852,-0.7995797,-0.3987633,0.4910759
2.931747,-0.8035751,-0.363033,0.4910759
2.956871,-0.8073328,-0.3359063,0.4910759
2.981964,-0.8108527,-0.2907912,0.4906237
3.000458,-0.8141352,-0.2581616,0.4906237
3.025993,-0.8171803,-0.2238592,0.4779638
3.048462,-0.8199942,-0.1882359,0.4666603
3.065147,-0.8225823,-0.1516661,0.4598782
3.082573,-0.824948,-0.1145379,0.4481226
3.108826,-0.827097,-0.07724459,0.4368191
3.125473,-0.8290347,-0.04017549,0.4372713
3.148331,-0.8307611,-0.003707158,0.4408884
3.165466,-0.8322743,0.031805,0.4494791
3.182419,-0.8335704,0.06603467,0.4567133
3.200226,-0.8346457,0.09869175,0.4702774
3.216125,-0.835494,0.1143514,0.4761552
3.243744,-0.8361123,0.1583456,0.4937887
3.257462,-0.8364922,0.1719483,0.4960494
3.281693,-0.8366326,0.2093825,0.514135
3.298737,-0.8365249,0.2207147,0.5254385
3.315735,-0.8361637,0.2416589,0.5376462
3.332054,-0.8355432,0.2603546,0.5521147
3.358887,-0.8346563,0.2769033,0.5702003
3.381668,-0.8334945,0.298047,0.5869296
3.398987,-0.8320497,0.3042162,0.5959724
3.428322,-0.8303176,0.320525,0.6072758
3.449356,-0.8282927,0.3299245,0.6199358
3.475456,-0.8259692,0.3426015,0.6411864
3.498253,-0.8233367,0.3505922,0.6524898
