Time,CV,FF,Input
0,0,-0.791238,0
0.01538086,0,-0.7777878,0
0.0322876,0,-0.7500234,0
0.04937744,0,-0.7358032,0
0.06610107,0,-0.6923848,0
0.08190918,0,-0.6633232,0
0.09967041,0,-0.6489156,0
0.116272,0,-0.6206132,0
0.1321411,0,-0.593346,0
0.149231,0,-0.5802304,0
0.1661377,0,-0.5675273,0
0.182251,0,-0.5435532,0
0.1992798,0,-0.5323752,0
0.2168579,0,-0.5118558,0
0.2325439,0,-0.4940503,0
0.250061,0,-0.4792406,0
0.2657471,0,-0.4730349,0
0.2831421,0,-0.4631459,0
0.2999268,0,-0.4567465,0
0.3162231,0,-0.4539393,0
0.3329468,0,-0.4547684,0
0.3491211,0,-0.4565442,0
0.3659058,0,-0.4627806,0
0.3833618,0,-0.4725033,0
0.3985596,0,-0.4786234,0
0.4156494,0,-0.4932536,0
0.4318237,0,-0.5108612,0
0.4483032,0,-0.5206915,0
0.4655762,0,-0.5421999,0
0.4827881,0,-0.5658689,0
0.4987183,0,-0.5783916,0
0.5152588,0,-0.6045529,0
0.5320435,0,-0.6318371,0
0.5494385,0,-0.6457594,0
0.565979,0,-0.6738763,0
0.5830078,0,-0.7019695,0
0.5985107,0,-0.7158628,0
0.6161499,0,-0.7430583,0
0.631897,0,-0.7690991,0
0.6491089,0,-0.781554,0
0.6652832,0,-0.8050833,0
0.6824341,0,-0.8264645,0
0.6999512,0,-0.8362432,0
0.7161865,0,-0.8537888,0
0.7323608,0,-0.8684354,0
0.750061,0,-0.8799692,0
0.7650146,0,-0.8845169,0
0.7828979,0,-0.8911005,0
0.7998657,0,-0.8931182,0
0.8161011,0,-0.8945866,0
0.8327026,0,-0.8926497,0
0.848938,0,-0.8904243,0
0.8658447,0,-0.8835292,0
0.8829346,0,-0.8735074,0
0.8984985,0,-0.867385,0
0.9160767,0,-0.8530648,0
0.9320068,0,-0.8362042,0
0.9488525,0,-0.826915,0
0.9658203,0,-0.8068232,0
0.9830933,0,-0.7850056,0
0.9997559,0,-0.7735636,0
1.015869,0,-0.7498492,0
1.032715,0,-0.7253472,0
1.0495,0,-0.712921,0
1.066101,0,-0.6879557,0
1.08252,0,-0.6631487,0
1.099792,0,-0.6509163,0
1.11615,0,-0.6270046,0
1.132751,0,-0.6040916,0
1.149231,0,-0.5930999,0
1.165833,0,-0.5722063,0
1.182434,0,-0.5529502,0
1.199585,0,-0.543995,0
1.216553,0,-0.527523,0
1.232788,0,-0.5130574,0
1.249207,0,-0.5065988,0
1.265442,0,-0.4952463,0
1.282471,0,-0.4859672,0
1.299927,0,-0.482089,0
1.315918,0,-0.4757976,0
1.332825,0,-0.4713513,0
1.349182,0,-0.46977,0
1.365723,0,-0.4677703,0
1.382874,0,-0.4671366,0
1.399231,0,-0.4672561,0
1.416321,0,-0.4682027,0
1.4328,0,-0.4698598,0
1.44989,0,-0.4708642,0
1.465881,0,-0.4730396,0
1.482971,0,-0.4751885,0
1.499207,0,-0.4761607,0
1.516113,0,-0.4777206,0
1.53241,0,-0.4785382,0
1.55011,0,-0.4783555,0
1.565247,0,-0.4778149,0
1.582397,0,-0.4757027,0
1.599487,0,-0.4740841,0
1.615417,0,-0.4696212,0
1.632996,0,-0.4634173,0
1.648865,0,-0.4596318,0
1.665955,0,-0.4506551,0
1.682922,0,-0.4397838,0
1.698853,0,-0.4336401,0
1.716003,0,-0.4199642,0
1.732178,0,-0.4045047,0
1.748901,0,-0.3961408,0
1.765503,0,-0.3782343,0
1.782349,0,-0.3589017,0
1.799316,0,-0.3487625,0
1.815674,0,-0.3276778,0
1.832031,0,-0.305721,0
1.849121,0,-0.2944964,0
1.866089,0,-0.271725,0
1.882141,0,-0.2487579,0
1.898499,0,-0.2372899,0
1.916321,0,-0.2145639,0
1.932495,0,-0.1923522,0
1.949158,0,-0.181525,0
1.966003,0,-0.1605923,0
1.982788,0,-0.1408275,0
1.999573,0,-0.1314549,0
2.015808,0,-0.1138591,0
2.032898,0,-0.0979481,0
2.049316,0,-0.09067381,0
2.066345,0,-0.0775682,0
2.08313,0,-0.06646787,0
2.099121,0,-0.06169154,0
2.116089,0,-0.05370994,0
2.133179,0,-0.04782701,0
2.148926,0,-0.04566544,0
2.166077,0,-0.04286845,0
2.182922,0,-0.04203686,0
2.199829,0,-0.04232466,0
2.215637,0,-0.04422472,0
2.232361,0,-0.04776174,0
2.248901,0,-0.05009052,0
2.265869,0,-0.05575124,0
2.282593,0,-0.0625826,0
2.299194,0,-0.0663723,0
2.315247,0,-0.07456644,0
2.332214,0,-0.08340163,0
2.348999,0,-0.08799331,0
2.365845,0,-0.09739605,0
2.382507,0,-0.1069279,0
2.398926,0,-0.1116846,0
2.415527,0,-0.121074,0
2.431885,0,-0.1301741,0
2.448975,0,-0.1345749,0
2.465698,0,-0.1430111,0
2.482422,0,-0.1508925,0
2.499634,0,-0.154607,0
2.515381,0,-0.1615641,0
2.532043,0,-0.1678892,0
2.54895,0,-0.1708212,0
2.564941,0,-0.1762534,0
2.582458,0,-0.1811704,-0.0307975
2.59906,-1.483804E-05,-0.183465,-0.05069166
2.615417,-5.416145E-05,-0.1877979,-0.07646365
2.632141,-0.000130349,-0.1919017,-0.08686284
2.648621,-0.0002484136,-0.1939142,-0.09771419
2.665833,-0.0004135905,-0.1979621,-0.103592
2.682922,-0.0006287151,-0.2021844,-0.1094698
2.699463,-0.0008966224,-0.2044167,-0.1153477
2.716003,-0.001220147,-0.209237,-0.1185126
2.731995,-0.001600783,-0.2146819,-0.1243905
2.749023,-0.002041365,-0.2176936,-0.1252948
2.766174,-0.002542326,-0.2244006,-0.1302683
2.782227,-0.003106053,-0.2321486,-0.1302683
2.799133,-0.003732534,-0.2364574,-0.132529
2.815247,-0.004422816,-0.2460212,-0.1352418
2.832336,-0.005178226,-0.2569306,-0.1347897
2.848389,-0.005998526,-0.2629147,-0.1320768
2.866089,-0.006882421,-0.2759745,-0.1248426
2.882141,-0.007826383,-0.2905086,-0.1221298
2.898804,-0.008829119,-0.2983276,-0.1203212
2.916687,-0.009889723,-0.3150476,-0.1167041
2.931824,-0.01100645,-0.3331545,-0.1167041
2.949219,-0.0121793,-0.3426985,-0.1121827
2.966248,-0.01340603,-0.362689,-0.1026878
2.982788,-0.01468204,-0.3837526,-0.0931928
2.998962,-0.01600276,-0.3946301,-0.08279361
3.015198,-0.01736315,-0.4169467,-0.07284653
3.032227,-0.01875847,-0.4398187,-0.0565695
3.049194,-0.02018078,-0.4513848,-0.04662242
3.065979,-0.0216253,-0.4746094,-0.02989322
3.082214,-0.02308397,-0.497722,-0.02582399
3.099426,-0.02455479,-0.5091453,-0.01497263
3.115967,-0.02603257,-0.5315406,-0.008190506
3.132324,-0.02751401,-0.5530853,0
3.14856,-0.02899515,-0.5634463,0
3.165588,-0.030476,-0.5831656,0
3.182434,-0.03195656,-0.601318,0
3.199097,-0.03343682,-0.609725,0
3.215637,-0.03491678,-0.6250502,0
3.231873,-0.03639644,-0.638211,0
3.249023,-0.03787581,-0.6439202,0
3.26593,-0.03935489,-0.6534974,0
3.282043,-0.04083366,-0.6605172,0
3.299316,-0.04231215,-0.66304,0
3.315308,-0.04379033,-0.6660798,0
3.332703,-0.04526822,-0.6664382,0
3.349121,-0.04674582,-0.6656207,0
3.365723,-0.04822312,-0.6620363,0
3.382202,-0.04970012,-0.6559479,0
3.398682,-0.05117683,-0.6520115,0
3.415588,-0.05265325,-0.642473,0
3.432495,-0.05412936,-0.6309046,0
3.449036,-0.05560518,-0.6244403,0
3.465393,-0.05708071,-0.6103345,0
3.482239,-0.05855595,-0.5949274,0
3.499023,-0.06003089,-0.5868432,0
3.516235,-0.06150553,-0.5701413,0
3.532532,-0.06297988,-0.553045,0
3.54895,-0.06445393,-0.5444707,0
3.565857,-0.06592768,-0.5275169,0
3.582214,-0.06740115,-0.5111523,0
3.59967,-0.06887431,-0.503313,0
3.615601,-0.07034719,-0.4885579,0
3.632019,-0.07181977,-0.4753371,0
3.648926,-0.07329205,-0.4694099,0
3.665161,-0.07476404,-0.4591206,0
3.682068,-0.07623574,-0.4511575,0
3.699158,-0.07770714,-0.4481283,0
3.715759,-0.07917825,-0.4441102,0
3.7323,-0.08064906,-0.4429569,0
3.74939,-0.08211958,-0.4434964,0
3.76532,-0.08358981,-0.4468611,0
3.782227,-0.08505974,-0.4533031,0
3.798706,-0.08652937,-0.4576754,0
3.815491,-0.08799872,-0.468685,0
3.832275,-0.08946776,-0.4826219,0
3.848694,-0.09093652,-0.4906398,0
3.865845,-0.09240498,-0.5086469,0
3.882202,-0.09387315,-0.5290744,0.09590563
3.899048,-0.09529473,-0.5401058,0.1849772
3.915161,-0.09662677,-0.5635989,0.271788
3.93219,-0.0978274,-0.5886957,0.3766845
3.949097,-0.098846,-0.601723,0.430037
3.965759,-0.09965688,-0.6284735,0.4775117
3.982178,-0.1002372,-0.6557851,0.4901716
3.998718,-0.1005809,-0.6695091,0.4906237
4.015991,-0.1006878,-0.6968034,0.4494791
4.032654,-0.1005778,-0.7235013,0.4069779
4.048584,-0.1002715,-0.7364799,0.3287577
4.066223,-0.09980653,-0.7614087,0.2564153
4.083008,-0.09921794,-0.7845929,0.1881422
4.09906,-0.09853868,-0.7953957,0.07827221
4.115662,-0.09782179,-0.8151686,0.0005041559
4.131897,-0.09710479,-0.832183,0
