Time,CV,FF,Input
0,0,-0.791238,0
0.01535034,0,-0.7777878,0
0.03123474,0,-0.7500234,0
0.04838562,0,-0.7358032,0
0.06492615,0,-0.6923848,0
0.08187866,0,-0.6633232,0
0.09822083,0,-0.6489156,0
0.1152191,0,-0.6206132,0
0.1313782,0,-0.593346,0
0.147583,0,-0.5802304,0
0.164505,0,-0.5675273,0
0.181015,0,-0.5435532,0
0.197998,0,-0.5323752,0
0.2144623,0,-0.5118558,0
0.2312927,0,-0.4940503,0
0.2478638,0,-0.486255,0
0.264679,0,-0.4730349,0
0.2811584,0,-0.4631459,0
0.2987671,0,-0.4567465,0
0.3147888,0,-0.4539393,0
0.3315125,0,-0.4547684,0
0.3475494,0,-0.4565442,0
0.3651276,0,-0.4627806,0
0.3810272,0,-0.4725033,0
0.3978271,0,-0.4786234,0
0.4140625,0,-0.4932536,0
0.4315643,0,-0.5108612,0
0.4477692,0,-0.5206915,0
0.4672546,0,-0.5421999,0
0.4867554,0,-0.5658689,0
0.4980927,0,-0.5783916,0
0.5145874,0,-0.6045529,0
0.5310059,0,-0.6318371,0
0.547821,0,-0.6457594,0
0.5648041,0,-0.6738763,0
0.5807037,0,-0.7019695,0
0.5979309,0,-0.7158628,0
0.6144714,0,-0.7430583,0
0.6317139,0,-0.7690991,0
0.6478882,0,-0.781554,0
0.6647339,0,-0.8050833,0
0.6816864,0,-0.8264645,0
0.6975708,0,-0.8362432,0
0.714386,0,-0.8537888,0
0.7320709,0,-0.8684354,0
0.7478638,0,-0.8746027,0
0.7646637,0,-0.8845169,0
0.7815094,0,-0.8911005,0
0.7982635,0,-0.8931182,0
0.8147583,0,-0.8945866,0
0.8312225,0,-0.8926497,0
0.8477173,0,-0.8904243,0
0.8641357,0,-0.8835292,0
0.8815765,0,-0.8735074,0
0.8981018,0,-0.867385,0
0.9146118,0,-0.8530648,0
0.9315796,0,-0.8362042,0
0.947525,0,-0.826915,0
0.9645538,0,-0.8068232,0
0.9815369,0,-0.7850056,0
0.9985504,0,-0.7735636,0
1.014389,0,-0.7498492,0
1.032013,0,-0.7253472,0
1.048447,0,-0.712921,0
1.064987,0,-0.6879557,0
1.081299,0,-0.6631487,0
1.098175,0,-0.6509163,0
1.114578,0,-0.6270046,0
1.130676,0,-0.6040916,0
1.147537,0,-0.5930999,0
1.164215,0,-0.5722063,0
1.180603,0,-0.5529502,0
1.196945,0,-0.543995,0
1.213699,0,-0.527523,0
1.230423,0,-0.5130574,0
1.247131,0,-0.5065988,0
1.264084,0,-0.4952463,0
1.280441,0,-0.4859672,0
1.297745,0,-0.482089,0
1.314529,0,-0.4757976,0
1.330734,0,-0.4713513,0
1.34816,0,-0.46977,0
1.364426,0,-0.4677703,0
1.381012,0,-0.4671366,0
1.398727,0,-0.4672561,0
1.414536,0,-0.4682027,0
1.431046,0,-0.4698598,0
1.447952,0,-0.4708642,0
1.464279,0,-0.4730396,0
1.480515,0,-0.4751885,0
1.497986,0,-0.4761607,0
1.514633,0,-0.4777206,0
1.532471,0,-0.4785382,0
1.549133,0,-0.4785872,0
1.565018,0,-0.4778149,0
1.581268,0,-0.4757027,0
1.598495,0,-0.4740841,0
1.615021,0,-0.4696212,0
1.630936,0,-0.4634173,0
1.647263,0,-0.4596318,0
1.663635,0,-0.4506551,0
1.680984,0,-0.4397838,0
1.697586,0,-0.4336401,0
1.713669,0,-0.4199642,0
1.730972,0,-0.4045047,0
1.747559,0,-0.3961408,0
1.764633,0,-0.3782343,0
1.780548,0,-0.3589017,0
1.797653,0,-0.3487625,0
1.814514,0,-0.3276778,0
1.831375,0,-0.305721,0
1.847519,0,-0.2944964,0
1.864014,0,-0.271725,0
1.880936,0,-0.2487579,0
1.897903,0,-0.2372899,0
1.914398,0,-0.2145639,0
1.931061,0,-0.1923522,0
1.947678,0,-0.181525,0
1.964783,0,-0.1605923,0
1.982391,0,-0.1408275,0
1.998322,0,-0.1314549,0
2.014404,0,-0.1138591,0
2.031586,0,-0.0979481,0
2.047577,0,-0.09067381,0
2.064667,0,-0.0775682,0
2.081085,0,-0.06646787,0
2.0979,0,-0.06169154,0
2.1147,0,-0.05370994,0
2.130936,0,-0.04782701,0
2.147675,0,-0.04566544,0
2.164032,0,-0.04286845,0
2.182281,0,-0.04203686,0
2.197433,0,-0.04232466,0
2.214127,0,-0.04422472,0
2.230911,0,-0.04776174,0
2.247757,0,-0.05009052,0
2.264267,0,-0.05575124,0
2.281479,0,-0.0625826,0
2.297562,0,-0.0663723,0
2.313721,0,-0.07456644,0
2.331619,0,-0.08340163,0
2.34816,0,-0.08799331,0
2.364594,0,-0.09739605,0
2.381058,0,-0.1069279,0
2.398483,0,-0.1116846,0
2.414658,0,-0.121074,0
2.431503,0,-0.1301741,0
2.447098,0,-0.1345749,0
2.464127,0,-0.1430111,0
2.480652,0,-0.1508925,0
2.497604,0,-0.154607,0
2.514481,0,-0.1615641,0
2.531647,0,-0.1678892,0
2.547333,0,-0.1708212,0
2.56488,0,-0.1762534,0
2.581253,0,-0.1811704,0
2.597778,0,-0.183465,0
2.614731,0,-0.1877979,0
2.631088,0,-0.1919017,0
2.647766,0,-0.1939142,0
2.664505,0,-0.1979621,0
2.680939,0,-0.2021844,0
2.697662,0,-0.2044167,0
2.714279,0,-0.209237,0
2.731735,0,-0.2146819,0
2.747498,0,-0.2176936,0
2.765228,0,-0.2244006,0
2.781876,0,-0.2321486,0
2.797546,0,-0.2364574,0
2.813766,0,-0.2460212,0
2.830795,0,-0.2569306,0
2.847412,0,-0.2629147,0
2.863861,0,-0.2759745,0
2.880905,0,-0.2905086,0
2.897919,0,-0.2983276,0
2.914581,0,-0.3150476,0
2.931061,0,-0.3331545,0
2.947678,0,-0.3426985,0
2.963974,0,-0.362689,0
2.98204,0,-0.3837526,0
2.997742,0,-0.3946301,0
3.014374,0,-0.4169467,0
3.031494,0,-0.4398187,0
3.047348,0,-0.4513848,0
3.06424,0,-0.4746094,0
3.080688,0,-0.497722,0
3.0979,0,-0.5091453,0
3.113861,0,-0.5315406,0
3.130722,0,-0.5530853,0
3.148239,0,-0.5634463,0
3.164368,0,-0.5831656,0
3.181595,0,-0.601318,0
3.197754,0,-0.609725,0
3.214935,0,-0.6250502,0
3.230881,0,-0.638211,0
3.247726,0,-0.6439202,0
3.265411,0,-0.6534974,0
3.281693,0,-0.6605172,0
3.297791,0,-0.66304,0
3.314346,0,-0.6660798,0
3.331284,0,-0.6664382,0
3.347412,0,-0.6656207,0
3.363831,0,-0.6620363,0
3.380859,0,-0.6559479,0
3.397827,0,-0.6520115,0
3.415176,0,-0.642473,0
3.431519,0,-0.6309046,0
3.447723,0,-0.6244403,0
3.464752,0,-0.6103345,0
3.48056,0,-0.5949274,0
3.497787,0,-0.5868432,0
3.514084,0,-0.5701413,0
3.531052,0,-0.553045,0
3.547409,0,-0.5444707,0
3.564102,0,-0.5275169,0
3.581573,0,-0.5111523,0
3.597397,0,-0.503313,0
3.614258,0,-0.4885579,0
3.632019,0,-0.4753371,0
3.648285,0,-0.4694099,0
3.664322,0,-0.4591206,0
3.681778,0,-0.4511575,0.0751072
3.697754,3.624352E-05,-0.4481283,0.1492582
3.714355,0.0001445054,-0.4441102,0.2216005
3.731522,0.0003596804,-0.4429569,0.3020814
3.747604,0.0007205841,-0.4434964,0.3328269
3.764069,0.001242023,-0.4468611,0.3536254
3.780655,0.001934003,-0.4533031,0.3536254
3.79744,0.002796489,-0.4576754,0.3292098
3.814209,0.003817665,-0.468685,0.2817352
3.830734,0.00497459,-0.4826219,0.2613889
3.848175,0.006257419,-0.4906398,0.2283826
3.86441,0.007650198,-0.5086469,0.1998978
3.880829,0.009139162,-0.5290744,0.1705087
3.897659,0.01071011,-0.5401058,0.1221298
3.913925,0.01233967,-0.5635989,0.09093213
3.931,0.01401279,-0.5886957,0.03486679
3.948044,0.0157024,-0.601723,0
3.964645,0.01739168,-0.6284735,0
3.981781,0.01908061,-0.6557851,0
3.997925,0.02076921,-0.6695091,0
4.014771,0.02245747,-0.6968034,0
4.030792,0.0241454,-0.7235013,0
4.047943,0.02583298,-0.7364799,0
4.063889,0.02752023,-0.7614087,0
4.081009,0.02920714,-0.7845929,0
4.097778,0.03089372,-0.7953957,0
4.114136,0.03257996,-0.8151686,0
4.131104,0.03426586,-0.832183,0
4.147247,0.03595142,-0.839547,0
4.164215,0.03763665,-0.8460963,0
4.181274,0.03932155,-0.8566105,0
4.197617,0.0410061,-0.8605136,0
4.214584,0.04269032,-0.8654824,0
4.231491,0.0443742,-0.866536,0
4.248672,0.04605775,-0.8655591,0
4.264328,0.04774095,-0.8605593,0
4.280807,0.04942383,-0.8514907,0
4.297684,0.05110637,-0.8454419,0
4.314621,0.05278857,-0.8303704,0
4.330994,0.05447043,-0.8114488,0
4.347595,0.05615196,-0.8006002,0
4.364349,0.05783315,-0.7762681,0
4.381546,0.05951401,-0.7486451,0
4.398331,0.06119453,-0.7336931,0
4.413986,0.06287472,-0.7017166,0
4.430679,0.06455457,-0.6672794,0
4.447739,0.06623409,-0.6492579,0
4.46431,0.06791327,-0.611861,0
4.480835,0.06959212,-0.5730062,0
4.497665,0.07127063,-0.5531644,0
4.514099,0.0729488,-0.5129187,0
4.530746,0.07462664,-0.4722762,0
4.547333,0.07630415,-0.4519362,0
4.564346,0.07798132,-0.4114707,0.01858975
4.581711,0.07966712,-0.3716114,0.03757963
4.597382,0.08137072,-0.352023,0.06696869
4.61441,0.08310629,-0.3137394,0.08143716
4.630585,0.08488082,-0.2769018,0.113087
4.64859,0.08670957,-0.2591118,0.1361461
4.664108,0.08860364,-0.2249389,0.171413
4.680573,0.09058005,-0.1928086,0.1931157
4.697403,0.09264926,-0.177561,0.2148184
4.713638,0.09482171,-0.1487772,0.2360691
4.730774,0.09710765,-0.122342,0.2677188
4.748184,0.09952232,-0.1100187,0.3020814
4.764679,0.1020823,-0.08716192,0.3228799
4.781387,0.1047975,-0.06665953,0.3445826
4.797684,0.1076785,-0.05726889,0.3703546
4.81398,0.1107377,-0.04014152,0.3843709
4.831009,0.1139817,-0.02510218,0.3938659
4.847702,0.1174151,-0.01831357,0.4020043
4.864395,0.1210418,-0.006078095,0.4128557
4.881271,0.124867,0.004547237,0.423707
4.897537,0.128896,0.009327991,0.4277763
4.914581,0.1331305,0.01797804,0.4322977
4.931152,0.1375728,0.02562335,0.4255156
4.947525,0.1422195,0.02914936,0.3952223
4.964569,0.1470561,0.03576841,0.3237841
4.981964,0.1520479,0.04201991,0.2826394
4.997559,0.1571751,0.04508412,0.2442075
5.01384,0.1624191,0.05123392,0.1800036
5.030731,0.167749,0.05759079,0.1257469
5.047714,0.1731384,0.06090838,0.03667535
5.063965,0.1785445,0.06793029,0
5.080994,0.1839495,0.07559058,0
5.098434,0.1893534,0.07969854,0
5.114075,0.1947562,0.08852822,0
5.130722,0.200158,0.09822757,0
5.148376,0.2055586,0.1034141,0
5.16449,0.2109582,0.114462,0
5.18103,0.2163568,0.126385,0
5.197617,0.2217542,0.1326571,0
5.214279,0.2271505,0.1457689,0
5.23085,0.2325458,0.1595428,0
5.247406,0.23794,0.1666357,0
5.263794,0.2433331,0.1811348,0
5.280975,0.2487252,0.1959033,0
5.297806,0.2541161,0.2033286,-0.06154301
5.31488,0.2594763,0.2181335,-0.1126348
5.330795,0.2647811,0.2326992,-0.171413
5.347702,0.2700021,0.2398242,-0.1980892
5.364365,0.2751264,0.2536213,-0.2107492
5.380997,0.2801481,0.266634,-0.2116534
5.39743,0.2850665,0.2727803,-0.1890464
5.414383,0.2898928,0.2842273,-0.1727694
5.431549,0.2946348,0.2943914,-0.1601095
5.447632,0.2992985,0.2989388,-0.1483539
5.464584,0.3038897,0.3068691,-0.1153477
5.480774,0.3084244,0.3131402,-0.09816637
5.497711,0.3129107,0.3156202,-0.06877725
5.514587,0.317363,0.3192195,-0.0610909
5.531876,0.3217849,0.3209623,-0.05883017
5.547409,0.3261775,0.3211297,-0.07239437
5.564758,0.3305343,0.3200595,-0.09047996
5.580643,0.3348466,0.3171454,-0.1126348
5.597824,0.3391036,0.3150158,-0.132529
5.61441,0.3432959,0.3094675,-0.1637266
5.630417,0.3474083,0.3022975,-0.216627
5.647125,0.3514154,0.2981477,-0.2491811
5.664597,0.3553014,0.2888193,-0.2975601
5.680756,0.3590431,0.2782709,-0.3305663
