Time,CV,FF,Input
0,0,-0.791238,0
0.01563072,0,-0.7777878,0
0.03243446,0,-0.7500234,0
0.04856682,0,-0.7358032,0
0.06504822,0,-0.6923848,0
0.08254433,0,-0.6633232,0
0.09946442,0,-0.6489156,0
0.1160488,0,-0.6206132,0
0.1329231,0,-0.593346,0
0.1489792,0,-0.5802304,0
0.1655884,0,-0.5675273,0
0.1820927,0,-0.5435532,0
0.1990318,0,-0.5323752,0
0.2156792,0,-0.5118558,0
0.2320271,0,-0.4940503,0
0.2486591,0,-0.486255,0
0.2656269,0,-0.4730349,0
0.2819271,0,-0.4631459,0
0.2986469,0,-0.4567465,0
0.3152809,0,-0.4539393,0
0.3321648,0,-0.4547684,0
0.3492012,0,-0.4565442,0
0.365366,0,-0.4627806,0
0.3823185,0,-0.4725033,0
0.3988953,0,-0.4786234,0
0.4158421,0,-0.4932536,0
0.4321079,0,-0.5108612,0
0.4489651,0,-0.5206915,0
0.4652863,0,-0.5421999,0
0.4823036,0,-0.5658689,0
0.4991722,0,-0.5783916,0
0.5156574,0,-0.6045529,0
0.5327415,0,-0.6318371,0
0.5494556,0,-0.6457594,0
0.5653591,0,-0.6738763,0
0.5820313,0,-0.7019695,0
0.5989017,0,-0.7158628,0
0.6152897,0,-0.7430583,0
0.6319141,0,-0.7690991,0
0.648344,0,-0.781554,0
0.6654186,0,-0.8050833,0
0.6822205,0,-0.8264645,0
0.6989765,0,-0.8362432,0
0.7154369,0,-0.8537888,0
0.7321911,0,-0.8684354,0
0.7485809,0,-0.8746027,0
0.7661152,0,-0.8845169,0
0.7822514,0,-0.8911005,0
0.7989025,0,-0.8931182,0
0.815691,0,-0.8945866,0
0.8321342,0,-0.8926497,0
0.8487377,0,-0.8904243,0
0.8660545,0,-0.8835292,0
0.881834,0,-0.8735074,0
0.898962,0,-0.867385,0
0.9159775,0,-0.8530648,0
0.932066,0,-0.8362042,0
0.9483604,0,-0.826915,0
0.9653835,0,-0.8068232,0
0.982542,0,-0.7850056,0
0.9990788,0,-0.7735636,0
1.015657,0,-0.7498492,0
1.032421,0,-0.7253472,0
1.048803,0,-0.712921,0
1.065851,0,-0.6879557,0
1.082069,0,-0.6631487,0
1.098879,0,-0.6509163,0
1.115973,0,-0.6270046,0
1.132166,0,-0.6040916,0
1.148863,0,-0.5930999,0
1.16588,0,-0.5722063,0
