Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01696777,0,0.03503782,0,0.5704651
0.03308105,0,0.02765206,0,0.5354309
0.04888916,0,0.0239619,0,0.507782
0.06689453,0,0.01666,0,0.4838257
0.08288574,0,0.009559959,0,0.4671631
0.1002197,0,0.002776504,0,0.4576111
0.1168213,0,-0.0004616678,0,0.454834
0.1333618,0,-0.006564647,0,0.4552918
0.1500854,0,-0.0120869,0,0.461853
0.1658936,0,-0.01460135,0,0.473938
0.1824951,0,-0.01908526,0,0.4885254
0.1992798,0,-0.02103618,0,0.5075989
0.2161255,0,-0.02431637,0,0.5286255
0.2329712,0,-0.02672499,0,0.552948
0.2504272,0,-0.02822441,0,0.5796814
0.2663574,0,-0.02862579,0,0.6079102
0.2830811,0,-0.02872622,0,0.6365356
0.2993164,0,-0.02842617,0,0.6652527
0.3161621,0,-0.02713561,0,0.6936646
0.3331909,0,-0.02494991,0,0.7207947
0.3490601,0,-0.02353472,0,0.7457581
0.3665771,0,-0.02009535,0,0.7692871
0.3830566,0,-0.01590151,0,0.7893677
0.3997803,0,-0.01354665,0,0.8052673
0.4160156,0,-0.008377612,0,0.8188171
0.4326172,0,-0.002680182,0,0.8272095
0.4493408,0,0.00033319,0,0.829895
0.4668579,0,0.006617308,0,0.8295593
0.4823608,0,0.01314491,0,0.822937
0.4991455,0,0.01646149,0,0.8097839
0.5161743,0,0.02312189,0,0.793335
0.532959,0,0.02971423,0,0.7702026
0.5493774,0,0.03294587,0,0.7404785
0.5656128,0,0.03920478,0,0.7075195
0.5830078,0,0.04509395,0,0.6683044
0.5992432,0,0.04786515,0,0.6231995
0.6166992,0,0.05299652,0,0.5753479
0.6331787,0,0.05750155,0,0.5223389
0.6489258,0,0.05949274,0,0.4648438
0.666626,0,0.06290661,0,0.405365
0.6834106,0,0.06551233,0,0.3424683
0.7000122,0,0.06726299,0,0.276947
0.7160645,0,0.06780744,0,0.2096863
0.7332764,0,0.06822322,0,0.1418762
0.7498169,0,0.06809321,0,0.07363892
0.7667847,0,0.06716168,0,0.005563417
0.7827148,0,0.06535304,0,-0.06159827
0.7995605,0,0.06413031,0,-0.1269513
0.8157349,0,0.06107795,0,-0.1910816
0.8329468,0,0.05726671,0,-0.2521596
0.8491211,0,0.05509853,0,-0.3094263
0.8659668,0,0.05028832,0,-0.3645248
0.8826904,0,0.04492188,0,-0.4148132
0.9008179,0,0.03909898,0,-0.459735
0.9157104,0,0.03604949,0,-0.498834
0.9328003,0,0.02974355,0,-0.5348835
0.9500122,0,0.02325726,0,-0.5646271
0.9666748,0,0.01998258,0,-0.5878844
0.9829712,0,0.01344264,0,-0.607867
0.9988403,0,0.01020598,0,-0.6213097
1.016357,0,0.003868937,0,-0.6315157
1.032837,0,-0.002197385,0,-0.6353846
1.0495,0,-0.005097151,0,-0.6331873
1.066528,-0.01767973,-0.01057148,-0.06696869,-0.6280901
1.082947,-0.02973559,-0.01554143,-0.1126348,-0.5998389
1.100708,-0.03797177,-0.01993227,-0.1438325,-0.5545619
1.116089,-0.03797177,-0.02189088,-0.1438325,-0.4966579
1.132507,-0.03558447,-0.02530253,-0.1347897,-0.4367953
1.149109,-0.03188417,-0.02674544,-0.1207734,-0.3759083
1.166748,-0.03021306,-0.0290885,-0.1144434,-0.3172787
1.182617,-0.02854194,-0.0306952,-0.1081134,-0.2579772
1.198975,-0.02746766,-0.03122163,-0.1040442,-0.1987401
1.215637,-0.02675147,-0.03172791,-0.1013313,-0.1400508
1.232971,-0.02197687,-0.03152591,-0.08324572,-0.08157139
1.249268,-0.01887338,-0.03117073,-0.07149009,-0.02806861
1.266235,-0.0109953,-0.02998239,-0.04164886,0.02197266
1.282776,-0.003236585,-0.02820724,-0.01225979,0.06292725
1.30011,0,-0.02591646,0,0.09436035
1.3172,0,-0.02460307,0,0.1202698
1.33313,0,-0.02169573,0,0.1448669
1.348999,0,-0.02012563,0,0.1665649
1.366028,0,-0.01681477,0,0.186676
1.383606,0,-0.01336282,0,0.2034912
1.400024,0,-0.009875894,0,0.2168579
1.41626,0,-0.008152664,0,0.2267456
1.433289,0,-0.004812717,0,0.2348938
1.449402,0,-0.003221929,0,0.2397156
1.466919,0,-0.0002611279,0,0.2429504
1.483032,0,0.002326548,0,0.2432251
1.499146,0,0.003452897,0,0.2409058
1.516846,0,0.005320191,0,0.2374573
1.533203,0,0.006614864,0,0.2321472
1.549744,0,0.007028222,0,0.2255249
1.56604,0,0.00735569,0,0.2185059
1.583069,0,0.006986022,0,0.2111511
1.59906,0,0.006531358,0,0.2041626
1.615784,0,0.005074084,0,0.1976318
1.632263,0,0.002886415,0,0.1925659
1.64917,0,0.001522303,0,0.1896667
1.666992,0,-0.00173068,0,0.1881409
1.683228,0,-0.005651474,0,0.1899109
1.699524,0,-0.007846951,0,0.1955566
1.716919,0,-0.01267022,0,0.2033997
1.73291,0,-0.0180099,0,0.2160645
1.749023,0,-0.02084833,0,0.2340698
1.765869,0,-0.02680665,0,0.2549133
1.782959,0,-0.03305972,0,0.2817078
1.800049,0,-0.03950506,0,0.3147583
1.815735,0,-0.04276636,0,0.3542786
1.833008,0,-0.0492975,0,0.3970337
1.849426,0,-0.05253959,0,0.4463196
1.865845,0,-0.0589073,0,0.4988708
1.883484,0,-0.06502869,0,0.5577698
1.899841,0,-0.06796366,0,0.6228027
1.916138,0,-0.07351837,0,0.6907654
1.933228,0,-0.07857281,0,0.7642822
1.949707,0,-0.08088437,0,0.842865
1.966248,0,-0.08502573,0,0.9237366
1.983154,0,-0.08846515,0,1.008759
1.999939,0,-0.08990234,0,1.097229
2.016235,0,-0.09217989,0,1.187134
2.032715,0,-0.09362972,0,1.279327
2.049438,0,-0.09403574,0,1.372955
2.065796,0,-0.09420061,0,1.46698
2.082886,0,-0.09350121,0,1.561188
2.099792,0,-0.09283066,0,1.654694
2.117249,0,-0.09086108,0,1.747528
2.133179,0,-0.08808279,0,1.838379
2.149719,0,-0.08640432,0,1.926453
2.166382,0,-0.08250308,0,2.012848
2.183105,0,-0.07793117,0,2.095337
2.199463,0,-0.07541656,0,2.173279
2.216614,0,-0.06998038,0,2.248688
2.233032,0,-0.06407452,0,2.318665
2.249939,0,-0.06097436,0,2.382751
2.266235,0,-0.05453897,0,2.443726
2.282959,0,-0.0478723,0,2.49826
2.299866,0.009204832,-0.04448295,0.03486679,2.546143
2.316284,0.01767973,-0.03765392,0.06696869,2.581421
