Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01550293,0,0.03503782,0,0.5704651
0.03253174,0,0.02765206,0,0.5354309
0.04931641,0,0.0239619,0,0.507782
0.06610107,0,0.01666,0,0.4838257
0.08300781,0,0.009559959,0,0.4671631
0.09997559,0,0.002776504,0,0.4576111
0.1157837,0,-0.0004616678,0,0.454834
0.1325073,0,-0.006564647,0,0.4552918
0.149231,0,-0.009404272,0,0.461853
0.1658325,0,-0.01460135,0,0.4712524
0.1824341,0,-0.01908526,0,0.4858398
0.1990967,0,-0.02103618,0,0.5049133
0.2158813,0,-0.02431637,0,0.5259399
0.2322388,0,-0.02672499,0,0.5502625
0.2492676,0,-0.02759004,0,0.5769958
0.2661743,0,-0.02862579,0,0.6045837
0.2832031,0,-0.02872622,0,0.6332092
0.2990723,0,-0.02842617,0,0.6619263
0.3156128,0,-0.02713561,0,0.6903381
0.3328857,0,-0.02494991,0,0.7174683
0.3492432,0,-0.02353472,0,0.7424316
0.3659058,0,-0.02009535,0,0.7659607
0.3824463,0,-0.01590151,0,0.7860413
0.3991089,0,-0.01354665,0,0.8019409
0.4159546,0,-0.008377612,0,0.8154907
0.4329834,0,-0.002680182,0,0.8238831
0.4492798,0,0.00033319,0,0.8265686
0.4656372,0,0.006617308,0,0.8262329
0.482605,0,0.01314491,0,0.8196106
0.4998169,0,0.01646149,0,0.8064575
0.5161133,0,0.02312189,0,0.7900391
0.53302,0,0.02971423,0,0.7669067
0.5490112,0,0.03294587,0,0.7371826
0.5656738,0,0.03920478,0,0.7042236
0.5822754,0,0.04509395,0,0.6650085
0.5997925,0,0.04786515,0,0.6199036
0.6161499,0,0.05299652,0,0.572052
0.6329956,0,0.05750155,0,0.519043
0.6499023,0,0.05949274,0,0.4615479
0.6659546,0,0.06290661,0,0.4020691
0.6832275,0,0.06551233,0,0.3391724
0.6994629,0,0.06649685,0,0.2736511
0.7160034,0,0.06780744,0,0.2071533
0.7325439,0,0.06822322,0,0.1393433
0.7492065,0,0.06809321,0,0.07110596
0.7660522,0,0.06716168,0,0.003022586
0.7821655,0,0.06535304,0,-0.0641391
0.7990723,0,0.06413031,0,-0.1294921
0.8168335,0,0.06107795,0,-0.1936225
0.8322754,0,0.05726671,0,-0.2547004
0.8497925,0,0.05509853,0,-0.3119672
0.866272,0,0.05028832,0,-0.3670657
0.8829346,0,0.04492188,0,-0.417354
0.8987427,0,0.04206097,0,-0.462276
0.9165039,0,0.03604949,0,-0.504337
0.9324341,0,0.02974355,0,-0.5403865
0.9492188,0,0.02651572,0,-0.5701301
0.9658203,0,0.01998258,0,-0.5966458
0.9820557,0,0.01344264,0,-0.6166284
0.9996338,0,0.01020598,0,-0.6300712
1.016724,0,0.003868937,0,-0.6402772
1.032349,0,-0.002197385,0,-0.6441461
1.049133,0,-0.005097151,0,-0.6419487
1.065918,0,-0.01057148,0,-0.6368516
1.083069,0,-0.01554143,0,-0.6262802
1.099304,0,-0.01781344,0,-0.6107389
1.116333,0,-0.02189088,0,-0.5929255
1.132385,0,-0.02530253,0,-0.5710346
1.148804,0,-0.02674544,0,-0.5457321
1.165833,0,-0.0290885,0,-0.5189866
1.183105,0,-0.0306952,0,-0.4898981
1.199097,0,-0.03122163,0,-0.459203
1.215759,0,-0.03172791,0,-0.4279814
1.232849,0,-0.03152591,0,-0.3962534
1.249146,0,-0.03117073,0,-0.3647275
1.265991,0,-0.02998239,0,-0.3335568
1.282166,0,-0.02820724,0,-0.3035744
1.299194,0,-0.02712137,0,-0.2753672
1.315369,0,-0.02460307,0,-0.2482458
1.332947,0,-0.02169573,0,-0.2236428
1.349487,0,-0.02012563,0,-0.201947
1.366089,0,-0.01681477,0,-0.1818214
1.382385,0,-0.01336282,0,-0.1650066
1.400024,0,-0.009875894,0,-0.1516438
1.415527,0,-0.008152664,0,-0.1417679
1.432739,0,-0.004812717,0,-0.1336153
1.449097,0,-0.003221929,0,-0.1288026
1.466125,0,-0.0002611279,0,-0.1255806
