Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01660156,0,0.03503782,0,0.5704651
0.03253174,0,0.02765206,0,0.5354309
0.0496521,0,0.0239619,0,0.507782
0.06552124,0,0.01666,0,0.4838257
0.0821228,0,0.009559959,0,0.4671631
0.09967041,0,0.006121606,0,0.4576111
0.1160278,0,-0.0004616678,0,0.4515076
0.1328735,0,-0.006564647,0,0.4519653
0.1486816,0,-0.009404272,0,0.4585266
0.1660461,0,-0.01460135,0,0.467926
0.1835938,0,-0.01908526,0,0.4825439
0.1991882,0,-0.02103618,0,0.5016174
0.2164917,0,-0.02431637,0,0.522644
0.2320251,0,-0.02672499,0,0.5469666
0.2492371,0,-0.02759004,0,0.5737
0.2667236,0,-0.02862579,0,0.6012878
0.2824097,0,-0.02872622,0,0.6299133
0.2988892,0,-0.02842617,0,0.6586304
0.3166199,0,-0.02713561,0,0.6870422
0.3328857,0,-0.02494991,0,0.7141724
0.3502197,0,-0.02191395,0,0.7391357
0.3663025,0,-0.02009535,0,0.7610474
0.3824463,0,-0.01590151,0,0.7811279
0.3990784,0,-0.01354665,0,0.7970276
0.4160461,0,-0.008377612,0,0.8105774
0.4327393,0,-0.002680182,0,0.8189697
0.449646,0,0.00033319,0,0.8216553
0.4668884,0,0.006617308,0,0.8213196
0.4824524,0,0.01314491,0,0.8146973
0.4995422,0,0.01646149,0,0.8015442
0.5167542,0,0.02312189,0,0.7850952
0.5327148,0,0.02971423,0,0.7619629
0.5490723,0,0.03294587,0,0.7322388
0.5663757,0,0.03920478,0,0.6992798
0.5826111,0,0.04509395,0,0.6600647
0.5993652,0,0.04786515,0,0.6149597
0.6162415,0,0.05299652,0,0.5671082
0.632782,0,0.05750155,0,0.5140991
0.649292,0,0.05949274,0,0.456604
0.6664734,0,0.06290661,0,0.3971252
0.6830444,0,0.06551233,0,0.3342285
0.6994629,0,0.06649685,0,0.2687073
0.7166443,0,0.06780744,0,0.2022095
0.7322998,0,0.06822322,0,0.1343994
0.7496033,0,0.06809321,0,0.06616211
0.7662354,0,0.06716168,0,-0.001922471
0.7830811,0,0.06535304,0,-0.06908415
0.8000488,0,0.06270301,0,-0.1344372
0.8166504,0,0.06107795,0,-0.1971402
0.8332825,0,0.05726671,0,-0.2582182
0.8497925,0,0.05509853,0,-0.315485
0.8664246,0,0.05028832,0,-0.3705836
0.8834534,0,0.04492188,0,-0.4208719
0.8997803,0,0.04206097,0,-0.4657938
0.9165649,0,0.03604949,0,-0.5078548
0.9327698,0,0.02974355,0,-0.5439043
0.9498291,0,0.02651572,0,-0.5736479
0.9664001,0,0.01998258,0,-0.6001636
0.9824829,0,0.01344264,0,-0.6201463
0.9989929,0,0.01020598,0,-0.633589
1.015869,0,0.003868937,0,-0.643795
1.033112,0,-0.002197385,0,-0.6476638
1.049072,0,-0.005097151,0,-0.6454664
1.065857,0,-0.01057148,0,-0.6403694
1.083618,0,-0.01554143,0,-0.6297979
1.09967,0,-0.01781344,0,-0.6142566
1.116547,-0.001804206,-0.02189088,-0.006834114,-0.5964432
1.133209,-0.009921021,-0.02530253,-0.03757963,-0.5727481
1.149261,-0.01397943,-0.02674544,-0.05295238,-0.5375247
1.166718,-0.016128,-0.0290885,-0.0610909,-0.4967999
1.182373,-0.01362133,-0.0306952,-0.05159593,-0.4515834
1.199127,-0.006101343,-0.03122163,-0.02311115,-0.4072669
1.21579,0,-0.03172791,0,-0.369944
1.232605,0,-0.03152591,0,-0.3382161
1.249451,0,-0.03117073,0,-0.3066902
1.266449,0,-0.02998239,0,-0.2755195
