Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01579285,0,0.03503782,0,0.5704651
0.0326767,0,0.02765206,0,0.5354309
0.04915619,0,0.0239619,0,0.507782
0.06597137,0,0.01666,0,0.4838257
0.08214569,0,0.009559959,0,0.4671631
0.09921265,0,0.006121606,0,0.4576111
0.1167145,0,-0.0004616678,0,0.4515076
0.1332016,0,-0.006564647,0,0.4519653
0.1503601,0,-0.0120869,0,0.4585266
0.1658707,0,-0.01460135,0,0.4706116
0.1824646,0,-0.01908526,0,0.485199
0.1993484,0,-0.02103618,0,0.5042725
0.21595,0,-0.02431637,0,0.5252991
0.2326508,0,-0.02672499,0,0.5496216
0.2492447,0,-0.02759004,0,0.576355
0.2655334,0,-0.02862579,0,0.6039429
0.2825012,0,-0.02872622,0,0.6325684
0.299614,0,-0.02842617,0,0.6612854
0.316391,0,-0.02713561,0,0.6896973
0.3328857,0,-0.02494991,0,0.7168274
0.3491364,0,-0.02353472,0,0.7417908
0.3657608,0,-0.02009535,0,0.7653198
0.3826141,0,-0.01590151,0,0.7854004
0.3989792,0,-0.01354665,0,0.8013
0.4160233,0,-0.008377612,0,0.8148499
0.4326248,0,-0.002680182,0,0.8232422
0.4493103,0,0.00033319,0,0.8259277
0.466011,0,0.006617308,0,0.825592
0.4823608,0,0.01314491,0,0.8189697
0.4997025,0,0.01646149,0,0.8058167
0.5162506,0,0.02312189,0,0.7893677
0.5331573,0,0.02971423,0,0.7662354
0.5492935,0,0.03294587,0,0.7365112
0.5656128,0,0.03920478,0,0.7035522
0.582634,0,0.04509395,0,0.6643372
0.5989914,0,0.04786515,0,0.6192322
0.615715,0,0.05299652,0,0.5713806
0.6331406,0,0.05750155,0,0.5183716
0.649025,0,0.05949274,0,0.4608765
0.6660004,0,0.06290661,0,0.4014282
0.682251,0,0.06551233,0,0.3385315
0.6990585,0,0.06649685,0,0.2730103
0.7158279,0,0.06780744,0,0.2065125
0.7330551,0,0.06822322,0,0.1387024
0.7496796,0,0.06809321,0,0.07046509
0.765686,0,0.06716168,0,0.002394209
0.7824478,0,0.06535304,0,-0.06476748
0.8001251,0,0.06270301,0,-0.1301205
0.8156738,0,0.06107795,0,-0.1928235
0.8327484,0,0.05726671,0,-0.2539015
0.8490067,0,0.05509853,0,-0.3111682
0.8659363,0,0.05028832,0,-0.3662668
0.882576,0,0.04492188,0,-0.4165551
0.8991318,0,0.04206097,0,-0.461477
0.9161072,0,0.03604949,0,-0.503538
0.9331512,0,0.02974355,0,-0.5395875
0.9494781,0,0.02651572,0,-0.569331
0.9661179,0,0.01998258,0,-0.5958468
0.9824524,0,0.01344264,0,-0.6158293
0.9995651,0,0.01020598,0,-0.629272
1.016075,0,0.003868937,0,-0.639478
1.032501,0,-0.002197385,0,-0.643347
1.049721,0,-0.005097151,0,-0.6411496
1.065613,0,-0.01057148,0,-0.6360525
1.082687,0,-0.01554143,0,-0.6254811
1.099457,0,-0.01781344,0,-0.6099398
1.115784,0,-0.02189088,0,-0.5921264
1.133064,0,-0.02530253,0,-0.5702356
1.149956,0,-0.02674544,0,-0.5449331
1.166069,0,-0.0290885,0,-0.5181878
1.1828,0,-0.0306952,0,-0.4890992
1.19928,0,-0.03122163,0,-0.458404
1.216225,0,-0.03172791,0,-0.4271824
1.232399,0,-0.03152591,0,-0.3954546
1.249374,0,-0.03117073,0,-0.3639287
1.266113,0,-0.02998239,0,-0.332758
1.282341,0,-0.02820724,0,-0.3027757
1.299713,0,-0.02712137,0,-0.2745684
1.316116,0,-0.02460307,0,-0.2474471
1.332611,0,-0.02169573,0,-0.222844
1.34951,0,-0.02012563,0,-0.2011483
1.366272,0,-0.01681477,0,-0.1810227
1.382629,0,-0.01336282,0,-0.1642079
1.399025,0,-0.01161706,0,-0.1508451
1.415924,0,-0.008152664,0,-0.139228
1.432793,0,-0.004812717,0,-0.1310754
1.449814,0,-0.003221929,0,-0.1262627
1.466248,0,-0.0002611279,0,-0.1230408
1.482529,0,0.002326548,0,-0.1227797
1.499405,0,0.003452897,0,-0.1251062
1.516594,0,0.005320191,0,-0.1285591
1.533501,0,0.006614864,0,-0.1338793
1.550072,0,0.007277012,0,-0.1404942
1.566566,0,0.00735569,0,-0.1477712
1.582123,0,0.006986022,0,-0.1551269
1.599815,0,0.006531358,0,-0.1621129
1.615471,0,0.005074084,0,-0.1686442
