Time,CV,FF,Input
0,0,-0.791238,0
0.01580811,0,-0.7777878,0
0.0324707,0,-0.7500234,0
0.05004883,0,-0.706933,0
0.06628418,0,-0.6923848,0
0.08270264,0,-0.6633232,0
0.09918213,0,-0.6489156,0
0.1174927,0,-0.6206132,0
0.1318359,0,-0.593346,0
0.149231,0,-0.5802304,0
0.1654053,0,-0.5675273,0
0.1815796,0,-0.5435532,0
0.1994019,0,-0.5323752,0
0.2147217,0,-0.5118558,0
0.2315674,0,-0.4940503,0
0.2479858,0,-0.486255,0
0.2645874,0,-0.4730349,0
0.2814331,0,-0.4631459,0
0.2985229,0,-0.4567465,0
0.3157959,0,-0.4539393,0
0.3325195,0,-0.4547684,0
0.3491211,0,-0.4565442,0
0.3654785,0,-0.4627806,0
0.3822021,0,-0.4725033,0
0.3989258,0,-0.4786234,0
0.4155273,0,-0.4932536,0
0.4331055,0,-0.5108612,0
0.4489746,0,-0.5206915,0
0.4658203,0,-0.5421999,0
0.4824219,0,-0.5658689,0
0.4989014,0,-0.5783916,0
0.5165405,0,-0.6045529,0
0.5334473,0,-0.6318371,0
0.550354,0,-0.6597918,0
0.5665283,0,-0.6738763,0
0.5822754,0,-0.7019695,0
0.5995483,0,-0.7158628,0
0.6161499,0,-0.7430583,0
0.6328125,0,-0.7690991,0
0.6488037,0,-0.781554,0
0.6657104,0,-0.8050833,0
0.6812744,0,-0.8264645,0
0.6987915,0,-0.8362432,0
0.7151489,0,-0.8537888,0
0.7313232,0,-0.8684354,0
0.7481689,0,-0.8746027,0
0.7650757,0,-0.8845169,0
0.7827148,0,-0.8911005,0
0.7994995,0,-0.8931182,0
0.8154297,0,-0.8945866,0
0.8318481,0,-0.8926497,0
0.8494263,0,-0.8904243,0
0.8662109,0,-0.8835292,0
0.8823853,0,-0.8735074,0
0.8991699,0,-0.867385,0
0.9156494,0,-0.8530648,0
0.9325562,0,-0.8362042,0
0.9488525,0,-0.826915,0
0.9663696,0,-0.8068232,0
0.982666,0,-0.7850056,0
0.9996338,0,-0.7735636,0
1.016785,0,-0.7498492,0
1.034119,0,-0.7253472,0
1.049561,0,-0.712921,0
1.066162,0,-0.6879557,0
1.082825,0,-0.6631487,0
1.099731,0,-0.6509163,0
1.115601,0,-0.6270046,0
1.132446,0,-0.6040916,0
1.149414,0,-0.5930999,0
1.165833,0,-0.5722063,0
1.182678,0,-0.5529502,0
1.198792,0,-0.543995,0
1.21582,0,-0.527523,0
1.233337,0,-0.5130574,0
1.249146,0,-0.5065988,0
1.265381,0,-0.4952463,0
1.282227,0,-0.4859672,0
1.299011,0,-0.482089,0
1.315491,0,-0.4757976,0
1.332886,0,-0.4713513,0
1.349243,0,-0.46977,0
1.366943,0,-0.4677703,0
1.38269,0,-0.4671366,0
1.399292,0,-0.4672561,0
1.416809,0,-0.4682027,0
1.433228,0,-0.4698598,0
1.448914,0,-0.4708642,0
1.465881,0,-0.4730396,0
1.482605,0,-0.4751885,0
1.499207,0,-0.4761607,0
1.515869,0,-0.4777206,0
1.533691,0,-0.4785382,0
1.54895,0,-0.4785872,0
1.566345,0,-0.4778149,0
1.582825,0,-0.4757027,0
1.598694,0,-0.4740841,0
1.615906,0,-0.4696212,0
1.632751,0,-0.4634173,0
1.64978,0,-0.4596318,0
1.665527,0,-0.4506551,0
1.682556,0,-0.4397838,0
1.698914,0,-0.4336401,0
1.716248,0,-0.4199642,0
1.732971,0,-0.4045047,0
1.749878,0,-0.3961408,0
1.766235,0,-0.3782343,0
1.782104,0,-0.3589017,0
1.798889,0,-0.3487625,0
1.81604,0,-0.3276778,0
1.832214,0,-0.305721,0
1.848755,0,-0.2944964,0
1.866882,0,-0.271725,0
1.882568,0,-0.2487579,0
1.898865,0,-0.2372899,0
1.915405,0,-0.2145639,0
1.932068,0,-0.1923522,0
1.949036,0,-0.181525,0
1.965149,0,-0.1605923,0
1.982666,0,-0.1408275,0
1.999084,0,-0.1314549,0
2.015259,0,-0.1138591,0
2.032837,0,-0.0979481,0
2.049255,0,-0.09067381,0
2.065918,0,-0.0775682,0
2.08551,0,-0.06646787,0
2.104675,0,-0.05743812,0
2.115784,0,-0.05370994,0
2.132935,0,-0.04782701,0
2.14917,0,-0.04566544,0
2.165649,0,-0.04286845,0
2.182678,0,-0.04203686,0
2.198914,0,-0.04232466,0
2.215942,0,-0.04422472,0
2.232727,0,-0.04776174,0
2.249573,0,-0.05009052,0
2.265747,0,-0.05575124,0
2.282043,0,-0.0625826,0
2.298645,0,-0.0663723,0
2.315735,0,-0.07456644,0
2.33252,0,-0.08340163,0
2.349243,0,-0.08799331,0
2.365784,0,-0.09739605,0
2.382629,0,-0.1069279,0
2.398987,0,-0.1116846,0
2.415466,0,-0.121074,0
2.432617,0,-0.1301741,0
2.449219,0,-0.1345749,0
2.465637,0,-0.1430111,0
2.483459,0,-0.1508925,0
2.499023,0,-0.154607,0
2.515442,0,-0.1615641,0
2.532471,0,-0.1678892,0
2.549194,0,-0.1708212,0
2.565613,0,-0.1762534,0
2.58197,0,-0.1811704,0
2.598938,0,-0.183465,0
2.615906,0,-0.1877979,0
2.63269,0,-0.1919017,0
2.649109,0,-0.1939142,0
2.665588,0,-0.1979621,0
2.68158,0,-0.2021844,0
2.699402,0,-0.2044167,0
2.715515,0,-0.209237,0
2.73291,0,-0.2146819,0
2.749084,0,-0.2176936,0
2.765686,0,-0.2244006,0
2.782227,0,-0.2321486,0
2.799011,0,-0.2364574,0
2.815308,0,-0.2460212,0
2.832458,0,-0.2569306,0
2.848938,0,-0.2629147,0
2.865356,0,-0.2759745,0
2.882263,0,-0.2905086,0
2.899902,0,-0.2983276,0
2.915283,0,-0.3150476,0
2.931763,0,-0.3331545,0
2.948853,0,-0.3426985,0
2.965393,0,-0.362689,0
2.98175,0,-0.3837526,0
2.998718,0,-0.3946301,0
3.015991,0,-0.4169467,0
3.032227,0,-0.4398187,0
3.048767,0,-0.4513848,0
3.065491,0,-0.4746094,0
