Time,CV,FF,Input
0,0,0.805491,0
0.01577759,0,0.8039248,0
0.032547,0,0.7974825,0
0.04902649,0,0.7926365,0
0.06599426,0,0.7718899,0
0.0826416,0,0.7532292,0
0.1006317,0,0.7311146,0
0.115387,0,0.7188938,0
0.1320343,0,0.6924225,0
0.1496582,0,0.6783011,0
0.1656189,0,0.6636803,0
0.1822968,0,0.633228,0
0.1987915,0,0.6175454,0
0.2151794,0,0.5856496,0
0.233017,0,0.5535658,0
0.2496338,0,0.5376484,0
0.2652588,0,0.5064486,0
0.2828522,0,0.4765949,0
0.2997437,0,0.4486593,0
0.3166962,0,0.423172,0
0.3326569,0,0.4006096,0
0.3486481,0,0.3905571,0
0.3657227,0,0.3731348,0
0.3824463,0,0.359533,0
0.3994141,0,0.354237,0
0.4159088,0,0.3467513,0
0.431839,0,0.3434716,0
0.4493256,0,0.3434118,0
0.4655762,0,0.3464077,0
0.483017,0,0.3534332,0
0.4990692,0,0.3583899,0
0.5157776,0,0.3710111,0
0.5322418,0,0.3869451,0
0.5497589,0,0.3960258,0
0.5664063,0,0.4161216,0
0.5828247,0,0.438364,0
0.599823,0,0.4501164,0
0.6156921,0,0.4745148,0
0.6325989,0,0.4995916,0
0.6492615,0,0.5121875,0
0.6654816,0,0.5370958,0
0.6824646,0,0.561097,0
0.6988678,0,0.5725618,0
0.7158203,0,0.5940413,0
0.7328796,0,0.6131068,0
0.749649,0,0.621564,0
0.7660065,0,0.6360142,0
0.7829437,0,0.6468043,0
0.8001556,0,0.6535432,0
0.8155518,0,0.6552907,0
0.8328247,0,0.6553783,0
0.8492737,0,0.6536682,0
0.8649902,0,0.646653,0
0.8816986,0,0.6347889,0
0.8987885,0,0.6270372,0
0.9154205,0,0.6079368,0
0.9317932,0,0.5841551,0
0.948761,0,0.5705694,0
0.9657745,0,0.5401694,0
0.9828186,0,0.5057264,0
0.9989929,0,0.4871012,0
1.016373,0,0.4472963,0
1.032593,0,0.4044556,0
1.049545,0,0.382044,0
1.065796,0,0.3355474,0
1.083023,0,0.2872455,0
1.099686,0,0.2625792,0
1.115829,0,0.2125401,0
1.13269,0,0.161984,0
1.148712,0,0.1366675,0
1.165985,0,0.08625536,0
1.182266,0,0.03651004,0
1.199234,0,0.01201799,0
1.215988,0,-0.03596843,0
1.232773,0,-0.08234609,0
1.249649,0,-0.10484,0
1.265747,0,-0.1482859,0
1.281876,0,-0.189517,0
1.299011,0,-0.2092566,0
1.315933,0,-0.2469265,0
1.332672,0,-0.2821507,0
1.349625,0,-0.2988468,0
1.365921,0,-0.3304395,0
1.382065,0,-0.3597129,0
1.399811,0,-0.3735209,0
1.415955,0,-0.3995839,0
1.432343,0,-0.4237413,0
1.448669,0,-0.435174,0
1.465515,0,-0.4568969,0
1.482574,0,-0.4773065,0
1.499786,0,-0.4870993,0
1.515747,0,-0.506023,0
1.53183,0,-0.5242747,0
1.549179,0,-0.5332247,0
1.566071,0,-0.5509146,0
1.582535,0,-0.5684945,0
1.598923,0,-0.5773,0
1.615875,0,-0.5950361,0
1.633087,0,-0.6130363,0
1.64917,0,-0.622162,0
1.665802,0,-0.6406935,0
1.682312,0,-0.6596037,0
1.699234,0,-0.6691921,0
1.715408,0,-0.6885929,0
1.732895,0,-0.708204,0
1.749451,0,-0.7180454,0
1.765564,0,-0.7376928,0
1.782654,0,-0.7571251,0
1.798889,0,-0.7666907,0
1.815994,0,-0.7853668,0
1.832947,0,-0.8032178,0
1.849167,0,-0.8117487,0
1.865936,0,-0.8278479,0
1.882751,0,-0.8424318,0
1.899323,0,-0.8490703,0
1.915741,0,-0.8608772,0
1.932816,0,-0.8705205,0
1.948807,0,-0.8744607,0
1.966339,0,-0.880455,0
1.982834,0,-0.8837972,0
1.999756,0,-0.8844319,0
2.015869,0,-0.88357,0
2.032928,0,-0.8798228,0
2.049515,0,-0.8768631,0
2.065918,0,-0.8687912,0
2.08287,0,-0.8579144,0
2.098587,0,-0.8514609,0
2.115707,0,-0.8366253,0
2.133102,0,-0.8193889,0.03893602
2.149841,1.878885E-05,-0.8099452,0.09726208
2.165817,8.450846E-05,-0.7895799,0.1271033
2.182556,0.0002115495,-0.7675017,0.1533274
2.199936,0.0004125545,-0.7559244,0.190855
2.216705,0.0007056177,-0.7319165,0.210297
2.23262,0.001100103,-0.7070826,0.2324519
2.249512,0.00160668,-0.6944758,0.2491811
2.26622,0.0022334,-0.6691263,0.2518939
2.282562,0.002981548,-0.6439192,0.2573195
2.299011,0.003853718,-0.6314885,0.2573195
2.315964,0.004849885,-0.6072034,0.2374254
2.332962,0.005960424,-0.5839779,0.2256698
2.349167,0.00717964,-0.5728646,0.2112013
2.365509,0.008500529,-0.5518225,0.1935678
2.382965,0.00991456,-0.5325764,0.1849772
2.398865,0.01141757,-0.5236974,0.1650831
2.415955,0.01299994,-0.5075409,0.1397632
2.4328,0.01464944,-0.4936312,0.1189648
2.449753,0.01635602,-0.4875475,0.07149009
2.466278,0.01809675,-0.477147,0.02808466
