Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.0151825,0,0.03503782,0,0.5704651
0.03231812,0,0.02765206,0,0.5354309
0.04815674,0,0.0239619,0,0.507782
0.06559753,0,0.01666,0,0.4838257
0.08206177,0,0.009559959,0,0.4671631
0.09947205,0,0.006121606,0,0.4576111
0.1153259,0,-0.0004616678,0,0.4515076
0.1322021,0,-0.006564647,0,0.4519653
0.1484985,0,-0.009404272,0,0.4585266
0.164917,0,-0.01460135,0,0.467926
0.1823425,0,-0.01908526,0,0.4825439
0.1990814,0,-0.02103618,0,0.5016174
0.2153015,0,-0.02431637,0,0.522644
0.2317352,0,-0.02672499,0,0.5469666
0.2485657,0,-0.02759004,0,0.5737
0.264801,0,-0.02862579,0,0.6012878
0.2818451,0,-0.02872622,0,0.6299133
0.2989502,0,-0.02842617,0,0.6586304
0.3152466,0,-0.02713561,0,0.6870422
0.3321991,0,-0.02494991,0,0.7141724
0.3490143,0,-0.02353472,0,0.7391357
0.365036,0,-0.02009535,0,0.7626648
0.3821259,0,-0.01590151,0,0.7827454
0.3990326,0,-0.01354665,0,0.798645
0.4155579,0,-0.008377612,0,0.8121948
0.4319763,0,-0.002680182,0,0.8205872
0.4484558,0.01171149,0.00033319,0.0443617,0.8232727
0.4659882,0.03988161,0.006617308,0.1510667,0.8112183
0.4823303,0.0545635,0.01314491,0.2066799,0.76474
0.4985962,0.0630384,0.01646149,0.2387818,0.6970215
0.5149536,0.07031965,0.02312189,0.2663623,0.6175232
0.5319824,0.07055841,0.02971423,0.2672667,0.5240784
0.5488892,0.06578381,0.03294587,0.2491811,0.4237976
0.5654602,0.05253429,0.03920478,0.1989935,0.3250427
0.5820007,0.04191082,0.04509395,0.1587531,0.2333069
0.5982361,0.02663211,0.04786515,0.1008792,0.1463013
0.6150818,0.01362133,0.05299652,0.05159593,0.07180786
0.6323853,0,0.05750155,0,0.005180926
0.6488495,0,0.05949274,0,-0.05232063
0.6657257,0,0.06290661,0,-0.1118134
0.6821136,0,0.06551233,0,-0.17472
0.6987457,0,0.06649685,0,-0.2402323
0.7159729,0,0.06780744,0,-0.3067291
0.7322083,0,0.06822322,0,-0.3745366
0.7481689,0,0.06809321,0,-0.4427599
0.7651215,0,0.06716168,0,-0.5108531
0.7819824,0,0.06535304,0,-0.5780148
0.7990723,0,0.06413031,0,-0.6433678
0.8149872,0,0.06107795,0,-0.7074981
0.8321075,0,0.05726671,0,-0.7685761
0.849411,0,0.05509853,0,-0.8258429
0.8652039,0,0.05028832,0,-0.8809414
0.8824158,0,0.04492188,0,-0.9312297
0.8982544,0,0.04206097,0,-0.9761516
0.9146423,0,0.03604949,0,-1.018213
0.9315186,0,0.02974355,0,-1.054262
0.9490204,0,0.02651572,0,-1.084006
0.9649353,0,0.01998258,0,-1.110522
0.9823608,0,0.01344264,0,-1.130504
0.9992828,0,0.01020598,0,-1.143947
1.01593,0,0.003868937,0,-1.154153
1.031708,0,-0.002197385,0,-1.158022
1.048859,0,-0.005097151,0,-1.155824
1.065872,0,-0.01057148,0,-1.150727
1.082169,0,-0.01554143,0,-1.140156
1.098175,0,-0.01781344,0,-1.124614
1.115707,0,-0.02189088,0,-1.106801
1.132141,0,-0.02530253,0,-1.08491
1.1483,0,-0.02674544,0,-1.059608
1.164734,0,-0.0290885,0,-1.032862
1.182175,0,-0.0306952,0,-1.003774
1.199203,0,-0.03122163,0,-0.9730788
