Time,CV,FF,Input
0,0,-0.791238,0
0.01571655,0,-0.7777878,0
0.0328064,0,-0.7500234,0
0.04931641,0,-0.7358032,0
0.06573486,0,-0.6923848,0
0.08294678,0,-0.6633232,0
0.09910583,0,-0.6489156,0
0.1165924,0,-0.6206132,0
0.132431,0,-0.593346,0
0.148819,0,-0.5802304,0
0.1657867,0,-0.5675273,0
0.1824799,0,-0.5435532,0
0.1987915,0,-0.5323752,0
0.2155457,0,-0.5118558,0
0.2325287,0,-0.4940503,0
0.2489014,0,-0.486255,0
0.2655792,0,-0.4730349,0
0.282196,0,-0.4631459,0
0.2989044,0,-0.4567465,0
0.3152466,0,-0.4539393,0
0.3322144,0,-0.4547684,0
0.3485107,0,-0.4565442,0
0.3659973,0,-0.4627806,0
0.3825226,0,-0.4725033,0
0.3990784,0,-0.4786234,0
0.416153,0,-0.4932536,0
0.432663,0,-0.5108612,0
0.4489136,0,-0.5206915,0
0.4655151,0,-0.5421999,0
0.4827728,0,-0.5658689,0
0.4986877,0,-0.5783916,0
0.5157776,0,-0.6045529,0
0.5320892,0,-0.6318371,0
0.5483398,0,-0.6457594,0
0.5651398,0,-0.6738763,0
0.5822449,0,-0.7019695,0
0.5994415,0,-0.7158628,0
0.6153259,0,-0.7430583,0.01316407
0.6318359,6.352417E-06,-0.7690991,0.0520481
0.648819,3.781974E-05,-0.781554,0.07555938
0.665741,0.0001057425,-0.8050833,0.07601149
0.6829224,0.0002103315,-0.8264645,0.05430877
0.6987457,0.0003411067,-0.8362432,0.0430053
0.7155609,0.0004926083,-0.8537888,0.03667535
0.7326202,0.0006617774,-0.8684354,0.03893602
0.7486877,0.0008497017,-0.8746027,0.05476094
0.7656097,0.001064014,-0.8845169,0.07329865
0.7823334,0.001313653,-0.8911005,0.08957569
0.7993164,0.001606469,-0.8931182,0.09274069
0.8156738,0.001943978,-0.8945866,0.09047996
0.8322449,0.002325082,-0.8926497,0.06199518
0.8490753,0.002736026,-0.8904243,0.02130259
0.8655853,0.003157167,-0.8835292,0
0.88237,0.003578224,-0.8735074,0
0.8990173,0.003999197,-0.867385,0
0.9158783,0.004420085,-0.8530648,0
0.931778,0.004840889,-0.8362042,0
0.9486847,0.005261609,-0.826915,0
0.9656982,0.005682245,-0.8068232,0
0.9828186,0.006102797,-0.7850056,0
0.9985962,0.006523265,-0.7735636,0
1.015671,0.006943648,-0.7498492,0
1.031998,0.007363947,-0.7253472,0
1.049011,0.007784162,-0.712921,0
1.065628,0.008204293,-0.6879557,0.0217547
1.082733,0.008634838,-0.6631487,0.06922941
1.099335,0.009098704,-0.6509163,0.1397632
1.115158,0.009629921,-0.6270046,0.1863336
1.132187,0.01025095,-0.6040916,0.2433033
1.149063,0.01098926,-0.5930999,0.2776659
1.165894,0.01186141,-0.5722063,0.3052464
1.18187,0.01288069,-0.5529502,0.3292098
1.198639,0.01405863,-0.543995,0.3585989
1.215317,0.01540937,-0.527523,0.3739717
1.231934,0.01694031,-0.5130574,0.3920573
1.248734,0.01866013,-0.5065988,0.4051693
1.265015,0.02057512,-0.4952463,0.4205421
1.282211,0.02269267,-0.4859672,0.4341063
1.298752,0.02501927,-0.482089,0.4481226
1.315689,0.02756166,-0.4757976,0.4653039
1.332657,0.03032807,-0.4713513,0.4711818
1.349777,0.0333213,-0.46977,0.4675646
1.365875,0.03653956,-0.4677703,0.4585218
1.382797,0.03997844,-0.4671366,0.4417926
1.399124,0.04362982,-0.4672561,0.4250635
1.41568,0.04748559,-0.4682027,0.4218985
1.432297,0.05154417,-0.4698598,0.4200899
1.448898,0.05580467,-0.4708642,0.4200899
1.465683,0.06026703,-0.4730396,0.4200899
1.482819,0.06493121,-0.4751885,0.3961265
1.498489,0.06978562,-0.4761607,0.3662853
1.515778,0.0748158,-0.4777206,0.3093157
1.531815,0.07999425,-0.4785382,0.2419468
1.548233,0.08528841,-0.4785872,0.1583009
1.566162,0.0906579,-0.4778149,0
1.582733,0.09602632,-0.4757027,0
1.598251,0.1013937,-0.4740841,0
1.615616,0.1067599,-0.4696212,0
1.631577,0.1121251,-0.4634173,0
1.648621,0.1174893,-0.4596318,0
1.664688,0.1228523,-0.4506551,0
1.682205,0.1282143,-0.4397838,0
1.698395,0.1335752,-0.4336401,0
1.715256,0.138935,-0.4199642,0
1.732101,0.1442938,-0.4045047,0
1.749344,0.1496515,-0.3961408,0
1.765686,0.1550081,-0.3782343,0
1.782684,0.1603637,-0.3589017,0
1.798737,0.1657181,-0.3487625,0
1.815704,0.1710715,-0.3276778,0
1.832642,0.1764239,-0.305721,0
1.848953,0.1817751,-0.2944964,0
1.865784,0.1871253,-0.271725,0
1.882217,0.1924745,-0.2487579,0
1.899628,0.1978225,-0.2372899,0
1.915787,0.2031695,-0.2145639,0
1.932724,0.2085154,-0.1923522,0
1.948898,0.2138603,-0.181525,0
1.964859,0.219204,-0.1605923,0
1.981857,0.2245467,-0.1408275,0
1.998703,0.2298884,-0.1314549,0
2.015152,0.235229,-0.1138591,0
2.032883,0.2405685,-0.0979481,0
2.048706,0.2459069,-0.09067381,-0.03260606
2.065689,0.2512285,-0.0775682,-0.05747378
2.082092,0.2565213,-0.06646787,-0.08053289
2.098831,0.2617743,-0.06169154,-0.1090177
2.115677,0.2669735,-0.05370994,-0.1280076
2.132217,0.27211,-0.04782701,-0.1668916
2.148605,0.2771649,-0.04566544,-0.2026106
2.166428,0.282121,-0.04286845,-0.2704317
2.182678,0.2869456,-0.04203686,-0.3269491
2.198883,0.2916115,-0.04232466,-0.3907008
2.215408,0.2960879,-0.04422472,-0.4725381
2.232117,0.3003353,-0.04776174,-0.5267949
2.248718,0.3043278,-0.05009052,-0.5729132
2.265656,0.3080429,-0.05575124,-0.624005
2.282837,0.3114563,-0.0625826,-0.6353085
2.298889,0.3145623,-0.0663723,-0.6235529
2.31601,0.3173668,-0.07456644,-0.5968766
2.332535,0.3198828,-0.08340163,-0.5561841
2.349335,0.3221298,-0.08799331,-0.5258906
2.365662,0.3241226,-0.09739605,-0.4996665
2.385132,0.3258739,-0.1069279,-0.4662082
2.402115,0.3273999,-0.1164065,-0.4521918
2.418808,0.3287074,-0.121074,-0.4440534
2.435379,0.3298004,-0.1301741,-0.4372713
2.454865,0.3306821,-0.1388577,-0.4309413
2.465759,0.3313556,-0.1430111,-0.4255156
2.48291,0.3318237,-0.1508925,-0.4182813
2.49881,0.3320899,-0.154607,-0.4114993
2.515656,0.3321574,-0.1615641,-0.3897966
2.531982,0.3320368,-0.1678892,-0.3644768
2.548904,0.3317404,-0.1708212,-0.3192628
2.565521,0.3312899,-0.1762534,-0.2817352
2.582626,0.3307036,-0.1811704,-0.2179834
2.598907,0.3300122,-0.183465,-0.1650831
2.615768,0.3292413,-0.1877979,-0.1194169
2.63205,0.3284129,-0.1919017,-0.04843098
2.649429,0.3275613,-0.1939142,-0.006381947
2.665817,0.3267068,-0.1979621,0
2.68219,0.3258525,-0.2021844,0
2.698639,0.3249983,-0.2044167,0
2.715973,0.3241443,-0.209237,0
2.73204,0.3232905,-0.2146819,0
2.748672,0.3224369,-0.2176936,0
2.766006,0.3215834,-0.2244006,0
2.782898,0.3207301,-0.2321486,0
2.798965,0.319877,-0.2364574,0
2.81572,0.319024,-0.2460212,0
2.832321,0.3181712,-0.2569306,0
2.84877,0.3173186,-0.2629147,0
2.865219,0.3164662,-0.2759745,0
2.882004,0.3156139,-0.2905086,0
2.89856,0.3147618,-0.2983276,0
2.915726,0.3139099,-0.3150476,0
2.931656,0.3130581,-0.3331545,0
2.948868,0.3122065,-0.3426985,0
2.965744,0.3113551,-0.362689,0
2.982086,0.3105038,-0.3837526,0
2.999298,0.3096527,-0.3946301,0
3.015305,0.3088018,-0.4169467,0
3.03215,0.3079511,-0.4398187,0
3.049606,0.3071005,-0.4513848,0
3.065628,0.3062501,-0.4746094,0
3.082031,0.3053999,-0.497722,0
3.099442,0.3045498,-0.5091453,0
3.115158,0.3036999,-0.5315406,0
3.132095,0.3028502,-0.5530853,0
3.148743,0.3020007,-0.5634463,0
3.165833,0.3011513,-0.5831656,0
3.182495,0.3003021,-0.601318,0
3.199097,0.299453,-0.609725,0
3.21579,0.2986042,-0.6250502,0
3.231995,0.2977555,-0.638211,0
3.24881,0.2969069,-0.6439202,0
3.265305,0.2960586,-0.6534974,0
3.281952,0.2952104,-0.6605172,0
3.298584,0.2943623,-0.66304,0
3.315643,0.2935145,-0.6660798,0
3.332718,0.2926668,-0.6664382,0
3.348907,0.2918193,-0.6656207,0
3.365143,0.2909719,-0.6620363,0
3.382019,0.2901247,-0.6559479,0
3.399033,0.2892777,-0.6520115,0
3.416931,0.2884309,-0.642473,0
3.433044,0.2875842,-0.6309046,0
3.44873,0.2867377,-0.6244403,0
3.465302,0.2858914,-0.6103345,0
3.482773,0.2850453,-0.5949274,0
3.49855,0.2841993,-0.5868432,0
3.515411,0.2833534,-0.5701413,0
3.532654,0.2825078,-0.553045,0
3.548935,0.2816623,-0.5444707,0
3.566055,0.280817,-0.5275169,0
3.581879,0.2799719,-0.5111523,0
3.599167,0.2791269,-0.503313,0
3.616058,0.2782821,-0.4885579,0
3.632629,0.2774374,-0.4753371,0
3.649048,0.276593,-0.4694099,0
3.66571,0.2757487,-0.4591206,0
3.682297,0.2749045,-0.4511575,0
3.698502,0.2740606,-0.4481283,0
3.715607,0.2732168,-0.4441102,0
3.7323,0.2723732,-0.4429569,0
3.749084,0.2715297,-0.4434964,0
3.765869,0.2706864,-0.4468611,0
3.781937,0.2698433,-0.4533031,0
3.798721,0.2690004,-0.4576754,0
3.815262,0.2681576,-0.468685,0
3.832397,0.267315,-0.4826219,0
3.84877,0.2664725,-0.4906398,0
3.864944,0.2656302,-0.5086469,0
3.882004,0.2647882,-0.5290744,0
3.898483,0.2639462,-0.5401058,0
3.915787,0.2631044,-0.5635989,0
3.932785,0.2622628,-0.5886957,0
3.948624,0.2614214,-0.601723,0
3.965805,0.2605801,-0.6284735,0
3.982178,0.259739,-0.6557851,0
3.998917,0.2588981,-0.6695091,0
4.015594,0.2580573,-0.6968034,0
4.033218,0.2572167,-0.7235013,0
4.048737,0.2563763,-0.7364799,0
4.06572,0.255536,-0.7614087,0
4.082611,0.254696,-0.7845929,0
4.098709,0.253856,-0.7953957,0
4.115646,0.2530163,-0.8151686,0
4.131958,0.2521767,-0.832183,0
4.149292,0.2513373,-0.839547,0
4.165558,0.250498,-0.8460963,0
4.182266,0.2496589,-0.8566105,0
4.199066,0.24882,-0.8605136,0
4.215637,0.2479813,-0.8654824,0
4.232635,0.2471427,-0.866536,0
4.248367,0.2463043,-0.8655591,0
4.265854,0.245466,-0.8605593,0
4.28215,0.244628,-0.8514907,0
4.298584,0.2437901,-0.8454419,0
4.316177,0.2429523,-0.8303704,0
4.332062,0.2421147,-0.8114488,0
4.348709,0.2412773,-0.8006002,0
4.365295,0.2404401,-0.7762681,0
4.382935,0.239603,-0.7486451,0
4.39856,0.2387661,-0.7336931,0
4.415878,0.2379294,-0.7017166,0
4.432831,0.2370928,-0.6672794,0
4.4496,0.2362564,-0.6492579,0
4.465866,0.2354202,-0.611861,0
4.481674,0.2345841,-0.5730062,0
4.498535,0.2337482,-0.5531644,0
4.515518,0.2329125,-0.5129187,0
4.532013,0.2320769,-0.4722762,5.19885E-05
4.548813,0.2312415,-0.4519362,0.05430877
4.56572,0.2304325,-0.4114707,0.1076613
4.58168,0.2296755,-0.3716114,0.1781951
4.598343,0.2290047,-0.352023,0.2256698
4.615005,0.2284429,-0.3137394,0.2894215
4.632141,0.2280209,-0.2769018,0.323332
4.648605,0.2277551,-0.2591118,0.3721631
4.665634,0.2276688,-0.2249389,0.3961265
4.682175,0.2277737,-0.1928086,0.4164728
4.698715,0.2280795,-0.177561,0.4390798
4.715332,0.2285972,-0.1487772,0.4463141
4.73259,0.2293301,-0.122342,0.4499312
4.748581,0.23028,-0.1100187,0.4499312
4.765976,0.2314469,-0.08716192,0.4431491
4.782028,0.2328273,-0.06665953,0.4422448
4.798752,0.2344209,-0.05726889,0.4422448
4.815414,0.2362276,-0.04014152,0.4481226
4.832748,0.2382501,-0.02510218,0.4657561
4.849396,0.240497,-0.01831357,0.4779638
4.865585,0.2429741,-0.006078095,0.494693
4.882233,0.2456894,0.004547237,0.5037358
4.89949,0.2486473,0.009327991,0.5154914
4.915726,0.2518533,0.01797804,0.5163958
4.931885,0.2553079,0.02562335,0.5168478
4.948792,0.2590112,0.02914936,0.5059965
4.965515,0.2629579,0.03576841,0.4928845
4.981659,0.2671417,0.04201991,0.4833894
4.998749,0.2715579,0.04508412,0.4734424
5.015762,0.2762017,0.05123392,0.4657561
5.03186,0.2810693,0.05759079,0.4517397
5.048935,0.2861539,0.06090838,0.4381755
5.066193,0.291449,0.06793029,0.4042651
5.082535,0.2969381,0.07559058,0.3689981
5.098846,0.3026041,0.07969854,0.3156457
5.115555,0.3084213,0.08852822,0.2093928
5.132919,0.3143384,0.09822757,0.1054006
5.149475,0.3203052,0.1034141,0
5.165894,0.3262708,0.114462,0
5.181717,0.3322352,0.126385,0
5.1987,0.3381984,0.1326571,0
5.21524,0.3441604,0.1457689,0
5.232025,0.3501213,0.1595428,0
5.248505,0.3560809,0.1666357,0
5.265076,0.3620393,0.1811348,0
5.282227,0.3679966,0.1959033,0
5.298569,0.3739526,0.2033286,0
5.314972,0.3799075,0.2181335,0
5.332382,0.3858612,0.2326992,0
5.348923,0.3918136,0.2398242,0
5.365875,0.3977649,0.2536213,0
5.38176,0.403715,0.266634,0
5.39859,0.409664,0.2727803,-0.129364
5.415924,0.4155493,0.2842273,-0.255511
5.432281,0.4213101,0.2943914,-0.4133079
5.449539,0.4268703,0.2989388,-0.5037358
5.46553,0.4321864,0.3068691,-0.5720088
5.483337,0.4372253,0.3131402,-0.6375692
5.498856,0.4419556,0.3156202,-0.6520377
5.515656,0.4463703,0.3192195,-0.6556548
5.531708,0.4504677,0.3209623,-0.6244571
