Time,CV,FF,Input
0,0,-0.791238,0
0.01530838,0,-0.7777878,0
0.03237915,0,-0.7500234,0
0.04847336,0,-0.7358032,0
0.06463623,0,-0.6923848,0
0.08141327,0,-0.6633232,0
0.09860229,0,-0.6489156,0
0.1157112,0,-0.6206132,0
0.1321449,0,-0.593346,0
0.1488419,0,-0.5802304,0
0.1646423,0,-0.5675273,0
0.1824532,0,-0.5435532,0
0.1985016,0,-0.5323752,0
0.2148056,0,-0.5118558,0
0.2320595,0,-0.4940503,0
0.2489319,0,-0.486255,0
0.2652397,0,-0.4730349,0
0.2817116,0,-0.4631459,0
0.2983284,0,-0.4567465,0
0.3151741,0,-0.4539393,0
0.3327332,0,-0.4547684,0
0.34832,0,-0.4565442,0
0.3653679,0,-0.4627806,0
0.3817062,0,-0.4725033,0
0.3984032,0,-0.4786234,0
0.414753,0,-0.4932536,0
0.4322433,0,-0.5108612,0
0.4491844,0,-0.5206915,0
0.4649582,0,-0.5421999,0
0.4822807,0,-0.5658689,0
0.4982605,0,-0.5783916,0
0.514843,0,-0.6045529,0
0.5322838,0,-0.6318371,0
0.5487404,0,-0.6457594,0
0.5650063,0,-0.6738763,0
0.5820236,0,-0.7019695,0
0.5986481,0,-0.7158628,0
0.6151505,0,-0.7430583,0
0.6315918,0,-0.7690991,0
0.6488533,0,-0.781554,0
0.6651497,0,-0.8050833,0
0.6817207,0,-0.8264645,0
0.6985321,0,-0.8362432,0
0.7149124,0,-0.8537888,0.002764828
0.7317581,1.334187E-06,-0.8684354,0.06289946
0.7487335,3.302069E-05,-0.8746027,0.1442846
0.765667,0.0001343264,-0.8845169,0.1899507
0.7824249,0.000327274,-0.8911005,0.2433033
0.7984276,0.0006375907,-0.8931182,0.2600324
0.8207207,0.001073326,-0.8940406,0.2663623
0.832222,0.001637509,-0.8926497,0.2446596
0.8486137,0.002319641,-0.8904243,0.2098449
0.8653603,0.0031029,-0.8835292,0.1578488
0.8815231,0.003962173,-0.8735074,0.1365982
0.8984718,0.00488719,-0.867385,0.1157998
0.9148712,0.005867903,-0.8530648,0.08641073
0.9320679,0.006890117,-0.8362042,0.07194225
0.9480934,0.007946843,-0.826915,0.06289946
0.9647408,0.009033711,-0.8068232,0.07239437
0.9825668,0.0101553,-0.7850056,0.09138424
0.9984436,0.01132075,-0.7735636,0.1271033
1.014725,0.01254732,-0.7498492,0.1583009
1.031452,0.01385002,-0.7253472,0.20035
1.048767,0.01524914,-0.712921,0.2338083
1.065361,0.01676081,-0.6879557,0.2821873
1.082088,0.01840835,-0.6631487,0.307055
1.097713,0.02020374,-0.6509163,0.3301142
1.114899,0.02215806,-0.6270046,0.3495561
1.131168,0.02428067,-0.6040916,0.371711
1.148258,0.02658223,-0.5930999,0.3821101
1.163902,0.02906771,-0.5722063,0.3888923
1.181007,0.03174037,-0.5529502,0.3943179
1.199059,0.03460277,-0.543995,0.3983872
1.214085,0.03765684,-0.527523,0.3983872
1.231838,0.04090255,-0.5130574,0.3983872
1.247997,0.04433985,-0.5065988,0.3988394
1.26506,0.04796893,-0.4952463,0.4006479
1.28162,0.05179062,-0.4859672,0.4142121
1.29747,0.05581143,-0.482089,0.4214463
1.31538,0.0600348,-0.4757976,0.4313935
1.330788,0.0644655,-0.4713513,0.4372713
1.348362,0.06910633,-0.46977,0.4440534
1.365398,0.07396051,-0.4677703,0.4580696
1.380951,0.07903476,-0.4671366,0.4639475
1.398197,0.08433188,-0.4672561,0.4725381
1.415249,0.08985596,-0.4682027,0.4747989
1.431221,0.09560806,-0.4698598,0.4657561
1.448189,0.1015838,-0.4708642,0.4426969
1.464352,0.1077719,-0.4730396,0.4327498
1.481518,0.1141676,-0.4751885,0.4218985
1.498005,0.1207657,-0.4761607,0.4096907
1.514549,0.1275601,-0.4777206,0.4042651
1.531422,0.1345482,-0.4785382,0.3888923
1.548115,0.1417226,-0.4785872,0.3803016
1.565361,0.1490791,-0.4778149,0.3626682
1.582191,0.1566091,-0.4757027,0.352269
1.59874,0.1643076,-0.4740841,0.3378005
1.615536,0.1721676,-0.4696212,0.3016293
1.631733,0.1801715,-0.4634173,0.2686231
1.648342,0.1883035,-0.4596318,0.1931157
1.6651,0.1965271,-0.4506551,0.1221298
1.682198,0.2048079,-0.4397838,0.03667535
1.69849,0.2131048,-0.4336401,0
1.715446,0.2214,-0.4199642,0
1.732235,0.2296936,-0.4045047,0
1.74826,0.2379855,-0.3961408,0
1.765488,0.2462757,-0.3782343,0
1.78212,0.2545643,-0.3589017,0
1.798115,0.2628512,-0.3487625,0
1.81509,0.2711365,-0.3276778,0
1.832569,0.2794201,-0.305721,0
1.847996,0.2877021,-0.2944964,0
1.865181,0.2959824,-0.271725,0
1.881134,0.304261,-0.2487579,0
1.89883,0.312538,-0.2372899,0
1.914745,0.3208133,-0.2145639,0
1.932419,0.329087,-0.1923522,0
1.947971,0.337359,-0.181525,0
1.964222,0.3456294,-0.1605923,0
1.982056,0.3538981,-0.1408275,0
1.998455,0.3621652,-0.1314549,0
2.015167,0.3704306,-0.1138591,0
2.031994,0.3786943,-0.0979481,0
2.048889,0.3869564,-0.09067381,0
2.064358,0.3952169,-0.0775682,0
2.082455,0.4034756,-0.06646787,0
2.098179,0.4117328,-0.06169154,0
2.114693,0.4199883,-0.05370994,0
2.130959,0.4282421,-0.04782701,0
2.149261,0.4364943,-0.04566544,0
2.164955,0.4447449,-0.04286845,0
2.181358,0.4529938,-0.04203686,0
2.197975,0.461241,-0.04232466,0
2.215343,0.4694866,-0.04422472,0
2.231834,0.4777305,-0.04776174,0
2.248207,0.4859728,-0.05009052,0
2.264343,0.4942134,-0.05575124,0
2.281422,0.5024524,-0.0625826,0
2.29797,0.5106898,-0.0663723,0
2.314903,0.5189255,-0.07456644,0
2.331089,0.5271595,-0.08340163,0
2.34819,0.5353919,-0.08799331,0
2.365028,0.5436227,-0.09739605,0
2.381844,0.5518518,-0.1069279,0
2.397991,0.5600793,-0.1116846,0
2.414417,0.5683051,-0.121074,0
2.430817,0.5765293,-0.1301741,-0.0005041559
2.448616,0.5847515,-0.1345749,-0.02989322
2.464989,0.5929578,-0.1430111,-0.04481386
2.481331,0.6011407,-0.1508925,-0.07872432
2.497974,0.609284,-0.154607,-0.100427
2.514103,0.6173773,-0.1615641,-0.1248426
2.530952,0.6254086,-0.1678892,-0.1741259
2.548512,0.6333544,-0.1708212,-0.2098449
2.564274,0.6411973,-0.1762534,-0.2699795
2.581486,0.6489083,-0.1811704,-0.3111242
2.597675,0.6564677,-0.183465,-0.3757803
2.614326,0.6638442,-0.1877979,-0.4200899
2.632175,0.6710165,-0.1919017,-0.4603304
2.647995,0.6779653,-0.1939142,-0.5209171
2.665222,0.6846613,-0.1979621,-0.5543755
2.681519,0.6910884,-0.2021844,-0.6036587
2.697624,0.697223,-0.2044167,-0.6294307
2.715279,0.7030526,-0.209237,-0.6556548
2.730782,0.7085646,-0.2146819,-0.6760011
2.748222,0.7137493,-0.2176936,-0.6845918
2.764507,0.7186027,-0.2244006,-0.6864004
2.781548,0.7231238,-0.2321486,-0.6913738
2.797897,0.7273104,-0.2364574,-0.6913738
2.814793,0.7311625,-0.2460212,-0.6931823
2.832058,0.7346794,-0.2569306,-0.6931823
2.848648,0.737861,-0.2629147,-0.6913738
2.865395,0.7407084,-0.2759745,-0.6787139
2.882263,0.7432277,-0.2905086,-0.666054
2.898056,0.7454251,-0.2983276,-0.6398299
2.915558,0.7473133,-0.3150476,-0.6167707
2.93222,0.7489035,-0.3331545,-0.5909988
2.948311,0.7502082,-0.3426985,-0.5751739
2.965919,0.7512351,-0.362689,-0.543072
2.981808,0.7519997,-0.3837526,-0.5159435
2.998878,0.7525151,-0.3946301,-0.4806767
3.01487,0.7527986,-0.4169467,-0.4200899
3.031746,0.7528792,-0.4398187,-0.3766845
3.048355,0.7527781,-0.4513848,-0.3283056
3.065048,0.7525185,-0.4746094,-0.2564153
3.082733,0.7521353,-0.497722,-0.2130099
3.097988,0.7516493,-0.5091453,-0.1492582
3.115055,0.7510914,-0.5315406,-0.1126348
3.131981,0.7504793,-0.5530853,-0.06335157
3.148331,0.7498368,-0.5634463,-0.0339625
3.165089,0.749178,-0.5831656,-0.007286226
3.182194,0.7485158,-0.601318,0
3.198669,0.7478537,-0.609725,0
3.215309,0.7471918,-0.6250502,0
3.232269,0.74653,-0.638211,0
3.248901,0.7458683,-0.6439202,0
3.265232,0.7452068,-0.6534974,0
3.282097,0.7445454,-0.6605172,0
3.298656,0.7438841,-0.66304,0
3.31485,0.743223,-0.6660798,0
