Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01629639,0,0.03503782,0,0.5704651
0.03256226,0,0.02765206,0,0.5354309
0.04888916,0,0.0239619,0,0.507782
0.06671143,0,0.01666,0,0.4838257
0.08239746,0,0.009559959,0,0.4671631
0.09933472,0,0.006121606,0,0.4576111
0.1163635,0,-0.0004616678,0,0.4515076
0.1324158,0,-0.006564647,0,0.4519653
0.1496277,0,-0.009404272,0,0.4585266
0.1662292,0,-0.01460135,0,0.467926
0.1828308,0,-0.01908526,0,0.4825439
0.1991272,0,-0.02103618,0,0.5016174
0.217041,0,-0.02431637,0,0.522644
0.2323608,0,-0.02672499,0,0.5469666
0.2489624,0,-0.02759004,0,0.5737
0.2666321,0,-0.02862579,0,0.6012878
0.2825012,0,-0.02872622,0,0.6299133
0.2988281,0,-0.02842617,0,0.6586304
0.3156738,0,-0.02713561,0,0.6870422
0.3323364,0,-0.02494991,0,0.7141724
0.3490906,0,-0.02353472,0,0.7391357
0.3658142,0,-0.02009535,0,0.7626648
0.3822327,0,-0.01590151,0,0.7827454
0.3993225,0,-0.01354665,0,0.798645
0.4154358,0,-0.008377612,0,0.8121948
0.4332275,0,-0.002680182,0,0.8205872
0.4493103,0,0.00033319,0,0.8232727
0.4665527,0,0.006617308,0,0.822937
0.4829712,0,0.01314491,0,0.8163147
0.4989624,0,0.01646149,0,0.8031616
0.5160828,0,0.02312189,0,0.7867126
0.5326843,0,0.02971423,0,0.7635803
0.5493164,0,0.03294587,0,0.7338562
0.56604,0,0.03920478,0,0.7008972
0.5823669,0,0.04509395,0,0.6616821
0.5994568,0,0.04786515,0,0.6165771
0.6158142,0,0.05299652,0,0.5687256
0.6323853,0,0.05750155,0,0.5157166
0.6491089,0,0.05949274,0,0.4582214
0.6659851,0,0.06290661,0,0.3987427
0.6826172,0,0.06551233,0,0.3358459
0.6993408,0,0.06649685,0,0.2703247
0.716095,0,0.06780744,0,0.2038269
0.7323303,0,0.06822322,0,0.1360168
0.7492065,0,0.06809321,0,0.06777954
0.7664795,0,0.06716168,0,-0.0003105462
0.782074,0,0.06535304,0,-0.06747222
0.7996216,0,0.06413031,0,-0.1328253
0.8161316,0,0.06107795,0,-0.1969556
0.832428,0,0.05726671,0,-0.2580335
0.8489685,0,0.05509853,0,-0.3153003
0.8656006,0,0.05028832,0,-0.3703989
0.8822632,0,0.04492188,0,-0.4206873
0.8996887,0,0.04206097,0,-0.4656091
0.9160767,0,0.03604949,0,-0.5076702
0.9324646,0,0.02974355,0,-0.5437196
0.9493408,0,0.02651572,0,-0.5734631
0.9663696,0,0.01998258,0,-0.5999789
0.9830933,0,0.01344264,0,-0.6199615
0.9993896,0,0.01020598,0,-0.6334042
1.016296,0,0.003868937,0,-0.6436103
1.032593,0,-0.002197385,0,-0.6474792
1.049042,0,-0.005097151,0,-0.6452819
1.065796,0,-0.01057148,0,-0.6401848
1.082123,0,-0.01554143,0,-0.6296133
1.099091,0,-0.01781344,0,-0.6140718
1.115692,0,-0.02189088,0,-0.5962585
1.132294,0,-0.02530253,0,-0.5743676
1.149414,0,-0.02674544,0,-0.5490652
1.165497,0,-0.0290885,0,-0.5223197
1.182465,0,-0.0306952,0,-0.4932312
1.198761,0,-0.03122163,0,-0.4625361
1.216248,0,-0.03172791,0,-0.4313145
1.232361,0,-0.03152591,0,-0.3995866
1.248749,0,-0.03117073,0,-0.3680607
1.26593,0,-0.02998239,0,-0.33689
1.282379,0,-0.02820724,0,-0.3069076
1.29892,0,-0.02712137,0,-0.2787004
1.315887,0,-0.02460307,0,-0.251579
1.332703,0,-0.02169573,0,-0.2269759
1.349487,0,-0.02012563,0,-0.2052802
1.365936,0,-0.01681477,0,-0.1851546
1.382446,0,-0.01336282,0,-0.1683398
1.399597,0,-0.01161706,0,-0.154977
1.415558,0,-0.008152664,0,-0.1433599
1.432495,0,-0.004812717,0,-0.1352073
1.449371,0,-0.003221929,0,-0.1303945
1.466217,0,-0.0002611279,0,-0.1271726
1.482391,0,0.002326548,0,-0.1269115
1.498901,0,0.003452897,0,-0.129238
1.51593,0,0.005320191,0,-0.1326909
1.532715,0,0.006614864,0,-0.1380111
1.549255,0,0.007028222,0,-0.144626
1.566376,0,0.00735569,0,-0.1516543
1.582062,0,0.006986022,0,-0.1590099
1.599274,0,0.006531358,0,-0.165996
1.615601,0,0.005074084,0,-0.1725273
1.632355,0,0.002886415,0,-0.1776014
1.649445,0,0.001522303,0,-0.1804878
1.666168,0,-0.00173068,0,-0.1820101
1.682892,0,-0.005651474,0,-0.1802794
1.699127,0,-0.007846951,0,-0.174628
1.715698,0,-0.01267022,0,-0.166781
1.732483,0,-0.0180099,0,-0.1541108
