Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01543808,0,0.03503782,0,0.5704651
0.03203964,0,0.02765206,0,0.5354309
0.04898453,0,0.0239619,0,0.507782
0.06598282,0,0.01666,0,0.4838257
0.08286667,0,0.009559959,0,0.4671631
0.09965897,0,0.006121606,0,0.4576111
0.1152878,0,-0.0004616678,0,0.4515076
0.1323166,0,-0.006564647,0,0.4519653
0.1484833,0,-0.009404272,0,0.4585266
0.1654129,0,-0.01460135,0,0.467926
0.1822166,0,-0.01908526,0,0.4825439
0.1986694,0,-0.02103618,0,0.5016174
0.2155457,0,-0.02431637,0,0.522644
0.2331734,0,-0.02672499,0,0.5469666
0.2505875,0,-0.02822441,0,0.5737
0.2658386,0,-0.02862579,0,0.6019287
0.2823677,0,-0.02872622,0,0.6305542
0.2985916,0,-0.02842617,0,0.6592712
0.3159065,0,-0.02713561,0,0.6876831
0.3327103,0,-0.02494991,0,0.7148132
0.348671,0,-0.02353472,0,0.7397766
0.3654022,0,-0.02009535,0,0.7633057
0.3819656,0,-0.01590151,0,0.7833862
0.3990173,0,-0.01354665,0,0.7992859
0.4156685,0,-0.008377612,0,0.8128357
0.4320793,0,-0.002680182,0,0.821228
0.4489899,0,0.00033319,0,0.8239441
0.4657898,0,0.006617308,0,0.8236084
0.4820557,0,0.01314491,0,0.8169861
0.4990501,0,0.01646149,0,0.8038635
0.5159683,0,0.02312189,0,0.7874146
0.5324898,0,0.02971423,0,0.7642822
0.5493584,0,0.03294587,0,0.7345581
0.5651436,0,0.03920478,0,0.7015991
0.5822334,0,0.04509395,0,0.662384
0.5985832,0,0.04786515,0,0.6172791
0.6153603,0,0.05299652,0,0.5694275
0.6317711,0,0.05750155,0,0.516449
0.6493378,0,0.05949274,0,0.4589539
0.6659508,0,0.06290661,0,0.3994751
0.6820374,0,0.06551233,0,0.3365784
0.6992149,0,0.06649685,0,0.2710571
0.7156143,0,0.06780744,0,0.2045593
0.7318497,0,0.06822322,0,0.1367493
0.7492561,0,0.06809321,0,0.06851196
0.7650681,0,0.06716168,0,0.0004271142
0.7820663,0,0.06535304,0,-0.06673457
0.7984047,0,0.06413031,0,-0.1320876
0.8152122,0,0.06107795,0,-0.196218
0.8373604,0,0.05726671,0,-0.2572959
0.8493156,0,0.05509853,0,-0.3145626
0.8656311,0,0.05028832,0,-0.3696612
0.8827209,0,0.04492188,0,-0.4199495
0.8991547,0,0.04206097,0,-0.4648714
0.9153824,0,0.03604949,0,-0.5069324
0.9324226,0,0.02974355,0,-0.5429819
0.9486656,0,0.02651572,0,-0.5727255
0.9654808,0,0.01998258,0,-0.5992413
0.9823418,0,0.01344264,0,-0.6192239
0.9986954,0,0.01020598,0,-0.6326666
1.015045,0,0.003868937,0,-0.6428726
1.032131,0,-0.002197385,0,-0.6467416
1.048374,0,-0.005097151,0,-0.6445442
1.065514,0,-0.01057148,0,-0.6394471
1.082077,0,-0.01554143,0,-0.6288757
1.099445,0,-0.01781344,0,-0.6133344
1.115395,0,-0.02189088,0,-0.595521
1.132378,0,-0.02530253,0,-0.5736301
1.148975,0,-0.02674544,0,-0.5483276
1.165401,0,-0.0290885,0,-0.5215821
1.181976,0,-0.0306952,0,-0.4924937
1.198696,0,-0.03122163,0,-0.4617985
1.215519,0,-0.03172791,0,-0.4305769
1.232246,0,-0.03152591,0,-0.3988491
1.248837,0,-0.03117073,0,-0.3673231
1.265087,0,-0.02998239,0,-0.3361524
1.282291,0,-0.02820724,0,-0.30617
1.299847,0,-0.02712137,0,-0.2779628
1.315655,0,-0.02460307,0,-0.2508414
1.332371,0,-0.02169573,0,-0.2262384
1.348572,0,-0.02012563,0,-0.2045427
1.365501,0,-0.01681477,0,-0.1844171
1.38224,0,-0.01336282,0,-0.1676023
1.398388,0,-0.01161706,0,-0.1542395
1.415379,0,-0.008152664,0,-0.1426225
1.431839,0,-0.004812717,0,-0.1344698
1.448727,0,-0.003221929,0,-0.1296571
1.465591,0,-0.0002611279,0,-0.1264352
1.481895,0,0.002326548,0,-0.126174
1.498772,0,0.003452897,0,-0.1285006
1.516064,0,0.005320191,0,-0.1319535
1.532494,0,0.006614864,0,-0.1372737
1.548759,0,0.007028222,0,-0.1438886
1.565643,0,0.00735569,0,-0.1509168
1.582508,0,0.006986022,0,-0.1582725
1.599072,0,0.006531358,0,-0.1652586
1.615959,0,0.005074084,0,-0.1717899
1.632809,0,0.002886415,0,-0.176864
1.648964,0,0.001522303,0,-0.1797504
1.666119,0,-0.00173068,0,-0.1812727
1.682247,0,-0.005651474,0,-0.179542
1.699402,0,-0.007846951,0,-0.1738906
1.716385,0,-0.01267022,0,-0.1660436
1.732426,0,-0.0180099,0,-0.1533734
1.749218,0,-0.02084833,0,-0.1353635
1.765785,0,-0.02680665,0,-0.1145152
1.78244,0,-0.03305972,0,-0.08770858
1.800156,0,-0.03950506,0,-0.05464886
1.815128,0,-0.04276636,0,-0.01514379
1.832134,0,-0.0492975,0,0.02761841
1.84906,0,-0.05253959,0,0.0769043
1.865227,0,-0.0589073,0,0.1294556
1.882198,0,-0.06502869,0,0.1883545
1.898499,0,-0.06796366,0,0.2533875
1.915604,0,-0.07351837,0,0.3213501
1.932472,0,-0.07857281,0,0.3948669
1.948536,0,-0.08088437,0,0.4734497
1.965515,0,-0.08502573,0,0.5543213
1.982365,0,-0.08846515,0,0.6393433
1.998653,0,-0.08990234,0,0.7278137
2.015759,0,-0.09217989,0,0.8177185
2.032047,0,-0.09362972,0,0.9099122
2.049034,0,-0.09403574,0,1.00354
2.065819,0,-0.09420061,0,1.097565
2.082588,0,-0.09350121,0,1.191772
2.098923,0,-0.09283066,0,1.285278
2.116482,0,-0.09086108,0,1.378113
2.133438,0,-0.08808279,0,1.468964
2.149109,0,-0.08640432,0,1.557037
2.165833,0,-0.08250308,0,1.643433
2.182384,0,-0.07793117,0,1.725922
2.199223,0,-0.07541656,0,1.803863
2.216354,0,-0.06998038,0,1.879273
2.232876,0,-0.06407452,0,1.949249
2.248817,0.0133826,-0.06097436,0.05069166,2.013336
2.265179,0.04632731,-0.05453897,0.1754822,2.060913
2.282024,0.06291904,-0.0478723,0.2383297,2.069122
2.298889,0.07939139,-0.04448295,0.300725,2.054077
2.315163,0.08201743,-0.03765392,0.3106721,2.019196
2.332581,0.07581045,-0.0308373,0.2871608,1.974823
2.349339,0.06602252,-0.0274632,0.2500853,1.92984
2.365692,0.05492159,-0.02083707,0.2080363,1.891297
2.382626,0.04035907,-0.01444316,0.1528753,1.857208
2.399078,0.03092925,-0.01135731,0.1171562,1.831299
2.416027,0.02138005,-0.005449057,0.08098505,1.811737
2.43264,0.02006703,5.817413E-05,0.07601149,1.795807
2.448711,0.02090259,0.002645731,0.07917649,1.775665
2.466217,0.0345102,0.007464886,0.1307204,1.752106
2.482269,0.04489494,0.01178432,0.1700566,1.710114
2.499294,0.06208348,0.01375127,0.2351647,1.653442
2.515606,0.06554506,0.01729393,0.2482768,1.577606
2.532608,0.06638063,0.02031851,0.2514418,1.494751
2.549744,0.05802508,0.0216403,0.219792,1.408051
2.565678,0.04787907,0.02391887,0.1813601,1.3284
2.582798,0.0293775,0.02573752,0.1112784,1.256622
2.598969,0.02054449,0.02648735,0.07782004,1.201508
2.615921,0.009324188,0.02769995,0.0353189,1.15448
2.632973,0.007294992,0.02857685,0.02763255,1.117432
2.649334,0.008607998,0.02890873,0.03260606,1.081573
2.66592,0.02901941,0.02940249,0.109922,1.044067
2.682335,0.04656604,0.02972865,0.1763865,0.9856567
2.699158,0.06124792,0.02985144,0.2319997,0.9093627
2.716,0.08225615,0.03006458,0.3115763,0.8182678
2.732479,0.09264091,0.03029466,0.3509125,0.7059631
2.749401,0.1032644,0.0304389,0.3911529,0.5830078
2.766125,0.1049355,0.03082943,0.3974829,0.4493103
2.782536,0.09992216,0.03141022,0.378493,0.3135376
2.799606,0.07676538,0.03179049,0.290778,0.1822205
2.815804,0.05468286,0.03276563,0.207132,0.07366943
2.832584,0.009562918,0.03406382,0.03622318,-0.01377968
2.849041,0,0.03484654,0,-0.05740641
2.865993,0,0.03669572,0,-0.09225296
2.88266,0,0.03894043,0,-0.1289487
2.898979,0,0.04021382,0,-0.1678891
2.916004,0,0.04306221,0,-0.208103
2.932262,0,0.0463028,0,-0.2511652
2.949238,0,0.04806328,0,-0.297468
2.966133,0,0.0518446,0,-0.3455313
2.983116,0,0.05593789,0,-0.3973758
2.999241,0,0.05808532,0,-0.4533137
3.016342,0,0.0625447,0,-0.511399
3.032505,0,0.06716645,0,-0.5739437
3.049156,0,0.06951511,0,-0.6411102
3.065586,0,0.07423759,0,-0.7106254
3.08252,0,0.07892311,0,-0.7848631
3.098778,0,0.08122444,0,-0.8637863
3.115616,0,0.08568829,0,-0.9450107
3.133171,0,0.08989179,0,-1.030699
3.148804,0,0.09186798,0,-1.120591
3.16573,0,0.09551466,0,-1.212459
3.183174,0,0.09868479,0,-1.307974
3.199322,0,0.1000666,0,-1.406659
3.21566,0,0.102379,0,-1.506725
3.232368,0,0.104037,0,-1.609104
3.249146,0,0.1046033,0,-1.713142
3.265335,0,0.1051821,0,-1.817745
3.282051,0,0.1049946,0,-1.922927
3.298687,0,0.1046062,0,-2.027922
3.315422,0,0.1032335,0,-2.132528
3.332184,0,0.1010686,0,-2.235762
3.349072,0,0.09969366,0,-2.33683
3.365582,0,0.09637594,0,-2.436524
3.382217,0,0.09233606,0,-2.5329
3.398994,0,0.09006178,0,-2.625236
3.416248,0,0.08504558,0,-2.715299
3.431763,0,0.0794704,0,-2.800344
3.448803,0,0.07650042,0,-2.879815
3.46579,-0.00645943,0.07025695,-0.02446754,-2.956315
3.482296,-0.02185751,0.0636971,-0.08279361,-3.020113
3.499283,-0.04358193,0.06033421,-0.1650831,-3.061952
3.515572,-0.05551842,0.05351615,-0.210297,-3.078705
3.532448,-0.07043904,0.04667902,-0.2668146,-3.076703
3.5494,-0.07712348,0.04329252,-0.2921344,-3.052943
3.566349,-0.08321106,0.0366652,-0.3151934,-3.019112
3.582638,-0.08500154,0.03033757,-0.3219756,-2.972566
3.598537,-0.08500154,0.02732539,-0.3219756,-2.917902
3.615559,-0.08165932,0.02168107,-0.3093157,-2.860226
3.632198,-0.07986885,0.0166409,-0.3025335,-2.800248
3.648674,-0.07951077,0.01438189,-0.3011772,-2.73702
3.665516,-0.07903331,0.01044917,-0.2993686,-2.671892
3.681786,-0.07903331,0.00737381,-0.2993686,-2.603307
3.69907,-0.07974949,0.006183147,-0.3020814,-2.531648
3.715393,-0.07974949,0.004538774,-0.3020814,-2.458081
3.732246,-0.07974949,0.003922939,-0.3020814,-2.382871
3.749218,-0.07724284,0.004014492,-0.2925865,-2.307044
3.76543,-0.07270695,0.00501132,-0.2754051,-2.233815
3.782146,-0.06363522,0.00710392,-0.2410425,-2.16612
3.798542,-0.04955017,0.008560181,-0.18769,-2.109589
3.815372,-0.01421816,0.01228023,-0.05385666,-2.068599
3.832153,0,0.01704741,0,-2.066662
3.848942,0,0.01980853,0,-2.083709
3.865555,0,0.02604437,0,-2.103518
3.881676,0,0.03316641,0,-2.129563
3.89872,0,0.03703094,0,-2.162729
3.915451,0,0.04530263,0,-2.19976
3.932049,0,0.05420113,0,-2.245062
3.949528,0,0.05884671,0,-2.299263
3.965569,0,0.06844735,0,-2.35811
3.982601,0,0.07834482,0,-2.426558
3.999405,0,0.08335972,0,-2.504902
4.015903,0,0.09343052,0,-2.588262
4.032856,0,0.1034307,0,-2.681693
4.050133,0,0.1132131,0,-2.785123
4.065987,0,0.1179771,0,-2.898336
4.082615,0,0.127162,0,-3.016313
4.099339,-0.01171149,0.1315494,-0.0443617,-3.143475
4.115417,-0.03713622,0.1398315,-0.1406675,-3.263314
4.132481,-0.06184477,0.1473575,-0.2342605,-3.366009
4.148743,-0.0946701,0.1508021,-0.3585989,-3.451522
4.165977,-0.1154396,0.1569934,-0.4372713,-3.507654
4.182999,-0.1340605,0.1621809,-0.507805,-3.549208
4.199066,-0.1557849,0.1643753,-0.5900944,-3.577329
4.215466,-0.1684376,0.1679296,-0.6380213,-3.585919
4.232285,-0.1814484,0.1703343,-0.6873046,-3.585412
4.248943,-0.1857455,0.1710958,-0.7035816,-3.574298
4.265781,-0.1861036,0.1717315,-0.7049381,-3.559649
4.282043,-0.1810903,0.1711845,-0.6859481,-3.545277
4.29895,-0.1761963,0.1704741,-0.6674104,-3.535371
4.315285,-0.172496,0.1681967,-0.6533941,-3.529649
4.331844,-0.1686763,0.1648197,-0.6389256,-3.525349
4.348461,-0.1653341,0.1627369,-0.6262656,-3.521492
4.365517,-0.161037,0.1578321,-0.6099886,-3.518895
4.381912,-0.1587691,0.1520128,-0.6013981,-3.51569
4.39946,-0.1565011,0.1487894,-0.5928074,-3.508934
4.415527,-0.1562624,0.1417818,-0.591903,-3.501223
4.432823,-0.1559043,0.1341238,-0.5905467,-3.486742
4.449188,-0.1559043,0.1300879,-0.5905467,-3.464962
4.466366,-0.1560237,0.1216784,-0.5909988,-3.439145
4.48238,-0.1542332,0.1129274,-0.5842167,-3.4048
4.499443,-0.1543526,0.1084642,-0.5846688,-3.363494
4.51561,-0.1543526,0.09944439,-0.5846688,-3.317606
4.533119,-0.1543526,0.09040356,-0.5846688,-3.262697
4.549534,-0.1557849,0.08591366,-0.5900944,-3.198748
4.565556,-0.1586497,0.0770731,-0.6009458,-3.128878
4.582417,-0.1621113,0.06851006,-0.614058,-3.047301
4.599293,-0.1635437,0.06436539,-0.6194836,-2.9537
4.615326,-0.1647373,0.05641079,-0.624005,-2.854522
4.632172,-0.1660503,0.04897404,-0.6289786,-2.746196
4.648537,-0.1683183,0.04547596,-0.6375692,-2.629119
4.665722,-0.1734509,0.03895473,-0.6570112,-2.506277
4.682201,-0.1820452,0.03311443,-0.6895653,-2.371781
4.699039,-0.1877747,0.03046322,-0.7112679,-2.222851
4.71513,-0.1917138,0.02571583,-0.7261887,-2.065539
4.731937,-0.196369,0.02171993,-0.743822,-1.899541
4.748745,-0.1978014,0.02000523,-0.7492477,-1.724892
4.765324,-0.1899233,0.01713848,-0.7194065,-1.547096
4.782574,-0.1803741,0.01500225,-0.6832353,-1.374311
4.798431,-0.1696313,0.0141983,-0.6425427,-1.20894
4.815819,-0.14731,0.0130949,-0.5579926,-1.053507
4.832615,-0.1233177,0.01262093,-0.4671124,-0.9192917
