Time,CV,FF,Input
0,0,0.805491,0
0,0,0.805491,0
0.01782227,0,0.8039248,0
0.01782227,0,0.8039248,0
0.03457642,0,0.7974825,0
0.03457642,0,0.7974825,0
0.04974365,0,0.7926365,0
0.04974365,0,0.7926365,0
0.06625366,0,0.7718899,0
0.06625366,0,0.7718899,0
0.08279419,0,0.7532292,0
0.08279419,0,0.7532292,0
0.09918213,0,0.7425783,0
0.09918213,0,0.7425783,0
0.1168518,0,0.7188938,0
0.1168518,0,0.7188938,0
0.1323547,0,0.6924225,0
0.1323547,0,0.6924225,0
0.1489563,0,0.6783011,0
0.1489563,0,0.6783011,0
0.165863,0,0.6636803,0
0.165863,0,0.6636803,0
0.1829224,0,0.633228,0
0.1829224,0,0.633228,0
0.1990356,0,0.6175454,0
0.1990356,0,0.6175454,0
0.2159119,0,0.5856496,0
0.2159119,0,0.5856496,0
0.2320251,0,0.5535658,0
0.2320251,0,0.5535658,0
0.2492065,0,0.5376484,0
0.2492065,0,0.5376484,0
0.2660522,0,0.5064486,0
0.2660522,0,0.5064486,0
0.2828064,0,0.4765949,0
0.2828064,0,0.4765949,0
0.2994995,0,0.4486593,0
0.2994995,0,0.4486593,0
0.3158875,0,0.423172,0
0.3158875,0,0.423172,0
0.3329773,0,0.4006096,0
0.3329773,0,0.4006096,0
0.3496399,0,0.3905571,0
0.3496399,0,0.3905571,0
0.3657837,0,0.3731348,0
0.3657837,0,0.3731348,0
0.3823547,0,0.359533,0
0.3823547,0,0.359533,0
0.3989868,0,0.354237,0
0.3989868,0,0.354237,0
0.4156189,0,0.3467513,0
0.4156189,0,0.3467513,0
0.4320068,0,0.3434716,0
0.4320068,0,0.3434716,0
0.4489136,0,0.3434118,0
0.4489136,0,0.3434118,0
0.4659119,0,0.3464077,0
0.4659119,0,0.3464077,0
0.4825745,0,0.3534332,0
0.4825745,0,0.3534332,0
0.4988403,0,0.3583899,0
0.4988403,0,0.3583899,0
0.5161743,0,0.3710111,0
0.5161743,0,0.3710111,0
0.532196,0,0.3869451,0
0.532196,0,0.3869451,0
0.5490112,0,0.3960258,0
0.5490112,0,0.3960258,0
0.5658875,0,0.4161216,0
0.5658875,0,0.4161216,0
0.5822144,0,0.438364,0
0.5822144,0,0.438364,0
0.5991516,0,0.4501164,0
0.5991516,0,0.4501164,0
0.6159058,0,0.4745148,0
0.6159058,0,0.4745148,0
0.6322937,0,0.4995916,0
0.6322937,0,0.4995916,0
0.649231,0,0.5121875,0
0.649231,0,0.5121875,0
0.6659241,0,0.5370958,0
0.6659241,0,0.5370958,0
0.6824341,0,0.561097,0
0.6824341,0,0.561097,0
0.7000122,0,0.5835679,0
0.7000122,0,0.5835679,0
0.7167358,0,0.5940413,0
0.7167358,0,0.5940413,0
0.7325745,0,0.6131068,0
0.7325745,0,0.6131068,0
0.7488098,0,0.621564,0
0.7488098,0,0.621564,0
0.7653198,0,0.6360142,0
0.7653198,0,0.6360142,0
0.78302,0,0.6468043,0
0.78302,0,0.6468043,0
0.7997131,0,0.6507018,0
0.7997131,0,0.6507018,0
0.8161011,0,0.6552907,0
