Time,CV,FF,Input
0,0,-0.791238,0
0.01647949,0,-0.7777878,0
0.03253174,0,-0.7500234,0
0.04956055,0,-0.7358032,0
0.06604004,0,-0.6923848,0
0.0824585,0,-0.6633232,0
0.1016235,0,-0.6346613,0
0.1162109,0,-0.6206132,0
0.1338501,0,-0.593346,0
0.1502075,0,-0.5675273,0
0.1656494,0,-0.5675273,0
0.1828003,0,-0.5435532,0
0.1990356,0,-0.5323752,0
0.2163696,0,-0.5118558,0
0.2327271,0,-0.4940503,0
0.2493286,0,-0.486255,0
0.2662964,0,-0.4730349,0
0.2827759,0,-0.4631459,0
0.3012695,0,-0.4548897,0
0.3162231,0,-0.4539393,0
0.333374,0,-0.4547684,0
0.3498535,0,-0.4565442,0
0.3657227,0,-0.4627806,0
0.3827515,0,-0.4725033,0
0.3996582,0,-0.4786234,0
0.4163818,0,-0.4932536,0
0.4324951,0,-0.5108612,0
0.449707,0,-0.5206915,0
0.4662476,0,-0.5421999,0
0.4829712,0,-0.5658689,0
0.5008545,0,-0.5913042,0
0.5162354,0,-0.6045529,0
0.5325928,0,-0.6318371,0
0.5494385,0,-0.6457594,0
0.5662842,0,-0.6738763,0
0.5831909,0,-0.7019695,0
0.6000366,0,-0.7295777,0
0.6162109,0,-0.7430583,0
0.6326294,0,-0.7690991,0
0.6494141,0,-0.781554,0
0.6665039,0,-0.8050833,0
0.6828613,0,-0.8264645,0
0.6998901,0,-0.8362432,0
0.7174683,0,-0.8537888,0
0.7324219,0,-0.8684354,0
0.7490845,0,-0.8746027,0
0.7655029,0,-0.8845169,0
0.7833862,0,-0.8911005,0
0.7999268,0,-0.8931182,0
0.815979,0,-0.8945866,0
0.8326416,0,-0.8926497,0
0.8496094,0,-0.8904243,0
0.866394,0,-0.8835292,0
0.8832397,0,-0.8735074,0
0.8997192,0,-0.867385,0
0.9156494,0,-0.8530648,0
0.9354858,0,-0.8362042,0
0.9492798,0,-0.826915,0
0.9664307,0,-0.8068232,0
0.9827881,0,-0.7850056,0
0.9992676,0,-0.7735636,0
1.015869,0,-0.7498492,0
1.032288,0,-0.7253472,0
1.049561,0,-0.712921,0
1.06604,0,-0.6879557,0
1.082703,0,-0.6631487,0
1.099548,0,-0.6509163,0
1.116028,0,-0.6270046,0
1.135132,0,-0.6040916,0
1.149353,0,-0.5930999,0
1.16626,0,-0.5722063,0
1.182556,0,-0.5529502,0
1.199158,0,-0.543995,0
1.216309,0,-0.527523,0
1.232483,0,-0.5130574,0
1.249329,0,-0.5065988,0
1.266296,0,-0.4952463,0
1.282776,0,-0.4859672,0
1.299438,0,-0.482089,0
1.315979,0,-0.4757976,0
1.332581,0,-0.4713513,0
1.3526,0,-0.4685851,0
1.366455,0,-0.4677703,0
1.382629,0,-0.4671366,0
1.399231,0,-0.4672561,0
1.416077,0,-0.4682027,0
1.432556,0,-0.4698598,0
1.449585,0,-0.4708642,0
1.466248,0,-0.4730396,0
1.482666,0,-0.4751885,0
1.499512,0,-0.4761607,0
1.516052,0,-0.4777206,0
1.532959,0,-0.4785382,0
1.550903,0,-0.4783555,0
1.565369,0,-0.4778149,0
1.582764,0,-0.4757027,0
1.599487,0,-0.4740841,0
1.616516,0,-0.4696212,0
1.633179,0,-0.4634173,0
1.649597,0,-0.4596318,0
1.666809,0,-0.4506551,0
1.682312,0,-0.4397838,0
1.699524,0,-0.4336401,0
1.715759,0,-0.4199642,0
1.732056,0,-0.4045047,0
1.74939,0,-0.3961408,0
1.768494,0,-0.3782343,0
1.782471,0,-0.3589017,0
1.799438,0,-0.3487625,0
1.816162,0,-0.3276778,0
1.833313,0,-0.305721,0
1.849487,0,-0.2944964,0
1.866699,0,-0.271725,0
1.883118,0,-0.2487579,0
1.900208,0,-0.2258801,0
1.915771,0,-0.2145639,0
1.932434,0,-0.1923522,0
1.949463,0,-0.181525,0
1.967773,0,-0.1605923,0
1.982056,0,-0.1408275,0
1.998962,0,-0.1314549,0
2.015503,0,-0.1138591,0
2.032349,0,-0.0979481,0
2.049683,0,-0.09067381,0
2.065613,0,-0.0775682,0
2.083557,0,-0.06646787,0
2.099304,0,-0.06169154,0
2.115601,0,-0.05370994,0
2.133118,0,-0.04782701,0
2.150513,0,-0.04401555,0
2.168396,0,-0.04286845,0
2.183105,0,-0.04203686,0
2.199463,0,-0.04232466,0
2.215698,0,-0.04422472,0
2.232666,0,-0.04776174,0
2.249207,0,-0.05009052,0
2.266541,0,-0.05575124,0
2.282715,0,-0.0625826,0
2.299377,0,-0.0663723,0
2.316284,0,-0.07456644,0
2.333252,0,-0.08340163,0
2.349365,0,-0.08799331,0
2.366272,0,-0.09739605,0
2.385376,0,-0.1069279,0
2.399719,0,-0.1116846,0
2.416199,0,-0.121074,0
2.432556,0,-0.1301741,0
