Time,CV,FF,Input
0,0,-0.791238,0
0.01551819,0,-0.7777878,0
0.03240967,0,-0.7500234,0
0.04914856,0,-0.7358032,0
0.06604004,0,-0.6923848,0
0.08256531,0,-0.6633232,0
0.09901428,0,-0.6489156,0
0.1159515,0,-0.6206132,0
0.1330719,0,-0.593346,0
0.1508484,0,-0.5675273,0
0.1659698,0,-0.5675273,0
0.1821442,0,-0.5435532,0
0.1990356,0,-0.5323752,0
0.2153778,0,-0.5118558,0
0.2323151,0,-0.4940503,0
0.2491608,0,-0.486255,0
0.2654572,0,-0.4730349,0
0.2824249,0,-0.4631459,0
0.2992859,0,-0.4567465,0
0.3157043,0,-0.4539393,0
0.3329773,0,-0.4547684,0
0.3492279,0,-0.4565442,0
0.3675079,0,-0.4627806,0
0.3824463,0,-0.4725033,0
0.3988953,0,-0.4786234,0
0.4157257,0,-0.4932536,0
0.432312,0,-0.5108612,0
0.4490051,0,-0.5206915,0
0.4654236,0,-0.5421999,0
0.4822693,0,-0.5658689,0
0.4995117,0,-0.5783916,0
0.5154419,0,-0.6045529,0
0.532608,0,-0.6318371,0
0.5494843,0,-0.6457594,0
0.5678101,0,-0.6738763,0
0.5825806,0,-0.7019695,0
0.5992584,0,-0.7158628,0
0.6156921,0,-0.7430583,0
0.6323853,0,-0.7690991,0
0.6491089,0,-0.781554,0
0.6654053,0,-0.8050833,0
0.6824493,0,-0.8264645,0
0.6988068,0,-0.8362432,0
0.7154694,0,-0.8537888,0
0.7325439,0,-0.8684354,0
0.7493591,0,-0.8746027,0
0.7659912,0,-0.8845169,0
0.7843781,0,-0.8911005,0
0.7992554,0,-0.8931182,0
0.815506,0,-0.8945866,0
0.8325195,0,-0.8926497,0
0.8492584,0,-0.8904243,0
0.8661957,0,-0.8835292,0
0.8820343,0,-0.8735074,0
0.8989716,0,-0.867385,0
0.9156647,0,-0.8530648,0
0.9322052,0,-0.8362042,0
0.9491425,0,-0.826915,0
0.9660187,0,-0.8068232,0
0.9824371,0,-0.7850056,0
1.000885,0,-0.761829,0
1.015457,0,-0.7498492,0
1.032486,0,-0.7253472,0
1.048645,0,-0.712921,0
1.065475,0,-0.6879557,0
1.082458,0,-0.6631487,0
1.099091,0,-0.6509163,0
1.115723,0,-0.6270046,0
1.132904,0,-0.6040916,0
1.149231,0,-0.5930999,0
1.165909,0,-0.5722063,0
1.182297,0,-0.5529502,0
1.199265,0,-0.543995,0
1.217438,0,-0.527523,0
1.232498,0,-0.5130574,0
1.249008,0,-0.5065988,0
1.265366,0,-0.4952463,0
1.282593,0,-0.4859672,0
1.299225,0,-0.482089,0
1.315613,0,-0.4757976,0
1.332611,0,-0.4713513,0
1.348846,0,-0.46977,0
1.365631,0,-0.4677703,0
1.381973,0,-0.4671366,0
1.398911,0,-0.4672561,0
1.415894,0,-0.4682027,0
1.433807,0,-0.4698598,0
1.449005,0,-0.4708642,0
1.465973,0,-0.4730396,0
1.482697,0,-0.4751885,0
1.499237,0,-0.4761607,0
1.515472,0,-0.4777206,0
1.532486,0,-0.4785382,0
1.548767,0,-0.4785872,0
1.565598,0,-0.4778149,0
1.582596,0,-0.4757027,0
1.598648,0,-0.4740841,0
1.61554,0,-0.4696212,0
1.632538,0,-0.4634173,0
1.65062,0,-0.4553794,0
1.66568,0,-0.4506551,0
1.682327,0,-0.4397838,0
1.699097,0,-0.4336401,0
1.715744,0,-0.4199642,0
1.732376,0,-0.4045047,0
1.749359,0,-0.3961408,0
1.76532,0,-0.3782343,0
1.782455,0,-0.3589017,0
1.799637,0,-0.3487625,0
1.81546,0,-0.3276778,0
1.832901,0,-0.305721,0
1.850586,0,-0.2831529,0
1.865799,0,-0.271725,0
1.882736,0,-0.2487579,0
1.898972,0,-0.2372899,0
1.915649,0,-0.2145639,0
1.932526,0,-0.1923522,0
1.948975,0,-0.181525,0
1.966354,0,-0.1605923,0
1.982071,0,-0.1408275,0
1.998993,0,-0.1314549,0
2.015411,0,-0.1138591,0
2.032242,0,-0.0979481,0
2.048584,0,-0.09067381,0
2.067352,0,-0.0775682,0
2.082474,0,-0.06646787,0
2.098541,0,-0.06169154,0
2.115433,0,-0.05370994,0
2.133438,0,-0.04782701,0
2.149536,0,-0.04566544,0
2.166031,0,-0.04286845,0
2.182175,0,-0.04203686,0
2.199097,0,-0.04232466,0
2.215378,0,-0.04422472,0
2.232483,0,-0.04776174,0
2.249252,0,-0.05009052,0
2.267136,0,-0.05575124,0
2.282379,0,-0.0625826,0
2.298889,0,-0.0663723,0
2.316101,0,-0.07456644,0
2.332474,0,-0.08340163,0
2.348999,0,-0.08799331,0
2.365601,0,-0.09739605,0
2.382751,0,-0.1069279,0
2.398682,0,-0.1116846,0
2.415649,0,-0.121074,0
2.432114,0,-0.1301741,0
2.449081,0,-0.1345749,0
2.465698,0,-0.1430111,0
2.483826,0,-0.1508925,0
2.498993,0,-0.154607,0
2.515396,0,-0.1615641,0
2.53241,0,-0.1678892,0
2.549545,0,-0.1708212,0
2.565506,0,-0.1762534,0
2.582291,0,-0.1811704,0.01045123
2.598679,5.043317E-06,-0.183465,0.02130259
2.615677,2.036534E-05,-0.1877979,0.0353189
2.632599,5.272769E-05,-0.1919017,0.04119674
2.64946,0.0001049634,-0.1939142,0.04933526
2.666229,0.0001809956,-0.1979621,0.05747378
2.683685,0.0002847471,-0.2021844,0.05747378
2.699036,0.0004162122,-0.2044167,0.05792589
2.715668,0.0005756036,-0.209237,0.05792589
2.732559,0.0007629156,-0.2146819,0.0520481
2.749191,0.0009753064,-0.2176936,0.04481386
2.765305,0.00120928,-0.2244006,0.03757963
2.78241,0.001461341,-0.2321486,0.02582399
2.79924,0.001725813,-0.2364574,0.02039831
2.815338,0.002000076,-0.2460212,0.01497263
2.832458,0.002281509,-0.2569306,0.001408436
2.848648,0.002563566,-0.2629147,0
2.865463,0.002845566,-0.2759745,0
2.882477,0.003127509,-0.2905086,0
2.901291,0.003409397,-0.3065095,0
2.915604,0.003691228,-0.3150476,0
2.932632,0.003973002,-0.3331545,0
2.948822,0.00425472,-0.3426985,0
2.965851,0.004536382,-0.362689,0
2.982315,0.004817987,-0.3837526,0
2.999084,0.005099536,-0.3946301,0
3.015457,0.005381029,-0.4169467,0
3.032288,0.005662465,-0.4398187,0
3.049164,0.005943846,-0.4513848,0
3.065994,0.00622517,-0.4746094,0.009546953
3.082687,0.006511045,-0.497722,0.03170178
3.100235,0.00681216,-0.5204306,0.06018662
3.115524,0.007142259,-0.5315406,0.07691576
3.132706,0.007509408,-0.5530853,0.08821929
3.148956,0.007919054,-0.5634463,0.09997493
3.165802,0.008376862,-0.5831656,0.1054006
3.182053,0.00888544,-0.601318,0.1157998
3.199326,0.009449797,-0.609725,0.1207734
3.215637,0.01007232,-0.6250502,0.1225819
3.232178,0.01075387,-0.638211,0.1243905
3.249084,0.01149531,-0.6439202,0.1239383
3.265259,0.01229641,-0.6534974,0.113087
3.28244,0.01315193,-0.6605172,0.09680992
3.298996,0.01405398,-0.66304,0.08821929
3.3172,0.01499843,-0.6660798,0.08821929
3.332458,0.01598526,-0.6664382,0.09274069
3.34906,0.01701664,-0.6656207,0.1022356
3.365524,0.01809715,-0.6620363,0.109922
3.382446,0.0192305,-0.6559479,0.1180605
3.399246,0.02042058,-0.6520115,0.1289119
3.415466,0.02167264,-0.642473,0.1375025
3.432556,0.02299079,-0.6309046,0.1447368
3.448868,0.02437853,-0.6244403,0.148806
3.465637,0.0258378,-0.6103345,0.1560403
3.482437,0.02737207,-0.5949274,0.1614659
3.498993,0.02898395,-0.5868432,0.1659873
3.517593,0.03067561,-0.5701413,0.1668916
3.532684,0.03244747,-0.553045,0.1668916
3.54924,0.03429951,-0.5444707,0.1668916
3.565491,0.03623171,-0.5275169,0.1637266
3.582291,0.03824253,-0.5111523,0.1623702
3.599304,0.0403313,-0.503313,0.148806
3.615509,0.04249147,-0.4885579,0.1361461
3.63237,0.04471689,-0.4753371,0.1266512
3.648621,0.04700299,-0.4694099,0.1207734
3.665787,0.04934692,-0.4591206,0.1207734
3.682465,0.05174865,-0.4511575,0.1207734
3.698715,0.05420819,-0.4481283,0.1207734
3.715744,0.05672551,-0.4441102,0.1207734
3.734406,0.05930061,-0.4429569,0.1216776
3.749084,0.06193391,-0.4434964,0.1216776
3.765625,0.0646254,-0.4468611,0.1216776
3.78241,0.06737506,-0.4533031,0.1216776
3.799316,0.0701829,-0.4576754,0.1216776
3.815384,0.07304889,-0.468685,0.1153477
3.832458,0.07596997,-0.4826219,0.1090177
3.849136,0.07894307,-0.4906398,0.09771419
3.865555,0.08196273,-0.5086469,0.09364497
3.882385,0.08502698,-0.5290744,0.0931928
3.898682,0.08813559,-0.5401058,0.09047996
3.915482,0.09128723,-0.5635989,0.09047996
3.932495,0.0944819,-0.5886957,0.09047996
3.950729,0.09771959,-0.6150003,0.09047996
3.965729,0.1010003,-0.6284735,0.09047996
3.982468,0.104324,-0.6557851,0.09907064
3.999084,0.1076949,-0.6695091,0.1049484
4.015518,0.1111157,-0.6968034,0.1153477
