Time,CV,FF,Input
0,0,-0.791238,0
0.01457787,0,-0.7777878,0
0.03176594,0,-0.7500234,0
0.04789066,0,-0.7358032,0
0.06474209,0,-0.6923848,0
0.08153248,0,-0.6633232,0
0.102025,0,-0.6346613,0
0.1151056,0,-0.6206132,0
0.1323481,0,-0.593346,0
0.1480904,0,-0.5802304,0
0.1651373,0,-0.5675273,0
0.1812849,0,-0.5435532,0
0.198307,0,-0.5323752,0
0.2145662,0,-0.5118558,0
0.231514,0,-0.4940503,0
0.248291,0,-0.486255,0
0.2646179,0,-0.4730349,0
0.2816067,0,-0.4631459,0
0.3007908,0,-0.4548897,0
0.3157997,0,-0.4539393,0
0.3317013,0,-0.4547684,0
0.3481722,0,-0.4565442,0
0.3651047,0,-0.4627806,0
0.3813772,0,-0.4725033,0
0.3983259,0,-0.4786234,0
0.4152689,0,-0.4932536,0
0.4315825,0,-0.5108612,0
0.4483709,0,-0.5206915,0
0.4649963,0,-0.5421999,0
0.481389,0,-0.5658689,0
0.4982557,0,-0.5783916,0
0.5167522,0,-0.6045529,0
0.5315905,0,-0.6318371,0
0.5479813,0,-0.6457594,0
0.5655298,0,-0.6738763,0
0.5821743,0,-0.7019695,0
0.5979214,0,-0.7158628,0
0.6148195,0,-0.7430583,0
0.6312656,0,-0.7690991,0
0.6480656,0,-0.781554,0
0.6651125,0,-0.8050833,0
0.6815586,0,-0.8264645,0
0.6984177,0,-0.8362432,0
0.7169199,0,-0.8537888,0
0.7314644,0,-0.8684354,0
0.7482376,0,-0.8746027,0
0.7647552,0,-0.8845169,0
0.7816849,0,-0.8911005,0
0.7984457,0,-0.8931182,0
0.8151073,0,-0.8945866,0
0.8317375,0,-0.8926497,0
0.8509941,0,-0.8873783,0
0.8677244,0,-0.8835292,0
0.8874531,0,-0.8735074,0
0.8980722,0,-0.867385,0
0.9151306,0,-0.8530648,0
0.9334469,0,-0.8362042,0
0.9482889,0,-0.826915,0
0.9646206,0,-0.8068232,0
0.9814425,0,-0.7850056,0
0.9984646,0,-0.7735636,0
1.015122,0,-0.7498492,0
1.031541,0,-0.7253472,0
1.048116,0,-0.712921,0
1.064812,0,-0.6879557,0
1.081728,0,-0.6631487,0
1.098125,0,-0.6509163,0
1.114769,0,-0.6270046,0
1.13132,0,-0.6040916,0
1.150065,0,-0.5824616,0
1.165022,0,-0.5722063,0
1.181212,0,-0.5529502,0
1.198307,0,-0.543995,0
1.214552,0,-0.527523,0
1.231355,0,-0.5130574,0
1.248325,0,-0.5065988,0
1.264735,0,-0.4952463,0
1.281455,0,-0.4859672,0
1.297895,0,-0.482089,0
1.314644,0,-0.4757976,0
1.331599,0,-0.4713513,0
1.350548,0,-0.4685851,0
1.366017,0,-0.4677703,0
1.381705,0,-0.4671366,0
1.397889,0,-0.4672561,0
1.415051,0,-0.4682027,0
1.431904,0,-0.4698598,0
1.448077,0,-0.4708642,0
1.464902,0,-0.4730396,0
1.481283,0,-0.4751885,0
1.498342,0,-0.4761607,0
1.514544,0,-0.4777206,0
1.531652,0,-0.4785382,0
1.550324,0,-0.4783555,0
1.564754,0,-0.4778149,0
1.581806,0,-0.4757027,0
1.597866,0,-0.4740841,0
1.615742,0,-0.4696212,0
1.631709,0,-0.4634173,0
1.648383,0,-0.4596318,0
1.665046,0,-0.4506551,0
1.681492,0,-0.4397838,0
1.69818,0,-0.4336401,0
1.715099,0,-0.4199642,0
1.731377,0,-0.4045047,0
1.748498,0,-0.3961408,0
1.767016,0,-0.3782343,0
1.781353,0,-0.3589017,0
1.798316,0,-0.3487625,0
1.814921,0,-0.3276778,0
1.831619,0,-0.305721,0
1.847808,0,-0.2944964,0
1.864773,0,-0.271725,0
1.88165,0,-0.2487579,0
1.898668,0,-0.2372899,0
1.915217,0,-0.2145639,0
1.931452,0,-0.1923522,0
1.948179,0,-0.181525,0
1.965077,0,-0.1605923,0
1.983709,0,-0.1408275,0
1.998281,0,-0.1314549,0
2.01489,0,-0.1138591,0
2.031635,0,-0.0979481,0
2.048548,0,-0.09067381,0
2.0648,0,-0.0775682,0
2.081573,0,-0.06646787,0
2.098926,0,-0.06169154,0
2.114751,0,-0.05370994,0
2.131529,0,-0.04782701,0
2.147902,0,-0.04566544,0
2.165087,0,-0.04286845,0
2.183826,0,-0.04203686,0
2.198352,0,-0.04232466,0
2.215525,0,-0.04422472,0
2.231343,0,-0.04776174,0
2.248706,0,-0.05009052,0
2.265709,0,-0.05575124,0
2.281336,0,-0.0625826,0
2.298311,0,-0.0663723,0
2.315317,0,-0.07456644,0
2.331589,0,-0.08340163,0
2.348343,0,-0.08799331,0
2.365275,0,-0.09739605,0
2.384255,0,-0.1069279,0
2.398058,0,-0.1116846,0
2.415379,0,-0.121074,0
2.431493,0,-0.1301741,0
2.448139,0,-0.1345749,0
2.464932,0,-0.1430111,0
2.481202,0,-0.1508925,0
2.498192,0,-0.154607,0
2.515183,0,-0.1615641,0
2.531299,0,-0.1678892,0
2.548988,0,-0.1708212,0
2.564935,0,-0.1762534,0
2.581985,0,-0.1811704,0
2.600733,0,-0.1856688,0
2.615148,0,-0.1877979,0
2.631639,0,-0.1919017,0
2.64811,0,-0.1939142,0
2.664854,0,-0.1979621,0
2.681301,0,-0.2021844,0
2.697975,0,-0.2044167,0
2.715538,0,-0.209237,0
2.731279,0,-0.2146819,0
2.748132,0,-0.2176936,0
2.764858,0,-0.2244006,0
2.781358,0,-0.2321486,0
2.798476,0,-0.2364574,0
2.817112,0,-0.2460212,0
2.831728,0,-0.2569306,0
2.847939,0,-0.2629147,0
2.86494,0,-0.2759745,0
2.881659,0,-0.2905086,0
2.898605,0,-0.2983276,0
2.914925,0,-0.3150476,0
2.931131,0,-0.3331545,0
2.948881,0,-0.3426985,0
2.965729,0,-0.362689,0
2.981236,0,-0.3837526,0
2.99824,0,-0.3946301,0
3.015272,0,-0.4169467,0
3.034475,0,-0.4398187,0
3.048462,0,-0.4513848,0
3.064696,0,-0.4746094,0
3.081559,0,-0.497722,0
3.09847,0,-0.5091453,0
3.114594,0,-0.5315406,0
3.131713,0,-0.5530853,0
3.148023,0,-0.5634463,0
3.165661,0,-0.5831656,0
3.182864,0,-0.601318,0
3.198872,0,-0.609725,0
3.216167,0,-0.6250502,0
3.235399,0,-0.638211,0
3.249484,0,-0.6439202,0
3.265817,0,-0.6534974,0
3.28153,0,-0.6605172,0
3.298909,0,-0.66304,0
3.314445,0,-0.6660798,0
3.331286,0,-0.6664382,0
3.348217,0,-0.6656207,0
3.364823,0,-0.6620363,0
3.38126,0,-0.6559479,0
3.397135,0,-0.6520115,0
3.413992,0,-0.642473,0
3.430902,0,-0.6309046,0
3.450161,0,-0.6175707,0
3.46457,0,-0.6103345,0
3.480758,0,-0.5949274,0
3.49762,0,-0.5868432,0
3.514428,0,-0.5701413,0
3.53098,0,-0.553045,0
3.548176,0,-0.5444707,0
3.564649,0,-0.5275169,0
3.581532,0,-0.5111523,0
3.59888,0,-0.503313,0
3.615192,0,-0.4885579,0
3.631613,0,-0.4753371,0
3.64983,0,-0.4694099,0
3.66575,0,-0.4591206,0
3.682362,0,-0.4511575,0
3.698714,0,-0.4481283,0
3.715565,0,-0.4441102,0
3.731934,0,-0.4429569,0
3.748655,0,-0.4434964,0
3.764645,0,-0.4468611,0
3.78175,0,-0.4533031,0
3.799235,0,-0.4576754,0
3.815613,0,-0.468685,0
3.83124,0,-0.4826219,0
3.848068,0,-0.4906398,0
3.866939,0,-0.5086469,0
3.881398,0,-0.5290744,0
3.898274,0,-0.5401058,0
3.914147,0,-0.5635989,0
3.93107,0,-0.5886957,0
3.947598,0,-0.601723,0
3.964345,0,-0.6284735,0
3.98132,0,-0.6557851,0
3.998371,0,-0.6695091,0
4.015181,0,-0.6968034,0
4.031311,0,-0.7235013,0
4.048251,0,-0.7364799,0
4.066973,0,-0.7614087,0
4.081383,0,-0.7845929,0
4.098538,0,-0.7953957,0
4.11463,0,-0.8151686,0.001860548
