Time,CV,FF,Input
0,0,-0.791238,0
0.01577759,0,-0.7777878,0
0.03271484,0,-0.7500234,0
0.04931641,0,-0.7358032,0
0.06561279,0,-0.6923848,0
0.08227539,0,-0.6633232,0
0.09915161,0,-0.6489156,0
0.1164551,0,-0.6206132,0
0.1416626,0,-0.5802304,0
0.165863,0,-0.5675273,0
0.1825867,0,-0.5435532,0
0.1992493,0,-0.5323752,0
0.216156,0,-0.5118558,0
0.2349854,0,-0.4940503,0
0.2493896,0,-0.486255,0
0.2662964,0,-0.4730349,0
0.2823792,0,-0.4631459,0
0.3084717,0,-0.4548897,0
0.3323975,0,-0.4547684,0
0.3499146,0,-0.4565442,0
0.3660278,0,-0.4627806,0
0.3826904,0,-0.4725033,0
0.3992004,0,-0.4786234,0
0.4157104,0,-0.4932536,0
0.4325562,0,-0.5108612,0
0.4604187,0,-0.5421999,0
0.4822693,0,-0.5658689,0
0.4992981,0,-0.5783916,0
0.5157166,0,-0.6045529,0
0.5326233,0,-0.6318371,0
0.5487976,0,-0.6457594,0
0.565979,0,-0.6738763,0
0.5827637,0,-0.7019695,0
0.6087646,0,-0.7295777,0
0.6320496,0,-0.7690991,0
0.6490479,0,-0.781554,0
0.667572,0,-0.8050833,0
0.6826172,0,-0.8264645,0
0.6993103,0,-0.8362432,0
0.716217,0,-0.8537888,0
0.7332764,0,-0.8684354,0
0.7579346,0,-0.8799692,0
0.7826843,0,-0.8911005,0
0.7996216,0,-0.8931182,0
0.8162231,0,-0.8945866,0
0.8327332,0,-0.8926497,0
0.8492432,0,-0.8904243,0
0.8676147,0,-0.8835292,0
0.8826294,0,-0.8735074,0
0.8995056,0,-0.867385,0
0.9251709,0,-0.8449339,0
0.9493408,0,-0.826915,0
0.9659119,0,-0.8068232,0
0.9822998,0,-0.7850056,0
0.9991455,0,-0.7735636,0
1.016327,0,-0.7498492,0
1.032654,0,-0.7253472,0
1.049194,0,-0.712921,0
1.065857,0,-0.6879557,0
1.095123,0,-0.6509163,0
1.115509,0,-0.6270046,0
1.133453,0,-0.6040916,0
1.149597,0,-0.5930999,0
1.165894,0,-0.5722063,0
1.182526,0,-0.5529502,0
1.199738,0,-0.543995,0
1.215546,0,-0.527523,0
1.233063,0,-0.5130574,0
1.258331,0,-0.5006616,0
1.282318,0,-0.4859672,0
1.301086,0,-0.4787039,0
1.315643,0,-0.4757976,0
1.333008,0,-0.4713513,0
1.349884,0,-0.46977,0
1.366089,0,-0.4677703,0
1.38269,0,-0.4671366,0
1.399536,0,-0.4672561,0
1.425354,0,-0.4689604,0
1.449615,0,-0.4708642,0
1.466034,0,-0.4730396,0
1.482422,0,-0.4751885,0
1.501465,0,-0.4770165,0
1.516205,0,-0.4777206,0
1.532745,0,-0.4785382,0
1.548981,0,-0.4785872,0
1.566254,0,-0.4778149,0
1.591675,0,-0.4740841,0
1.615417,0,-0.4696212,0
1.63266,0,-0.4634173,0
1.649078,0,-0.4596318,0
1.665863,0,-0.4506551,0
1.682495,0,-0.4397838,0
1.701324,0,-0.4270308,0
1.716644,0,-0.4199642,0
1.745941,0,-0.3961408,0
1.766388,0,-0.3782343,0
1.786865,0,-0.3589017,0
1.802429,0,-0.3383447,0
1.823517,0,-0.3167925,0
1.849487,0,-0.2944964,0.005929834
1.865845,2.861484E-06,-0.271725,0.009999066
1.882507,1.054752E-05,-0.2487579,0.0172333
1.908875,2.654807E-05,-0.2258801,0.01994614
1.932465,5.217057E-05,-0.1923522,0.02582399
1.959991,9.024949E-05,-0.1605923,0.03215395
1.982544,0.0001438369,-0.1408275,0.03667535
1.999176,0.0002151116,-0.1314549,0.04029246
2.015533,0.0003058154,-0.1138591,0.04390958
2.033173,0.00041769,-0.0979481,0.0475267
2.059174,0.0005524766,-0.08387588,0.05023954
2.082397,0.0007114796,-0.06646787,0.05159593
2.099304,0.0008953488,-0.06169154,0.0520481
2.116364,0.001104298,-0.05370994,0.0520481
2.13504,0.001338321,-0.04782701,0.04843098
2.158386,0.001595668,-0.04401555,0.04843098
2.181946,0.001876334,-0.04203686,0.05250021
2.199188,0.002182279,-0.04232466,0.06380373
2.22464,0.002518951,-0.04579901,0.0705858
2.249664,0.002889618,-0.05009052,0.07284653
2.275482,0.003295363,-0.05903346,0.07329865
2.299042,0.003736397,-0.0663723,0.07329865
