Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01727295,0,0.03503782,0,0.5704651
0.03320313,0,0.02765206,0,0.5354309
0.04846191,0,0.0239619,0,0.507782
0.06542969,0,0.01666,0,0.4838257
0.08331299,0,0.009559959,0,0.4671631
0.09906006,0,0.006121606,0,0.4576111
0.1161499,0,-0.0004616678,0,0.4515076
0.1325073,0,-0.006564647,0,0.4519653
0.1591187,0,-0.0120869,0,0.4585266
0.1820068,0,-0.01908526,0,0.4706116
0.1993408,0,-0.02103618,0,0.4896851
0.21521,0,-0.02431637,0,0.5107117
0.2338257,0,-0.02672499,0,0.5350342
0.24823,0,-0.02759004,0,0.5617676
0.265564,0,-0.02862579,0,0.5893555
0.2819824,0,-0.02872622,0,0.617981
0.2992554,0,-0.02842617,0,0.646698
0.3256836,0,-0.02615213,0,0.6751099
0.3487549,0,-0.02353472,0,0.7012634
0.3656006,0,-0.02009535,0,0.7247925
0.3817139,0,-0.01590151,0,0.744873
0.3989868,0,-0.01354665,0,0.7607727
0.4160156,0,-0.008377612,0,0.7743225
0.4345703,0,-0.002680182,0,0.7827148
0.4490356,0,0.00033319,0,0.7854004
0.4656372,0,0.006617308,0,0.7850647
0.4915161,0,0.01646149,0,0.7784424
0.5155029,0,0.02312189,0,0.7619934
0.5315552,0,0.02971423,0,0.7388611
0.5493164,0,0.03294587,0,0.709137
0.5658569,0,0.03920478,0,0.676178
0.5818481,0,0.04509395,0,0.6369629
0.5991211,0,0.04786515,0,0.5918579
0.6154785,0,0.05299652,0,0.5440063
0.6318359,0,0.05750155,0,0.4909973
0.6617432,0,0.06290661,0,0.4335022
0.6820679,0,0.06551233,0,0.3706055
0.6994019,0,0.06649685,0,0.3050842
0.7156982,0,0.06780744,0,0.2385864
0.7318115,0,0.06822322,0,0.1707764
0.7486572,0,0.06809321,0,0.1025391
0.765625,0,0.06716168,0,0.03445435
0.7825928,0,0.06535304,0,-0.03271297
0.8081055,0,0.06270301,0,-0.098066
0.8321533,0,0.05726671,0,-0.160769
0.8504639,0,0.05276871,0,-0.2180358
0.8653564,0,0.05028832,0,-0.2708045
0.8821411,0,0.04492188,0,-0.3210928
0.899292,0,0.04206097,0,-0.3660147
0.9156494,0,0.03604949,0,-0.4080757
0.9320068,0,0.02974355,0,-0.4441252
0.9492188,0,0.02651572,0,-0.4738687
0.9763184,0,0.01670635,0,-0.5003844
0.99823,0,0.01020598,0,-0.5170908
1.016174,0,0.003868937,0,-0.5272968
1.03241,0,-0.002197385,0,-0.5311658
1.05072,0,-0.007892251,0,-0.5289685
1.065491,0,-0.01057148,0,-0.5210763
1.08197,0,-0.01554143,0,-0.5105048
1.09967,0,-0.01781344,0,-0.4949634
1.125183,0,-0.02368271,0,-0.4771499
1.148376,0,-0.02674544,0,-0.4534672
1.165466,0,-0.0290885,0,-0.4267218
1.182007,0,-0.0306952,0,-0.3976333
1.199341,0,-0.03122163,0,-0.3669381
1.216248,0,-0.03172791,0,-0.3357165
1.232849,0,-0.03152591,0,-0.3039886
1.252258,0,-0.03065383,0,-0.2724627
1.274841,0,-0.0291639,0,-0.2418088
1.298401,0,-0.02712137,0,-0.2126449
1.315735,0,-0.02460307,0,-0.1855236
1.33252,0,-0.02169573,0,-0.1609205
1.348999,0,-0.02012563,0,-0.1392248
1.365662,0,-0.01681477,0,-0.1190992
1.38208,0,-0.01336282,0,-0.1022844
1.39856,0,-0.01161706,0,-0.08892158
1.415649,0,-0.008152664,0,-0.07730451
1.442139,0,-0.003221929,0,-0.06915185
1.465149,0,-0.0002611279,0,-0.06592992
1.482422,0,0.002326548,0,-0.06566879
1.498962,0,0.003452897,0,-0.06799533
1.515503,0,0.005320191,0,-0.07144823
1.531799,0,0.006614864,0,-0.07676841
1.548889,0,0.007028222,0,-0.08338328
1.565063,0,0.00735569,0,-0.09041151
1.582031,0,0.006986022,0,-0.0977672
1.609131,0,0.005894303,0,-0.1047532
1.631836,0,0.002886415,0,-0.1106475
1.649536,0,0.001522303,0,-0.113534
1.668213,0,-0.00173068,0,-0.1150563
1.682251,0,-0.005651474,0,-0.1133256
1.699219,0,-0.007846951,0,-0.1076741
1.716003,0,-0.01267022,0,-0.09982719
1.732422,0,-0.0180099,0,-0.08715697
1.759277,0,-0.02378446,0,-0.06914707
1.781982,0,-0.03305972,0,-0.04536261
1.798584,0,-0.03626499,0,-0.0123029
1.815369,0,-0.04276636,0,0.0239563
1.832275,0,-0.0492975,0,0.06671143
1.848328,0,-0.05253959,0,0.1159973
1.865845,0,-0.0589073,0,0.1685486
1.884277,0,-0.06502869,0,0.2274475
1.90863,0,-0.07079767,0,0.2924805
1.931763,0,-0.07857281,0,0.3632813
1.949036,0,-0.08088437,0,0.441864
1.965454,0,-0.08502573,0,0.5227356
1.982361,0,-0.08846515,0,0.6077576
1.999023,0,-0.08990234,0,0.696228
2.015259,0,-0.09217989,0,0.7861328
2.032166,0,-0.09362972,0,0.8783264
2.049438,0,-0.09403574,0,0.9719544
2.085205,0,-0.09350121,0,1.065979
2.098389,0,-0.09283066,0,1.159485
2.114685,0,-0.09086108,0,1.252319
2.13092,0,-0.08808279,0,1.34317
2.147705,0,-0.08640432,0,1.431244
2.164978,0,-0.08250308,0,1.517639
2.181458,0,-0.07793117,0,1.600128
2.197876,0,-0.07541656,0,1.678101
2.215088,0,-0.06998038,0,1.75351
2.24176,0,-0.06097436,0,1.823486
2.26416,0,-0.05453897,0,1.884461
2.281128,0,-0.0478723,0,1.938995
2.298035,0,-0.04448295,0,1.986878
2.317871,0,-0.03765392,0,2.031372
2.332275,0,-0.0308373,0,2.069031
2.348572,0,-0.0274632,0,2.099854
2.365967,0,-0.02083707,0,2.127319
2.392639,0,-0.01135731,0,2.148163
2.415955,0,-0.005449057,0,2.159515
2.432556,0,5.817413E-05,0,2.164978
2.449097,0,0.002645731,0,2.164917
2.465759,0,0.007464886,0,2.162262
2.482483,0,0.01178432,0,2.154785
2.499268,0,0.01375127,0,2.143005
2.517578,0,0.01729393,0,2.129242
2.542664,0,0.0216403,0,2.111938
2.565125,0,0.02391887,0,2.090302
2.582153,0,0.02573752,0,2.066376
2.59845,0,0.02648735,0,2.040649
2.615479,0,0.02769995,0,2.01416
2.632324,0,0.02857685,0,1.98645
2.649048,0,0.02890873,0,1.957886
2.665833,0,0.02940249,0,1.928986
2.682495,0,0.02972865,0,1.899597
2.708313,0,0.02996039,0,1.869873
2.732056,0,0.03029466,0,1.839905
2.749084,0,0.0304389,0,1.809601
2.765991,0,0.03082943,0,1.779175
2.782288,0,0.03141022,0,1.748352
2.799194,0,0.03179049,0,1.716949
2.815918,0,0.03276563,0,1.68515
2.832642,0,0.03406382,0,1.652374
2.860352,0,0.03669572,0,1.618317
2.882385,0,0.03894043,0,1.581635
2.898804,0,0.04021382,0,1.542694
2.915649,0,0.04306221,0,1.502472
2.933594,0,0.0463028,0,1.459412
2.949097,0,0.04806328,0,1.413116
2.966187,0,0.0518446,0,1.365051
2.982239,0,0.05593789,0,1.313202
2.999084,0,0.05808532,0,1.257263
3.024719,0,0.06483984,0,1.199188
3.048218,0,0.06951511,0,1.134338
3.065918,0,0.07423759,0,1.064819
3.082214,0,0.07892311,0,0.9906006
3.098999,0,0.08122444,0,0.9116821
3.115784,0,0.08568829,0,0.8304443
3.133423,0,0.08989179,0,0.744751
3.148804,0,0.09186798,0,0.6548462
3.166016,0,0.09551466,0,0.5629883
3.192505,0,0.1000666,0,0.4674682
3.216125,0,0.102379,0,0.3674011
3.232178,0,0.104037,0,0.2650146
3.249451,0,0.1046033,0,0.1609802
3.265686,0,0.1051821,0,0.05636597
3.283081,0,0.1049946,0,-0.04883222
3.299072,0,0.1046062,0,-0.1538268
3.315613,0,0.1032335,0,-0.258433
3.332397,0,0.1010686,0,-0.3616665
3.360107,0,0.09637594,0,-0.4627351
3.381897,0,0.09233606,0,-0.5591111
3.398682,0,0.09006178,0,-0.6514471
3.416321,0,0.08504558,0,-0.7415089
3.432312,0,0.0794704,0,-0.8265545
3.449585,0,0.07650042,0,-0.9060251
3.465515,0,0.07025695,0,-0.9825256
3.482056,0,0.0636971,0,-1.052783
3.498718,0,0.06033421,0,-1.11648
3.525024,0,0.05009198,0,-1.176814
3.550171,0,0.03994966,0,-1.226906
3.56604,0,0.0366652,0,-1.266856
3.582214,0,0.03033757,0,-1.303521
3.599243,0,0.02732539,0,-1.333859
3.615479,0,0.02168107,0,-1.361185
3.632629,0,0.0166409,0,-1.382866
3.64978,0,0.01438189,0,-1.399507
3.67981,0,0.008799076,0,-1.413889
3.698608,0,0.006183147,0,-1.422688
3.715027,0,0.004538774,0,-1.428871
3.732239,0,0.003922939,0,-1.43341
3.74823,0,0.004014492,0,-1.437333
3.767029,0,0.00501132,0,-1.441348
3.782349,0,0.00710392,0,-1.446359
3.79834,0,0.008560181,0,-1.453463
3.815308,0,0.01228023,0,-1.462023
3.846375,0,0.01980853,0,-1.474304
3.865417,0,0.02604437,0,-1.494112
3.882446,0,0.03316641,0,-1.520157
3.898743,0,0.03703094,0,-1.553323
3.916138,0,0.04530263,0,-1.590354
3.931885,0,0.05420113,0,-1.635657
3.949158,0,0.05884671,0,-1.689858
3.967224,0,0.06844735,0,-1.748705
3.991394,0,0.08335972,0,-1.817152
4.014832,0,0.09343052,0,-1.900512
4.032166,0,0.1034307,0,-1.993943
4.048645,0,0.1083579,0,-2.097374
4.065735,0,0.1179771,0,-2.205732
4.082336,0,0.127162,0,-2.323709
4.099121,0,0.1315494,0,-2.450871
4.115845,0,0.1398315,0,-2.58242
4.132324,0,0.1473575,0,-2.722252
4.159302,0,0.1540174,0,-2.869609
4.181946,0,0.1621809,0,-3.023627
4.19873,0,0.1643753,0,-3.185807
4.215515,0,0.1679296,0,-3.350183
4.232727,0,0.1703343,0,-3.518113
4.249084,0,0.1710958,0,-3.688447
4.265747,0,0.1717315,0,-3.859543
4.282959,0,0.1711845,0,-4.031275
4.309326,-0.0002524548,0.1694756,-0.0009562682,-4.202459
4.331543,-0.007175621,0.1648197,-0.02718038,-4.371683
4.349487,-0.01230832,0.1627369,-0.04662242,-4.529328
4.375549,-0.02030576,0.1550312,-0.07691576,-4.679758
4.398621,-0.02508036,0.1487894,-0.09500136,-4.814483
4.41626,-0.02615465,0.1417818,-0.09907064,-4.938193
4.431702,-0.02687084,0.1341238,-0.1017835,-5.053821
4.449158,-0.02925814,0.1300879,-0.1108263,-5.161074
4.474609,-0.03271971,0.1173382,-0.1239383,-5.261904
4.491455,-0.0358232,0.1084642,-0.135694,-5.346522
4.515259,-0.03773304,0.09944439,-0.1429282,-5.419164
