Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01791382,0,0.03503782,0,0.5704651
0.0324707,0,0.02765206,0,0.5354309
0.04946899,0,0.0239619,0,0.507782
0.06576538,0,0.01666,0,0.4838257
0.08319092,0,0.009559959,0,0.4671631
0.09942627,0,0.006121606,0,0.4576111
0.1262207,0,-0.003579676,0,0.4515076
0.1489258,0,-0.009404272,0,0.4550781
0.1661377,0,-0.01460135,0,0.4644775
0.182373,0,-0.01908526,0,0.4790649
0.1985168,0,-0.02103618,0,0.4981385
0.2162781,0,-0.02431637,0,0.519165
0.234375,0,-0.02672499,0,0.5434875
0.2486877,0,-0.02759004,0,0.5702209
0.2662048,0,-0.02862579,0,0.5978088
0.2920532,0,-0.02842617,0,0.6264343
0.3158875,0,-0.02713561,0,0.6548462
0.3321838,0,-0.02494991,0,0.6819763
0.3493958,0,-0.02353472,0,0.7069397
0.3661194,0,-0.02009535,0,0.7304688
0.3824768,0,-0.01590151,0,0.7505493
0.399353,0,-0.01354665,0,0.766449
0.4154053,0,-0.008377612,0,0.7799988
0.4325867,0,-0.002680182,0,0.7883911
0.4613647,0,0.006617308,0,0.7910767
0.4823303,0,0.01314491,0,0.7844543
0.4992981,0,0.01646149,0,0.7713013
0.5155334,0,0.02312189,0,0.7548523
0.5328064,0,0.02971423,0,0.73172
0.5493164,0,0.03294587,0,0.7019958
0.565979,0,0.03920478,0,0.6690369
0.583374,0,0.04509395,0,0.6298218
0.6105042,0,0.05299652,0,0.5847168
0.6323242,0,0.05750155,0,0.5317078
0.6493225,0,0.05949274,0,0.4742126
0.6684875,0,0.06290661,0,0.4147339
0.6825256,0,0.06551233,0,0.3518372
0.6992493,0,0.06649685,0,0.2863159
0.7156067,0,0.06780744,0,0.2198181
0.7325745,0,0.06822322,0,0.1520081
0.7495117,0,0.06809321,0,0.08377075
0.7766418,0,0.06636509,0,0.01568604
0.7988892,0,0.06413031,0,-0.05069003
0.8161316,0,0.06107795,0,-0.1148204
0.8330383,0,0.05726671,0,-0.1758983
0.8492737,0,0.05509853,0,-0.2331651
