Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01638794,0,0.03503782,0,0.5704651
0.03289795,0,0.02765206,0,0.5354309
0.06019592,0,0.01666,0,0.507782
0.08270264,0,0.009559959,0,0.4911499
0.09950256,0,0.006121606,0,0.4815979
0.1174316,0,-0.0004616678,0,0.4754639
0.1346283,0,-0.006564647,0,0.4759216
0.1494598,0,-0.009404272,0,0.4824829
0.1656952,0,-0.01460135,0,0.4918823
0.1834412,0,-0.01908526,0,0.5064697
0.2168579,0,-0.02431637,0,0.5255737
0.2336121,0,-0.02672499,0,0.5498962
0.2489624,0,-0.02759004,0,0.5766296
0.265625,0,-0.02862579,0,0.6042175
0.2818909,0,-0.02872622,0,0.632843
0.2987213,0,-0.02842617,0,0.6615601
0.3158417,0,-0.02713561,0,0.6899719
0.3325348,0,-0.02494991,0,0.7171021
0.3504486,0,-0.02191395,0,0.7420654
0.3767242,0,-0.01808792,0,0.7639771
0.3977051,0,-0.01354665,0,0.782074
0.4145508,0,-0.008377612,0,0.7956238
0.4315033,0,-0.002680182,0,0.8040161
0.4484863,0,0.00033319,0,0.8067322
0.4658661,0,0.006617308,0,0.8063965
0.4825287,0,0.01314491,0,0.7997742
0.499176,0,0.01646149,0,0.7866516
0.5158844,0,0.02312189,0,0.7702026
0.5438385,0,0.03294587,0,0.7470703
0.5654907,0,0.03920478,0,0.7141418
0.5830841,0,0.04509395,0,0.6749268
0.5991821,0,0.04786515,0,0.6298218
0.6164703,0,0.05299652,0,0.5819702
0.6329193,0,0.05750155,0,0.5289612
0.6496887,0,0.05949274,0,0.4714661
0.6671753,0,0.06290661,0,0.4119873
0.6932983,0,0.06649685,0,0.3490906
0.7154083,0,0.06780744,0,0.2825928
0.732666,0,0.06822322,0,0.2147827
0.749649,0,0.06809321,0,0.1465454
0.7680054,0,0.06716168,0,0.07846069
0.7828369,0,0.06535304,0,0.0112915
0.7997131,0,0.06413031,0,-0.05405047
0.8159027,0,0.06107795,0,-0.1181808
0.8329163,0,0.05726671,0,-0.1792587
0.8595276,0,0.05276871,0,-0.2365255
0.8827057,0,0.04492188,0,-0.2892942
0.8993835,0,0.04206097,0,-0.3342161
0.9166718,0,0.03604949,0,-0.3762771
0.9326477,0,0.02974355,0,-0.4123266
0.9496613,0,0.02651572,0,-0.4420702
0.967865,0,0.01998258,0,-0.4685859
0.9824982,0,0.01344264,0,-0.4885685
0.9998932,0,0.01020598,0,-0.5020112
1.025574,0,0.0007954836,0,-0.5122172
1.049271,0,-0.005097151,0,-0.5130127
1.066528,0,-0.01057148,0,-0.5079156
1.082306,0,-0.01554143,0,-0.4973441
1.099075,0,-0.01781344,0,-0.4818026
1.116379,0,-0.02189088,0,-0.4639892
1.133011,0,-0.02530253,0,-0.4420983
1.149292,0,-0.02674544,0,-0.4167958
1.165604,0,-0.0290885,0,-0.3900504
1.193619,0,-0.03122163,0,-0.3609619
1.215286,0,-0.03172791,0,-0.3297403
1.232559,0,-0.03152591,0,-0.2980124
1.249863,0,-0.03117073,0,-0.2664865
1.266205,0,-0.02998239,0,-0.2353158
1.282852,0,-0.02820724,0,-0.2053334
1.299576,0,-0.02712137,0,-0.1771262
1.316406,0,-0.02460307,0,-0.1500048
1.34285,0,-0.02012563,0,-0.1254017
1.365753,0,-0.01681477,0,-0.1052761
1.38472,0,-0.01336282,0,-0.08846134
1.399399,0,-0.01161706,0,-0.07509852
1.416458,0,-0.008152664,0,-0.06348147
1.432922,0,-0.004812717,0,-0.05532881
1.449158,0,-0.003221929,0,-0.0505161
1.466415,0,-0.0002611279,0,-0.04729417
1.493439,0,0.003452897,0,-0.04703305
1.515823,0,0.005320191,0,-0.05048595
