Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01588058,0,0.03503782,0,0.5704651
0.03301239,0,0.02765206,0,0.5354309
0.05192566,0,0.02029303,0,0.507782
0.06615067,0,0.01666,0,0.4874878
0.08290863,0,0.009559959,0,0.4708252
0.1089859,0,0.002776504,0,0.4612732
0.1324577,0,-0.006564647,0,0.4584961
0.1501923,0,-0.0120869,0,0.4650574
0.1665039,0,-0.01460135,0,0.4771423
0.1830559,0,-0.01908526,0,0.4917298
0.1997337,0,-0.02103618,0,0.5108032
0.2160072,0,-0.02431637,0,0.5318298
0.2337418,0,-0.02672499,0,0.5561523
0.2638206,0,-0.02862579,0,0.5828857
0.2830009,0,-0.02872622,0,0.6115112
0.2994423,0,-0.02842617,0,0.6402283
0.3165741,0,-0.02713561,0,0.6686401
0.3326912,0,-0.02494991,0,0.6957703
0.3495178,0,-0.02353472,0,0.7207336
0.3662491,0,-0.02009535,0,0.7442627
0.3834724,0,-0.01590151,0,0.7643433
0.3995857,0,-0.01354665,0,0.7802429
0.4272766,0,-0.005588353,0,0.7937927
0.4495087,0,0.00033319,0,0.7993774
0.4681892,0,0.006617308,0,0.7990417
0.4827194,0,0.01314491,0,0.7924194
0.4997597,0,0.01646149,0,0.7792664
0.5160065,0,0.02312189,0,0.7628174
0.5329132,0,0.02971423,0,0.7396851
0.550087,0,0.03611445,0,0.7099609
0.5771904,0,0.04220271,0,0.6738586
0.599369,0,0.04786515,0,0.6316528
0.6159515,0,0.05299652,0,0.5838013
0.6335411,0,0.05750155,0,0.5307922
0.6494598,0,0.05949274,0,0.4732971
0.6665611,0,0.06290661,0,0.4138184
0.6855087,0,0.06551233,0,0.3509216
0.6995926,0,0.06649685,0,0.2854004
0.7163353,0,0.06780744,0,0.2189026
0.7449226,0,0.06809321,0,0.1510925
0.7655869,0,0.06716168,0,0.08300781
0.78302,0,0.06535304,0,0.01583862
0.7998619,0,0.06413031,0,-0.04948791
0.8161469,0,0.06107795,0,-0.1136182
0.8334236,0,0.05726671,0,-0.1746962
0.8500824,0,0.05276871,0,-0.2319629
0.8660965,0,0.05028832,0,-0.2847316
0.8829041,0,0.04492188,0,-0.33502
0.9128723,0,0.03604949,0,-0.3799419
0.9326134,0,0.02974355,0,-0.4159914
0.9497757,0,0.02651572,0,-0.445735
0.9670448,0,0.01998258,0,-0.4722508
0.9830437,0,0.01344264,0,-0.4922333
0.9997253,0,0.01020598,0,-0.505676
1.016823,0,0.003868937,0,-0.515882
1.033058,0,-0.002197385,0,-0.519751
1.060249,0,-0.01057148,0,-0.5175536
1.082939,0,-0.01554143,0,-0.5069821
1.102348,0,-0.01993227,0,-0.4914407
1.116104,0,-0.02189088,0,-0.4715084
1.133564,0,-0.02530253,0,-0.4496175
1.149914,0,-0.02674544,0,-0.424315
1.166271,0,-0.0290885,0,-0.3975696
1.182701,0,-0.0306952,0,-0.3684811
1.200172,0,-0.03156507,0,-0.3377859
1.227482,0,-0.03171337,0,-0.3062208
1.249306,0,-0.03117073,0,-0.2745075
1.266865,0,-0.02998239,0,-0.2433367
1.283108,0,-0.02820724,0,-0.2133543
1.301598,0,-0.02591646,0,-0.1851471
1.316067,0,-0.02460307,0,-0.1592306
1.333485,0,-0.02169573,0,-0.1346276
1.349506,0,-0.02012563,0,-0.1129318
1.366314,0,-0.01681477,0,-0.09280622
1.393032,0,-0.01161706,0,-0.07599146
1.416679,0,-0.008152664,0,-0.0643744
1.432739,0,-0.004812717,0,-0.05622173
1.450474,0,-0.001700699,0,-0.05140902
1.467037,0,-0.0002611279,0,-0.04970833
1.483738,0,0.002326548,0,-0.04944721
1.503841,0,0.004453838,0,-0.05177376
1.516911,0,0.005320191,0,-0.0562276
1.549538,0,0.007028222,0,-0.0615478
1.566341,0,0.00735569,0,-0.06857602
1.582909,0,0.006986022,0,-0.07593171
1.599789,0,0.006531358,0,-0.08291773
1.615856,0,0.005074084,0,-0.08944909
1.632359,0,0.002886415,0,-0.09452318
1.649017,0,0.001522303,0,-0.0974096
1.665665,0,-0.00173068,0,-0.0989319
1.682861,0,-0.005651474,0,-0.09720122
1.707687,0,-0.01018935,0,-0.09154975
1.731506,0,-0.0180099,0,-0.0813604
1.748718,0,-0.02084833,0,-0.06335051
1.766029,0,-0.02680665,0,-0.04250218
1.782913,0,-0.03305972,0,-0.01569553
1.799507,0,-0.03626499,0,0.0173645
1.816158,0,-0.04276636,0,0.05361938
1.833649,0,-0.0492975,0,0.09637451
1.859699,0,-0.05574745,0,0.1456604
1.883278,0,-0.06502869,0,0.201416
1.89983,0,-0.06796366,0,0.266449
1.917274,0,-0.07351837,0,0.3344116
