Time,CV,FF,Input
0,0,0.805491,0
0.01556396,0,0.8039248,0
0.03286743,0,0.7974825,0
0.04940796,0,0.7926365,0
0.06573486,0,0.7718899,0
0.08277893,0,0.7532292,0
0.1013336,0,0.7311146,0
0.1164551,0,0.7188938,0
0.1421509,0,0.6783011,0
0.1659546,0,0.6636803,0
0.1834564,0,0.633228,0
0.199295,0,0.6175454,0
0.2163391,0,0.5856496,0
0.2331238,0,0.5535658,0
0.2498474,0,0.5376484,0
0.2662964,0,0.5064486,0
0.2832489,0,0.4765949,0
0.3179321,0,0.423172,0
0.333252,0,0.4006096,0
0.3492737,0,0.3905571,0
0.366272,0,0.3731348,0
0.3830872,0,0.359533,0
0.3991547,0,0.354237,0
0.4161682,0,0.3467513,0
0.4327087,0,0.3434716,0
0.4496307,0,0.3434118,0
0.4836884,0,0.3534332,0
0.4993744,0,0.3583899,0
0.5151672,0,0.3710111,0
0.5318756,0,0.3869451,0
0.5491333,0,0.3960258,0
0.5655365,0,0.4161216,0
0.5815887,0,0.438364,0
0.598526,0,0.4501164,0
0.6155243,0,0.4745148,0
0.6414948,0,0.5121875,0
0.6650696,0,0.5370958,0
0.681427,0,0.561097,0
0.6986542,0,0.5725618,0
0.7176514,0,0.5940413,0
0.7323303,0,0.6131068,0
0.7492523,0,0.621564,0
0.7668304,0,0.6360142,0
0.7927551,0,0.6507018,0
0.8157806,0,0.6552907,0
0.8324738,0,0.6553783,0
0.8493958,0,0.6536682,0
0.8666077,0,0.646653,0
0.883194,0,0.6347889,0
0.8995514,0,0.6270372,0
0.9190826,0,0.6079368,0
0.9465179,0,0.5705694,0
0.9658966,0,0.5401694,0
0.9832458,0,0.5057264,0
0.9998627,0,0.4871012,0
1.017044,0,0.4472963,0
1.032852,0,0.4044556,0
1.049515,0,0.382044,0
1.066177,0,0.3355474,0
1.082642,0,0.2872455,0
1.112091,0,0.2125401,0
1.132462,0,0.161984,0
1.149536,0,0.1366675,0
1.166092,0,0.08625536,0
1.182465,0,0.03651004,0
1.198288,0,0.01201799,0
1.216156,0,-0.03596843,0
1.23259,0,-0.08234609,0
1.258759,0,-0.1268288,0
1.282074,0,-0.189517,0
1.299179,0,-0.2092566,0
1.315521,0,-0.2469265,0
1.334381,0,-0.2821507,0
1.349411,0,-0.2988468,0
1.366501,0,-0.3304395,0
1.383377,0,-0.3597129,0
1.40892,0,-0.3868034,0
1.431992,0,-0.4237413,0
1.449814,0,-0.435174,0
1.466324,0,-0.4568969,0
1.482788,0,-0.4773065,0
1.49913,0,-0.4870993,0
1.516174,0,-0.506023,0
1.536316,0,-0.5242747,0
1.565033,0,-0.5509146,0
1.583008,0,-0.5684945,0
1.598984,0,-0.5773,0
1.615829,0,-0.5950361,0
1.632385,0,-0.6130363,0
1.64946,0,-0.622162,0
1.666351,0,-0.6406935,0
1.682327,0,-0.6596037,0
1.698929,0,-0.6691921,0
1.727463,0,-0.6983802,0
1.748764,0,-0.7180454,0
1.765503,0,-0.7376928,0
1.782608,0,-0.7571251,0
1.799728,0,-0.7666907,0
1.815918,0,-0.7853668,0
1.83226,0,-0.8032178,0
