Time,CV,FF,Input
0,0,0.805491,0
0.01551056,0,0.8039248,0
0.03190231,0,0.7974825,0
0.04933167,0,0.7926365,0
0.06557846,0,0.7718899,0
0.08297729,0,0.7532292,0
0.09920883,0,0.7425783,0
0.115345,0,0.7188938,0
0.1320877,0,0.6924225,0
0.1483994,0,0.6783011,0
0.1658401,0,0.6636803,0
0.1929131,0,0.6175454,0
0.2033424,0,0.60166,0
0.2150917,0,0.5856496,0
0.2319603,0,0.5535658,0
0.248333,0,0.5376484,0
0.2656174,0,0.5064486,0
0.2820358,0,0.4765949,0
0.2999268,0,0.4486593,0
0.3153038,0,0.423172,0
0.3320541,0,0.4006096,0
0.35989,0,0.3813854,0
0.3822479,0,0.359533,0
0.3991661,0,0.354237,0
0.4178772,0,0.3467513,0
0.4316368,0,0.3434716,0
0.4485283,0,0.3434118,0
0.465107,0,0.3464077,0
0.4825554,0,0.3534332,0
0.5089798,0,0.3642629,0
0.5322723,0,0.3869451,0
0.5487137,0,0.3960258,0
0.5662422,0,0.4161216,0
0.5823479,0,0.438364,0
0.5990448,0,0.4501164,0
0.6153908,0,0.4745148,0
0.6344986,0,0.4995916,0
0.6608238,0,0.5370958,0
0.6820107,0,0.561097,0
0.6994209,0,0.5725618,0
0.71558,0,0.5940413,0
0.731987,0,0.6131068,0
0.7487793,0,0.621564,0
0.7657127,0,0.6360142,0
0.7823792,0,0.6468043,0
0.7990532,0,0.6507018,0
0.8271828,0,0.6559116,0
0.8490028,0,0.6536682,0
0.8653183,0,0.646653,0
0.8822327,0,0.6347889,0
0.8987122,0,0.6270372,0
0.9159203,0,0.6079368,0
0.9325943,0,0.5841551,0
0.9489174,0,0.5705694,0
0.9653435,0,0.5401694,0
0.9922218,0,0.4871012,0
1.015549,0,0.4472963,0
1.032955,0,0.4044556,0
1.051022,0,0.3590535,0
1.065968,0,0.3355474,0
1.082657,0,0.2872455,0
1.099789,0,0.2625792,0
1.115479,0,0.2125401,0
1.144295,0,0.1366675,0
1.16563,0,0.08625536,0
1.182453,0,0.03651004,0
1.199543,0,0.01201799,0
1.219055,0,-0.03596843,0
1.240131,0,-0.10484,0
1.267872,0,-0.1482859,0
1.29351,0,-0.2092566,0
1.314697,0,-0.2469265,0
1.332634,0,-0.2821507,0
1.348759,0,-0.2988468,0
1.365215,0,-0.3304395,0
1.382484,0,-0.3597129,0
1.399193,0,-0.3735209,0
1.4156,0,-0.3995839,0
1.432243,0,-0.4237413,0
1.460182,0,-0.4568969,0
1.481255,0,-0.4773065,0
1.499008,0,-0.4870993,0
1.516129,0,-0.506023,0
1.532463,0,-0.5242747,0
1.548553,0,-0.5332247,0
1.565346,0,-0.5509146,0
1.582077,0,-0.5684945,0
1.599068,0,-0.5773,0
1.626274,0,-0.6039972,0
1.648361,0,-0.622162,0
1.665169,0,-0.6406935,0
1.684177,0,-0.6596037,0
1.698647,0,-0.6691921,0
1.71526,0,-0.6885929,0
1.732395,0,-0.708204,0
1.748554,0,-0.7180454,0
1.766151,0,-0.7376928,0
1.793423,0,-0.7666907,0
