Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01565552,0,0.03503782,0,0.5704651
0.03262329,0,0.02765206,0,0.5354309
0.04898071,0,0.0239619,0,0.507782
0.06585693,0,0.01666,0,0.4838257
0.08312988,0,0.009559959,0,0.4671631
0.1012573,0,0.002776504,0,0.4576111
0.1153564,0,-0.0004616678,0,0.454834
0.1329651,0,-0.006564647,0,0.4552918
0.148407,0,-0.009404272,0,0.461853
0.1658325,0,-0.01460135,0,0.4712524
0.1824951,0,-0.01908526,0,0.4858398
0.1987915,0,-0.02103618,0,0.5049133
0.2151794,0,-0.02431637,0,0.5259399
0.2321472,0,-0.02672499,0,0.5502625
0.2487488,0,-0.02759004,0,0.5769958
0.2653809,0,-0.02862579,0,0.6045837
0.2817383,0,-0.02872622,0,0.6332092
0.2982178,0,-0.02842617,0,0.6619263
0.3166504,0,-0.02713561,0,0.6903381
0.3320618,0,-0.02494991,0,0.7174683
0.3482056,0,-0.02353472,0,0.7424316
0.3649597,0,-0.02009535,0,0.7659607
0.3813782,0,-0.01590151,0,0.7860413
0.3986816,0,-0.01354665,0,0.8019409
0.4155884,0,-0.008377612,0,0.8154907
0.4320984,0,-0.002680182,0,0.8238831
0.4489746,0,0.00033319,0,0.8265686
0.4658813,0,0.006617308,0,0.8262329
0.482666,0,0.01314491,0,0.8196106
0.4987793,0,0.01646149,0,0.8064575
0.5170898,0,0.02312189,0,0.7900391
0.532135,0,0.02971423,0,0.7669067
0.5487976,0,0.03294587,0,0.7371826
0.5653687,0,0.03920478,0,0.7042236
0.58255,0,0.04509395,0,0.6650085
0.5985413,0,0.04786515,0,0.6199036
0.6154785,0,0.05299652,0,0.572052
0.6320496,0,0.05750155,0,0.519043
0.6487732,0,0.05949274,0,0.4615479
0.6655273,0,0.06290661,0,0.4020691
0.6820984,0.005027052,0.06551233,0.01904186,0.3391724
0.698822,0.01911211,0.06649685,0.07239437,0.2686157
0.7170105,0.03498765,0.06780744,0.132529,0.1830139
0.7321777,0.04250764,0.06822322,0.1610138,0.08023071
0.7489929,0.04775969,0.06809321,0.1809079,-0.03052731
0.7654114,0.0474016,0.06716168,0.1795515,-0.1463802
0.7822266,0.04167209,0.06535304,0.1578488,-0.2609436
0.7989502,0.02233497,0.06413031,0.08460217,-0.3679687
0.8153076,0.005265782,0.06107795,0.01994614,-0.4544339
0.8324585,0,0.05726671,0,-0.5207776
0.8486023,0,0.05509853,0,-0.5780444
0.865509,0,0.05028832,0,-0.6331429
0.8821106,0,0.04492188,0,-0.6834313
0.8986816,0,0.04206097,0,-0.7283531
0.9156494,0,0.03604949,0,-0.7704141
0.9339294,0,0.02974355,0,-0.8064636
0.9487915,0,0.02651572,0,-0.8362072
0.965271,0,0.01998258,0,-0.8627229
0.9821777,0,0.01344264,0,-0.8827056
0.9989014,0,0.01020598,0,-0.8961481
1.015381,0,0.003868937,0,-0.9063541
1.032318,0,-0.002197385,0,-0.910223
1.049286,0,-0.005097151,0,-0.9080257
1.065491,0,-0.01057148,0,-0.9029285
1.083191,0,-0.01554143,0,-0.8923571
1.09906,0,-0.01781344,0,-0.8768157
1.115814,0,-0.02189088,0,-0.8590022
1.138855,0,-0.02530253,0,-0.8371114
1.149048,0,-0.02674544,0,-0.8118089
1.16684,0,-0.0290885,0,-0.7850635
1.182312,0,-0.0306952,0,-0.755975
1.198578,0,-0.03122163,0,-0.7252798
1.216187,0,-0.03172791,0,-0.6940582
1.232513,0,-0.03152591,0,-0.6623303
1.248627,0,-0.03117073,0,-0.6308044
1.265015,0,-0.02998239,0,-0.5996338
1.281647,0,-0.02820724,0,-0.5696514
1.298462,0,-0.02712137,0,-0.5414442
1.314606,0,-0.02460307,0,-0.5143228
1.331665,0,-0.02169573,0,-0.4897198
1.350494,0,-0.01849437,0,-0.4680241
1.364563,0,-0.01681477,0,-0.4495297
1.381531,0,-0.01336282,0,-0.432715
1.398224,0,-0.01161706,0,-0.4193521
1.414429,0,-0.008152664,0,-0.4077351
1.431854,0,-0.004812717,0,-0.3995824
1.448303,0,-0.003221929,0,-0.3947698
1.465485,0,-0.0002611279,0,-0.3915478
1.481842,0,0.002326548,0,-0.3912867
1.498779,0,0.003452897,0,-0.3936132
1.515503,0,0.005320191,0,-0.3970661
1.531952,0,0.006614864,0,-0.4023863
1.550568,0,0.007277012,0,-0.4090012
1.565308,0,0.00735569,0,-0.4162782
1.582214,0,0.006986022,0,-0.423634
1.598999,0,0.006531358,0,-0.43062
1.615356,0,0.005074084,0,-0.4371513
1.632141,0,0.002886415,0,-0.4422255
1.648773,0,0.001522303,0,-0.4451119
1.665527,0,-0.00173068,0,-0.4466343
1.68277,0,-0.005651474,0,-0.4449036
1.698517,0,-0.007846951,0,-0.4392521
1.715973,0,-0.01267022,0,-0.4314052
1.731995,0,-0.0180099,0,-0.418735
1.75119,0,-0.02378446,0,-0.4007251
1.765442,0,-0.02680665,0,-0.3769406
1.781921,0,-0.03305972,0,-0.350134
1.799286,0,-0.03626499,0,-0.3170743
1.815887,0,-0.04276636,0,-0.2808093
1.832611,0,-0.0492975,0,-0.238043
1.848877,0,-0.05253959,0,-0.1887455
1.865784,0,-0.0589073,0,-0.136206
1.882751,0,-0.06502869,0,-0.07729866
1.898926,0,-0.06796366,0,-0.01226997
1.915802,0,-0.07351837,0,0.05569458
1.93277,0,-0.07857281,0,0.1292114
1.950409,0,-0.08303851,0,0.2077942
1.965881,0,-0.08502573,0,0.2908325
1.9823,0,-0.08846515,0,0.3758545
1.999207,0,-0.08990234,0,0.464325
2.015381,0,-0.09217989,0,0.5542603
2.032013,0,-0.09362972,0,0.6464539
2.049316,0,-0.09403574,0,0.7400818
2.065643,0,-0.09420061,0,0.8341064
2.082581,0,-0.09350121,0,0.9283142
2.098877,0,-0.09283066,0,1.02182
2.115723,0,-0.09086108,0,1.114655
2.132599,0,-0.08808279,0,1.205505
2.149078,0,-0.08640432,0,1.293579
2.167511,0,-0.08250308,0,1.379974
2.182129,0,-0.07793117,0,1.462463
2.198975,0,-0.07541656,0,1.540405
2.216034,0,-0.06998038,0,1.615814
2.232544,0,-0.06407452,0,1.685791
2.249268,0,-0.06097436,0,1.749878
2.265503,0,-0.05453897,0,1.810852
2.28241,0,-0.0478723,0,1.865387
2.299194,0,-0.04448295,0,1.913269
2.315582,0,-0.03765392,0,1.957764
2.33252,0.01911211,-0.0308373,0.07239437,1.995422
2.348816,0.03009368,-0.0274632,0.1139912,2.007141
2.365753,0.03964288,-0.02083707,0.1501624,2.004517
2.384369,0.04071717,-0.01444316,0.1542317,1.985718
2.399017,0.03761368,-0.01135731,0.1424761,1.959442
2.415497,0.02746766,-0.005449057,0.1040442,1.933167
2.432526,0,5.817413E-05,0,1.911163
2.448792,0,0.002645731,0,1.911102
2.465729,0,0.007464886,0,1.908447
2.482056,0,0.01178432,0,1.90097
2.498535,0,0.01375127,0,1.889191
2.515411,0,0.01729393,0,1.875427
2.532349,0,0.02031851,0,1.858124
2.548859,0,0.0216403,0,1.837799
2.565491,0,0.02391887,0,1.816162
2.58194,0,0.02573752,0,1.792236
2.600647,0,0.02713943,0,1.76651
2.615326,0,0.02769995,0,1.73938
2.632233,0,0.02857685,0,1.71167
2.648743,0,0.02890873,0,1.683105
2.665314,0,0.02940249,0,1.654205
2.682739,0,0.02972865,0,1.624817
2.698639,0,0.02985144,0,1.595093
2.716034,0,0.03006458,0,1.565247
2.73233,0,0.03029466,0,1.535187
2.749054,0,0.0304389,0,1.504913
2.765594,0,0.03082943,0,1.474487
2.781891,0,0.03141022,0,1.443665
2.799103,0,0.03179049,0,1.412262
2.817566,0,0.03276563,0,1.380463
2.832825,0,0.03406382,0,1.347687
2.849182,0,0.03484654,0,1.313629
2.86557,0,0.03669572,0,1.278778
2.882629,0.003475315,0.03894043,0.01316407,1.242096
2.899353,0.005623884,0.04021382,0.02130259,1.199677
2.915802,0.00574324,0.04306221,0.0217547,1.15387
2.932617,0,0.0463028,0,1.105103
2.948822,0,0.04806328,0,1.058807
2.965759,0,0.0518446,0,1.010742
2.982727,0,0.05593789,0,0.9588928
2.999023,0,0.05808532,0,0.9029541
3.015961,0,0.0625447,0,0.8448792
3.035095,0,0.06716645,0,0.7823486
3.049103,0,0.06951511,0,0.7151794
3.065735,0,0.07423759,0,0.6456604
3.08255,0,0.07892311,0,0.5714111
3.099243,0,0.08122444,0,0.4924927
3.115631,0,0.08568829,0,0.4112549
3.132507,0,0.08989179,0,0.3255615
3.149109,0,0.09186798,0,0.2356567
3.16568,0,0.09551466,0,0.1437988
3.182526,0,0.09868479,0,0.04827881
3.198944,0,0.1000666,0,-0.05041682
3.216034,0,0.102379,0,-0.1504834
3.234314,0,0.104037,0,-0.2528625
3.248749,0,0.1046033,0,-0.3568995
3.265503,0,0.1051821,0,-0.4615029
3.281891,0,0.1049946,0,-0.566685
3.298798,0,0.1046062,0,-0.6716796
3.315491,0,0.1032335,0,-0.7762857
3.332001,0,0.1010686,0,-0.8795192
3.348846,0,0.09969366,0,-0.9805878
3.365143,0,0.09637594,0,-1.080282
3.38205,0,0.09233606,0,-1.176658
3.398529,0,0.09006178,0,-1.268994
3.415558,0,0.08504558,0,-1.359056
3.432343,0,0.0794704,0,-1.444101
3.450653,0,0.07342505,0,-1.523572
3.465607,0,0.07025695,0,-1.596997
3.482666,0,0.0636971,0,-1.667254
3.498535,0,0.06033421,0,-1.730951
3.515869,0,0.05351615,0,-1.791285
3.532349,0,0.04667902,0,-1.844801
3.548767,0,0.04329252,0,-1.891481
3.565643,0,0.0366652,0,-1.934773
3.58252,0,0.03033757,0,-1.971439
3.598633,0,0.02732539,0,-2.001777
3.615295,0,0.02168107,0,-2.029102
3.632263,0,0.0166409,0,-2.050783
3.648987,0,0.01438189,0,-2.067425
3.667175,0,0.01044917,0,-2.081807
3.682007,0,0.00737381,0,-2.092256
3.698517,0,0.006183147,0,-2.09963
3.715149,0,0.004538774,0,-2.105813
3.732178,0,0.003922939,0,-2.110352
3.748596,0,0.004014492,0,-2.114275
3.765411,0,0.00501132,0,-2.11829
3.78186,0,0.00710392,0,-2.123301
3.798584,0,0.008560181,0,-2.130405
3.815582,0,0.01228023,0,-2.138965
3.832306,0,0.01704741,0,-2.151245
3.848663,0,0.01980853,0,-2.168293
3.865753,0,0.02604437,0,-2.188102
3.883575,0,0.03316641,0,-2.214146
3.898743,0,0.03703094,0,-2.247313
3.915649,0,0.04530263,0,-2.284344
3.932129,0,0.05420113,0,-2.329646
3.948669,0,0.05884671,0,-2.383847
3.965637,0,0.06844735,0,-2.442694
3.982178,0,0.07834482,0,-2.511142
3.998779,0,0.08335972,0,-2.589487
4.015594,0,0.09343052,0,-2.672847
4.032043,0,0.1034307,0,-2.766277
4.048615,0,0.1083579,0,-2.869708
4.065613,0,0.1179771,0,-2.978066
4.08197,0,0.127162,0,-3.096043
4.100677,0,0.135777,0,-3.223205
4.115448,0,0.1398315,0,-3.358982
4.131958,0,0.1473575,0,-3.498814
4.148834,0,0.1508021,0,-3.646172
4.165161,0,0.1569934,0,-3.796974
4.182068,0,0.1621809,0,-3.953968
4.198914,0,0.1643753,0,-4.116149
4.215393,0,0.1679296,0,-4.280524
4.232391,0,0.1703343,0,-4.448454
4.248718,0,0.1710958,0,-4.618789
4.265625,0,0.1717315,0,-4.789885
4.281799,0,0.1711845,0,-4.961617
4.298523,0,0.1704741,0,-5.132802
4.31723,0,0.1681967,0,-5.303277
4.332458,0,0.1648197,0,-5.471474
4.348572,0,0.1627369,0,-5.636293
4.36554,0,0.1578321,0,-5.79903
4.382141,0,0.1520128,0,-5.956862
4.398743,0,0.1487894,0,-6.108875
4.41568,0,0.1417818,0,-6.257665
4.432068,0,0.1341238,0,-6.399446
4.448822,0,0.1300879,0,-6.533571
4.465363,0,0.1216784,0,-6.663659
4.482666,0,0.1129274,0,-6.785337
4.498718,0,0.1084642,0,-6.898265
4.517212,0,0.09944439,0,-7.006729
4.532227,0,0.09040356,0,-7.106174
4.548462,0,0.08591366,0,-7.196579
4.565765,0,0.0770731,0,-7.282493
4.581818,0,0.06851006,0,-7.359567
4.598602,0,0.06436539,0,-7.428076
4.615875,0,0.05641079,0,-7.492442
4.631989,0,0.04897404,0,-7.548853
4.648865,0,0.04547596,0,-7.597827
4.665222,0,0.03895473,0,-7.643304
4.682037,0,0.03311443,0,-7.682258
4.698914,0,0.03046322,0,-7.715373
4.717255,0,0.02571583,0,-7.745838
4.732056,0,0.02171993,0,-7.771553
4.748596,0,0.02000523,0,-7.793273
4.765625,0,0.01713848,0,-7.813279
4.782379,0,0.01500225,0,-7.830419
4.798523,0,0.0141983,0,-7.845421
4.815826,0,0.0130949,0,-7.859619
4.832367,-1.372496E-05,0.01262093,-5.19885E-05,-7.872715
4.848694,-0.009562918,0.0126009,-0.03622318,-7.885324
4.865051,-0.01600862,0.01295567,-0.06063873,-7.888361
4.882019,-0.02543846,0.01377487,-0.09635781,-7.885308
4.898865,-0.03164544,0.01433563,-0.1198691,-7.873645
4.915558,-0.03916542,0.01570892,-0.1483539,-7.856336
