Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01609802,0,0.03503782,0,0.5704651
0.03456116,0,0.02765206,0,0.5354309
0.04853821,0,0.0239619,0,0.507782
0.0655365,0,0.01666,0,0.4838257
0.08229065,0,0.009559959,0,0.4671631
0.09875488,0,0.006121606,0,0.4576111
0.1157379,0,-0.0004616678,0,0.4515076
0.1327667,0,-0.006564647,0,0.4519653
0.1482391,0,-0.009404272,0,0.4585266
0.1650848,0,-0.01460135,0,0.467926
0.1819763,0,-0.01908526,0,0.4825439
0.1987457,0,-0.02103618,0,0.5016174
0.2155914,0,-0.02431637,0,0.522644
0.2320709,0,-0.02672499,0,0.5469666
0.2514038,0,-0.02822441,0,0.5737
0.2653198,0,-0.02862579,0,0.6019287
0.281662,0,-0.02872622,0,0.6305542
0.2985229,0,-0.02842617,0,0.6592712
0.3155212,0,-0.02713561,0,0.6876831
0.3318024,0,-0.02494991,0,0.7148132
0.3488464,0,-0.02353472,0,0.7397766
0.3648987,0,-0.02009535,0,0.7633057
0.3818359,0,-0.01590151,0,0.7833862
0.3990173,0,-0.01354665,0,0.7992859
0.4154205,0,-0.008377612,0,0.8128357
0.4321442,0,-0.002680182,0,0.821228
0.4507141,0,0.0034374,0,0.8239441
0.4656067,0,0.006617308,0,0.8204956
0.4813995,0,0.01314491,0,0.8138733
0.4983368,0,0.01646149,0,0.8007202
0.5157471,0,0.02312189,0,0.7843018
0.5320282,0,0.02971423,0,0.7611694
0.5485382,0,0.03294587,0,0.7314453
0.5656891,0,0.03920478,0,0.6984863
0.5826874,0,0.04509395,0,0.6592712
0.5986023,0,0.04786515,0,0.6141663
0.6153107,0,0.05299652,0,0.5663147
0.6318359,0,0.05750155,0,0.5133057
0.6491699,0,0.05949274,0,0.4558105
0.6681213,0,0.06290661,0,0.3963318
0.6820068,0,0.06551233,0,0.3334351
0.6988373,0,0.06649685,0,0.2679138
0.715271,0,0.06780744,0,0.201416
0.7320099,0,0.06822322,0,0.133606
0.74823,0,0.06809321,0,0.06536865
0.7656708,0,0.06716168,0,-0.002714773
0.7826691,0,0.06535304,0,-0.06987645
0.7988281,0,0.06413031,0,-0.1352295
0.8154144,0,0.06107795,0,-0.1993598
0.8323212,0,0.05726671,0,-0.2604378
0.848465,0,0.05509853,0,-0.3177046
0.8659973,0,0.05028832,0,-0.3728031
0.8840179,0,0.04492188,0,-0.4230914
0.8985596,0,0.04206097,0,-0.4680133
0.9151917,0,0.03604949,0,-0.5100742
0.9320679,0,0.02974355,0,-0.5461237
0.9489288,0,0.02651572,0,-0.5758674
0.9653778,0,0.01998258,0,-0.6023831
0.9828644,0,0.01344264,0,-0.6223657
0.9987335,0,0.01020598,0,-0.6358083
1.021271,0,0.0007954836,0,-0.6460145
1.032455,0,-0.002197385,0,-0.6468099
1.048584,0,-0.005097151,0,-0.6446126
1.065689,0,-0.01057148,0,-0.6395155
1.081711,0,-0.01554143,0,-0.6289441
1.101563,0,-0.01993227,0,-0.6134027
1.115463,0,-0.02189088,0,-0.5934705
1.132156,0,-0.02530253,0,-0.5715797
1.148605,0,-0.02674544,0,-0.5462772
1.165558,0,-0.0290885,0,-0.5195318
1.182892,0,-0.0306952,0,-0.4904433
1.199081,0,-0.03122163,0,-0.4597481
1.21608,0,-0.03172791,0,-0.4285266
1.232971,0,-0.03152591,0,-0.3967987
1.248886,0,-0.03117073,0,-0.3652728
1.26564,0,-0.02998239,0,-0.3341021
1.28244,0,-0.02820724,0,-0.3041197
1.302048,0,-0.02591646,0,-0.2759125
1.315872,0,-0.02460307,0,-0.2499961
1.331833,0,-0.02169573,0,-0.225393
1.348679,0,-0.02012563,0,-0.2036973
1.365692,0,-0.01681477,0,-0.1835717
1.382004,0,-0.01336282,0,-0.1667569
1.398682,0,-0.01161706,0,-0.1533941
1.415894,0,-0.008152664,0,-0.1417771
1.432159,0,-0.004812717,0,-0.1336244
1.448669,0,-0.003221929,0,-0.1288117
1.465317,0,-0.0002611279,0,-0.1255898
1.482208,0,0.002326548,0,-0.1253286
1.498306,0,0.003452897,0,-0.1276552
1.517181,0,0.005320191,0,-0.1311081
1.532745,0,0.006614864,0,-0.1364283
1.548645,0,0.007028222,0,-0.1430432
1.566055,0,0.00735569,0,-0.1500714
1.582016,0,0.006986022,0,-0.1574271
1.598526,0,0.006531358,0,-0.1644131
1.615219,0,0.005074084,0,-0.1709445
1.631683,0,0.002886415,0,-0.1760186
1.648468,0,0.001522303,0,-0.178905
1.665436,0,-0.00173068,0,-0.1804273
1.681854,0,-0.005651474,0,-0.1786966
1.698746,0,-0.007846951,0,-0.1730452
1.717453,0,-0.01267022,0,-0.1651982
1.731674,0,-0.0180099,0,-0.152528
1.74939,0,-0.02084833,0,-0.1345181
1.765869,0,-0.02680665,0,-0.1136698
1.782196,0,-0.03305972,0,-0.08686316
1.799042,0,-0.03626499,0,-0.05380344
1.81517,0,-0.04276636,0,-0.01753845
1.832306,0,-0.0492975,0,0.02523804
1.848328,0,-0.05253959,0,0.07452393
1.865219,0,-0.0589073,0,0.1270752
1.882736,0,-0.06502869,0,0.1860046
1.899338,0,-0.06796366,0,0.2510376
1.917831,0,-0.07351837,0,0.3190002
1.931763,0,-0.07857281,0,0.3925171
1.948639,0,-0.08088437,0,0.4710999
1.965927,0,-0.08502573,0,0.5519714
1.982407,0,-0.08846515,0,0.6369934
1.998779,0,-0.08990234,0,0.7254639
2.015381,0,-0.09217989,0,0.8153687
2.031982,0,-0.09362972,0,0.9075623
2.048218,0,-0.09403574,0,1.00119
2.065857,0,-0.09420061,0,1.095215
2.081543,0,-0.09350121,0,1.189423
2.098358,0,-0.09283066,0,1.282928
2.114868,0,-0.09086108,0,1.375763
2.134445,0,-0.08808279,0,1.466614
2.148544,0,-0.08640432,0,1.554688
2.165817,0,-0.08250308,0,1.641083
2.182999,0,-0.07793117,0,1.723572
2.19902,0,-0.07541656,0,1.801514
2.215744,0,-0.06998038,0,1.876923
2.232452,0,-0.06407452,0,1.946899
2.248917,0,-0.06097436,0,2.010986
2.265778,0,-0.05453897,0,2.07196
2.282028,0,-0.0478723,0,2.126495
2.298752,0,-0.04448295,0,2.174377
2.314575,0,-0.03765392,0,2.218872
2.332657,0,-0.0308373,0,2.256531
2.350418,0,-0.02412581,0,2.287354
2.365631,0,-0.02083707,0,2.311493
2.382065,0,-0.01444316,0,2.332336
2.398361,0,-0.01135731,0,2.346771
2.415421,0,-0.005449057,0,2.358124
2.432404,0,5.817413E-05,0,2.363586
2.448517,0,0.002645731,0,2.363525
2.464951,0,0.007464886,0,2.360901
2.482681,0,0.01178432,0,2.353424
2.498642,0,0.01375127,0,2.341644
2.516434,0,0.01729393,0,2.327881
2.53244,0,0.02031851,0,2.310577
2.548721,0,0.0216403,0,2.290253
2.568481,0,0.02391887,0,2.268616
2.583145,0,0.02573752,0,2.24469
2.59967,0,0.02648735,0,2.218964
2.616028,0,0.02769995,0,2.192474
2.632828,0,0.02857685,0,2.164764
2.648972,0,0.02890873,0,2.1362
2.665436,0,0.02940249,0,2.1073
2.68277,0,0.02972865,0,2.077911
2.698959,0,0.02985144,0,2.048187
2.715103,0,0.03006458,0,2.018341
2.731781,0,0.03029466,0,1.988281
2.748688,0,0.0304389,0,1.957977
2.766174,0,0.03082943,0,1.927551
2.784378,0,0.03141022,0,1.896729
2.799011,0,0.03179049,0,1.865356
2.815918,0,0.03276563,0,1.833557
2.832108,0,0.03406382,0,1.800781
2.848801,0,0.03484654,0,1.766724
2.866516,0,0.03669572,0,1.731873
2.882401,0,0.03894043,0,1.69519
2.898682,0,0.04021382,0,1.65625
2.915756,0,0.04306221,0,1.616028
2.932312,0,0.0463028,0,1.572968
2.949173,0,0.04806328,0,1.526672
2.966537,0,0.0518446,0,1.478607
2.983765,0,0.05593789,0,1.426758
2.998978,0,0.05808532,0,1.370819
3.015793,0,0.0625447,0,1.312744
3.031937,0,0.06716645,0,1.250214
3.04837,0,0.06951511,0,1.183075
3.065948,0,0.07423759,0,1.113556
3.082977,0,0.07892311,0,1.039307
3.098602,0,0.08122444,0,0.9603882
3.115829,0,0.08568829,0,0.8791504
3.133362,0,0.08989179,0,0.793457
