Time,CV,FF,Input
0,0,-0.791238,0
0.01577759,0,-0.7777878,0
0.03231812,0,-0.7500234,0
0.04928589,0,-0.7358032,0
0.06539917,0,-0.6923848,0
0.08258057,0,-0.6633232,0
0.09936523,0,-0.6489156,0
0.1160278,0,-0.6206132,0
0.1324768,0,-0.593346,0
0.1554565,0,-0.5675273,0
0.1660461,0,-0.5675273,0
0.1916199,0,-0.5323752,0
0.2154846,0,-0.5118558,0
0.2323914,0,-0.4940503,0
0.2490845,0,-0.486255,0
0.2658386,0,-0.4730349,0
0.2823792,0,-0.4631459,0
0.2990417,0,-0.4567465,0
0.3163452,0,-0.4539393,0
0.343811,0,-0.4565442,0
0.3656006,0,-0.4627806,0
0.3827515,0,-0.4725033,0
0.3989868,0,-0.4786234,0
0.4176941,0,-0.4932536,0
0.4324341,0,-0.5108612,0
0.4487915,0,-0.5206915,0
0.4660034,0,-0.5421999,0
0.482666,0,-0.5658689,0
0.5101013,0,-0.6045529,0
0.5323792,0,-0.6318371,0
0.5489502,0,-0.6457594,0
0.5661011,0,-0.6738763,0
0.5822144,0,-0.7019695,0
0.5994873,0,-0.7158628,0
0.617981,0,-0.7430583,0
0.6325073,0,-0.7690991,0
0.6494751,0,-0.781554,0
0.6751099,0,-0.8160644,0
0.6985168,0,-0.8362432,0
0.7160645,0,-0.8537888,0
0.7322998,0,-0.8684354,0
0.7488403,0,-0.8746027,0
0.7659912,0,-0.8845169,0
0.782135,0,-0.8911005,0
0.7992249,0,-0.8931182,0
0.8154602,0,-0.8945866,0
0.8440247,0,-0.8904243,0
0.8651733,0,-0.8835292,0
0.8822937,0,-0.8735074,0
0.8989563,0,-0.867385,0
0.9159851,0,-0.8530648,0
0.9327087,0,-0.8362042,0
0.9491882,0,-0.826915,0
0.9656982,0,-0.8068232,0
0.9923096,0,-0.7735636,0
1.016083,0,-0.7498492,0
1.034027,0,-0.7253472,0
1.049042,0,-0.712921,0
1.066101,0,-0.6879557,0
1.082428,0,-0.6631487,0
1.099396,0,-0.6509163,0
1.11618,0,-0.6270046,0
1.142151,0,-0.5930999,0
1.165771,0,-0.5722063,0
1.182739,0,-0.5529502,0
1.199097,0,-0.543995,0
1.215668,0,-0.527523,0
1.232635,0,-0.5130574,0.08279361
1.251221,3.995264E-05,-0.5006616,0.207132
1.266052,0.0001798504,-0.4952463,0.2754051
1.282379,0.0004526188,-0.4859672,0.3387047
1.310242,0.0008887771,-0.4757976,0.4431491
1.324951,0.001538693,-0.4733532,0.4793202
1.349213,0.002419778,-0.46977,0.5322206
1.365448,0.003557514,-0.4677703,0.5503062
1.382263,0.004960577,-0.4671366,0.5720088
1.399017,0.006639386,-0.4672561,0.5855731
1.416748,0.008600432,-0.4682027,0.598233
1.443726,0.01084977,-0.4708642,0.6253614
1.460083,0.01340043,-0.4730396,0.6502292
1.482208,0.01626435,-0.4751885,0.6760011
1.49884,0.01945391,-0.4761607,0.6927303
1.515869,0.02297711,-0.4777206,0.7221193
1.533203,0.02684807,-0.4785382,0.7393007
1.559143,0.03107501,-0.4783555,0.7768283
1.58252,0.03567597,-0.4757027,0.8053131
1.599426,0.04066462,-0.4740841,0.8292766
1.62439,0.04605245,-0.4667436,0.8487185
1.649689,0.05184876,-0.4596318,0.8523356
1.676697,0.0580552,-0.4454565,0.8527878
1.698761,0.06467193,-0.4336401,0.8573092
1.715668,0.07170103,-0.4199642,0.8577613
1.732605,0.07914265,-0.4045047,0.8577613
1.748749,0.08699669,-0.3961408,0.8582135
1.766266,0.0952633,-0.3782343,0.8713255
1.792969,0.1039487,-0.3487625,0.8948368
1.815979,0.1130642,-0.3276778,0.9142789
1.832336,0.1226191,-0.305721,0.927843
1.849304,0.1326198,-0.2944964,0.957232
1.865509,0.1430804,-0.271725,0.9766741
1.88446,0.1540102,-0.2487579,1.007872
1.910614,0.1654242,-0.2145639,1.059416
1.932587,0.1773472,-0.1923522,1.092422
1.958008,0.1897949,-0.1709278,1.136279
1.98175,0.2027884,-0.1408275,1.162504
1.999481,0.2163403,-0.1314549,1.178328
2.024963,0.2304582,-0.1056826,1.197318
2.049164,0.2451509,-0.09067381,1.198223
2.06604,0.260419,-0.0775682,1.196414
2.084137,0.2762613,-0.06646787,1.178328
2.109283,0.2926691,-0.05743812,1.169286
