Time,CV,FF,Input
0,0,-0.791238,0
0.01480293,0,-0.7777878,0
0.03286648,0,-0.7500234,0
0.06092644,0,-0.6923848,0
0.08212471,0,-0.6633232,0
0.09850025,0,-0.6489156,0
0.1152887,0,-0.6206132,0
0.1325865,0,-0.593346,0
0.1491957,0,-0.5802304,0
0.165062,0,-0.5675273,0
0.1838217,0,-0.5435532,0
0.2099171,0,-0.5217956,0
0.2326927,0,-0.4940503,0
0.2488461,0,-0.486255,0
0.2657385,0,-0.4730349,0
0.2828588,0,-0.4631459,0
0.2984991,0,-0.4567465,0
0.3152933,0,-0.4539393,0
0.3323889,0,-0.4547684,0
0.3487425,0,-0.4565442,0
0.3756361,0,-0.4672149,0
0.3983221,0,-0.4786234,0
0.4157352,0,-0.4932536,0
0.4316797,0,-0.5108612,0.09635781
0.4488878,4.649815E-05,-0.5206915,0.2478246
0.4651299,0.0002125766,-0.5421999,0.3382526
0.482873,0.000541848,-0.5658689,0.4716339
0.5113497,0.001098644,-0.6045529,0.6050152
0.5244837,0.001947283,-0.6180826,0.6511334
0.5486021,0.003109961,-0.6457594,0.6882089
0.5682602,0.004604507,-0.6738763,0.6931823
0.5885839,0.006433255,-0.7019695,0.6633412
0.6007452,0.008581736,-0.7295777,0.6032066
0.625741,0.01102087,-0.7562499,0.5611575
0.6488295,0.01373031,-0.781554,0.5087093
0.6658392,0.01668468,-0.8050833,0.4870066
0.6914301,0.01987348,-0.8362432,0.4399841
0.7152119,0.02327395,-0.8537888,0.4182813
0.7415819,0.02687559,-0.8746027,0.4056214
0.7648134,0.03067224,-0.8845169,0.3961265
0.7826071,0.03465929,-0.8911005,0.3848231
0.8003645,0.03883124,-0.8942802,0.3843709
0.8151579,0.04318784,-0.8945866,0.3839187
0.8337755,0.04772883,-0.8926497,0.3839187
0.8590889,0.05245417,-0.8873783,0.3848231
0.8818407,0.05736427,-0.8735074,0.3897966
0.8985796,0.06246148,-0.867385,0.3897966
0.915451,0.06774577,-0.8530648,0.3897966
0.9317846,0.07321711,-0.8362042,0.3902487
0.949667,0.07887567,-0.826915,0.3911529
0.9768248,0.08472185,-0.7961076,0.3911529
0.998517,0.09075562,-0.7735636,0.3911529
1.028968,0.09697694,-0.7376726,0.3911529
1.048084,0.1033858,-0.712921,0.3965786
1.065693,0.1099847,-0.6879557,0.3974829
1.092258,0.1167741,-0.6509163,0.3974829
1.11498,0.1237539,-0.6270046,0.3974829
1.132498,0.1309242,-0.6040916,0.3974829
1.148803,0.1382849,-0.5930999,0.3974829
1.174675,0.1458358,-0.5623611,0.3974829
1.191994,0.1535771,-0.543995,0.3979351
1.217383,0.1615089,-0.527523,0.3988394
1.231949,0.1696315,-0.5130574,0.3988394
1.249645,0.177945,-0.5065988,0.4006479
1.265203,0.1864502,-0.4952463,0.4006479
1.282893,0.1951469,-0.4859672,0.4006479
1.31004,0.2040353,-0.4757976,0.4056214
1.325614,0.2131176,-0.4733532,0.4056214
1.34843,0.2223939,-0.46977,0.4087864
1.36527,0.2318656,-0.4677703,0.4114993
1.381627,0.2415339,-0.4671366,0.4124035
1.399185,0.2513993,-0.4672561,0.41376
1.428144,0.2614625,-0.4689604,0.4151165
1.448931,0.2717239,-0.4708642,0.4191857
1.465073,0.2821855,-0.4730396,0.4214463
1.491054,0.2928484,-0.4761607,0.4259678
1.515155,0.3037148,-0.4777206,0.4259678
1.543589,0.3147845,-0.4785872,0.4273241
1.565886,0.3260582,-0.4778149,0.4282285
1.582001,0.3375363,-0.4757027,0.4282285
1.598533,0.3492187,-0.4740841,0.4286806
1.615436,0.3611057,-0.4696212,0.4286806
1.644373,0.3731972,-0.4596318,0.4286806
1.658083,0.3854931,-0.4553794,0.4286806
1.681559,0.3979934,-0.4397838,0.4286806
1.698862,0.4106981,-0.4336401,0.4286806
1.71542,0.4236071,-0.4199642,0.4277763
1.731893,0.4367199,-0.4045047,0.4277763
1.749002,0.4500366,-0.3961408,0.4277763
1.777537,0.463557,-0.3687343,0.4277763
1.790932,0.4772811,-0.3487625,0.4277763
1.814944,0.4912089,-0.3276778,0.4259678
1.832203,0.5053395,-0.305721,0.4232549
1.850941,0.5196715,-0.2831529,0.4232549
1.875298,0.5342049,-0.2602481,0.4223507
1.898421,0.5489392,-0.2372899,0.4200899
1.916018,0.5638732,-0.2145639,0.416925
1.931725,0.5790055,-0.1923522,0.41376
1.959274,0.5943344,-0.1709278,0.4042651
1.973969,0.6098553,-0.1505492,0.4029087
1.999154,0.6255676,-0.1314549,0.4006479
2.015168,0.64147,-0.1138591,0.3929615
2.031945,0.6575589,-0.0979481,0.3888923
2.049117,0.6738322,-0.09067381,0.3762323
2.067972,0.6902838,-0.0775682,0.3644768
2.093637,0.706908,-0.06169154,0.3409655
2.110934,0.7236935,-0.05370994,0.2943951
2.131423,0.7406176,-0.04782701,0.2157227
2.148465,0.7576424,-0.04566544,0.1370504
2.165571,0.77473,-0.04286845,0
2.182203,0.7918142,-0.04203686,0
2.210384,0.8088949,-0.04422472,0
2.232373,0.8259723,-0.04776174,0
2.248724,0.8430462,-0.05009052,0
2.274323,0.8601167,-0.05903346,0
2.298779,0.8771837,-0.0663723,0
2.315108,0.8942474,-0.07456644,0
2.331945,0.9113077,-0.08340163,0
2.34874,0.9283645,-0.08799331,-0.08550645
2.365206,0.9453767,-0.09739605,-0.213462
2.38191,0.9622825,-0.1069279,-0.4218985
2.398904,0.9789813,-0.1116846,-0.5679396
2.426629,0.9954026,-0.1256688,-0.8568571
2.441337,1.011407,-0.1345749,-1.000185
2.464763,1.026926,-0.1430111,-1.269209
2.482542,1.041829,-0.1508925,-1.395356
2.501064,1.056056,-0.1581648,-1.563552
2.515038,1.069526,-0.1615641,-1.656693
2.532354,1.082193,-0.1678892,-1.737173
2.560677,1.09402,-0.1762534,-1.847495
2.575544,1.104952,-0.1787709,-1.892257
2.598662,1.11497,-0.183465,-1.915316
2.615191,1.124061,-0.1877979,-1.925716
2.633331,1.132221,-0.1919017,-1.934758
2.661476,1.139446,-0.1979621,-1.943801
2.681815,1.145731,-0.2021844,-1.954201
2.698954,1.151072,-0.2044167,-1.956461
2.718416,1.155468,-0.209237,-1.962339
2.744569,1.158916,-0.2176936,-1.967313
2.760238,1.161414,-0.2244006,-1.97093
2.781707,1.162961,-0.2321486,-1.975451
2.799028,1.163553,-0.2364574,-1.979973
2.815222,1.163191,-0.2460212,-1.987659
2.83222,1.161869,-0.2569306,-1.995345
2.849805,1.159585,-0.2629147,-1.999866
2.878893,1.156336,-0.2830569,-2.007101
2.893719,1.152119,-0.2983276,-2.0175
2.917332,1.146929,-0.3150476,-2.023378
2.932002,1.140764,-0.3331545,-2.028351
2.948644,1.133622,-0.3426985,-2.028351
2.966178,1.125502,-0.362689,-2.027899
2.993078,1.116405,-0.3946301,-2.019761
3.015509,1.106335,-0.4169467,-2.0175
3.032308,1.095294,-0.4398187,-2.014787
3.058092,1.083283,-0.4629932,-1.997606
3.082968,1.07031,-0.497722,-1.963695
3.11177,1.056392,-0.5315406,-1.919838
3.132366,1.041551,-0.5530853,-1.864225
3.148401,1.025813,-0.5634463,-1.805447
3.165326,1.009207,-0.5831656,-1.692411
3.181677,0.9917874,-0.601318,-1.602436
3.199113,0.9735981,-0.609725,-1.513816
3.226299,0.954682,-0.6319136,-1.344264
3.24864,0.9351209,-0.6439202,-1.209978
3.265672,0.9149799,-0.6534974,-1.154817
3.281977,0.8942857,-0.6605172,-1.090161
3.298593,0.8730695,-0.66304,-1.06032
3.315499,0.8513458,-0.6660798,-1.038617
3.345263,0.8291253,-0.6656207,-1.026862
3.365039,0.8064137,-0.6620363,-1.02641
3.392747,0.7832113,-0.6520115,-1.027314
3.415247,0.7595178,-0.642473,-1.027766
3.432549,0.7353331,-0.6309046,-1.027314
3.45988,0.7106575,-0.6175707,-1.031383
3.481528,0.6854891,-0.5949274,-1.035452
3.498676,0.659826,-0.5868432,-1.035452
3.515628,0.6336685,-0.5701413,-1.035452
3.545811,0.6070165,-0.5444707,-1.037713
3.570248,0.5798691,-0.5192364,-1.039069
3.582504,0.5522257,-0.5111523,-1.045851
3.597935,0.5240832,-0.503313,-1.047208
3.615003,0.495441,-0.4885579,-1.04766
3.631577,0.4662989,-0.4753371,-1.04766
3.648479,0.4366571,-0.4694099,-1.04766
3.676692,0.4065157,-0.4548316,-1.052181
3.689943,0.3758726,-0.4511575,-1.058059
3.714586,0.344725,-0.4441102,-1.061676
3.731111,0.3130713,-0.4429569,-1.061676
3.750452,0.2809117,-0.4447954,-1.061224
3.773995,0.2482463,-0.449697,-1.058059
3.798788,0.2150769,-0.4576754,-1.056703
3.81589,0.1814043,-0.468685,-1.055346
3.832859,0.147229,-0.4826219,-1.050825
3.858319,0.1125535,-0.4993244,-1.038165
3.875478,0.077384,-0.5185753,-1.035452
3.898606,0.04172186,-0.5401058,-1.035452
3.915825,0.005567215,-0.5635989,-1.035
3.932847,-0.03107967,-0.5886957,-1.035904
3.951466,-0.0682191,-0.6150003,-1.039522
3.966304,-0.1058527,-0.6284735,-1.039522
3.993514,-0.1439805,-0.6695091,-1.039522
4.009154,-0.1826023,-0.6832013,-1.031383
4.031859,-0.221714,-0.7235013,-1.014654
4.048752,-0.2613077,-0.7364799,-1.011489
4.06495,-0.3013815,-0.7614087,-0.9992811
4.08245,-0.3419295,-0.7845929,-0.9717005
4.109899,-0.3829383,-0.805604,-0.8989061
4.131739,-0.4243728,-0.832183,-0.8089302
4.148952,-0.4661893,-0.839547,-0.7311621
4.175603,-0.5083503,-0.851795,-0.514135
4.199781,-0.550751,-0.8605136,-0.1849772
4.226704,-0.5932325,-0.8665066,0
4.249024,-0.6357055,-0.8655591,0
4.266124,-0.67817,-0.8605593,0
4.281482,-0.7206261,-0.8514907,0
4.300141,-0.7630736,-0.8383969,0
4.325591,-0.8055126,-0.8213804,0
4.348813,-0.8479431,-0.8006002,0
4.365905,-0.8903652,-0.7762681,0.006381947
4.384581,-0.9327757,-0.7486451,0.06199518
4.398878,-0.9751478,-0.7336931,0.1320768
4.415939,-1.017448,-0.7017166,0.258676
4.445147,-1.059614,-0.6492579,0.4304891
4.465677,-1.101565,-0.611861,0.5503062
4.491136,-1.143241,-0.5531644,0.688661
4.51548,-1.184577,-0.5129187,0.808026
4.532702,-1.225515,-0.4722762,0.8658999
4.560641,-1.266026,-0.4114707,0.976222
4.582087,-1.306059,-0.3716114,1.060772
4.602224,-1.345571,-0.3327189,1.138088
4.615384,-1.384527,-0.3137394,1.192345
4.633671,-1.422899,-0.2769018,1.266044
4.65855,-1.460653,-0.2417818,1.340647
4.681903,-1.497752,-0.1928086,1.410728
4.699519,-1.534163,-0.177561,1.483071
4.716596,-1.569851,-0.1487772,1.53145
4.731686,-1.604793,-0.122342,1.596558
4.749215,-1.638958,-0.1100187,1.64358
4.776096,-1.672322,-0.07662023,1.729487
