Time,CV,FF,Input
0,0,-0.791238,0
0.01538086,0,-0.7777878,0
0.03277588,0,-0.7500234,0
0.04876709,0,-0.7358032,0
0.06518555,0,-0.6923848,0
0.08172607,0,-0.6633232,0
0.09906006,0,-0.6489156,0
0.1154175,0,-0.6206132,0
0.1326294,0,-0.593346,0
0.1503906,0,-0.5675273,0
0.1651611,0,-0.5675273,0
0.1820068,0,-0.5435532,0
0.1990356,0,-0.5323752,0
0.2150879,0,-0.5118558,0
0.2322388,0,-0.4940503,0
0.2490845,0,-0.486255,0
0.2653198,0,-0.4730349,0
0.2820435,0,-0.4631459,0
0.2994995,0,-0.4567465,0
0.3157349,0,-0.4539393,0
0.3313599,0,-0.4547684,0
0.3483887,0,-0.4565442,0
0.3673706,0,-0.4627806,0
0.3822021,0,-0.4725033,0
0.3989258,0,-0.4786234,0
0.4152832,0,-0.4932536,0
0.4321289,0,-0.5108612,0
0.4484253,0,-0.5206915,0
0.4648438,0,-0.5421999,0
0.4815063,0,-0.5658689,0
0.4989014,0,-0.5783916,0
0.5153809,0,-0.6045529,0
0.5321045,0,-0.6318371,0
0.5493164,0,-0.6457594,0
0.5670776,0,-0.6738763,0
0.5830078,0,-0.7019695,0
0.5987549,0,-0.7158628,0
0.6151123,0,-0.7430583,0
0.632019,0,-0.7690991,0
0.6483154,0,-0.781554,0
0.6652832,0,-0.8050833,0
0.6821289,0,-0.8264645,0
0.6990356,0,-0.8362432,0
0.71521,0,-0.8537888,0
0.7318115,0,-0.8684354,0
0.7489624,0,-0.8746027,0
0.7647705,0,-0.8845169,0
0.7834473,0,-0.8911005,0
0.7990723,0,-0.8931182,0
0.8161621,0,-0.8945866,0
0.8320923,0,-0.8926497,0
0.848877,0,-0.8904243,0
0.8654175,0,-0.8835292,0
0.881958,0,-0.8735074,0
0.8984985,0,-0.867385,0
0.9160156,0,-0.8530648,0
0.932251,0,-0.8362042,0
0.9494019,0,-0.826915,0
0.965271,0,-0.8068232,0
0.9835205,0,-0.7850056,0
0.9984741,0,-0.7735636,0
1.015076,0,-0.7498492,0
1.032227,0,-0.7253472,0
1.049133,0,-0.712921,0
1.064941,0,-0.6879557,0
1.082092,0,-0.6631487,0
1.099487,0,-0.6509163,0
1.115906,0,-0.6270046,0
1.132141,0,-0.6040916,0
1.148682,0,-0.5930999,0
1.165283,0,-0.5722063,0
1.183777,0,-0.5529502,0
1.198364,0,-0.543995,0
1.215149,0,-0.527523,0
1.232239,0,-0.5130574,0
1.249084,0,-0.5065988,0
1.265137,0,-0.4952463,0
1.282349,0,-0.4859672,0
1.299072,0,-0.482089,0
1.315613,0,-0.4757976,0
1.332214,0,-0.4713513,0
1.348999,0,-0.46977,0
1.364868,0,-0.4677703,0
1.382019,0,-0.4671366,0
1.400818,0,-0.4676228,0
1.415405,0,-0.4682027,0
1.43219,0,-0.4698598,0
1.448853,0,-0.4708642,0
1.464661,0,-0.4730396,0
1.48175,0,-0.4751885,0
1.497986,0,-0.4761607,0
1.514709,0,-0.4777206,0
1.532104,0,-0.4785382,0
1.548767,0,-0.4785872,0
1.56488,0,-0.4778149,0
1.582275,0,-0.4757027,0
1.600342,0,-0.4720629,0
1.615234,0,-0.4696212,0
1.631836,0,-0.4634173,0
1.648254,0,-0.4596318,0
1.664978,0,-0.4506551,0
1.682068,0,-0.4397838,0
1.698669,0,-0.4336401,0
1.715149,0,-0.4199642,0
1.732117,0,-0.4045047,0
1.748718,0,-0.3961408,0
1.765808,0,-0.3782343,0
1.781555,0,-0.3589017,0
1.799194,0,-0.3487625,0
1.81665,0,-0.3276778,0
1.831909,0,-0.305721,0
1.84906,0,-0.2944964,0
1.865845,0,-0.271725,0
1.881836,0,-0.2487579,0
1.898315,0,-0.2372899,0
1.915771,0,-0.2145639,0
1.932251,0,-0.1923522,0
1.948792,0,-0.181525,0
1.964966,0,-0.1605923,0
1.981567,0,-0.1408275,0
1.998962,0,-0.1314549,0
2.015259,0,-0.1138591,0
2.033569,0,-0.0979481,0
2.049255,0,-0.09067381,0
2.065002,0,-0.0775682,0
2.082153,0,-0.06646787,0
2.098877,0,-0.06169154,0
2.115234,0,-0.05370994,0
2.131958,0,-0.04782701,0
2.148438,0,-0.04566544,0
2.165222,0,-0.04286845,0
2.181458,0,-0.04203686,0
2.198486,0,-0.04232466,0
2.215149,0,-0.04422472,0
2.231628,0,-0.04776174,0
2.25061,0,-0.05276184,0
2.265137,0,-0.05575124,0
2.281555,0,-0.0625826,0
2.298645,0,-0.0663723,0
2.315979,0,-0.07456644,0
2.332092,0,-0.08340163,0
2.348511,0,-0.08799331,0
2.364868,0,-0.09739605,0
2.382202,0,-0.1069279,0
2.399048,0,-0.1116846,0
2.41571,0,-0.121074,0
2.432434,0,-0.1301741,0
2.450439,0,-0.1388577,0
2.465149,0,-0.1430111,0
2.48175,0,-0.1508925,0
2.499207,0,-0.154607,0
2.515015,0,-0.1615641,0
2.531738,0,-0.1678892,0
2.549072,0,-0.1708212,0
2.571411,0,-0.1787709,0
2.582214,0,-0.1811704,0
2.598389,0,-0.183465,0
2.614929,0,-0.1877979,0
2.631958,0,-0.1919017,0
2.648376,0,-0.1939142,0
2.666748,0,-0.1979621,0
2.68219,0,-0.2021844,0
2.698425,0,-0.2044167,0
2.714783,0,-0.209237,0
2.731567,0,-0.2146819,0
2.748596,0,-0.2176936,0
2.765076,0,-0.2244006,0
2.781982,0,-0.2321486,0
2.798645,0,-0.2364574,0
2.814941,0,-0.2460212,0
2.831665,0,-0.2569306,0
2.848633,0,-0.2629147,0
2.866943,0,-0.2759745,0
2.881958,0,-0.2905086,0
2.899414,0,-0.2983276,0
2.915771,0,-0.3150476,0
2.93158,0,-0.3331545,0
2.949036,0,-0.3426985,0
2.965149,0,-0.362689,0
2.982117,0,-0.3837526,0
2.999084,0,-0.3946301,0
3.014954,0,-0.4169467,0
3.032104,0,-0.4398187,0
3.049011,0,-0.4513848,0
3.066772,0,-0.4746094,0
3.081909,0,-0.497722,0
3.09906,0,-0.5091453,0
3.115967,0,-0.5315406,0
3.132019,0,-0.5530853,0
3.148315,0,-0.5634463,0
3.164978,0,-0.5831656,0
3.182129,0,-0.601318,0
3.198853,0,-0.609725,0
3.215393,0,-0.6250502,0
3.232178,0,-0.638211,0
3.248596,0,-0.6439202,0
3.26532,0,-0.6534974,0
3.283997,0,-0.6605172,0
3.298584,0,-0.66304,0
3.31488,0,-0.6660798,0
3.332031,0,-0.6664382,0
3.34906,0,-0.6656207,0
3.365051,0,-0.6620363,0
3.381836,0,-0.6559479,0
3.398254,0,-0.6520115,0
3.415283,0,-0.642473,0
3.432068,0,-0.6309046,0
3.449097,0,-0.6244403,0
3.465271,0,-0.6103345,0
3.481628,0,-0.5949274,0
3.501221,0,-0.5785656,0.06289946
3.515259,3.035258E-05,-0.5701413,0.135694
3.531677,0.0001261792,-0.553045,0.2283826
3.549255,0.0003321942,-0.5444707,0.2699795
3.565918,0.0006684486,-0.5275169,0.3020814
3.581787,0.001150407,-0.5111523,0.2993686
3.598755,0.001776732,-0.503313,0.2527982
3.614868,0.002524921,-0.4885579,0.2089406
3.631775,0.003373787,-0.4753371,0.1687002
3.649109,0.00430389,-0.4694099,0.1316247
3.665771,0.005297323,-0.4591206,0.1216776
3.68219,0.006349274,-0.4511575,0.1189648
3.700317,0.007458423,-0.4457712,0.1289119
3.7146,0.008629557,-0.4441102,0.1569445
3.731506,0.009876191,-0.4429569,0.2066799
3.748535,0.01122231,-0.4434964,0.2428511
3.765137,0.01268535,-0.4468611,0.2830916
3.782898,0.01428471,-0.4533031,0.3043421
3.798706,0.01603061,-0.4576754,0.3251406
3.814819,0.01793305,-0.468685,0.3531732
3.831787,0.02000555,-0.4826219,0.3658331
3.84906,0.02225416,-0.4906398,0.3730673
3.866028,0.02468235,-0.5086469,0.371711
3.88208,0.02728943,-0.5290744,0.3305663
3.901245,0.0300555,-0.5516285,0.2984643
3.915955,0.03296505,-0.5635989,0.2758574
3.931641,0.03600713,-0.5886957,0.2464682
3.948425,0.03916754,-0.601723,0.2333562
3.964722,0.04243992,-0.6284735,0.2247655
3.981873,0.04582011,-0.6557851,0.2148184
3.998413,0.04930329,-0.6695091,0.213462
4.015808,0.05288878,-0.6968034,0.213462
4.031738,0.05657656,-0.7235013,0.213462
4.049194,0.06036661,-0.7364799,0.2089406
4.065125,0.06425673,-0.7614087,0.2008021
4.082092,0.06824297,-0.7845929,0.1985414
4.100952,0.07232422,-0.805604,0.1953764
4.115356,0.07649893,-0.8151686,0.1953764
4.131836,0.08076708,-0.832183,0.1953764
4.148865,0.08512866,-0.839547,0.1958286
4.164917,0.08958387,-0.8460963,0.1958286
4.181885,0.09413269,-0.8566105,0.1994457
4.198364,0.09877685,-0.8605136,0.2053235
4.215332,0.1035191,-0.8654824,0.2139142
4.231995,0.1083637,-0.866536,0.2234091
4.248901,0.1133152,-0.8655591,0.232904
4.264771,0.118378,-0.8605593,0.2428511
4.281738,0.123557,-0.8514907,0.2460161
4.299255,0.1288536,-0.8454419,0.2446596
4.317017,0.1342673,-0.8303704,0.242399
4.332092,0.1397969,-0.8114488,0.2414947
4.349182,0.1454419,-0.8006002,0.2414947
4.36499,0.1512023,-0.7762681,0.2414947
4.382263,0.1570781,-0.7486451,0.2433033
4.398499,0.1630701,-0.7336931,0.2433033
