Time,CV,FF,Input
0,0,-0.791238,0
0.01493835,0,-0.7777878,0
0.03158569,0,-0.7500234,0
0.04820251,0,-0.7358032,0
0.06512451,0,-0.6923848,0
0.08235168,0,-0.6633232,0
0.09844971,0,-0.6489156,0
0.1150055,0,-0.6206132,0
0.1312561,0,-0.593346,0
0.148407,0,-0.5802304,0
0.1656494,0,-0.5675273,0
0.1819458,0,-0.5435532,0
0.1995239,0,-0.5323752,0
0.2150726,0,-0.5118558,0
0.2336121,0,-0.4940503,0
0.2486115,0,-0.486255,0
0.2650757,0,-0.4730349,0
0.281601,0,-0.4631459,0
0.2985229,0,-0.4567465,0
0.3149414,0,-0.4539393,0
0.3321075,0,-0.4547684,0
0.3481903,0,-0.4565442,0
0.3650208,0,-0.4627806,0
0.3816528,0,-0.4725033,0
0.3984222,0,-0.4786234,0
0.4151917,0,-0.4932536,0
0.4330292,0,-0.5108612,0
0.4483032,0,-0.5206915,0
0.4644928,0,-0.5421999,0
0.4821625,0,-0.5658689,0
0.4988708,0,-0.5783916,0
0.5148926,0,-0.6045529,0
0.5321045,0,-0.6318371,0.1212255
0.5480652,5.849822E-05,-0.6457594,0.2527982
0.5649414,0.0002389743,-0.6738763,0.4440534
0.5820618,0.0006336953,-0.7019695,0.5715568
0.598175,0.001304146,-0.7158628,0.6859481
0.6150055,0.002305472,-0.7430583,0.8188773
0.6319122,0.003701753,-0.7690991,0.8704212
0.6501617,0.005517783,-0.7935647,0.8835334
0.6652679,0.007759804,-0.8050833,0.8469099
0.6819,0.01041006,-0.8264645,0.7827061
0.6986084,0.01343749,-0.8362432,0.7298058
0.7146301,0.01681648,-0.8537888,0.6696711
0.7315674,0.02051795,-0.8684354,0.6095365
0.7490234,0.02451282,-0.8746027,0.5267949
0.7649078,0.0287611,-0.8845169,0.4892674
0.7814636,0.03324463,-0.8911005,0.458974
0.7985077,0.03794875,-0.8931182,0.4549047
0.815155,0.04287144,-0.8945866,0.4707296
0.8321228,0.0480203,-0.8926497,0.4955972
0.8504486,0.05340728,-0.8873783,0.5209171
0.8650818,0.05904455,-0.8835292,0.5286034
0.8817444,0.06493579,-0.8735074,0.5358377
0.898819,0.07108442,-0.867385,0.5376462
0.9149933,0.07749126,-0.8530648,0.5376462
0.9311523,0.08415627,-0.8362042,0.5295078
0.9484406,0.09107546,-0.826915,0.5295078
0.9651489,0.09824879,-0.8068232,0.530412
0.9820099,0.1056766,-0.7850056,0.5444284
0.9984283,0.1133657,-0.7735636,0.553019
1.015045,0.1213201,-0.7498492,0.5616097
1.031937,0.1295439,-0.7253472,0.5747218
1.048981,0.1380435,-0.712921,0.5923553
1.066559,0.1468271,-0.6879557,0.6072758
1.081604,0.1559021,-0.6631487,0.6199358
1.098465,0.1652744,-0.6509163,0.6389256
1.11496,0.1749531,-0.6270046,0.6529419
1.132111,0.184945,-0.6040916,0.6678625
1.147995,0.1952572,-0.5930999,0.6913738
1.165192,0.2059009,-0.5722063,0.7026774
1.181931,0.2168816,-0.5529502,0.7261887
1.198212,0.2282105,-0.543995,0.73704
1.215103,0.2398928,-0.527523,0.7447264
1.231888,0.2519322,-0.5130574,0.7578384
1.248947,0.2643348,-0.5065988,0.7646205
1.26506,0.277104,-0.4952463,0.7736633
1.283218,0.2902439,-0.4859672,0.7781847
1.298859,0.3037567,-0.482089,0.7781847
1.314835,0.3176423,-0.4757976,0.7732112
1.332092,0.3318983,-0.4713513,0.7732112
1.34819,0.3465245,-0.46977,0.7732112
1.365036,0.361521,-0.4677703,0.7732112
1.381683,0.3768875,-0.4671366,0.7732112
1.398315,0.3926241,-0.4672561,0.7732112
1.414856,0.4087307,-0.4682027,0.7732112
1.431412,0.4252072,-0.4698598,0.7709504
1.44899,0.4420524,-0.4708642,0.7677855
1.464783,0.4592647,-0.4730396,0.7605513
1.481873,0.4768406,-0.4751885,0.7524127
1.500168,0.4947761,-0.4770165,0.7383963
1.514969,0.5130643,-0.4777206,0.7248322
1.531845,0.5316986,-0.4785382,0.714433
1.548111,0.550674,-0.4785872,0.6927303
1.564896,0.5699798,-0.4778149,0.6746447
1.581879,0.5896073,-0.4757027,0.6588197
1.598404,0.6095488,-0.4740841,0.6334999
1.614883,0.629792,-0.4696212,0.6172229
1.63179,0.6503291,-0.4634173,0.5955201
1.648285,0.6711494,-0.4596318,0.5864774
1.66507,0.6922485,-0.4506551,0.5751739
1.681534,0.713621,-0.4397838,0.5670354
1.698608,0.7352629,-0.4336401,0.5566362
1.716537,0.757169,-0.4199642,0.5394548
1.731445,0.779331,-0.4045047,0.5272471
1.748474,0.8017431,-0.3961408,0.5127786
1.765091,0.8243981,-0.3782343,0.4951452
1.782074,0.8472875,-0.3589017,0.4806767
1.798935,0.8704043,-0.3487625,0.4517397
1.814789,0.8937345,-0.3276778,0.4282285
1.831467,0.9172666,-0.305721,0.4065257
1.848251,0.9409902,-0.2944964,0.3721631
1.865173,0.9648886,-0.271725,0.352269
1.881897,0.9889523,-0.2487579,0.3183585
1.898392,1.013165,-0.2372899,0.2952993
1.914932,1.037515,-0.2145639,0.2699795
1.93309,1.06199,-0.1923522,0.2356168
1.94873,1.086575,-0.181525,0.2116534
1.965424,1.111256,-0.1605923,0.1750301
1.981842,1.136017,-0.1408275,0.151971
1.998367,1.160847,-0.1314549,0.1248426
2.015091,1.185732,-0.1138591,0.0751072
2.032028,1.210648,-0.0979481,0.02718038
2.048874,1.235572,-0.09067381,0
2.06543,1.260491,-0.0775682,0
2.08194,1.285405,-0.06646787,0
2.098648,1.310314,-0.06169154,0
2.115082,1.335219,-0.05370994,0
2.133575,1.360118,-0.04782701,0
2.147751,1.385012,-0.04566544,0
2.165482,1.409901,-0.04286845,0
2.181595,1.434786,-0.04203686,0
2.198395,1.459665,-0.04232466,0
2.215408,1.48454,-0.04422472,-0.1379547
2.23172,1.509342,-0.04776174,-0.2627452
2.248474,1.534013,-0.05009052,-0.3843709
2.264771,1.558494,-0.05575124,-0.5616097
2.281906,1.582699,-0.0625826,-0.6791661
2.298615,1.606571,-0.0663723,-0.8460057
2.314957,1.63003,-0.07456644,-0.9504501
2.331955,1.653026,-0.08340163,-1.088805
2.350418,1.675492,-0.09266649,-1.164312
2.365173,1.697391,-0.09739605,-1.223542
2.381714,1.718696,-0.1069279,-1.260618
2.398544,1.739388,-0.1116846,-1.285034
