Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01501465,0,0.03503782,0,0.5704651
0.03192139,0,0.02765206,0,0.5354309
0.04901123,0,0.0239619,0,0.507782
0.06567383,0,0.01666,0,0.4838257
0.08251953,0,0.009559959,0,0.4671631
0.09881592,0,0.006121606,0,0.4576111
0.1151123,0,-0.0004616678,0,0.4515076
0.1322632,0,-0.006564647,0,0.4519653
0.1486206,0,-0.009404272,0,0.4585266
0.1655884,0,-0.01460135,0,0.467926
0.1838379,0,-0.01908526,0,0.4825439
0.1986694,0,-0.02103618,0,0.5016174
0.2158813,0,-0.02431637,0,0.522644
0.2319336,0,-0.02672499,0,0.5469666
0.2488403,0,-0.02759004,0,0.5737
0.2650146,0,-0.02862579,0,0.6012878
0.2819824,0,-0.02872622,0,0.6299133
0.2998047,0,-0.02842617,0,0.6586304
0.3156738,0,-0.02713561,0,0.6870422
0.3319702,0,-0.02494991,0,0.7141724
0.3483276,0,-0.02353472,0,0.7391357
0.3660278,0,-0.02009535,0,0.7626648
0.3840332,0,-0.01590151,0,0.7827454
0.3982544,0,-0.01354665,0,0.798645
0.4153442,0,-0.008377612,0,0.8121948
0.4321289,0,-0.002680182,0,0.8205872
0.4488525,0,0.00033319,0,0.8232727
0.4655151,0,0.006617308,0,0.822937
0.4818115,0,0.01314491,0,0.8163147
0.4989014,0,0.01646149,0,0.8031616
0.5149536,0,0.02312189,0,0.7867126
0.5318604,0,0.02971423,0,0.7635803
0.5485229,0,0.03294587,0,0.7338562
0.5651855,0,0.03920478,0,0.7008972
0.5817871,0,0.04509395,0,0.6616821
0.6005859,0,0.05050349,0,0.6165771
0.6156616,0,0.05299652,0,0.5660706
0.6329956,0,0.05750155,0,0.5130615
0.6488647,0,0.05949274,0,0.4555664
0.6658936,0,0.06290661,0,0.3960876
0.6826172,0,0.06551233,0,0.3331909
0.6985474,0,0.06649685,0,0.2676697
0.7156372,0,0.06780744,0,0.2011719
0.7318115,0,0.06822322,0,0.1333618
0.7492676,0,0.06809321,0,0.06512451
0.7653809,0,0.06716168,0,-0.00296066
0.7818604,0,0.06535304,0,-0.07012234
0.8007202,0,0.06270301,0,-0.1354754
0.8156128,0,0.06107795,0,-0.1981784
0.8317871,0,0.05726671,0,-0.2592564
0.8495483,0,0.05509853,0,-0.3165231
0.8660889,0,0.05028832,0,-0.3716216
0.8823242,0,0.04492188,0,-0.42191
0.899353,0,0.04206097,0,-0.4668319
0.9161987,0,0.03604949,0,-0.5088929
0.9327393,0,0.02974355,0,-0.5449425
0.9486694,0,0.02651572,0,-0.5746861
0.9657593,0,0.01998258,0,-0.6012018
0.9820557,0,0.01344264,0,-0.6211845
1.001282,0,0.007010221,0,-0.6346271
1.014587,0,0.003868937,0,-0.6416373
1.031372,0,-0.002197385,0,-0.6455063
1.04834,0,-0.005097151,0,-0.6433089
1.064758,0,-0.01057148,0,-0.6382117
1.081421,0,-0.01554143,0,-0.6276403
1.098877,0,-0.01781344,0,-0.6120989
1.115723,0,-0.02189088,0,-0.5942855
1.132507,0,-0.02530253,0,-0.5723946
1.148499,0,-0.02674544,0,-0.5470921
1.165588,0,-0.0290885,0,-0.5203466
1.181519,0,-0.0306952,0,-0.4912581
1.198669,0,-0.03122163,0,-0.460563
1.217468,0,-0.03172791,0,-0.4293414
1.231506,0,-0.03152591,0,-0.3976135
1.248657,0,-0.03117073,0,-0.3660876
1.265259,0,-0.02998239,0,-0.3349169
1.281677,0,-0.02820724,0,-0.3049345
1.298706,0,-0.02712137,0,-0.2767273
1.315674,0,-0.02460307,0,-0.249606
1.331726,0,-0.02169573,0,-0.2250029
1.348877,0,-0.02012563,0,-0.2033072
1.365356,0,-0.01681477,0,-0.1831816
1.381958,0,-0.01336282,0,-0.1663668
1.398987,0,-0.01161706,0,-0.153004
1.416931,0,-0.008152664,0,-0.141387
1.431824,0,-0.004812717,0,-0.1332343
1.448486,0,-0.003221929,0,-0.1284216
1.465149,0,-0.0002611279,0,-0.1251996
1.48175,0,0.002326548,0,-0.1249385
1.498413,0,0.003452897,0,-0.1272651
1.51532,0,0.005320191,0,-0.130718
1.532166,0,0.006614864,0,-0.1360382
1.549622,0,0.007028222,0,-0.142653
1.565979,0,0.00735569,0,-0.1496813
1.582947,0,0.006986022,0,-0.157037
1.598999,0,0.006531358,0,-0.164023
1.617432,0,0.005074084,0,-0.1705544
1.63208,0,0.002886415,0,-0.1756285
1.648315,0,0.001522303,0,-0.1785149
1.665222,0,-0.00173068,0,-0.1800372
1.682068,0,-0.005651474,0,-0.1783066
1.698547,0,-0.007846951,0,-0.1726551
1.715454,0,-0.01267022,0,-0.1648081
1.731628,0,-0.0180099,0,-0.1521379
1.74884,0,-0.02084833,0,-0.134128
1.76532,0,-0.02680665,0,-0.1132797
1.782837,0,-0.03305972,0,-0.08647305
1.798401,0,-0.03626499,0,-0.05341333
1.815491,0,-0.04276636,0,-0.01714834
1.834534,0,-0.0492975,0,0.02560425
1.84906,0,-0.05253959,0,0.07489014
1.86499,0,-0.0589073,0,0.1274414
1.882019,0,-0.06502869,0,0.1863403
1.898987,0,-0.06796366,0,0.2513733
1.915283,0,-0.07351837,0,0.3193359
1.932983,0,-0.07857281,0,0.3928528
1.948975,0,-0.08088437,0,0.4714356
1.965332,0,-0.08502573,0,0.5523071
1.982117,0,-0.08846515,0,0.6373291
1.998962,0,-0.08990234,0,0.7257996
2.015747,0,-0.09217989,0,0.8157043
