Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.0151062,0,0.03503782,0,0.5704651
0.0324707,0,0.02765206,0,0.5354309
0.05023193,0,0.02029303,0,0.507782
0.06536865,0,0.01666,0,0.4874878
0.08178711,0,0.009559959,0,0.4708252
0.09860229,0,0.006121606,0,0.4612732
0.1155701,0,-0.0004616678,0,0.4551392
0.1327515,0,-0.006564647,0,0.455597
0.1483765,0,-0.009404272,0,0.4621582
0.164978,0,-0.01460135,0,0.4715881
0.1814575,0,-0.01908526,0,0.4861755
0.1981812,0,-0.02103618,0,0.505249
0.2151489,0,-0.02431637,0,0.5262756
0.2320251,0,-0.02672499,0,0.5505981
0.2483826,0,-0.02759004,0,0.5773315
0.267395,0,-0.02862579,0,0.6049194
0.282074,0,-0.02872622,0,0.6335449
0.2987061,0,-0.02842617,0,0.662262
0.3153076,0,-0.02713561,0,0.6906738
0.3324585,0,-0.02494991,0,0.717804
0.3486328,0,-0.02353472,0,0.7427673
0.3649292,0,-0.02009535,0,0.7662964
0.3815308,0,-0.01590151,0,0.786377
0.398407,0,-0.01354665,0,0.8022766
0.4145813,0,-0.008377612,0,0.8158569
0.431488,0,-0.002680182,0,0.8242493
0.448822,0,0.00033319,0,0.8269348
0.4667664,0,0.006617308,0,0.8265991
0.4814758,0,0.01314491,0,0.8199768
0.4983215,0,0.01646149,0,0.8068237
0.5148315,0,0.02312189,0,0.7903748
0.5317383,0,0.02971423,0,0.7672424
0.5482483,0,0.03294587,0,0.7375183
0.5649414,0,0.03920478,0,0.7045593
0.5812988,0,0.04509395,0,0.6653748
0.5982971,0,0.04786515,0,0.6202698
0.6149902,0,0.05299652,0,0.5724182
0.6312256,0,0.05750155,0,0.5194092
0.6482544,0,0.05949274,0,0.4619446
0.6651917,0,0.06290661,0,0.4024658
0.6841125,0,0.06551233,0,0.3395691
0.6988831,0,0.06649685,0,0.2740479
0.7146912,0,0.06780744,0,0.20755
0.7321472,0,0.06822322,0,0.13974
0.7487183,0,0.06809321,0,0.07150269
0.764801,0,0.06716168,0,0.003432397
0.7821045,0,0.06535304,0,-0.06372929
0.7978821,0,0.06413031,0,-0.1290823
0.8155212,0,0.06107795,0,-0.1932126
0.831604,0,0.05726671,0,-0.2542906
0.8484802,0,0.05509853,0,-0.3115573
0.8660889,0,0.05028832,0,-0.3666559
0.8834839,0,0.04492188,0,-0.4169442
0.8981628,0,0.04206097,0,-0.4618661
0.9149475,0,0.03604949,0,-0.5039272
0.9313049,0,0.02974355,0,-0.5399767
0.9482117,0,0.02651572,0,-0.5697203
0.9650879,0,0.01998258,0,-0.5962361
0.9814148,0,0.01344264,0,-0.6162187
0.9989929,0,0.01020598,0,-0.6296614
1.014618,0,0.003868937,0,-0.6398674
1.031647,0,-0.002197385,0,-0.6437365
1.047852,0,-0.005097151,0,-0.6415391
1.06488,0,-0.01057148,0,-0.6364419
1.081818,0,-0.01554143,0,-0.6258705
1.099976,0,-0.01781344,0,-0.610329
1.115326,0,-0.02189088,0,-0.5925156
1.132233,0,-0.02530253,0,-0.5706248
1.14856,0,-0.02674544,0,-0.5453222
1.165466,0,-0.0290885,0,-0.5185767
1.181458,0,-0.0306952,0,-0.4894882
1.198273,0,-0.03122163,0,-0.458793
1.214661,0,-0.03172791,0,-0.4275714
1.231873,0,-0.03152591,0,-0.3958435
1.248108,0,-0.03117073,0,-0.3643176
1.265564,0,-0.02998239,0,-0.3331469
1.281616,0,-0.02820724,0,-0.3031645
1.297974,0,-0.02712137,0,-0.2749573
1.316925,0,-0.02460307,0,-0.247836
1.331329,0,-0.02169573,0,-0.2232329
1.348083,0,-0.02012563,0,-0.2015372
1.36499,0,-0.01681477,0,-0.1814115
1.381439,0,-0.01336282,0,-0.1645968
1.398254,0,-0.01161706,0,-0.151234
1.414764,0,-0.008152664,0,-0.1396169
1.431274,0,-0.004812717,0,-0.1314643
1.448212,0,-0.003221929,0,-0.1266516
1.464661,0,-0.0002611279,0,-0.1234296
1.482086,0,0.002326548,0,-0.1231685
1.498535,0,0.003452897,0,-0.1254951
1.517334,0,0.005320191,0,-0.128948
1.531982,0,0.006614864,0,-0.1342682
1.54834,0,0.007028222,0,-0.1408831
1.56546,0,0.00735569,0,-0.1479113
1.581879,0,0.006986022,0,-0.155267
1.598389,0,0.006531358,0,-0.162253
1.615417,0,0.005074084,0,-0.1687844
1.631409,0,0.002886415,0,-0.1738584
1.648682,0,0.001522303,0,-0.1767448
1.664642,0,-0.00173068,0,-0.1782672
1.681458,0,-0.005651474,0,-0.1765365
1.698456,0,-0.007846951,0,-0.170885
1.71524,0,-0.01267022,0,-0.1630381
1.733734,0,-0.0180099,0,-0.1503679
1.748413,0,-0.02084833,0,-0.132358
1.764618,0,-0.02680665,0,-0.1115096
