Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01596069,0,0.03503782,0,0.5704651
0.0322876,0,0.02765206,0,0.5354309
0.04882813,0,0.0239619,0,0.507782
0.06613159,0,0.01666,0,0.4838257
0.08279419,0,0.009559959,0,0.4671631
0.09977722,0,0.006121606,0,0.4576111
0.116745,0,-0.0004616678,0,0.4515076
0.1324768,0,-0.006564647,0,0.4519653
0.1493225,0,-0.009404272,0,0.4585266
0.1660614,0,-0.01460135,0,0.467926
0.1845398,0,-0.01908526,0,0.4825439
0.1997681,0,-0.02103618,0,0.5016174
0.2159424,0,-0.02431637,0,0.522644
0.2327881,0,-0.02672499,0,0.5469666
0.2496033,0,-0.02759004,0,0.5737
0.2659149,0,-0.02862579,0,0.6012878
0.2827606,0,-0.02872622,0,0.6299133
0.299057,0,-0.02842617,0,0.6586304
0.3167877,0,-0.02713561,0,0.6870422
0.3328857,0,-0.02494991,0,0.7141724
0.3495331,0,-0.02353472,0,0.7391357
0.3667908,0,-0.02009535,0,0.7626648
0.3851318,0,-0.01590151,0,0.7827454
0.3992767,0,-0.01354665,0,0.798645
0.4161377,0,-0.008377612,0,0.8121948
0.4330597,0,-0.002680182,0,0.8205872
0.4498444,0,0.00033319,0,0.8232727
0.4663696,0,0.006617308,0,0.822937
0.4828491,0,0.01314491,0,0.8163147
0.5,0,0.01979238,0,0.8031616
0.5164795,0,0.02312189,0,0.7833557
0.5322113,0,0.02971423,0,0.7602234
0.5491486,0,0.03294587,0,0.7304993
0.5663147,0,0.03920478,0,0.6975403
0.5823822,0,0.04509395,0,0.6583252
0.6009827,0,0.05050349,0,0.6132202
0.6161804,0,0.05299652,0,0.5627136
0.63237,0,0.05750155,0,0.5097046
0.649292,0,0.05949274,0,0.4522095
0.6663818,0,0.06290661,0,0.3927307
0.6836548,0,0.06551233,0,0.329834
0.7000885,0,0.06726299,0,0.2643127
0.7160492,0,0.06780744,0,0.197052
0.7331848,0,0.06822322,0,0.1292419
0.7497253,0,0.06809321,0,0.06100463
0.7661591,0,0.06716168,0,-0.007086094
0.7835999,0,0.06535304,0,-0.07424778
0.8013306,0,0.06270301,0,-0.1396008
0.8166656,0,0.06107795,0,-0.2023038
0.8327179,0,0.05726671,0,-0.2633818
0.8493195,0,0.05509853,0,-0.3206485
0.8659973,0,0.05028832,0,-0.3757471
0.8826294,0,0.04492188,0,-0.4260354
0.8989868,0,0.04206097,0,-0.4709573
0.9160461,0,0.03604949,0,-0.5130183
0.9327698,0,0.02974355,0,-0.5490678
0.9493408,0,0.02651572,0,-0.5788113
0.9660645,0,0.01998258,0,-0.6053271
0.9829559,0,0.01344264,0,-0.6253096
0.9996185,0,0.01020598,0,-0.6387523
1.0186,0,0.003868937,0,-0.6489583
1.032883,0,-0.002197385,0,-0.6528273
1.049057,0,-0.005097151,0,-0.6506299
1.066238,0,-0.01057148,0,-0.6455328
1.082794,0,-0.01554143,0,-0.6349614
1.099777,0,-0.01781344,0,-0.6194199
1.116165,0,-0.02189088,0,-0.6016064
1.133026,0,-0.02530253,0,-0.5797156
1.14946,0,-0.02674544,0,-0.5544131
1.166214,0,-0.0290885,0,-0.5276676
