Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01482773,0,0.03503782,0,0.5704651
0.03203964,0,0.02765206,0,0.5354309
0.04807281,0,0.0239619,0,0.507782
0.0650177,0,0.01666,0,0.4838257
0.08193207,0,0.009559959,0,0.4671631
0.09817505,0,0.006121606,0,0.4576111
0.1156769,0,-0.0004616678,0,0.4515076
0.1326447,0,-0.006564647,0,0.4519653
0.1501312,0,-0.0120869,0,0.4585266
0.1651306,0,-0.01460135,0,0.4706116
0.1820641,0,-0.01908526,0,0.485199
0.1984711,0,-0.02103618,0,0.5042725
0.2151451,0,-0.02431637,0,0.5252991
0.2319412,0,-0.02672499,0,0.5496216
0.2489891,0,-0.02759004,0,0.576355
0.2650108,0,-0.02862579,0,0.6039429
0.2820015,0,-0.02872622,0,0.6325684
0.2979431,0,-0.02842617,0,0.6612854
0.3151474,0,-0.02713561,0,0.6896973
0.3321152,0,-0.02494991,0,0.7168274
0.3488045,0,-0.02353472,0,0.7417908
0.3675079,0,-0.02009535,0,0.7653198
0.3823051,0,-0.01590151,0,0.7854004
0.3981209,0,-0.01354665,0,0.8013
0.4146729,0,-0.008377612,0,0.8148499
0.4315796,0,-0.002680182,0,0.8232422
0.448391,0,0.00033319,0,0.8259277
0.4646873,0,0.006617308,0,0.825592
0.4818649,0,0.01314491,0,0.8189697
0.4984512,0,0.01646149,0,0.8058167
0.5150375,0,0.02312189,0,0.7893677
0.5320206,0,0.02971423,0,0.7662354
0.5484848,0,0.03294587,0,0.7365112
0.5652199,0,0.03920478,0,0.7035522
0.5837784,0,0.04509395,0,0.6643372
0.5990448,0,0.04786515,0,0.6192322
0.615448,0.003355943,0.05299652,0.0127119,0.5713806
0.632328,0.02663211,0.05750155,0.1008792,0.5150146
0.6488647,0.05718952,0.05949274,0.216627,0.4309082
0.6648674,0.07640728,0.06290661,0.2894215,0.3142395
0.6817169,0.09443139,0.06551233,0.3576947,0.1749268
0.6984978,0.1147234,0.06649685,0.4345584,0.01498413
0.7152138,0.122124,0.06780744,0.4625911,-0.1662295
0.7318573,0.1259437,0.06822322,0.4770596,-0.356161
0.7482796,0.1218853,0.06809321,0.4616868,-0.550328
0.7651787,0.1117393,0.06716168,0.4232549,-0.7403065
0.7820396,0.09693804,0.06535304,0.3671896,-0.9192075
0.8000679,0.08535965,0.06270301,0.323332,-1.081499
0.814579,0.07139397,0.06107795,0.2704317,-1.229561
0.8317947,0.04620796,0.05726671,0.1750301,-1.362033
0.8482361,0.02412544,0.05509853,0.09138424,-1.465508
