Time,CV,FF,Input
0,0,-0.791238,0
0.01525879,0,-0.7777878,0
0.03204346,0,-0.7500234,0
0.04882813,0,-0.7358032,0
0.06542969,0,-0.6923848,0
0.08209229,0,-0.6633232,0
0.09881592,0,-0.6489156,0
0.1158447,0,-0.6206132,0
0.1320801,0,-0.593346,0
0.1484985,0,-0.5802304,0
0.1654663,0,-0.5675273,0
0.1817017,0,-0.5435532,0
0.1987305,0,-0.5323752,0
0.2176514,0,-0.5118558,0
0.2319336,0,-0.4940503,0
0.2488403,0,-0.486255,0
0.2658691,0,-0.4730349,0
0.2820435,0,-0.4631459,0
0.2988281,0,-0.4567465,0
0.3158569,0,-0.4539393,0
0.331604,0,-0.4547684,0
0.3483887,0,-0.4565442,0
0.3648682,0,-0.4627806,0
0.3816528,0,-0.4725033,0
0.3980713,0,-0.4786234,0
0.4151611,0,-0.4932536,0
0.4343872,0,-0.5108612,0
0.4483032,0,-0.5206915,0
0.4655762,0,-0.5421999,0
0.4815063,0,-0.5658689,0
0.4984741,0,-0.5783916,0
0.5150146,0,-0.6045529,0
0.5319824,0,-0.6318371,0
0.5488281,0,-0.6457594,0
0.5655518,0,-0.6738763,0.03893602
0.5831299,1.878885E-05,-0.7019695,0.1718651
0.5994873,0.0001205087,-0.7158628,0.2631974
0.6154785,0.0003492159,-0.7430583,0.3812059
0.6351929,0.0007618312,-0.7690991,0.4757031
0.6486206,0.001403918,-0.781554,0.5159435
0.6655884,0.002294848,-0.8050833,0.5426198
0.6826782,0.003447445,-0.8264645,0.5720088
0.6992188,0.004875839,-0.8362432,0.5973287
0.7150879,0.006592192,-0.8537888,0.6027544
0.7318115,0.008599065,-0.8684354,0.5986851
0.7487183,0.01089444,-0.8746027,0.5715568
0.7652588,0.01346516,-0.8845169,0.5371941
0.7813721,0.01629459,-0.8911005,0.4874588
0.7985229,0.01935869,-0.8931182,0.472086
0.8148193,0.02264998,-0.8945866,0.4643996
0.8317261,0.02616471,-0.8926497,0.455809
0.8502197,0.0298987,-0.8873783,0.455809
0.8647461,0.03385189,-0.8835292,0.4567133
0.8816528,0.03802468,-0.8735074,0.4616868
0.8980713,0.04241943,-0.867385,0.4842938
