Time,CV,FF,Input
0,0,-0.791238,0
0.01580811,0,-0.7777878,0
0.03198242,0,-0.7500234,0
0.04901123,0,-0.7358032,0
0.06604004,0,-0.6923848,0
0.08215332,0,-0.6633232,0
0.09912109,0,-0.6489156,0
0.1153564,0,-0.6206132,0
0.1329346,0,-0.593346,0
0.149353,0,-0.5802304,0
0.1656494,0,-0.5675273,0
0.182373,0,-0.5435532,0
0.1990967,0,-0.5323752,0
0.2177124,0,-0.5118558,0
0.2324829,0,-0.4940503,0
0.2492065,0,-0.486255,0
0.2658691,0,-0.4730349,0
0.2821045,0,-0.4631459,0
0.2989502,0,-0.4567465,0
0.3161011,0,-0.4539393,0
0.3322754,0,-0.4547684,0
0.3493042,0,-0.4565442,0
0.3656006,0,-0.4627806,0
0.3823853,0,-0.4725033,0
0.3990479,0,-0.4786234,0
0.4157715,0,-0.4932536,0
0.4344482,0,-0.5108612,0
0.4493408,0,-0.5206915,0
0.4661255,0,-0.5421999,0.1167041
0.4825439,5.631639E-05,-0.5658689,0.2292869
0.4989014,0.0002232656,-0.5783916,0.3500083
0.5158081,0.0005590804,-0.6045529,0.5218214
0.5319824,0.001146637,-0.6318371,0.6199358
0.5491333,0.00203323,-0.6457594,0.7623599
0.56604,0.003287528,-0.6738763,0.8518835
0.5821533,0.004952658,-0.7019695,0.9255823
0.598999,0.007064101,-0.7158628,1.004255
0.6159668,0.009659732,-0.7430583,1.035904
0.6343994,0.01275473,-0.7690991,1.063485
0.649292,0.0163623,-0.781554,1.065746
0.6665649,0.02048343,-0.8050833,1.031383
0.6824951,0.02510143,-0.8264645,0.9644663
0.6992798,0.03018393,-0.8362432,0.8998104
0.7157593,0.03569962,-0.8537888,0.8007917
0.7324219,0.04160063,-0.8684354,0.7600991
0.7489014,0.04786726,-0.8746027,0.7166936
0.7658081,0.05447847,-0.8845169,0.6628891
0.7822876,0.06140825,-0.8911005,0.6366649
0.7993164,0.06864387,-0.8931182,0.6136057
0.815979,0.07617414,-0.8945866,0.6068237
0.8321533,0.08399574,-0.8926497,0.6032066
0.8511353,0.09210685,-0.8873783,0.6077279
0.8660278,0.1005096,-0.8835292,0.6212922
0.8823853,0.1092105,-0.8735074,0.6407341
0.8991699,0.1182188,-0.867385,0.6502292
0.9156494,0.1275391,-0.8530648,0.6497769
0.932251,0.1371711,-0.8362042,0.6506813
0.9492798,0.1471152,-0.826915,0.6506813
0.9657593,0.1573712,-0.8068232,0.6511334
0.9827881,0.1679395,-0.7850056,0.6475163
0.9991455,0.178818,-0.7735636,0.637117
1.015869,0.1900019,-0.7498492,0.6312392
1.032043,0.2014881,-0.7253472,0.630335
1.049133,0.2132762,-0.712921,0.6316913
1.067688,0.2253667,-0.6879557,0.6420906
1.082581,0.2377647,-0.6631487,0.6479684
1.099121,0.2504729,-0.6509163,0.666054
1.11554,0.2635,-0.6270046,0.7067466
1.132385,0.2768655,-0.6040916,0.73704
1.149109,0.290584,-0.5930999,0.7686898
1.165649,0.3046707,-0.5722063,0.8016959
1.182251,0.3191414,-0.5529502,0.8129995
1.198608,0.3340015,-0.543995,0.8224944
1.215576,0.3492556,-0.527523,0.8265637
1.232544,0.3649055,-0.5130574,0.8261116
1.248962,0.380951,-0.5065988,0.8166166
1.266113,0.3973872,-0.4952463,0.8021481
1.284119,0.4142073,-0.4859672,0.7709504
1.298889,0.431396,-0.482089,0.7519606
1.316101,0.4489442,-0.4757976,0.7334229
1.332092,0.4668428,-0.4713513,0.7126244
1.348877,0.4850816,-0.46977,0.6945388
1.365356,0.503652,-0.4677703,0.6719319
1.382446,0.522543,-0.4671366,0.6579155
1.399231,0.5417476,-0.4672561,0.640282
1.415466,0.5612573,-0.4682027,0.6158665
1.432373,0.5810603,-0.4698598,0.5986851
1.449402,0.6011483,-0.4708642,0.5643225
1.466248,0.6215046,-0.4730396,0.549402
1.485474,0.6421219,-0.4751885,0.5344814
1.498718,0.662993,-0.4761607,0.5173
1.515747,0.6841096,-0.4777206,0.4983102
1.532471,0.7054624,-0.4785382,0.4770596
1.54895,0.7270411,-0.4785872,0.4426969
1.565918,0.7488292,-0.4778149,0.4259678
1.582275,0.7708185,-0.4757027,0.4011001
1.59906,0.7929969,-0.4740841,0.3870837
1.615967,0.8153577,-0.4696212,0.3739717
1.632263,0.8378944,-0.4634173,0.3689981
1.649414,0.8606048,-0.4596318,0.3626682
1.666199,0.8834856,-0.4506551,0.3572425
1.684448,0.9065341,-0.4397838,0.3436783
1.699219,0.929744,-0.4336401,0.3337313
1.715942,0.9531103,-0.4199642,0.3075071
1.732544,0.9766203,-0.4045047,0.2794745
1.749268,1.00026,-0.3961408,0.2107492
1.766052,1.023997,-0.3782343,0.1415718
1.782532,1.047798,-0.3589017,0
1.799072,1.071594,-0.3487625,0
1.815796,1.095385,-0.3276778,0
1.832031,1.119172,-0.305721,0
1.849243,1.142953,-0.2944964,0
1.865967,1.16673,-0.271725,0
1.882202,1.190502,-0.2487579,0
1.901001,1.21427,-0.2258801,0
1.915588,1.238032,-0.2145639,0
1.932373,1.26179,-0.1923522,0
1.949158,1.285543,-0.181525,-0.08641073
1.965759,1.30925,-0.1605923,-0.1705087
1.9823,1.33287,-0.1408275,-0.248729
1.998657,1.356364,-0.1314549,-0.3585989
2.015625,1.379682,-0.1138591,-0.4214463
2.032837,1.402791,-0.0979481,-0.5109701
2.049072,1.425649,-0.09067381,-0.5706525
2.065918,1.448227,-0.0775682,-0.6488727
2.082092,1.470487,-0.06646787,-0.6981559
2.099182,1.492406,-0.06169154,-0.7420135
2.117004,1.513962,-0.05370994,-0.8075738
2.132385,1.535125,-0.04782701,-0.8464578
2.148926,1.555875,-0.04566544,-0.8785598
2.166199,1.576196,-0.04286845,-0.9400508
2.182495,1.596061,-0.04203686,-0.9748655
2.199097,1.61545,-0.04232466,-1.022792
2.216125,1.634342,-0.04422472,-1.052181
2.232727,1.652723,-0.04776174,-1.078858
