Time,CV,FF,Input
0,0,0.805491,0
0.01602173,0,0.8039248,0
0.03277588,0,0.7974825,0
0.0491333,0,0.7926365,0
0.06604004,0,0.7718899,0
0.0821228,0,0.7532292,0
0.09970093,0,0.7425783,0
0.1158752,0,0.7188938,0
0.1330261,0,0.6924225,0
0.148468,0,0.6783011,0
0.1654358,0,0.6636803,0
0.1846924,0,0.633228,0
0.1985168,0,0.6175454,0
0.2149658,0,0.5856496,0
0.2328796,0,0.5535658,0
0.2489929,0,0.5376484,0
0.2649841,0,0.5064486,0
0.2830811,0,0.4765949,0
0.2993774,0,0.4486593,0
0.3158569,0,0.423172,0
0.3326721,0,0.4006096,0
0.3488159,0,0.3905571,0
0.3662109,0,0.3731348,0
0.3843384,0,0.359533,0
0.3984985,0,0.354237,0
0.4152832,0,0.3467513,0
0.4327393,0,0.3434716,0
0.4487305,0,0.3434118,0
0.4657898,0,0.3464077,0
0.4820862,0,0.3534332,0
0.4988403,0,0.3583899,0
0.5161743,0,0.3710111,0
0.5327454,0,0.3869451,0
0.5482178,0,0.3960258,0
0.5661011,0,0.4161216,0
0.5819092,0,0.438364,0
0.6001282,0,0.462192,0
0.6159973,0,0.4745148,0
0.6318359,0,0.4995916,0
0.6485901,0,0.5121875,0
0.6648865,0,0.5370958,0
0.6820984,0,0.561097,0
0.6989441,0,0.5725618,0
0.7156067,0,0.5940413,0
0.7321777,0,0.6131068,0
0.7488708,0,0.621564,0
0.7652588,0,0.6360142,0
0.7820435,0,0.6468043,0
0.8013,0,0.6535432,0
0.8154602,0,0.6552907,0
0.8322144,0,0.6553783,0
0.8484192,0,0.6536682,0
0.8659058,0,0.646653,0
0.8815613,0,0.6347889,0
0.8988037,0,0.6270372,0
0.9159241,0,0.6079368,0
0.9317017,0,0.5841551,0
0.9491272,0,0.5705694,0
0.9654541,0,0.5401694,0
0.9829407,0,0.5057264,0
1.001617,0,0.4676066,0
1.015625,0,0.4472963,0
1.03186,0,0.4044556,0
1.049103,0,0.382044,0
1.065216,0,0.3355474,0
1.082123,0,0.2872455,0
1.098633,0,0.2625792,0
1.115509,0,0.2125401,0
1.131805,0,0.161984,0
1.149139,0,0.1366675,0
