Time,CV,FF,Input
0,0,0.805491,0
0.01509094,0,0.8039248,0
0.03166199,0,0.7974825,0
0.04902649,0,0.7926365,0
0.06660461,0,0.7718899,0
0.08206177,0,0.7532292,0
0.098526,0,0.7425783,0
0.1155624,0,0.7188938,0
0.1319504,0,0.6924225,0
0.1490173,0,0.6783011,0
0.1652832,0,0.6636803,0
0.1813507,0,0.633228,0
0.1989136,0,0.6175454,0
0.2152328,0,0.5856496,0
0.2320786,0,0.5535658,0
0.2487717,0,0.5376484,0
0.2721329,0,0.4913169,0
0.2832336,0,0.4765949,0
0.2987442,0,0.4486593,0
0.3151321,0,0.423172,0
0.3320084,0,0.4006096,0
0.3481293,0,0.3905571,0
0.3650742,0,0.3731348,0
0.381813,0,0.359533,0
0.3986359,0,0.354237,0
0.4152832,0,0.3467513,0
0.4321442,0,0.3434716,0
0.4483566,0,0.3434118,0
0.4656296,0,0.3464077,0
0.4817047,0,0.3534332,0
0.5010681,0,0.3642629,0
0.5156631,0,0.3710111,0
0.5314713,0,0.3869451,0
0.5490494,0,0.3960258,0
0.5652161,0,0.4161216,0
0.5818787,0,0.438364,0
0.5981064,0,0.4501164,0
0.6152191,0,0.4745148,0
0.6320038,0,0.4995916,0
0.6482773,0,0.5121875,0
0.6653137,0,0.5370958,0
0.6819382,0,0.561097,0
0.7005157,0,0.5835679,0
0.7150269,0,0.5940413,0
0.7312927,0,0.6131068,0
0.7488098,0,0.621564,0
0.7656708,0,0.6360142,0
0.7814713,0,0.6468043,0
0.7987061,0,0.6507018,0
0.8151321,0,0.6552907,0
0.832222,0,0.6553783,0
0.8486328,0,0.6536682,0
0.8647537,0,0.646653,0
0.8818054,0,0.6347889,0
0.899147,0,0.6270372,0
0.9167557,0,0.6079368,0
0.9317398,0,0.5841551,0
0.9480591,0,0.5705694,0
0.9651337,0,0.5401694,0
0.9824524,0,0.5057264,0
0.9989777,0,0.4871012,0
1.015373,0,0.4472963,0
1.031578,0,0.4044556,0
1.048454,0,0.382044,0
1.065117,0,0.3355474,0
1.081879,0,0.2872455,0
1.098572,0,0.2625792,0
1.114929,0,0.2125401,0
1.133652,0,0.161984,0
1.148071,0,0.1366675,0
1.165207,0,0.08625536,0
1.182022,0,0.03651004,0
1.198929,0,0.01201799,0
1.215042,0,-0.03596843,0
1.231819,0,-0.08234609,0
1.248238,0,-0.10484,0
1.266197,0,-0.1482859,0
1.281654,0,-0.189517,0
1.298462,0,-0.2092566,0
1.315262,0,-0.2469265,0
1.333801,0,-0.2821507,0
1.348763,0,-0.2988468,0
1.364861,0,-0.3304395,0
1.381851,0,-0.3597129,0
1.398354,0,-0.3735209,0
1.415237,0,-0.3995839,0
1.431458,0,-0.4237413,0
1.448227,0,-0.435174,0
1.465294,0,-0.4568969,0
1.482094,0,-0.4773065,0
1.499107,0,-0.4870993,0
1.515106,0,-0.506023,0
1.531555,0,-0.5242747,0
1.550774,0,-0.5420957,0
1.565239,0,-0.5509146,0
1.582756,0,-0.5684945,0
1.598091,0,-0.5773,0
1.615746,0,-0.5950361,0
1.632004,0,-0.6130363,0
1.648033,0,-0.622162,0
1.665627,0,-0.6406935,0
1.681267,0,-0.6596037,0
1.698196,0,-0.6691921,0
1.715149,0,-0.6885929,0
1.731834,0,-0.708204,0
1.750847,0,-0.7278829,0
1.765175,0,-0.7376928,0
1.782143,0,-0.7571251,0
1.798302,0,-0.7666907,0
1.814941,0,-0.7853668,0
1.832031,0,-0.8032178,0
1.848747,0,-0.8117487,0
1.865189,0,-0.8278479,0
1.88205,0,-0.8424318,0
1.898842,0,-0.8490703,0
1.914833,0,-0.8608772,0
1.932007,0,-0.8705205,0
1.951019,0,-0.8777797,0
1.965157,0,-0.880455,0
1.981834,0,-0.8837972,0
1.9991,0,-0.8844319,0
2.015633,0,-0.88357,0
2.031616,0,-0.8798228,0
2.048874,0,-0.8768631,0
2.064995,0,-0.8687912,0
2.082001,0,-0.8579144,0
2.098991,0,-0.8514609,0
2.11528,0,-0.8366253,0
2.132118,0,-0.8193889,0
2.15065,0,-0.7999966,0
2.165199,0,-0.7895799,0
2.181717,0,-0.7675017,0
2.198769,0,-0.7559244,0
2.215118,0,-0.7319165,0
2.232063,0,-0.7070826,0
2.248306,0,-0.6944758,0
2.265732,0,-0.6691263,0
2.281868,0,-0.6439192,0
2.298576,0,-0.6314885,0
2.314735,0,-0.6072034,0
2.331825,0,-0.5839779,0
2.3489,0,-0.5728646,0
2.366699,0,-0.5518225,0
2.381905,0,-0.5325764,0
2.398727,0,-0.5236974,0
2.415184,0,-0.5075409,0
2.432236,0,-0.4936312,0
2.448914,0,-0.4875475,0
2.46508,0,-0.477147,0
2.481743,0,-0.4690923,0
2.498909,0,-0.4659267,0
2.515717,0,-0.4612511,0
2.531998,0,-0.4586516,0
2.549072,0,-0.4580684,0
2.566879,0,-0.4581833,0
2.581947,0,-0.4597721,0
2.598175,0,-0.4610215,0
2.61512,0,-0.4642164,0
2.63195,0,-0.468034,0
2.648308,0,-0.4700569,0
2.665604,0,-0.474084,0
2.681396,0,-0.4777537,0
2.698296,0,-0.4793299,0
2.715019,0,-0.4817212,0
2.73185,0,-0.4827842,0
2.749062,0,-0.4827056,0
2.765968,0,-0.4811212,0
2.783783,0,-0.4773846,0
2.799011,0,-0.4746257,0
2.815376,0,-0.4671856,0
2.832222,0,-0.4570325,0
2.848267,0,-0.4508952,0
2.865707,0,-0.4364442,0
2.881477,0,-0.4190613,0
2.899055,0,-0.4092734,0
2.915054,0,-0.3875426,0
2.931549,0,-0.363033,0
2.948944,0,-0.3497846,0.02039831
2.965141,9.84335E-06,-0.3214266,0.03712746
2.981964,3.760085E-05,-0.2907912,0.06154301
3.000336,9.505082E-05,-0.2581616,0.07194225
3.015144,0.0001872056,-0.2411981,0.0796286
3.03215,0.0003177672,-0.2061897,0.08912357
3.048149,0.00049131,-0.1882359,0.1013313
3.065018,0.0007137161,-0.1516661,0.116252
3.081314,0.0009921761,-0.1145379,0.1311726
3.0989,0.001333879,-0.09588734,0.1497103
3.115204,0.001747756,-0.05865808,0.1650831
3.131416,0.002241214,-0.02184343,0.177743
3.149063,0.002820343,-0.003707158,0.1980892
3.164757,0.003494947,0.031805,0.2121056
3.18277,0.004271768,0.06603467,0.2292869
3.200607,0.005159078,0.09869175,0.2369733
