Time,CV,FF,Input
0,0,-0.791238,0
0.01507568,0,-0.7777878,0
0.03210449,0,-0.7500234,0
0.04785156,0,-0.7358032,0
0.06530762,0,-0.6923848,0
0.08233643,0,-0.6633232,0
0.1002197,0,-0.6346613,0
0.1153564,0,-0.6206132,0
0.131958,0,-0.593346,0
0.1483765,0,-0.5802304,0
0.1646729,0,-0.5675273,0
0.1814575,0,-0.5435532,0
0.2009277,0,-0.5217956,0
0.2145386,0,-0.5118558,0
0.2314453,0,-0.4940503,0
0.2479248,0,-0.486255,0
0.2646484,0,-0.4730349,0
0.2816772,0,-0.4631459,0
0.2978516,0,-0.4567465,0
0.3148193,0,-0.4539393,0
0.3312378,0,-0.4547684,0
0.3480835,0,-0.4565442,0
0.3649902,0,-0.4627806,0
0.3812866,0,-0.4725033,0
0.3981934,0,-0.4786234,0
0.4190674,0,-0.4932536,0
0.432373,0,-0.5108612,0
0.4492188,0,-0.5206915,0
0.4654541,0,-0.5421999,0
0.482605,0,-0.5658689,0
0.4985352,0,-0.5783916,0
0.5149536,0,-0.6045529,0
0.5314941,0,-0.6318371,0
0.5482788,0,-0.6457594,0
0.5650635,0,-0.6738763,0
0.5812988,0,-0.7019695,0
0.5979004,0,-0.7158628,0
0.6156616,0,-0.7430583,0
0.6343384,0,-0.7690991,0
0.6478271,0,-0.781554,0
0.6639404,0,-0.8050833,0
0.6807861,0,-0.8264645,0
0.697998,0,-0.8362432,0
0.7140503,0,-0.8537888,0
0.7312012,0,-0.8684354,0
0.7481079,0,-0.8746027,0
0.7644653,0,-0.8845169,0
0.7816772,0,-0.8911005,0
0.7979736,0,-0.8931182,0
0.8146973,0,-0.8945866,0
0.8314819,0,-0.8926497,0
0.8498535,0,-0.8904243,0
0.8650513,0,-0.8835292,0
0.8811035,0,-0.8735074,0
0.8979492,0,-0.867385,0
0.9153442,0,-0.8530648,0
0.9319458,0,-0.8362042,0
0.9489746,0,-0.826915,0
0.9650879,0,-0.8068232,0
0.9821167,0,-0.7850056,0
0.9987793,0,-0.7735636,0
1.014465,0,-0.7498492,0
1.032043,0,-0.7253472,0.01225979
1.050659,5.91605E-06,-0.7004415,0.02356326
1.064514,2.320154E-05,-0.6879557,0.0307975
1.082092,5.534512E-05,-0.6631487,0.0384839
1.098328,0.000106053,-0.6509163,0.0384839
1.114929,0.0001753213,-0.6270046,0.0384839
1.131287,0.0002631465,-0.6040916,0.03712746
1.148071,0.0003688703,-0.5930999,0.03712746
1.164856,0.000492489,-0.5722063,0.03712746
1.181335,0.0006339991,-0.5529502,0.03712746
1.198303,0.000793397,-0.543995,0.03712746
1.214783,0.0009706791,-0.527523,0.03712746
1.231812,0.001165842,-0.5130574,0.03712746
1.248962,0.001378882,-0.5065988,0.03712746
1.266724,0.001609795,-0.4952463,0.03712746
1.281372,0.001858579,-0.4859672,0.03803174
1.298279,0.002125665,-0.482089,0.04526597
1.315186,0.002414541,-0.4757976,0.05385666
1.331421,0.002729349,-0.4713513,0.06063873
1.348083,0.003073355,-0.46977,0.06832513
1.364868,0.003450263,-0.4677703,0.07284653
1.381348,0.003862248,-0.4671366,0.07646365
1.397827,0.004311049,-0.4672561,0.07872432
1.414917,0.00479775,-0.4682027,0.08234144
1.431335,0.005324087,-0.4698598,0.08415
1.448181,0.005890926,-0.4708642,0.09183641
1.464966,0.006501969,-0.4730396,0.1013313
1.484863,0.007161787,-0.4751885,0.1234862
1.49823,0.007881063,-0.4761607,0.1338854
1.514587,0.008664803,-0.4777206,0.1420239
1.531555,0.00951692,-0.4785382,0.1483539
1.547913,0.01044046,-0.4785872,0.1646309
1.564514,0.01144325,-0.4778149,0.1781951
1.582214,0.01253183,-0.4757027,0.1926636
1.598022,0.01371317,-0.4740841,0.1962807
1.614868,0.01498899,-0.4696212,0.1962807
1.631042,0.01635927,-0.4634173,0.1967328
1.648071,0.01782421,-0.4596318,0.1989935
1.664307,0.01938488,-0.4506551,0.2039671
