Time,CV,FF,Input
0,0,-0.791238,0
0.01513672,0,-0.7777878,0
0.03222656,0,-0.7500234,0
0.04904175,0,-0.7358032,0
0.06668091,0,-0.6923848,0
0.0819397,0,-0.6633232,0
0.09820557,0,-0.6489156,0
0.1152954,0,-0.6206132,0
0.132019,0,-0.593346,0
0.1488647,0,-0.5802304,0
0.1655579,0,-0.5675273,0
0.1821289,0,-0.5435532,0
0.1988831,0,-0.5323752,0
0.2149658,0,-0.5118558,0
0.2322388,0,-0.4940503,0
0.2492981,0,-0.486255,0
0.2667847,0,-0.4730349,0
0.2822876,0,-0.4631459,0
0.2991028,0,-0.4567465,0
0.3149109,0,-0.4539393,0
0.33255,0,-0.4547684,0
0.348175,0,-0.4565442,0
0.3651123,0,-0.4627806,0
0.3822632,0,-0.4725033,0
0.3988647,0,-0.4786234,0
0.414978,0,-0.4932536,0
0.432312,0,-0.5108612,0
0.4485168,0,-0.5206915,0
0.4658203,0,-0.5421999,0
0.4836731,0,-0.5658689,0
0.4990845,0,-0.5783916,0
0.5152283,0,-0.6045529,0
0.5319824,0,-0.6318371,0
0.5490417,0,-0.6457594,0
0.5649719,0,-0.6738763,0
0.5817871,0,-0.7019695,0
0.5985413,0,-0.7158628,0
0.6151123,0,-0.7430583,0
0.6322937,0,-0.7690991,0
0.6484375,0,-0.781554,0
0.6651001,0,-0.8050833,0
0.6815796,0,-0.8264645,0
0.7001953,0,-0.845363,0
0.7149353,0,-0.8537888,0
0.7316895,0,-0.8684354,0
0.7483826,0,-0.8746027,0
0.7647705,0,-0.8845169,0
0.7818604,0,-0.8911005,0
0.7991028,0,-0.8931182,0
0.8149719,0,-0.8945866,0
0.8323975,0,-0.8926497,0
0.8485718,0,-0.8904243,0
0.8648987,0,-0.8835292,0
0.8818665,0,-0.8735074,0
0.9000244,0,-0.8605601,0
0.9153442,0,-0.8530648,0
0.932251,0,-0.8362042,0
0.9489746,0,-0.826915,0
0.9647522,0,-0.8068232,0
0.9821167,0,-0.7850056,0
0.9989319,0,-0.7735636,0
1.014954,0,-0.7498492,0
1.032166,0,-0.7253472,0
1.048309,0,-0.712921,0
1.06485,0,-0.6879557,0
1.082275,0,-0.6631487,0
1.100159,0,-0.6388547,0
1.115051,0,-0.6270046,0
1.131927,0,-0.6040916,0
1.148712,0,-0.5930999,0
1.165924,0,-0.5722063,0
1.181671,0,-0.5529502,0
1.198486,0,-0.543995,0
1.215332,0,-0.527523,0
1.232178,0,-0.5130574,0
1.248627,0,-0.5065988,0
1.265106,0,-0.4952463,0
1.282013,0,-0.4859672,0
1.298584,0,-0.482089,0
1.317383,0,-0.4757976,0
1.332123,0,-0.4713513,0
1.348206,0,-0.46977,0
1.365112,0,-0.4677703,0
1.382111,0,-0.4671366,0
1.398407,0,-0.4672561,0
1.415283,0,-0.4682027,0
1.431824,0,-0.4698598,0
1.448364,0,-0.4708642,0
1.465057,0,-0.4730396,0
1.48175,0,-0.4751885,0
1.498413,0,-0.4761607,0
1.515289,0,-0.4777206,0
1.533752,0,-0.4785382,0
1.54834,0,-0.4785872,0
1.565033,0,-0.4778149,0
1.581604,0,-0.4757027,0
1.598114,0,-0.4740841,0
1.615082,0,-0.4696212,0
1.632111,0,-0.4634173,0
1.648987,0,-0.4596318,0
1.665314,0,-0.4506551,0
1.682404,0,-0.4397838,0
1.698761,0,-0.4336401,0
1.71521,0,-0.4199642,0
1.732361,0,-0.4045047,0
1.751129,0,-0.3873772,0
1.765961,0,-0.3782343,0
1.783112,0,-0.3589017,0
1.79834,0,-0.3487625,0
1.815033,0,-0.3276778,0
1.831604,0,-0.305721,0
1.848297,0,-0.2944964,0
1.865265,0,-0.271725,0
1.881439,0,-0.2487579,0
1.899048,0,-0.2372899,0
1.914673,0,-0.2145639,0
1.93222,0,-0.1923522,0
1.949066,0,-0.181525,0
1.966736,0,-0.1605923,0
1.981659,0,-0.1408275,0
1.997925,0,-0.1314549,0
2.014984,0,-0.1138591,0
2.032257,0,-0.0979481,0
2.048126,0,-0.09067381,0
2.065216,0,-0.0775682,0
2.08197,0,-0.06646787,0
2.098419,0,-0.06169154,0
2.115448,0,-0.05370994,0
2.132202,0,-0.04782701,0
2.148285,0,-0.04566544,0
2.165222,0,-0.04286845,0
2.183777,0,-0.04203686,0
2.198914,0,-0.04232466,0
2.214966,0,-0.04422472,0
2.232422,0,-0.04776174,0
2.248596,0,-0.05009052,0
2.265106,0,-0.05575124,0
2.282532,0,-0.0625826,0
2.299255,0,-0.0663723,0
2.315186,0,-0.07456644,0
2.331818,0,-0.08340163,0
2.348297,0,-0.08799331,0
2.366119,0,-0.09739605,0
2.384216,0,-0.1069279,0
2.398865,0,-0.1116846,0
2.415436,0,-0.121074,0
2.431854,0,-0.1301741,0
2.449219,0,-0.1345749,0
2.465454,0,-0.1430111,0
2.481903,0,-0.1508925,0
2.498474,0,-0.154607,0
2.515045,0,-0.1615641,0
2.532196,0,-0.1678892,0
2.549133,0,-0.1708212,0
2.564941,0,-0.1762534,0
2.581543,0,-0.1811704,0
2.600861,0,-0.1856688,0
2.615021,0,-0.1877979,0
2.632355,0,-0.1919017,0
2.648773,0,-0.1939142,0
2.665314,0,-0.1979621,0
2.682251,0,-0.2021844,0
2.69928,0,-0.2044167,0
2.71463,0,-0.209237,0
2.732452,0,-0.2146819,0
2.749207,0,-0.2176936,0
2.765381,0,-0.2244006,0
2.782318,0,-0.2321486,0
2.800781,0,-0.2410769,0
2.815399,0,-0.2460212,0
2.832092,0,-0.2569306,0
2.848755,0,-0.2629147,0
2.865845,0,-0.2759745,0
2.882202,0,-0.2905086,0
2.899597,0,-0.2983276,0
2.915283,0,-0.3150476,0
2.932495,0,-0.3331545,0
2.949188,0,-0.3426985,0
2.965485,0,-0.362689,0
2.982605,0,-0.3837526,0
3.00061,0,-0.4057041,0
3.01532,0,-0.4169467,0
3.032318,0,-0.4398187,0
3.048187,0,-0.4513848,0
3.065186,0,-0.4746094,0
3.081451,0,-0.497722,0
3.098389,0,-0.5091453,0
3.115265,0,-0.5315406,0
3.131531,0,-0.5530853,0
3.14856,0,-0.5634463,0
3.165375,0,-0.5831656,0
3.18219,0,-0.601318,0
3.199097,0,-0.609725,0
3.217896,0,-0.6250502,0
3.2323,0,-0.638211,0
3.248505,0,-0.6439202,0
3.265015,0,-0.6534974,0
3.282288,0,-0.6605172,0
3.29892,0,-0.66304,0
3.314941,0,-0.6660798,0
3.332001,0,-0.6664382,0
3.348297,0,-0.6656207,0
3.365265,0,-0.6620363,0
3.381531,0,-0.6559479,0
3.4021,0,-0.6475109,0
3.422272,0,-0.6369269,0
3.432709,0,-0.6309046,0
3.449005,0,-0.6244403,0
3.464752,0,-0.6103345,0
3.482056,0,-0.5949274,0
3.498016,0,-0.5868432,0
3.515289,0,-0.5701413,0
3.532257,0,-0.553045,0
3.548737,0,-0.5444707,0
3.565308,0,-0.5275169,0
3.582214,0,-0.5111523,0
3.598511,0,-0.503313,0
3.615295,0,-0.4885579,0
3.634033,0,-0.4753371,0
3.648285,0,-0.4694099,0
3.665466,0,-0.4591206,0
3.682129,0,-0.4511575,0
3.699036,0,-0.4481283,0
3.71521,0,-0.4441102,0
3.73175,0,-0.4429569,0
3.749023,0,-0.4434964,0
3.765259,0,-0.4468611,0
3.782379,0,-0.4533031,0
3.798065,0,-0.4576754,0
3.815338,0,-0.468685,0
3.834442,0,-0.4826219,0
3.848328,0,-0.4906398,0
3.865082,0,-0.5086469,0
3.881531,0,-0.5290744,0
3.898834,0,-0.5401058,0
3.915161,0,-0.5635989,0
3.932373,0,-0.5886957,0
3.948975,0,-0.601723,0
3.965057,0,-0.6284735,0
3.981812,0,-0.6557851,0
3.99884,0,-0.6695091,0
4.015045,0,-0.6968034,0
4.031952,0,-0.7235013,0
4.050049,0,-0.7491348,0
4.065338,0,-0.7614087,0
4.082001,0,-0.7845929,0
4.098328,0,-0.7953957,0
4.115112,0,-0.8151686,0
4.132141,0,-0.832183,0
4.148376,0,-0.839547,0
4.164703,0,-0.8460963,0
4.181824,0,-0.8566105,0
4.198334,0,-0.8605136,0
4.214813,0,-0.8654824,0
4.232605,0,-0.866536,0
4.249786,0,-0.8655591,0
4.265045,0,-0.8605593,0
4.28302,0,-0.8514907,0
4.298065,0,-0.8454419,0
4.315094,0,-0.8303704,0
4.332214,0,-0.8114488,0
4.348236,0,-0.8006002,0
4.365204,0,-0.7762681,0
4.381622,0,-0.7486451,0
4.399384,0,-0.7336931,0
4.415283,0,-0.7017166,0
4.432343,0,-0.6672794,0
4.449097,0,-0.6492579,0
4.467041,0,-0.611861,0
4.4823,0,-0.5730062,0
4.499023,0,-0.5531644,0
4.51532,0,-0.5129187,0
4.53241,0,-0.4722762,0
4.549103,0,-0.4519362,0
4.565186,0,-0.4114707,0
4.582214,0,-0.3716114,0
4.599213,0,-0.352023,0
4.614685,0,-0.3137394,0
4.632446,0,-0.2769018,0
4.64856,0,-0.2591118,0
4.665222,0,-0.2249389,0
4.683624,0,-0.1928086,0
4.698364,0,-0.177561,0
4.714874,0,-0.1487772,0
4.731934,0,-0.122342,0
4.748291,0,-0.1100187,0
4.765717,0,-0.08716192,0
4.782104,0,-0.06665953,0
4.79837,0,-0.05726889,0
4.815216,0,-0.04014152,0
4.832397,0,-0.02510218,0
4.848969,0,-0.01831357,0
4.865112,0,-0.006078095,0
4.882172,0,0.004547237,0
4.901031,0,0.01379452,0
4.915222,0,0.01797804,0
4.932098,0,0.02562335,0
4.94812,0,0.02914936,0
4.965332,0,0.03576841,0
4.982086,0,0.04201991,0
4.99823,0,0.04508412,0
5.015106,0,0.05123392,0
5.031616,0,0.05759079,0
5.048309,0,0.06090838,0
5.065338,0,0.06793029,0
5.082062,0,0.07559058,0
5.09848,0,0.07969854,0
5.116913,0,0.08852822,0
5.132202,0,0.09822757,0
5.149017,0,0.1034141,0
5.164856,0,0.114462,0
5.182098,0,0.126385,0
5.198334,0,0.1326571,0
5.215088,0,0.1457689,0
5.232391,0,0.1595428,0
5.248352,0,0.1666357,0
5.265106,0,0.1811348,0
5.281464,0,0.1959033,0
5.298889,0,0.2033286,0
5.316803,0,0.2181335,0
5.332123,0,0.2326992,0
5.348267,0,0.2398242,0
5.364868,0,0.2536213,0
5.381714,0,0.266634,0
5.398621,0,0.2727803,0
5.4151,0,0.2842273,0
5.431946,0,0.2943914,0
5.448029,0,0.2989388,0
5.464813,0,0.3068691,0
5.482117,0,0.3131402,0
5.49823,0,0.3156202,0
5.515076,0,0.3192195,0
5.533539,0,0.3209623,0
5.548645,0,0.3211297,0
5.566162,0,0.3200595,0
5.581604,0,0.3171454,0
5.598999,0,0.3150158,0
5.616028,0,0.3094675,0
5.632446,0,0.3022975,0
5.649445,0,0.2981477,0
5.664917,0,0.2888193,0
5.68222,0,0.2782709,0
5.698395,0,0.2726007,0
5.715363,0,0.2606001,0
5.733276,0,0.2479039,0
5.748199,0,0.2413659,0
5.765106,0,0.2280542,0
5.781433,0,0.2146194,0
5.79837,0,0.2079261,0
5.815369,0,0.1947235,0
5.831726,0,0.1819362,0
5.849243,0,0.175758,0
5.864899,0,0.1639394,0
5.882477,0,0.1529628,0
5.899384,0,0.1478302,0
5.915161,0,0.1383402,0
5.932404,0,0.1299438,0
5.950317,0,0.1226835,0
5.965454,0,0.1194827,0
5.983276,0,0.1139274,0
5.99881,0,0.1115611,0
