Time,CV,FF,Input
0,0,-0.791238,0
0.01585388,0,-0.7777878,0
0.03215027,0,-0.7500234,0
0.04681396,0,-0.7358032,0
0.06295776,0,-0.6923848,0
0.07987976,0,-0.6778306,0
0.09831238,0,-0.6489156,0
0.1127014,0,-0.6206132,0
0.1309204,0,-0.593346,0
0.1460266,0,-0.5802304,0
0.1622772,0,-0.5675273,0
0.179184,0,-0.5552858,0
0.1954498,0,-0.5323752,0
0.2130432,0,-0.5118558,0
0.2285309,0,-0.5025952,0
0.2454529,0,-0.486255,0
0.2631378,0,-0.4730349,0
0.2793274,0,-0.4676628,0
0.2962799,0,-0.4567465,0
0.3145599,0,-0.4539393,0
0.3294525,0,-0.4538988,0
0.346344,0,-0.4565442,0
0.3625641,0,-0.4627806,0
0.3800049,0,-0.4725033,0
0.3958588,0,-0.4786234,0
0.4130096,0,-0.4932536,0
0.4290161,0,-0.5017024,0
0.4458618,0,-0.5206915,0
0.4622498,0,-0.5421999,0
0.4788666,0,-0.5537882,0
0.496109,0,-0.5783916,0
0.51297,0,-0.6045529,0
0.5307922,0,-0.6318371,0
0.5454865,0,-0.6457594,0
0.5620117,0,-0.6738763,0
0.57901,0,-0.6879548,0
0.5957184,0,-0.7158628,0
0.6121368,0,-0.7430583,0
0.6291351,0,-0.7562499,0
0.6458435,0,-0.781554,0
0.662262,0,-0.8050833,0
0.6791382,0,-0.8160644,0
0.6952972,0,-0.8362432,0
0.7130432,0,-0.8537888,0
0.7308655,0,-0.8684354,0
0.7454987,0,-0.8746027,0
0.7630768,0,-0.8845169,0
0.7787628,0,-0.8882309,0
0.795639,0,-0.8931182,0
0.8124084,0,-0.8945866,0
0.829834,0,-0.8940406,0
0.8459778,0,-0.8904243,0
0.8625946,0,-0.8835292,0
0.8794098,0,-0.8788977,0
0.8957672,0,-0.867385,0
0.9132538,0,-0.8530648,0
0.931015,0,-0.8362042,0
0.9459991,0,-0.826915,0
0.9629364,0,-0.8068232,0
0.979187,0,-0.7961076,0
0.9960785,0,-0.7735636,0
1.012527,0,-0.7498492,0
1.029724,0,-0.7376726,0
1.046158,0,-0.712921,0
1.062439,0,-0.6879557,0
1.079926,0,-0.6755098,0
1.095871,0,-0.6509163,0
1.112503,0,-0.6270046,0
1.130173,0,-0.6040916,0
1.14769,0,-0.5930999,0
1.162201,0,-0.5722063,0
1.179535,0,-0.5623611,0
1.19603,0,-0.543995,0.03351034
1.212906,1.617065E-05,-0.527523,0.103592
1.228683,8.232714E-05,-0.5200343,0.1379547
1.246231,0.0002150414,-0.5065988,0.1659873
1.263107,0.0004278275,-0.4952463,0.1687002
1.279068,0.0007219786,-0.4903501,0.1687002
1.2957,0.001097478,-0.482089,0.1619181
1.312439,0.001551038,-0.4757976,0.1546838
1.329132,0.00207915,-0.4733532,0.1465453
1.34523,0.002677873,-0.46977,0.1365982
1.363754,0.003342394,-0.4677703,0.1347897
1.378784,0.004071825,-0.4672975,0.1257469
1.39592,0.00486179,-0.4672561,0.1239383
1.413025,0.005711404,-0.4682027,0.116252
1.429276,0.006616947,-0.4689604,0.1148955
1.445908,0.007577752,-0.4708642,0.1148955
1.46315,0.008593809,-0.4730396,0.1148955
1.479843,0.009665106,-0.4741359,0.1148955
1.495819,0.01079163,-0.4761607,0.1148955
1.512512,0.01197338,-0.4777206,0.1144434
1.528931,0.01321011,-0.4782389,0.1103741
1.546249,0.01449986,-0.4785872,0.1090177
1.563751,0.01584196,-0.4778149,0.1090177
1.578751,0.0172364,-0.4769388,0.1090177
1.596085,0.01868316,-0.4740841,0.1090177
1.612335,0.02018224,-0.4696212,0.1076613
1.630035,0.02173298,-0.4634173,0.1054006
1.645813,0.02333427,-0.4596318,0.1054006
1.662567,0.0249861,-0.4506551,0.1054006
1.679626,0.02668846,-0.4454565,0.1049484
1.695923,0.02844112,-0.4336401,0.1044963
1.713074,0.03024386,-0.4199642,0.1008792
1.728729,0.03209492,-0.4124511,0.09635781
1.745743,0.03399211,-0.3961408,0.09274069
1.762939,0.03593367,-0.3782343,0.08776712
1.780685,0.03791719,-0.3589017,0.08143716
1.796021,0.03993962,-0.3487625,0.07646365
1.812515,0.04199854,-0.3276778,0.0751072
1.828796,0.04409329,-0.3167925,0.07239437
1.845856,0.04622256,-0.2944964,0.0705858
1.862167,0.04838546,-0.271725,0.06877725
1.878769,0.05058112,-0.2602481,0.06877725
1.895355,0.05280953,-0.2372899,0.06651658
1.913116,0.0550696,-0.2145639,0.0656123
1.929398,0.05736087,-0.2033764,0.06516013
1.945999,0.05968313,-0.181525,0.06470802
1.962906,0.06203614,-0.1605923,0.06063873
1.981537,0.06441795,-0.1408275,0.05837806
1.995956,0.06682745,-0.1314549,0.05747378
2.013077,0.06926421,-0.1138591,0.05521305
2.029724,0.07172712,-0.1056826,0.0520481
2.046051,0.07421465,-0.09067381,0.0475267
2.063141,0.07672463,-0.0775682,0.03712746
2.078934,0.07925201,-0.07176242,0.02220687
2.096359,0.08178961,-0.06169154,0.004573387
2.112656,0.08432891,-0.05370994,0
2.129364,0.0868677,-0.05050699,0
2.145538,0.08940598,-0.04566544,0
2.162491,0.09194375,-0.04286845,0
2.179276,0.09448101,-0.04221319,0
2.198151,0.09701777,-0.04232466,0
2.212509,0.09955402,-0.04422472,0
2.228806,0.1020898,-0.04579901,0
2.245483,0.104625,-0.05009052,0
2.262756,0.1071597,-0.05575124,0
2.278778,0.109694,-0.05903346,0
2.295929,0.1122277,-0.0663723,0
2.312485,0.1147609,-0.07456644,0
2.329086,0.1172936,-0.07891724,0
2.345932,0.1198258,-0.08799331,0
2.362213,0.1223575,-0.09739605,0
2.378922,0.1248887,-0.1021577,0
2.396042,0.1274194,-0.1116846,0
