Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01567078,0,0.03503782,0,0.5704651
0.03251648,0,0.02765206,0,0.5354309
0.04962158,0,0.0239619,0,0.507782
0.07737732,0,0.0130775,0,0.4838257
0.09938049,0,0.006121606,0,0.4707336
0.1169128,0,-0.0004616678,0,0.4645996
0.133606,0,-0.006564647,0,0.4650574
0.1530762,0,-0.0120869,0,0.4716187
0.1663818,0,-0.01460135,0,0.4837036
0.1829834,0,-0.01908526,0,0.498291
0.1994934,0,-0.02103618,0,0.5173645
0.2166138,0,-0.02431637,0,0.5383911
0.2484894,0,-0.02759004,0,0.5627136
0.2662811,0,-0.02862579,0,0.5903015
0.2817841,0,-0.02872622,0,0.618927
0.2982941,0,-0.02842617,0,0.647644
0.3149872,0,-0.02713561,0,0.6760559
0.3314514,0,-0.02494991,0,0.703186
0.3491211,0,-0.02353472,0,0.7281494
0.3673096,0,-0.02009535,0,0.7516785
0.3920898,0,-0.01354665,0,0.771759
0.4159698,0,-0.008377612,0,0.7853394
0.4320068,0,-0.002680182,0,0.7937317
0.4488373,0,0.00033319,0,0.7964172
0.4667053,0,0.006617308,0,0.7960815
0.4827423,0,0.01314491,0,0.7894592
0.4996185,0,0.01646149,0,0.7763062
0.5159607,0,0.02312189,0,0.7598572
0.5334778,0,0.02971423,0,0.7367249
0.5600586,0,0.03920478,0,0.7070007
0.5827637,0,0.04509395,0,0.6677856
0.5991211,0,0.04786515,0,0.6226807
0.6164093,0,0.05299652,0,0.5748291
0.6324158,0,0.05750155,0,0.5218201
0.6488342,0,0.05949274,0,0.464325
0.6663513,0,0.06290661,0,0.4048462
0.6820679,0,0.06551233,0,0.3419495
0.6996918,0,0.06649685,0,0.2764282
0.7276611,0,0.06812793,0,0.2099304
0.749115,0,0.06809321,0,0.1418152
0.7655945,0,0.06716168,0,0.07373047
0.7842255,0,0.06535304,0,0.006561279
0.7991486,0,0.06413031,0,-0.05877697
0.8158112,0,0.06107795,0,-0.1229073
0.83255,0,0.05726671,0,-0.1839853
0.8499146,0,0.05509853,0,-0.241252
0.8772888,0,0.04766858,0,-0.2963506
0.8989563,0,0.04206097,0,-0.3440192
0.9164581,0,0.03604949,0,-0.3860802
0.9331818,0,0.02974355,0,-0.4221296
0.9493103,0,0.02651572,0,-0.4518732
0.9659271,0,0.01998258,0,-0.478389
0.9840546,0,0.01344264,0,-0.4983716
0.999527,0,0.01020598,0,-0.5118143
1.016571,0,0.003868937,0,-0.5220203
1.042557,0,-0.005097151,0,-0.5258892
1.06546,0,-0.01057148,0,-0.520792
1.08252,0,-0.01554143,0,-0.5102205
1.099457,0,-0.01781344,0,-0.494679
1.115585,0,-0.02189088,0,-0.4768656
1.132614,0,-0.02530253,0,-0.4549747
1.14975,0,-0.02674544,0,-0.4296722
1.165787,0,-0.0290885,0,-0.4029268
1.18335,0,-0.0306952,0,-0.3738383
1.210907,0,-0.03172791,0,-0.3431431
1.2323,0,-0.03152591,0,-0.3114152
1.249557,0,-0.03117073,0,-0.2798893
1.266663,0,-0.02998239,0,-0.2487186
1.282211,0,-0.02820724,0,-0.2187363
1.299316,0,-0.02712137,0,-0.190529
1.315811,0,-0.02460307,0,-0.1634077
1.332626,0,-0.02169573,0,-0.1388046
1.34967,0,-0.02012563,0,-0.1171089
1.375229,0,-0.01509988,0,-0.09698324
1.399033,0,-0.01161706,0,-0.08188336
1.418625,0,-0.008152664,0,-0.07026629
1.432602,0,-0.004812717,0,-0.06211364
1.44957,0,-0.003221929,0,-0.05730092
1.465912,0,-0.0002611279,0,-0.05407899
1.482529,0,0.002326548,0,-0.05381786
1.499939,0,0.003452897,0,-0.05614441
1.527374,0,0.006043136,0,-0.05959731
1.548782,0,0.007028222,0,-0.06564044
1.565796,0,0.00735569,0,-0.07266866
1.582321,0,0.006986022,0,-0.08002435
1.599487,0,0.006531358,0,-0.08701038
1.617386,0,0.005074084,0,-0.09354174
1.632889,0,0.002886415,0,-0.09861583
1.649185,0,0.001522303,0,-0.1015023
1.665909,0,-0.00173068,0,-0.1030246
1.692444,0,-0.007846951,0,-0.1012939
1.715698,0,-0.01267022,0,-0.09344694
1.732361,0,-0.0180099,0,-0.08077672
1.753281,0,-0.02378446,0,-0.06276683
1.769394,0,-0.02680665,0,-0.03898237
1.788498,0,-0.03305972,0,-0.01217572
1.800705,0,-0.03950506,0,0.02087402
1.817932,0,-0.04276636,0,0.06039429
1.843765,0,-0.05253959,0,0.1031494
1.865799,0,-0.0589073,0,0.1557007
1.882477,0,-0.06502869,0,0.2145996
1.899643,0,-0.06796366,0,0.2796326
1.916382,0,-0.07351837,0,0.3475952
1.932877,0,-0.07857281,0,0.4211121
1.94957,0,-0.08088437,0,0.4996948
1.9664,0,-0.08502573,0,0.5805664
1.982574,0,-0.08846515,0,0.6655884
2.009552,0,-0.09114242,0,0.7540588
2.031952,0,-0.09362972,0,0.8452148
2.049286,0,-0.09403574,0,0.9388428
2.066391,0,-0.09420061,0,1.032867
2.082535,0,-0.09350121,0,1.127075
2.099045,0,-0.09283066,0,1.220581
2.116196,0,-0.09086108,0,1.313416
2.133652,0,-0.08808279,0,1.404266
2.160736,0,-0.08250308,0,1.49234
2.183182,0,-0.07793117,0,1.574829
2.199783,0,-0.07541656,0,1.652802
2.216476,0,-0.06998038,0,1.72821
2.234894,0,-0.06407452,0,1.798187
2.249481,0,-0.06097436,0,1.862274
