Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01612282,0,0.03503782,0,0.5704651
0.03226185,0,0.02765206,0,0.5354309
0.05998325,0,0.02029303,0,0.507782
0.08175564,0,0.009559959,0,0.4874878
0.09883213,0,0.006121606,0,0.4779358
0.1169357,0,-0.0004616678,0,0.4718018
0.134469,0,-0.006564647,0,0.4722595
0.1488152,0,-0.009404272,0,0.4788208
0.1659336,0,-0.01460135,0,0.4882202
0.1820974,0,-0.01908526,0,0.5028076
0.199069,0,-0.02103618,0,0.5218811
0.2265425,0,-0.02563232,0,0.5429077
0.2488909,0,-0.02759004,0,0.5685425
0.2660131,0,-0.02862579,0,0.5961304
0.282692,0,-0.02872622,0,0.6247559
0.299778,0,-0.02842617,0,0.6534729
0.3151379,0,-0.02713561,0,0.6818848
0.3325262,0,-0.02494991,0,0.7090149
0.3510647,0,-0.02191395,0,0.7339783
0.3747826,0,-0.01808792,0,0.7558899
0.3986168,0,-0.01354665,0,0.7739868
0.4159451,0,-0.008377612,0,0.7875366
0.4329824,0,-0.002680182,0,0.795929
0.4496012,0,0.00033319,0,0.798645
0.4658823,0,0.006617308,0,0.7983093
0.4821644,0,0.01314491,0,0.791687
0.4991283,0,0.01646149,0,0.7785645
0.5161524,0,0.02312189,0,0.7621155
0.5428257,0,0.03294587,0,0.7389832
0.565156,0,0.03920478,0,0.7060547
0.5818958,0,0.04509395,0,0.6668396
0.5983572,0,0.04786515,0,0.6217346
0.6152229,0,0.05299652,0,0.5738831
0.6313944,0,0.05750155,0,0.520874
0.6491632,0,0.05949274,0,0.4633789
0.6658373,0,0.06290661,0,0.4039001
0.6822786,0,0.06551233,0,0.3410034
0.7090616,0,0.06726299,0,0.2754822
0.7318916,0,0.06822322,0,0.2082214
0.7554607,0,0.06773868,0,0.1399841
0.767601,0,0.06716168,0,0.07223511
0.7822571,0,0.06535304,0,0.005071643
0.7990999,0,0.06413031,0,-0.0602814
0.8154745,0,0.06107795,0,-0.1244117
0.8323345,0,0.05726671,0,-0.1854896
0.8590832,0,0.05276871,0,-0.2427564
0.8819656,0,0.04492188,0,-0.2955251
0.8989954,0,0.04206097,0,-0.3404469
0.916275,0,0.03604949,0,-0.3825079
0.9330606,0,0.02974355,0,-0.4185574
0.9488983,0,0.02651572,0,-0.448301
0.9658546,0,0.01998258,0,-0.4748168
0.9840212,0,0.01344264,0,-0.4947993
1.011407,0,0.003868937,0,-0.508242
1.031933,0,-0.002197385,0,-0.512111
1.049461,0,-0.005097151,0,-0.5099136
1.066145,0,-0.01057148,0,-0.5048164
1.083187,0,-0.01554143,0,-0.4942449
1.099214,0,-0.01781344,0,-0.4787035
1.11556,0,-0.02189088,0,-0.4608901
1.132249,0,-0.02530253,0,-0.4389992
1.149106,0,-0.02674544,0,-0.4136967
1.17679,0,-0.02998424,0,-0.3869513
1.198546,0,-0.03122163,0,-0.3569671
1.215744,0,-0.03172791,0,-0.3257455
1.232285,0,-0.03152591,0,-0.2940176
1.24903,0,-0.03117073,0,-0.2624916
1.265514,0,-0.02998239,0,-0.2313209
1.282544,0,-0.02820724,0,-0.2013385
1.298685,0,-0.02712137,0,-0.1731313
1.316595,0,-0.02460307,0,-0.1460099
1.342921,0,-0.02012563,0,-0.1214069
1.365024,0,-0.01681477,0,-0.1012812
1.381853,0,-0.01336282,0,-0.08446649
1.400802,0,-0.009875894,0,-0.07110366
1.416042,0,-0.008152664,0,-0.06122778
1.432158,0,-0.004812717,0,-0.05307511
1.448939,0,-0.003221929,0,-0.04826239
1.465851,0,-0.0002611279,0,-0.04504047
1.482018,0,0.002326548,0,-0.04477934
1.508387,0,0.004453838,0,-0.04710589
1.531992,0,0.006614864,0,-0.05155973
1.549402,0,0.007028222,0,-0.0581746
1.566053,0,0.00735569,0,-0.06520282
1.582682,0,0.006986022,0,-0.07255851
1.600556,0,0.005894303,0,-0.07954454
1.615229,0,0.005074084,0,-0.08543885
1.63221,0,0.002886415,0,-0.09051294
1.658648,0,-1.806021E-05,0,-0.09339936
1.682314,0,-0.005651474,0,-0.09338131
1.698654,0,-0.007846951,0,-0.08772983
1.715883,0,-0.01267022,0,-0.07988288
1.7321,0,-0.0180099,0,-0.06721266
1.749232,0,-0.02084833,0,-0.04920276
1.765952,0,-0.02680665,0,-0.02835443
1.781676,0,-0.03305972,0,-0.001547782
1.799212,0,-0.03626499,0,0.03152466
1.828113,0,-0.04603514,0,0.06777954
1.84883,0,-0.05253959,0,0.1138
1.866058,0,-0.0589073,0,0.1663513
1.882035,0,-0.06502869,0,0.2252502
1.898667,0,-0.06796366,0,0.2902832
1.915279,0,-0.07351837,0,0.3582458
1.931956,0,-0.07857281,0,0.4317627
1.948433,0,-0.08088437,0,0.5103455
1.965704,0,-0.08502573,0,0.591217
1.99244,0,-0.08990234,0,0.676239
2.015598,0,-0.09217989,0,0.7661438
2.034163,0,-0.09362972,0,0.8583679
2.048377,0,-0.09403574,0,0.9519958
2.065564,0,-0.09420061,0,1.046021
2.082856,0,-0.09350121,0,1.140228
2.099607,0,-0.09283066,0,1.233734
2.116107,0,-0.09086108,0,1.326569
2.141131,0,-0.08640432,0,1.417419
2.165702,0,-0.08250308,0,1.503815
2.182074,0,-0.07793117,0,1.586304
2.199197,0,-0.07541656,0,1.664276
2.216469,0,-0.06998038,0,1.739685
2.233931,0,-0.06407452,0,1.809662
2.249154,0,-0.06097436,0,1.873749
2.265296,0,-0.05453897,0,1.934723
2.282117,0,-0.0478723,0,1.989258
2.309221,0.02543846,-0.04107285,0.09635781,2.03714
2.332571,0.04716287,-0.0308373,0.1786472,2.052765
2.360456,0.06661937,-0.02083707,0.2523461,2.036438
2.381754,0.07234889,-0.01444316,0.2740488,1.990662
2.398794,0.07258759,-0.01135731,0.274953,1.932739
2.415354,0.06912602,-0.005449057,0.261841,1.87149
2.433834,0.05886062,5.817413E-05,0.2229569,1.807831
2.460979,0.03570385,0.007464886,0.1352418,1.748901
2.481986,0.03236162,0.01178432,0.1225819,1.70575
2.499082,0.03104861,0.01375127,0.1176084,1.661621
2.515513,0.03092925,0.01729393,0.1171562,1.616821
2.532707,0.03080988,0.02031851,0.1167041,1.568604
2.549006,0.0321229,0.0216403,0.1216776,1.517456
2.575536,0.03415209,0.02488327,0.129364,1.463715
2.598854,0.03403273,0.02648735,0.1289119,1.404694
2.624933,0.02364798,0.02817655,0.08957569,1.344177
2.648655,0.009801649,0.02890873,0.03712746,1.292358
2.668052,0.004072133,0.02940249,0.01542474,1.253662
2.692093,0,0.02985144,0,1.220215
2.714909,0,0.03006458,0,1.190369
2.732052,0,0.03029466,0,1.160309
2.748419,0,0.0304389,0,1.130005
2.765537,0,0.03082943,0,1.099579
2.791972,0,0.03179049,0,1.068756
2.808555,0.006340073,0.03224039,0.02401543,1.036957
2.832513,0.01588927,0.03406382,0.06018662,0.9983825
2.848914,0.01947021,0.03484654,0.07375081,0.9484252
2.867943,0.02090259,0.03669572,0.07917649,0.894104
2.881949,0.0198283,0.03894043,0.0751072,0.8365173
2.899363,0.01397943,0.04021382,0.05295238,0.7777405
2.926507,0,0.04463458,0,0.7235413
2.942057,0,0.04806328,0,0.678894
2.965005,0,0.0518446,0,0.6308289
2.9826,0,0.05593789,0,0.5789795
2.998843,0,0.05808532,0,0.5230408
3.015815,0,0.0625447,0,0.4649658
3.044348,0,0.06951511,0,0.4024353
3.065287,0,0.07423759,0,0.3329163
3.084866,0,0.07892311,0,0.258667
3.107923,0,0.08348334,0,0.1797485
3.132009,0,0.08989179,0,0.09628296
3.149323,0,0.09186798,0,0.006378174
3.165627,0,0.09551466,0,-0.08546936
3.182247,0,0.09868479,0,-0.180984
3.200099,0,0.1013008,0,-0.2796688
3.215939,0,0.102379,0,-0.3809697
3.232139,0,0.104037,0,-0.4833488
3.249068,0,0.1046033,0,-0.5873858
3.276973,0,0.1051858,0,-0.6919891
3.298216,0,0.1046062,0,-0.7971749
3.315771,0,0.1032335,0,-0.9017813
3.331707,0,0.1010686,0,-1.005015
3.348658,0,0.09969366,0,-1.106084
3.365957,0,0.09637594,0,-1.205777
3.382257,0,0.09233606,0,-1.302153
3.399062,0,0.09006178,0,-1.394489
3.425933,0,0.08232236,0,-1.484551
3.448431,0,0.07650042,0,-1.566873
3.465875,0,0.07025695,0,-1.643374
3.483277,0,0.0636971,0,-1.713631
3.501001,0,0.05693531,0,-1.777328
3.516047,0,0.05351615,0,-1.834263
3.532359,0,0.04667902,0,-1.88778
3.549855,0,0.04329252,0,-1.934459
3.576261,0,0.03345585,0,-1.977752
3.598933,0,0.02732539,0,-2.011208
3.616102,0,0.02168107,0,-2.038533
3.632527,0,0.0166409,0,-2.060215
3.649079,0,0.01438189,0,-2.076855
3.666185,0,0.01044917,0,-2.091238
3.68216,0,0.00737381,0,-2.101687
3.699288,0,0.006183147,0,-2.109061
3.718166,-0.004191505,0.004538774,-0.01587691,-2.115244
3.743063,-0.01004038,0.004014492,-0.03803174,-2.115592
3.765702,-0.0150537,0.00501132,-0.05702161,-2.109566
3.782132,-0.01899276,0.00710392,-0.07194225,-2.099524
3.798939,-0.02090259,0.008560181,-0.07917649,-2.087636
3.815974,-0.02293179,0.01228023,-0.08686284,-2.075293
3.832687,-0.02328989,0.01704741,-0.08821929,-2.064642
3.858696,-0.02293179,0.0228107,-0.08686284,-2.058399
3.882797,-0.02281243,0.03316641,-0.08641073,-2.058278
3.908756,-0.02281243,0.04108119,-0.08641073,-2.068633
3.93214,-0.024961,0.05420113,-0.09454924,-2.086902
3.949209,-0.02782576,0.05884671,-0.1054006,-2.116142
3.974724,-0.03355527,0.07336783,-0.1271033,-2.147163
3.998931,-0.03737495,0.08335972,-0.1415718,-2.186976
4.016088,-0.03976225,0.09343052,-0.1506146,-2.23296
4.032574,-0.03976225,0.1034307,-0.1506146,-2.286629
4.049278,-0.03976225,0.1083579,-0.1506146,-2.350297
4.076912,-0.03009368,0.1226325,-0.1139912,-2.418893
4.091722,-0.02579655,0.1315494,-0.09771419,-2.511431
4.115282,-0.01875403,0.1398315,-0.07103798,-2.617185
4.134167,-0.01672481,0.1473575,-0.06335157,-2.738262
4.149233,-0.01565054,0.1508021,-0.05928234,-2.868895
4.165459,-0.0150537,0.1569934,-0.05702161,-3.004047
4.182172,-0.0150537,0.1621809,-0.05702161,-3.145987
4.208528,-0.02102195,0.1662936,-0.0796286,-3.293114
4.225087,-0.0246029,0.1692777,-0.0931928,-3.438386
4.248531,-0.02985496,0.1710958,-0.113087,-3.583061
4.265796,-0.03558447,0.1717315,-0.1347897,-3.724302
