Time,CV,FF,Input
0,0,-0.791238,0
0.01609707,0,-0.7777878,0
0.0328598,0,-0.7500234,0
0.04925632,0,-0.7358032,0
0.06625271,0,-0.6923848,0
0.08235264,0,-0.6633232,0
0.09937286,0,-0.6489156,0
0.1166086,0,-0.6206132,0
0.1335926,0,-0.593346,0
0.1494703,0,-0.5802304,0
0.1681776,0,-0.5675273,0
0.1850891,0,-0.5435532,0
0.2025843,0,-0.5217956,0
0.2189407,0,-0.5118558,0
0.2357559,0,-0.4940503,0
0.2558413,0,-0.4792406,0
0.2823038,0,-0.4631459,0
0.2989435,0,-0.4567465,0
0.3159504,0,-0.4539393,0
0.3328238,0,-0.4547684,0
0.3492775,0,-0.4565442,0
0.3659372,0,-0.4627806,0
0.384717,0,-0.4725033,0
0.3994646,0,-0.4786234,0
0.4158916,0,-0.4932536,0
0.4334431,0,-0.5108612,0
0.4493942,0,-0.5206915,0
0.4661684,0,-0.5421999,0
0.4824905,0,-0.5658689,0
0.4994831,0,-0.5783916,0
0.5164022,0,-0.6045529,0
0.5332603,0,-0.6318371,0
0.5493565,0,-0.6457594,0
0.5661182,0,-0.6738763,0
0.5844307,0,-0.7019695,0
0.598959,0,-0.7158628,0
0.6162481,0,-0.7430583,0
0.6330814,0,-0.7690991,0
0.6491652,0,-0.781554,0
0.665906,0,-0.8050833,0
0.6823215,0,-0.8264645,0
0.6994152,0,-0.8362432,0
0.7152786,0,-0.8537888,0
0.7322617,0,-0.8684354,0
0.7491522,0,-0.8746027,0
0.7660017,0,-0.8845169,0
0.7823181,0,-0.8911005,0
0.8008289,0,-0.8942802,0
0.8163099,0,-0.8945866,0
0.8326702,0,-0.8926497,0
0.8493299,0,-0.8904243,0
0.8663578,0,-0.8835292,0
0.8830862,0,-0.8735074,0
0.8994675,0,-0.867385,0
0.9155827,0,-0.8530648,0
0.9319792,0,-0.8362042,0
0.9493618,0,-0.826915,0
0.9656143,0,-0.8068232,0
0.9821281,0,-0.7850056,0
0.9990091,0,-0.7735636,0
1.017436,0,-0.7498492,0
1.032183,0,-0.7253472,0
1.049248,0,-0.712921,0
