Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01586914,0,0.03503782,0,0.5704651
0.03283691,0,0.02765206,0,0.5354309
0.04937744,0,0.0239619,0,0.507782
0.0657959,0,0.01666,0,0.4838257
0.0824585,0,0.009559959,0,0.4671631
0.09899902,0,0.006121606,0,0.4576111
0.1157837,0,-0.0004616678,0,0.4515076
0.1333008,0,-0.006564647,0,0.4519653
0.1513672,0,-0.0120869,0,0.4585266
0.1658936,0,-0.01460135,0,0.4706116
0.1826172,0,-0.01908526,0,0.485199
0.199585,0,-0.02103618,0,0.5042725
0.2158813,0,-0.02431637,0,0.5252991
0.2324219,0,-0.02672499,0,0.5496216
0.2492676,0,-0.02759004,0,0.576355
0.2658691,0,-0.02862579,0,0.6039429
0.2824707,0,-0.02872622,0,0.6325684
0.2996826,0,-0.02842617,0,0.6612854
0.3156738,0,-0.02713561,0,0.6896973
0.3327026,0,-0.02494991,0,0.7168274
0.3493652,0,-0.02353472,0,0.7417908
0.3675537,0,-0.02009535,0,0.7653198
0.3828125,0,-0.01590151,0,0.7854004
0.3989868,0,-0.01354665,0,0.8013
0.4159546,0,-0.008377612,0,0.8148499
0.4329834,0,-0.002680182,0,0.8232422
0.449646,0,0.00033319,0,0.8259277
0.4660645,0,0.006617308,0,0.825592
0.4823608,0,0.01314491,0,0.8189697
0.4996948,0,0.01646149,0,0.8058167
0.5159912,0,0.02312189,0,0.7893677
0.5327148,0,0.02971423,0,0.7662354
0.5497437,0,0.03294587,0,0.7365112
0.567688,0,0.03920478,0,0.7035522
0.5827637,0,0.04509395,0,0.6643372
0.598938,0,0.04786515,0,0.6192322
0.6157227,0,0.05299652,0,0.5713806
0.6334839,0,0.05750155,0,0.5183716
0.649292,0,0.05949274,0,0.4608765
0.6664429,0.005504511,0.06290661,0.02085042,0.4014282
0.6825562,0.01075657,0.06551233,0.04074458,0.3330383
0.6992188,0.0150537,0.06649685,0.05702161,0.2567749
0.7165527,0.01553117,0.06780744,0.05883017,0.1752319
0.732666,0.01218895,0.06822322,0.04617026,0.09188843
0.7492065,0.001565476,0.06809321,0.005929834,0.01147461
0.7666626,0,0.06716168,0,-0.05817591
0.7845459,0,0.06535304,0,-0.1253376
0.7992554,0,0.06413031,0,-0.1906906
0.8164063,0,0.06107795,0,-0.2548209
0.8325806,0,0.05726671,0,-0.3158989
0.8491821,0,0.05509853,0,-0.3731656
0.8657227,0,0.05028832,0,-0.4282642
0.8826904,0,0.04492188,0,-0.4785525
0.8989868,0,0.04206097,0,-0.5234744
0.9162598,0,0.03604949,0,-0.5655354
0.9330444,0,0.02974355,0,-0.6015849
0.9490356,0,0.02651572,0,-0.6313285
0.9664917,0,0.01998258,0,-0.6578442
0.9821777,0,0.01344264,0,-0.6778268
1.001648,0,0.007010221,0,-0.6912694
1.016663,0,0.003868937,0,-0.6982796
1.032532,0,-0.002197385,0,-0.7021486
