Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01489258,0,0.03503782,0,0.5704651
0.03137207,0,0.02765206,0,0.5354309
0.0480957,0,0.0239619,0,0.507782
0.06536865,0,0.01666,0,0.4838257
0.08087158,0,0.009559959,0,0.4671631
0.09838867,0,0.006121606,0,0.4576111
0.1141968,0,-0.0004616678,0,0.4515076
0.1310425,0,-0.006564647,0,0.4519653
0.1491089,0,-0.009404272,0,0.4585266
0.1642456,0,-0.01460135,0,0.467926
0.1814575,0,-0.01908526,0,0.4825439
0.2000122,0,-0.0227823,0,0.5016174
0.2144165,0,-0.02431637,0,0.5244141
0.2314453,0,-0.02672499,0,0.5487366
0.2475586,0,-0.02759004,0,0.57547
0.2647095,0,-0.02862579,0,0.6030579
0.2815552,0,-0.02872622,0,0.6316833
0.2980347,0,-0.02842617,0,0.6604004
0.3146973,0,-0.02713561,0,0.6888428
0.3311157,0,-0.02494991,0,0.7159729
0.3479004,0,-0.02353472,0,0.7409363
0.3649292,0,-0.02009535,0,0.7644653
0.3814697,0,-0.01590151,0,0.7845459
0.3997803,0,-0.01354665,0,0.8004761
0.4145508,0,-0.008377612,0,0.8140259
0.4317627,0,-0.002680182,0,0.8224182
0.4484863,0,0.00033319,0,0.8251038
0.4646606,0,0.006617308,0,0.8247681
0.4811401,0,0.01314491,0,0.8181458
0.4979858,0,0.01646149,0,0.8049927
0.5147705,0,0.02312189,0,0.7885437
0.5313721,0,0.02971423,0,0.7654114
0.5478516,0,0.03294587,0,0.7356873
0.5647583,0,0.03920478,0,0.7027283
0.581604,0,0.04509395,0,0.6635437
0.5999756,0,0.05050349,0,0.6184387
0.614624,0,0.05299652,0,0.5679321
0.6310425,0,0.05750155,0,0.5149231
0.6481323,0,0.05949274,0,0.457428
0.6645508,0,0.06290661,0,0.3979492
0.6817627,0,0.06551233,0,0.3350525
0.6980591,0,0.06649685,0,0.2695313
0.71521,0,0.06780744,0,0.2030334
0.7313232,0,0.06822322,0,0.1352234
0.7475586,0,0.06809321,0,0.06698608
0.7647095,0,0.06716168,0,-0.001102848
0.7815552,0,0.06535304,0,-0.06826452
0.7979126,0,0.06413031,0,-0.1336176
0.8167114,0,0.06107795,0,-0.1977479
0.831604,0,0.05726671,0,-0.2588258
0.8480225,0,0.05509853,0,-0.3160925
0.8648682,0,0.05028832,0,-0.3711911
0.8809814,0,0.04492188,0,-0.4214794
0.8987427,0,0.04206097,0,-0.4664013
0.9143677,0,0.03604949,0,-0.5084623
0.9313354,0,0.02974355,0,-0.5445118
0.9481201,0,0.02651572,0,-0.5742554
0.9646606,0,0.01998258,0,-0.6007712
0.9810791,0,0.01344264,0,-0.6207538
0.998291,0,0.01020598,0,-0.6341964
1.016418,0,0.003868937,0,-0.6444024
1.030701,0,-0.002197385,0,-0.6482713
1.048279,0,-0.005097151,0,-0.6460741
1.064636,0,-0.01057148,0,-0.6409769
1.080994,0,-0.01554143,0,-0.6304054
1.098083,0,-0.01781344,0,-0.614864
1.114685,0,-0.02189088,0,-0.5970506
1.130981,0,-0.02530253,0,-0.5751597
1.148438,0,-0.02674544,0,-0.5498571
1.164551,0,-0.0290885,0,-0.5231117
1.181702,0,-0.0306952,0,-0.4940232
1.197998,0,-0.03122163,0,-0.463328
1.214478,0,-0.03172791,0,-0.4321064
1.233337,0,-0.03152591,0,-0.4003785
1.248413,0,-0.03117073,0,-0.3688526
1.264832,0,-0.02998239,0,-0.3376819
