Time,CV,FF,Input
0,0,0.805491,0
0.01602173,0,0.8039248,0
0.03257751,0,0.7974825,0
0.04879761,0,0.7926365,0
0.0657959,0,0.7718899,0
0.08181763,0,0.7532292,0
0.09889221,0,0.7425783,0
0.117012,0,0.7188938,0
0.1322861,0,0.6924225,0
0.1486206,0,0.6783011,0
0.1657104,0,0.6636803,0
0.1819534,0,0.633228,0
0.1986694,0,0.6175454,0
0.2157211,0,0.5856496,0
0.2326126,0,0.5535658,0
0.2489777,0,0.5376484,0
0.265213,0,0.5064486,0
0.2824478,0,0.4765949,0
0.2982712,0,0.4486593,0
0.3147125,0,0.423172,0
0.3330231,0,0.4006096,0
0.3486557,0,0.3905571,0
0.3654251,0,0.3731348,0
0.3815231,0,0.359533,0
0.3986664,0,0.354237,0
0.4158936,0,0.3467513,0
0.4316483,0,0.3434716,0
0.4485703,0,0.3434118,0
0.4655304,0,0.3464077,0
0.482193,0,0.3534332,0
0.4989319,0,0.3583899,0
0.5160217,0,0.3710111,0
0.5333099,0,0.3869451,0
0.549324,0,0.3960258,0
0.5655365,0,0.4161216,0
0.5824585,0,0.438364,0
0.5988464,0,0.4501164,0
0.6158524,0,0.4745148,0
0.6316833,0,0.4995916,0
0.6483765,0,0.5121875,0
0.6651611,0,0.5370958,0
0.6823273,0,0.561097,0
0.6988907,0,0.5725618,0
0.7156296,0,0.5940413,0
0.7319031,0,0.6131068,0
0.749794,0,0.621564,0
0.7656708,0,0.6360142,0
0.7819214,0,0.6468043,0
0.7982178,0,0.6507018,0
0.8160858,0,0.6552907,0
0.8319016,0,0.6553783,0
0.8482437,0,0.6536682,0
0.8653564,0,0.646653,0
0.8823242,0,0.6347889,0
0.8985901,0,0.6270372,0
0.9153671,0,0.6079368,0
0.93293,0,0.5841551,0
0.9508972,0,0.5558953,0
0.9658127,0,0.5401694,0
0.982605,0,0.5057264,0
0.9987793,0,0.4871012,0
1.015839,0,0.4472963,0
1.032532,0,0.4044556,0
1.049477,0,0.382044,0
1.065788,0,0.3355474,0
1.082352,0,0.2872455,0
1.098442,0,0.2625792,0
1.115791,0,0.2125401,0
1.131485,0,0.161984,0
1.148651,0,0.1366675,0
