Time,CV,FF,Input
0,0,-0.6633232,0
0.01644897,0,-0.6633232,0
0.03286743,0,-0.6633232,0
0.0488739,0,-0.6633232,0
0.0657196,0,-0.6633232,0
0.08303833,0,-0.6633232,0
0.1003113,0,-0.6633232,0
0.1160126,0,-0.5323752,0
0.1323853,0,-0.5323752,0
0.149826,0,-0.5323752,0
0.1776123,0,-0.5323752,0
0.1824646,0,-0.5323752,0
0.1993561,0,-0.5323752,0
0.2160339,0,-0.5323752,0
0.232254,0,-0.4595022,0
0.2493134,0,-0.4595022,0
0.2657318,0,-0.4595022,0
0.2827454,0,-0.4595022,0
0.299118,0,-0.4595022,0
0.3168793,0,-0.4595022,0
0.343277,0,-0.4725033,0
0.349411,0,-0.4725033,0
0.3657227,0,-0.4725033,0
0.384613,0,-0.4725033,0
0.399231,0,-0.4725033,0
0.4159698,0,-0.4725033,0
0.4323425,0,-0.5658691,0
0.449173,0,-0.5658691,0
0.4667053,0,-0.5658691,0
0.4826508,0,-0.5658691,0
0.5094452,0,-0.5658691,0
0.5157013,0,-0.8264648,0
0.5323944,0,-0.8264648,0
0.5496216,0,-0.8264648,0
0.5657043,0,-0.8264648,0
0.5826569,0,-0.8264648,0
0.6008759,0,-0.8264648,0
0.6159515,0,-0.8264648,0
0.6326752,0,-0.8264648,0
0.6611023,0,-0.8264648,0
0.6658173,0,-0.8264648,0
0.682663,0,-0.8264648,0.04530063
0.6991577,6.078472E-05,-0.8264648,0.1138752
0.7160492,0.0002760479,-0.8264648,0.1786819
0.7323761,0.0007218288,-0.8911006,0.2676028
0.7493134,0.0015416,-0.8911006,0.3188453
0.7660522,0.002786546,-0.8911006,0.3881734
0.7950897,0.005857717,-0.8911006,0.456748
0.8117676,0.008688165,-0.8911006,0.4793549
0.8156586,0.009498955,-0.8735071,0.4921655
0.8327942,0.01322306,-0.8735071,0.5177869
0.8490448,0.01745177,-0.8735071,0.5411475
0.865921,0.02255683,-0.8735071,0.5524508
0.8833618,0.02861685,-0.8735071,0.5758114
0.9094696,0.03894922,-0.8735071,0.593897
0.9157257,0.04189405,-0.7850048,0.6021863
0.9329071,0.05028833,-0.7850048,0.6278074
0.949234,0.05910461,-0.7850048,0.6428788
0.9750519,0.07436603,-0.7850048,0.6903535
0.9832001,0.07986985,-0.7850048,0.7054248
0.9996033,0.09142575,-0.7850048,0.7250177
1.0271,0.1123543,-0.7850048,0.769478
1.032486,0.1170079,-0.6631478,0.7755065
1.049377,0.1319191,-0.6631478,0.7875636
1.06575,0.1474332,-0.6631478,0.7996206
1.082993,0.1648358,-0.6631478,0.8041421
1.099319,0.1824218,-0.6631478,0.8169526
1.125397,0.2121618,-0.6631478,0.8305169
1.143875,0.2351563,-0.5529494,0.8403133
1.1492,0.2421734,-0.5529494,0.8455883
1.166122,0.2648533,-0.5529494,0.8523703
1.182816,0.2883857,-0.5529494,0.859906
1.199219,0.3126252,-0.5529494,0.8606596
1.216064,0.3386721,-0.5529494,0.8659344
1.23465,0.3687068,-0.4859668,0.8659344
1.260086,0.4117789,-0.4859668,0.8689487
1.274124,0.4370043,-0.4859668,0.8689487
1.282578,0.4527178,-0.4859668,0.8689487
1.2995,0.4847474,-0.4859668,0.8553846
1.315918,0.5169492,-0.4859668,0.8403133
1.332581,0.5507231,-0.4671366,0.8229812
1.349945,0.5870537,-0.4671366,0.780028
1.375259,0.6416763,-0.4671366,0.6880928
1.382614,0.6581426,-0.4671366,0.6880928
1.399048,0.6953791,-0.4671366,0.6074613
1.416016,0.734595,-0.4671366,0.5471759
1.442078,0.7960128,-0.4751886,0.3919412
1.450394,0.8159936,-0.4751886,0.3482343
1.465973,0.8536627,-0.4751886,0.2012889
1.491669,0.9161495,-0.4751886,0.02721504
1.498718,0.9333252,-0.4751886,0
1.515564,0.974311,-0.4751886,0
1.532547,1.015623,-0.4757024,0
1.548996,1.05563,-0.4757024,0
1.566544,1.098281,-0.4757024,0
1.592987,1.162575,-0.4757024,0
1.59877,1.176613,-0.4757024,0
1.615738,1.217827,-0.4757024,0
1.632858,1.259393,-0.439783,0
1.649078,1.298764,-0.439783,0
1.667969,1.344614,-0.439783,0
1.682983,1.381009,-0.439783,0
1.699127,1.420165,-0.439783,0
1.716766,1.462918,-0.439783,0
1.74202,1.524116,-0.3589001,0
1.7491,1.541265,-0.3589001,0
1.765671,1.581393,-0.3589001,0
1.782761,1.622755,-0.3589001,0
1.79892,1.661891,-0.3589001,0
1.815689,1.70246,-0.3589001,0
1.832611,1.743367,-0.2487559,0
1.848953,1.782877,-0.2487559,0
1.865768,1.823528,-0.2487559,-0.03625784
1.884613,1.868998,-0.2487559,-0.2351994
1.909775,1.929149,-0.2487559,-0.4853834
1.915268,1.941934,-0.1408258,-0.4853834
1.932327,1.981488,-0.1408258,-0.6737751
1.949066,2.019333,-0.1408258,-0.7928386
1.966019,2.056561,-0.1408258,-0.9721875
1.982513,2.091484,-0.1408258,-1.091251
1.999619,2.126163,-0.1408258,-1.256282
2.026016,2.17696,-0.1408258,-1.403981
2.032501,2.188282,-0.06646704,-1.448442
2.048996,2.216303,-0.06646704,-1.556955
2.074722,2.25679,-0.06646704,-1.633819
2.084946,2.270819,-0.06646704,-1.663208
2.098938,2.288846,-0.06646704,-1.671497
2.116119,2.309031,-0.06646704,-1.671497
2.141922,2.335757,-0.04203686,-1.639094
2.148895,2.341556,-0.04203686,-1.633065
2.165878,2.35475,-0.04203686,-1.630804
2.182434,2.365386,-0.04203686,-1.630804
2.19989,2.374326,-0.04203686,-1.630804
2.224426,2.383512,-0.04203686,-1.630804
2.241653,2.386633,-0.06258319,-1.629297
2.249191,2.386978,-0.06258319,-1.617994
2.265503,2.386763,-0.06258319,-1.612719
2.283051,2.384306,-0.06258319,-1.581823
2.301498,2.379251,-0.06258319,-1.556955
2.316498,2.373065,-0.1508932,-1.522291
2.332947,2.364471,-0.1508932,-1.452963
2.360138,2.347131,-0.1508932,-1.364042
2.375015,2.334981,-0.1508932,-1.30451
2.382645,2.328048,-0.1508932,-1.2706
2.39975,2.311676,-0.1508932,-1.193736
2.416718,2.293794,-0.1508932,-1.079947
2.433319,2.274812,-0.1811709,-0.9932873
2.458908,2.243549,-0.1811709,-0.8018813
2.466003,2.234192,-0.1811709,-0.7528996
2.482605,2.211835,-0.1811709,-0.6232861
2.499283,2.188576,-0.1811709,-0.4318802
