Time,CT,FF,Input,Pitch
0,0,-0.3867554,0,0
0.01593018,0,0,0,0.3867493
0.03320313,0,0,0,0.3867493
0.04925537,0,0,0,0.3867493
0.06628418,0,0,0,0.3867493
0.09100342,0,0,0,0.3867493
0.09866333,0,0,0,0.3867493
0.1166992,0,0,0,0.3867493
0.1329041,0,-0.1009808,0,0.3867493
0.149353,0,0,0,0.4877625
0.1669922,0,0,0,0.4877625
0.1832275,0,0,0,0.4877625
0.1992188,0,0,0,0.4877625
0.2159729,0,0,0,0.4877625
0.2329102,0,-0.2698416,0,0.4877625
0.2583618,0,0,0,0.7575989
0.2659607,0,0,0,0.7575989
0.2828979,0,0,0,0.7575989
0.2991638,0,0,0,0.7575989
0.3166809,0,0,0,0.7575989
0.3325195,0,-0.2192127,0,0.7575989
0.3500061,0,0,0,0.9768066
0.366394,0,0,0,0.9768066
0.3826294,0,0,0,0.9768066
0.3998718,0,0,0,0.9768066
0.4248047,0,0,0,0.9768066
0.4328003,0,0.02217191,0,0.9768066
0.4500122,0,0,0,0.9546204
0.466095,0,0,0,0.9546204
0.4828186,0,0,0,0.9546204
0.4991455,0,0,0,0.9546204
0.5161133,0,0,0,0.9546204
0.5330811,0,0.3424898,0,0.9546204
0.5495911,0,0,0,0.6121216
0.5664673,0,0,0,0.6121216
0.5918274,0,0,0,0.6121216
0.5996094,0,0,0,0.6121216
0.6157837,0,0,0,0.6121216
0.6325073,0,0.5963539,0,0.6121216
0.6498108,0,0,0,0.01577759
0.6660767,0.004240823,0,0.009883056,0.01577759
0.6828308,0.01303194,0,0.02947578,0.01153564
0.6994019,0.02379839,0,0.05434343,-0.001485339
0.7162476,0.02953759,0,0.06640049,-0.02528373
0.7332458,0.03927062,0.6702636,0.08750036,-0.05482133
0.7588806,0.07501441,0,0.110861,-0.7643556
0.7756348,0.04998475,0,0.1131216,-0.83937
0.7832031,0.02340642,0,0.1168895,-0.8893548
0.79953,0.04937183,0,0.1146287,-0.9127613
0.8166809,0.03485023,0,0.07695042,-0.9621332
0.8331604,0.01282448,0.5331177,0.02947578,-0.9969834
0.8496399,0,0,0,-1.542926
0.8667297,0,0,0,-1.542926
0.89151,0,0,0,-1.542926
0.9080811,0,0,0,-1.542926
0.9163513,0,0.2479287,0,-1.542926
0.9329834,0,0,0,-1.790855
0.9499512,0,0,0,-1.790855
0.9664001,0,0,0,-1.790856
0.9833374,0,0,0,-1.790856
0.9993286,0,0,0,-1.790856
1.016388,0,0,0,-1.790856
1.033112,0,-0.06056297,0,-1.790856
1.049683,0,0,0,-1.730294
1.075287,0,0,0,-1.730294
1.082977,0,0,0,-1.730294
1.100037,0,0,0,-1.730294
1.116638,0,-0.2665517,0,-1.730294
1.133026,0,0,0,-1.463742
1.149689,0,0,0,-1.463743
1.16629,0,0,0,-1.463743
1.182861,0,0,0,-1.463743
1.199188,0,0,0,-1.463743
1.216766,0,0,0,-1.463744
1.243774,0,-0.3028317,0,-1.463744
1.249268,0,0,0,-1.160912
1.266083,0,0,0,-1.160912
1.282562,0,0,0,-1.160912
1.299042,0,0,0,-1.160912
1.316376,0,0,0,-1.160912
1.33316,0,-0.1909221,0,-1.160912
1.349792,0,0,0,-0.9699898
1.366608,0,0,0,-0.9699898
1.38324,0,0,0,-0.9699897
1.408325,0,0,0,-0.9699895
1.416565,0,-0.02762115,0,-0.9699894
1.433197,0,0,0,-0.9423683
1.450043,0,0,0,-0.9423683
1.465851,0,0,0,-0.9423683
1.482666,0,0,0,-0.9423683
1.49939,0,0,0,-0.9423683
1.516693,0,0,0,-0.9423683
1.532959,0,0.06487018,0,-0.9423683
1.55011,0,0,0,-1.007238
1.576202,0,0,0,-1.007238
1.582581,0,0,0,-1.007238
1.599731,0,0,0,-1.007238
1.616272,0,0,0,-1.007238
1.632477,0,0.000590682,0,-1.007238
1.649078,0,0,0,-1.007829
1.666504,0,0,0,-1.007829
1.682953,0,0,0,-1.007829
1.69989,0,0,0,-1.007829
1.716034,0,0,0,-1.007829
1.740784,0,-0.2268165,0,-1.007829
