Time,CT,FF,Input,Pitch
0,0,-0.3867554,0,0
0.01519775,0,0,0,0.3867493
0.03240967,0,0,0,0.3867493
0.04864502,0,0,0,0.3867493
0.06509399,0,0,0,0.3867493
0.08218384,0,0,0,0.3867493
0.09838867,0,0,0,0.3867493
0.1158142,0,0,0,0.3867493
0.1321411,0,-0.1009808,0,0.3867493
0.1491394,0,0,0,0.4877625
0.1651611,0,0,0,0.4877625
0.1913147,0,0,0,0.4877625
0.1987915,0,0,0,0.4877625
0.2149048,0,0,0,0.4877625
0.2316589,0,-0.2698416,0,0.4877625
0.2492065,0,0,0,0.7575989
0.265625,0,0,0,0.7575989
0.2817383,0,0,0,0.7575989
0.2987671,0,0,0,0.7575989
0.3145752,0,0,0,0.7575989
0.3320923,0,-0.2192127,0,0.7575989
0.3586426,0,0,0,0.9768066
0.3650818,0,0,0,0.9768066
0.3823853,0,0,0,0.9768066
0.3988953,0,0,0,0.9768066
0.4156189,0,0,0,0.9768066
0.4308777,0,0.02217191,0,0.9768066
0.4483032,0,0,0,0.9546204
0.4646912,0,0,0,0.9546204
0.4811707,0,0,0,0.9546204
0.4992065,0,0,0,0.9546204
0.5249329,0,0,0,0.9546204
0.5318909,0,0.3424898,0,0.9546204
0.5483704,0,0,0,0.6121216
0.5649719,0,0,0,0.6121216
0.5814819,0,0,0,0.6121216
0.5982361,0,0,0,0.6121216
0.6152649,0,0,0,0.6121216
0.6324158,0,0.5963539,0,0.6121216
0.6488647,0,0,0,0.01577759
0.664978,0,0,0,0.01577759
0.6911926,0,0,0,0.01577759
0.6981812,0,0,0,0.01577759
0.7148438,0,0,0,0.01577759
0.7318726,0,0.6702636,0,0.01577759
0.749054,0,0,0,-0.6544788
0.7653198,0,0,0,-0.6544789
0.7819214,0,0,0,-0.654479
0.7984619,0,0,0,-0.654479
0.8156433,0,0,0,-0.6544791
0.8424377,0,0.5331177,0,-0.6544791
0.8485413,0,0,0,-1.187597
0.8651123,0,0,0,-1.187597
0.8813171,0,0,0,-1.187597
0.8983765,0,0,0,-1.187597
0.9153137,0,0,0,-1.187597
0.9315796,0,0.2479287,0,-1.187597
0.9490051,0,0,0,-1.435526
0.96521,0,0,0,-1.435526
0.9814148,0,0,0,-1.435526
1.008331,0,0,0,-1.435526
1.01535,0,-0.06056297,0,-1.435526
1.03241,0,0,0,-1.374963
