Time,CT,FF,Input,Pitch
0,0,-0.3867554,0,0
0.01519775,0,0,0,0.3867493
0.03211212,0,0,0,0.3867493
0.04866409,0,0,0,0.3867493
0.06591797,0,0,0,0.3867493
0.0818367,0,0,0,0.3867493
0.09858704,0,0,0,0.3867493
0.1246986,0,0,0,0.3867493
0.1318398,0,-0.1009808,0,0.3867493
0.1490021,0,0,0,0.4877625
0.1653404,0,0,0,0.4877625
0.1820679,0,0,0,0.4877625
0.1984138,0,0,0,0.4877625
0.2156219,0,0,0,0.4877625
0.2318726,0,-0.2698416,0,0.4877625
0.2488823,0,0,0,0.7575989
0.2752533,0,0,0,0.7575989
0.2815247,0,0,0,0.7575989
0.2985458,0,0,0,0.7575989
0.315567,0,0,0,0.7575989
0.3320999,0,-0.2192127,0,0.7575989
0.3488693,0,0,0,0.9768066
0.3649864,0,0,0,0.9768066
0.3823814,0,0,0,0.9768066
0.3985367,0,0,0,0.9768066
0.4152069,0,0,0,0.9768066
0.4409866,0,0.02217191,0,0.9768066
0.4484406,0,0,0,0.9546204
0.464695,0,0,0,0.9546204
0.4819794,0,0,0,0.9546204
0.4983902,0,0,0,0.9546204
0.5152626,0,0,0,0.9546204
0.5323105,0,0.3424898,0,0.9546204
0.5491257,0,0,0,0.6121216
0.5648918,3.606783E-05,0,8.664749E-05,0.6121216
0.5823784,0.004562319,0,0.009883056,0.6120911
0.6095352,0.01140756,0,0.01591159,0.6075439
0.6154289,0.002592986,0.5963539,0.01666511,0.5961304
0.632122,0.01000098,0,0.02269364,-0.002796735
0.6485977,0.01216675,0,0.02796865,-0.01279771
0.666111,0.01606482,0,0.0347507,-0.02496447
0.6932297,0.02973476,0,0.04153285,-0.04102929
0.6985435,0.006250908,0,0.04454711,-0.07076405
0.7156563,0.04191411,0,0.09277537,-0.07701495
0.7319489,0.0535157,0.6702636,0.1244252,-0.118929
0.7484207,0.07114914,0,0.1636106,-0.8427085
0.7742844,0.1611041,0,0.235953,-0.9138576
0.7909927,0.1170393,0,0.265342,-1.074962
0.7990112,0.06080809,0,0.2871955,-1.192001
0.8154335,0.1297469,0,0.2992526,-1.25281
0.8322411,0.1327672,0.5331177,0.2992526,-1.382556
0.8488159,0.1025975,0,0.2344459,-2.048442
0.8654175,0.07368661,0,0.168132,-2.151039
0.8825417,0.03649402,0,0.08071831,-2.224725
