Time,CV,FF,Input
0,0,-0.6633232,0
0.01571655,0,-0.6633232,0
0.03233337,0,-0.6633232,0
0.04853821,0,-0.6633232,0
0.06581116,0,-0.6633232,0
0.09288025,0,-0.6633232,0
0.09877014,0,-0.6633232,0
0.1156616,0,-0.6633232,0
0.1325989,0,-0.5323752,0
0.1493988,0,-0.5323752,0
0.166275,0,-0.5323752,0
0.182251,0,-0.5323752,0
0.1994324,0,-0.5323752,0
0.2163239,0,-0.5323752,0
0.243576,0,-0.4595022,0
0.2494507,0,-0.4595022,0
0.2657471,0,-0.4595022,0
0.2820892,0,-0.4595022,0
0.2993317,0,-0.4595022,0
0.3158875,0,-0.4595022,0
0.3323212,0,-0.4725033,0
0.348877,0,-0.4725033,0
0.3657837,0,-0.4725033,0
0.382309,0,-0.4725033,0
0.4087982,0,-0.4725033,0
0.4165955,0,-0.5658691,0
0.434906,0,-0.5658691,0
0.4489594,0,-0.5658691,0
0.4657593,0,-0.5658691,0
0.4822998,0,-0.5658691,0
0.4992218,0,-0.5658691,0
0.5159607,0,-0.5658691,0
0.5328369,0,-0.8264648,0
0.5596008,0,-0.8264648,0
0.56604,0,-0.8264648,0
0.5825043,0,-0.8264648,0
0.598938,0,-0.8264648,0
0.6164093,0,-0.8264648,0
0.6325378,0,-0.8264648,0.02721504
0.6509705,3.905189E-05,-0.8264648,0.1342215
0.6661224,0.0002520813,-0.8264648,0.208071
0.692749,0.001031454,-0.8264648,0.3565236
0.7080688,0.002180642,-0.8264648,0.4213303
0.7157288,0.002994135,-0.8911006,0.451473
0.7329102,0.005105291,-0.8911006,0.5351189
0.7492523,0.00783807,-0.8911006,0.5788257
0.766037,0.01140739,-0.8911006,0.6278074
0.7829742,0.01587191,-0.8911006,0.6466467
0.8082581,0.02387134,-0.8911006,0.6579501
0.815506,0.02674475,-0.8735071,0.6579501
0.8328094,0.03400282,-0.8735071,0.6443859
0.8506165,0.04242588,-0.8735071,0.6134898
0.8747559,0.05511047,-0.8735071,0.5810864
0.882309,0.0595887,-0.8735071,0.5712901
0.8993378,0.07004166,-0.8735071,0.5577258
0.9255371,0.08732181,-0.8735071,0.5509437
0.9321136,0.09211395,-0.7850048,0.5509437
0.9494019,0.1050078,-0.7850048,0.5509437
0.9658661,0.1180403,-0.7850048,0.559233
0.9826202,0.132049,-0.7850048,0.5660151
0.9997864,0.1471841,-0.7850048,0.5690293
1.026535,0.1720047,-0.7850048,0.5773186
1.041321,0.1868282,-0.6631478,0.5773186
1.050812,0.1967339,-0.6631478,0.5810864
1.066055,0.2130424,-0.6631478,0.5810864
1.082306,0.231111,-0.6631478,0.5818399
1.09906,0.2504978,-0.6631478,0.5848542
1.116135,0.2710596,-0.6631478,0.5848542
1.14299,0.3046789,-0.5529494,0.588622
1.149704,0.3135962,-0.5529494,0.588622
1.165665,0.3350924,-0.5529494,0.588622
1.182755,0.3588634,-0.5529494,0.588622
1.208557,0.3960103,-0.5529494,0.588622
1.215973,0.4072097,-0.4859668,0.588622
1.232346,0.4323182,-0.4859668,0.588622
1.258591,0.4737574,-0.4859668,0.588622
1.278671,0.5069443,-0.4859668,0.588622
1.28302,0.5143623,-0.4859668,0.5856078
1.299591,0.5428866,-0.4859668,0.5727971
1.315552,0.5710848,-0.4859668,0.5667686
1.332993,0.6026183,-0.4671366,0.5275831
1.358551,0.6499894,-0.4671366,0.4537337
1.365982,0.6641739,-0.4671366,0.4281124
1.382416,0.6957726,-0.4671366,0.3828984
1.39946,0.7290819,-0.4671366,0.2751384
1.415695,0.7611231,-0.4671366,0.1832033
1.432526,0.7945907,-0.4751886,0.02420077
1.449265,0.8279018,-0.4751886,0
1.476532,0.8821499,-0.4751886,0
1.484406,0.8977969,-0.4751886,0
1.507004,0.9427183,-0.4751886,0
1.515732,0.960059,-0.4757024,0
1.532227,0.9928349,-0.4757024,0
1.549942,1.028037,-0.4757024,0
1.575455,1.078661,-0.4757024,0
1.582794,1.093241,-0.4757024,0
1.598755,1.124906,-0.4757024,0
1.615677,1.15847,-0.4757024,0
1.632355,1.191528,-0.439783,0
1.648804,1.224142,-0.439783,0
1.675537,1.277101,-0.439783,0
