Time,CV,FF,Input
0,0,-0.6633232,0
0.01599121,0,-0.6633232,0
0.03320313,0,-0.6633232,0
0.05908203,0,-0.6633232,0
0.06628418,0,-0.6633232,0
0.08227539,0,-0.6633232,0
0.1005859,0,-0.6633232,0
0.1159668,0,-0.5323752,0
0.1328125,0,-0.5323752,0
0.1495361,0,-0.5323752,0
0.1663818,0,-0.5323752,0
0.1828613,0,-0.5323752,0
0.1994629,0,-0.5323752,0
0.2247314,0,-0.5323752,0
0.2352295,0,-0.4595022,0
0.2497559,0,-0.4595022,0
0.2662354,0,-0.4595022,0
0.2824707,0,-0.4595022,0
0.2994385,0,-0.4595022,0
0.3165283,0,-0.4595022,0
0.333374,0,-0.4725033,0
0.3497314,0,-0.4725033,0
0.3756104,0,-0.4725033,0
0.3831787,0,-0.4725033,0
0.3996582,0,-0.4725033,0
0.4162598,0,-0.4725033,0
0.4327393,0,-0.5658691,0
0.4522705,0,-0.5658691,0
0.4661865,0,-0.5658691,0
0.4821777,0,-0.5658691,0
0.4992676,0,-0.5658691,0
0.5166016,0,-0.5658691,0
0.5428467,0,-0.8264648,0
0.5494385,0,-0.8264648,0
0.5656738,0,-0.8264648,0
0.5827637,0,-0.8264648,0
0.5991211,0,-0.8264648,0.02646152
0.616333,3.58067E-05,-0.8264648,0.09428249
0.6335449,0.0002060035,-0.8264648,0.1832033
0.6621094,0.00092537,-0.8264648,0.2856884
0.6660156,0.001174597,-0.8264648,0.3090489
0.6829834,0.00236725,-0.8264648,0.3512486
0.7073975,0.004790674,-0.8264648,0.4205768
0.7160645,0.006066164,-0.8911006,0.4356481
0.7324219,0.008807525,-0.8911006,0.4612693
0.7498779,0.01234594,-0.8911006,0.491412
0.7741699,0.01828514,-0.8911006,0.5192939
0.7823486,0.02078647,-0.8911006,0.5305974
0.7994385,0.02633309,-0.8911006,0.5547116
0.8161621,0.03258402,-0.8911006,0.5660151
0.8330078,0.03961159,-0.8735071,0.5803329
0.8585205,0.05145727,-0.8735071,0.5810864
0.8781738,0.06196219,-0.8735071,0.5810864
0.8919678,0.0701457,-0.8735071,0.5773186
0.9000244,0.07517848,-0.8735071,0.5690293
