Time,CV,FF,Input
0,0,-0.791238,0
0.01486492,0,-0.7777878,0
0.03285503,0,-0.7500234,0
0.04883289,0,-0.7358032,0
0.06547356,0,-0.6923848,0
0.08244705,0,-0.6633232,0
0.09915829,0,-0.6489156,0
0.1161013,0,-0.6206132,0
0.1320896,0,-0.593346,0
0.1498079,0,-0.5802304,0
0.1660376,0,-0.5675273,0
0.1825924,0,-0.5435532,0
0.199893,0,-0.5323752,0
0.2163401,0,-0.5118558,0
0.2385168,0,-0.4940503,0
0.2489834,0,-0.486255,0
0.2659187,0,-0.4730349,0
0.2823954,0,-0.4631459,0
0.2990799,0,-0.4567465,0
0.3161526,0,-0.4539393,0
0.3323193,0,-0.4547684,0
0.3492832,0,-0.4565442,0
0.3657589,0,-0.4627806,0
0.382206,0,-0.4725033,0
0.3998632,0,-0.4786234,0
0.4159031,0,-0.4932536,0
0.432519,0,-0.5108612,0
0.4508095,0,-0.5311522,0
0.4655714,0,-0.5421999,0
0.4821892,0,-0.5658689,0.01497263
0.4988623,7.22515E-06,-0.5783916,0.123034
0.5151529,7.38198E-05,-0.6045529,0.2315476
0.532547,0.0002521361,-0.6318371,0.4029087
0.5489931,0.0006248432,-0.6457594,0.5118743
0.5660067,0.001244484,-0.6738763,0.6610805
0.5821037,0.002183011,-0.7019695,0.7108158
0.5992813,0.003464359,-0.7158628,0.7723069
0.6160822,0.005118133,-0.7430583,0.8817248
0.6326504,0.007197059,-0.7690991,0.9377902
0.6511879,0.009728106,-0.7935647,0.9974726
0.6661015,0.01273998,-0.8050833,1.019627
0.6822948,0.01624329,-0.8264645,1.029574
0.6990232,0.02024272,-0.8362432,1.02234
0.715744,0.02473469,-0.8537888,0.979387
0.7323818,0.02969837,-0.8684354,0.927843
0.7489405,0.0351088,-0.8746027,0.83425
0.7656069,0.04092072,-0.8845169,0.7804455
0.7834167,0.04710808,-0.8911005,0.6705754
0.7995176,0.0536178,-0.8931182,0.5805996
0.8164768,0.06040639,-0.8945866,0.4264199
0.8325949,0.06739939,-0.8926497,0.3206191
0.8487043,0.07454571,-0.8904243,0.2148184
0.868331,0.08179427,-0.8835292,0.08550645
0.8822489,0.08908264,-0.8735074,0.007738394
0.8994904,0.09637328,-0.867385,0
0.9157171,0.1036625,-0.8530648,0
0.9324322,0.1109502,-0.8362042,0
0.9486513,0.1182365,-0.826915,0
0.9653006,0.1255213,-0.8068232,0
0.9826345,0.1328047,-0.7850056,0
0.9994116,0.1400866,-0.7735636,0
1.015845,0.1473671,-0.7498492,0
1.032116,0.1546461,-0.7253472,0
1.048757,0.1619236,-0.712921,0
1.068523,0.1691997,-0.6879557,0
1.082312,0.1764743,-0.6631487,0.004573387
1.099064,0.1837497,-0.6509163,0.03260606
1.11586,0.1910394,-0.6270046,0.07284653
1.132456,0.1983628,-0.6040916,0.1008792
1.148725,0.2057333,-0.5930999,0.138859
1.165673,0.2131695,-0.5722063,0.1614659
1.182804,0.220682,-0.5529502,0.1998978
1.199336,0.2282895,-0.543995,0.2211484
1.215627,0.2360022,-0.527523,0.2433033
1.232498,0.2438308,-0.5130574,0.2722402
1.249011,0.2517891,-0.5065988,0.2885173
1.267497,0.2598851,-0.4952463,0.3043421
1.282545,0.2681264,-0.4859672,0.3106721
1.299551,0.2765159,-0.482089,0.3106721
1.316346,0.2850536,-0.4757976,0.281283
1.332528,0.2937254,-0.4713513,0.2437554
1.349209,0.3025131,-0.46977,0.1696045
1.366081,0.3113808,-0.4677703,0.116252
1.382745,0.3203029,-0.4671366,0.0705858
1.399168,0.3292573,-0.4672561,0
1.416208,0.3382099,-0.4682027,0
1.432517,0.3471607,-0.4698598,0
1.448765,0.3561097,-0.4708642,0
1.465716,0.3650569,-0.4730396,0
1.485152,0.3740023,-0.4751885,0
1.498924,0.3829459,-0.4761607,0
1.515186,0.3918877,-0.4777206,0
1.532085,0.4008278,-0.4785382,0
1.549136,0.409766,-0.4785872,0
1.565546,0.4187025,-0.4778149,0
1.582905,0.4276372,-0.4757027,0
1.599013,0.4365701,-0.4740841,-0.005477667
1.615896,0.4454986,-0.4696212,-0.008190506
1.632904,0.4544213,-0.4634173,0
1.649205,0.4633423,-0.4596318,0
1.665681,0.4722615,-0.4506551,0
1.682289,0.4811789,-0.4397838,0
1.701116,0.4900945,-0.4270308,0
1.715563,0.4990083,-0.4199642,0
1.7327,0.5079203,-0.4045047,0
1.749475,0.5168306,-0.3961408,0
1.766823,0.5257391,-0.3782343,-0.04074458
1.782464,0.5346261,-0.3589017,-0.09454924
1.799086,0.5434657,-0.3487625,-0.1759344
1.816002,0.5522187,-0.3276778,-0.2324519
1.832722,0.5608577,-0.305721,-0.2871608
1.848961,0.5693564,-0.2944964,-0.3703546
1.86605,0.5776747,-0.271725,-0.4164728
1.882172,0.5857905,-0.2487579,-0.4766074
1.899026,0.5936745,-0.2372899,-0.4992144
1.917428,0.6013162,-0.2145639,-0.5069008
1.932391,0.6087116,-0.1923522,-0.5019273
1.949741,0.6158634,-0.181525,-0.4856502
1.966616,0.6227794,-0.1605923,-0.4571654
1.982487,0.6294734,-0.1408275,-0.4295849
1.998979,0.6359587,-0.1314549,-0.4011001
2.016156,0.6422492,-0.1138591,-0.3486519
2.032005,0.6483703,-0.0979481,-0.3156457
2.049539,0.6543378,-0.09067381,-0.2731445
2.065733,0.6601722,-0.0775682,-0.2537024
2.082009,0.6658831,-0.06646787,-0.2396862
2.09896,0.6714772,-0.06169154,-0.2369733
2.115513,0.6769558,-0.05370994,-0.2442075
2.135365,0.6823155,-0.04782701,-0.2862565
2.149035,0.6875359,-0.04566544,-0.326497
2.166153,0.6925978,-0.04286845,-0.4133079
2.182384,0.6974592,-0.04203686,-0.4820331
2.198666,0.702087,-0.04232466,-0.5638704
2.215962,0.7064418,-0.04422472,-0.701773
2.232422,0.7104571,-0.04776174,-0.8071216
2.248755,0.7140821,-0.05009052,-0.914731
2.265823,0.717265,-0.05575124,-1.077953
2.282331,0.719927,-0.0625826,-1.177424
2.299072,0.7220204,-0.0663723,-1.313066
2.316472,0.7234797,-0.07456644,-1.379983
2.334044,0.7242728,-0.08340163,-1.446447
2.349548,0.7243677,-0.08799331,-1.471767
2.365972,0.7237524,-0.09739605,-1.481262
2.382751,0.7224225,-0.1069279,-1.472219
2.399452,0.7203823,-0.1116846,-1.451421
2.415363,0.7176422,-0.121074,-1.436953
2.432294,0.7142092,-0.1301741,-1.414798
2.44908,0.7100942,-0.1345749,-1.395808
2.466149,0.7053064,-0.1430111,-1.367775
2.482815,0.6998595,-0.1508925,-1.341099
2.49968,0.6937666,-0.154607,-1.306736
2.515688,0.6870443,-0.1615641,-1.240272
2.532434,0.6797249,-0.1678892,-1.198223
2.552104,0.6718287,-0.1736067,-1.124072
2.56626,0.6633917,-0.1762534,-1.077501
2.583366,0.6544364,-0.1811704,-1.010133
2.599482,0.6449955,-0.183465,-0.9707963
2.616142,0.635088,-0.1877979,-0.9291995
2.632454,0.6247342,-0.1919017,-0.9088532
2.649355,0.6139438,-0.1939142,-0.8998104
2.67498,0.6027214,-0.2000404,-0.8921239
2.69848,0.5910707,-0.2044167,-0.8916718
2.716786,0.578992,-0.209237,-0.8930283
2.732409,0.5664848,-0.2146819,-0.8916718
2.74949,0.5535498,-0.2176936,-0.8799162
2.768298,0.5401928,-0.2244006,-0.8600221
2.781877,0.5264235,-0.2321486,-0.8360586
2.798754,0.5122535,-0.2364574,-0.8048609
2.81587,0.4976978,-0.2460212,-0.7709504
2.832597,0.4827731,-0.2569306,-0.7153373
2.84938,0.4675061,-0.2629147,-0.6728361
2.866507,0.4519175,-0.2759745,-0.6131536
2.88209,0.4360361,-0.2905086,-0.5679396
2.898991,0.4198839,-0.2983276,-0.5182043
2.915647,0.4034848,-0.3150476,-0.4390798
2.93263,0.3868772,-0.3331545,-0.3708067
2.949305,0.3700939,-0.3426985,-0.258676
2.966639,0.3531891,-0.362689,-0.1822644
2.984986,0.3361998,-0.3837526,-0.0430053
2.999681,0.3191931,-0.3946301,0
3.016128,0.3021898,-0.4169467,0
3.032356,0.2851899,-0.4398187,0
3.048739,0.2681934,-0.4513848,0
3.066135,0.2512003,-0.4746094,0
3.081816,0.2342106,-0.497722,0
3.099103,0.2172243,-0.5091453,0
3.116357,0.2002414,-0.5315406,0
3.132805,0.1832618,-0.5530853,0
3.149561,0.1662857,-0.5634463,0
3.166304,0.149313,-0.5831656,0
3.182417,0.1323437,-0.601318,0
3.202089,0.1153777,-0.6176452,0
3.216267,0.09841521,-0.6250502,0
3.23248,0.08145607,-0.638211,0
3.249371,0.06450031,-0.6439202,0
3.265944,0.04754794,-0.6534974,0.01542474
3.281999,0.03060639,-0.6605172,0.06063873
3.298606,0.01369751,-0.66304,0.100427
3.316167,-0.00315951,-0.6660798,0.1474496
3.33215,-0.01994198,-0.6664382,0.1917593
3.34919,-0.03662856,-0.6656207,0.2428511
3.366268,-0.0531946,-0.6620363,0.3301142
3.382437,-0.069598,-0.6559479,0.3920573
3.401423,-0.08580892,-0.6475109,0.4951452
3.416148,-0.1017777,-0.642473,0.5616097
3.432288,-0.1174723,-0.6309046,0.6289786
3.449532,-0.1328602,-0.6244403,0.7279972
3.466036,-0.1478937,-0.6103345,0.7867754
3.482692,-0.1625446,-0.5949274,0.8690649
3.499178,-0.1767732,-0.5868432,0.9165395
3.515937,-0.1905566,-0.5701413,0.9839083
3.532591,-0.2038625,-0.553045,1.020984
3.548922,-0.216673,-0.5444707,1.05399
3.566635,-0.2289723,-0.5275169,1.087448
3.58224,-0.2407445,-0.5111523,1.103725
3.59962,-0.2519816,-0.503313,1.11955
3.617853,-0.2626763,-0.4885579,1.130854
3.632938,-0.2728232,-0.4753371,1.141705
3.649107,-0.282417,-0.4694099,1.153461
3.665907,-0.2914523,-0.4591206,1.161147
3.682131,-0.2999255,-0.4511575,1.165216
3.69905,-0.3078347,-0.4481283,1.172903
3.715759,-0.3151764,-0.4441102,1.179233
3.732898,-0.3219475,-0.4429569,1.181493
3.749758,-0.3281472,-0.4434964,1.184658
3.766116,-0.333774,-0.4468611,1.18918
3.782968,-0.3388258,-0.4533031,1.194606
3.798862,-0.3433001,-0.4576754,1.196866
3.815855,-0.347196,-0.468685,1.205457
3.834914,-0.3505094,-0.4826219,1.210882
3.849174,-0.3532379,-0.4906398,1.211335
3.865961,-0.3553812,-0.5086469,1.21676
3.88205,-0.356937,-0.5290744,1.21676
3.899197,-0.3579052,-0.5401058,1.21676
3.91602,-0.3582862,-0.5635989,1.217212
3.932295,-0.3580797,-0.5886957,1.209978
3.949037,-0.3572893,-0.601723,1.201388
3.965748,-0.3559194,-0.6284735,1.188728
3.982499,-0.3539761,-0.6557851,1.153913
3.999156,-0.3514764,-0.6695091,1.13221
4.01627,-0.3484308,-0.6968034,1.092422
4.034234,-0.3448586,-0.7235013,1.068006
4.0488,-0.3407719,-0.7364799,1.052634
4.065908,-0.3361779,-0.7614087,1.028218
4.082881,-0.3310887,-0.7845929,1.015106
4.09873,-0.3255107,-0.7953957,1.004707
4.114994,-0.319449,-0.8151686,0.9970204
4.132154,-0.3129073,-0.832183,0.9952118
4.149053,-0.3058868,-0.839547,0.9924991
