Time,CV,FF,Input
0,0,-0.791238,0
0.01599121,0,-0.7777878,0
0.03222656,0,-0.7500234,0
0.04974365,0,-0.7358032,0
0.07562256,0,-0.6778306,0
0.09893799,0,-0.6489156,0
0.1166992,0,-0.6206132,0
0.1329956,0,-0.593346,0
0.1501465,0,-0.5675273,0
0.1679077,0,-0.5675273,0
0.1821289,0,-0.5435532,0
0.1994629,0,-0.5323752,0
0.2164917,0,-0.5118558,0
0.2427368,0,-0.486255,0
0.2663574,0,-0.4730349,0
0.2822266,0,-0.4631459,0
0.2993164,0,-0.4567465,0
0.315918,0,-0.4539393,0
0.3330078,0,-0.4547684,0
0.3499756,0,-0.4592187,0
0.3658447,0,-0.4627806,0
0.3852539,0,-0.4725033,0
0.4112549,0,-0.4932536,0
0.4329834,0,-0.5108612,0
0.4492798,0,-0.5206915,0
0.4659424,0,-0.5421999,0
0.4821167,0,-0.5658689,0
0.4989624,0,-0.5783916,0
0.515686,0,-0.6045529,0
0.5324097,0,-0.6318371,0.001860548
0.5496216,8.978206E-07,-0.6457594,0.1284597
0.5765381,6.378461E-05,-0.6879548,0.245564
0.6001587,0.0002451575,-0.7295777,0.365381
0.6262817,0.0006028113,-0.7562499,0.4291327
0.6491089,0.001167475,-0.781554,0.4431491
0.6663208,0.00194587,-0.8050833,0.4445055
0.6828613,0.002938609,-0.8264645,0.4205421
0.7006226,0.004134085,-0.845363,0.4033607
0.7265625,0.005523967,-0.8614891,0.371711
0.7489014,0.007092942,-0.8746027,0.3572425
0.7658081,0.008833994,-0.8845169,0.3477475
0.7826538,0.01074251,-0.8911005,0.3441304
0.8016968,0.0128167,-0.8942802,0.3373484
0.8260498,0.01505327,-0.8940406,0.3314705
0.8499756,0.01744934,-0.8873783,0.3251406
0.8659058,0.02000184,-0.8835292,0.3206191
0.892395,0.02270854,-0.867385,0.3093157
0.9162598,0.02556396,-0.8530648,0.30389
0.9420166,0.02856545,-0.826915,0.300725
0.9663696,0.03171147,-0.8068232,0.2971078
0.9828491,0.03500022,-0.7850056,0.2948472
1.000916,0.0384306,-0.761829,0.2925865
1.016724,0.04200148,-0.7498492,0.2925865
1.041321,0.04571284,-0.712921,0.2925865
1.06604,0.04956464,-0.6879557,0.2925865
1.082703,0.05355687,-0.6631487,0.2925865
1.098877,0.05768948,-0.6509163,0.2925865
1.116028,0.06196246,-0.6270046,0.2943951
1.133606,0.06637665,-0.6040916,0.3061506
1.159424,0.07093769,-0.5824616,0.3174542
1.182556,0.075651,-0.5529502,0.3319227
1.208374,0.08052355,-0.5355142,0.3414176
1.2323,0.08555987,-0.5130574,0.3486519
1.249695,0.09076343,-0.5065988,0.3644768
1.275024,0.09614184,-0.4903501,0.3839187
1.298767,0.1017044,-0.482089,0.3943179
1.316162,0.1074562,-0.4757976,0.3992915
1.332886,0.1133995,-0.4713513,0.3992915
1.359314,0.1195343,-0.4685851,0.3902487
1.37677,0.1258561,-0.4672975,0.3721631
1.399231,0.1323563,-0.4672561,0.3581468
1.416077,0.1390281,-0.4682027,0.3486519
1.434326,0.1458667,-0.4698598,0.3441304
1.449036,0.15287,-0.4708642,0.3400612
1.466736,0.1600361,-0.4730396,0.3310184
1.493896,0.1673604,-0.4761607,0.3093157
1.509277,0.1748325,-0.4770165,0.2898736
1.532104,0.182443,-0.4785382,0.2473725
1.549988,0.1901714,-0.4783555,0.1881422
1.566101,0.197989,-0.4778149,0.1257469
1.583557,0.2058657,-0.4757027,0
1.608215,0.2137409,-0.4720629,0
1.634216,0.2216145,-0.4634173,0
1.649414,0.2294865,-0.4596318,0
1.674438,0.2373569,-0.4454565,0
1.699158,0.2452258,-0.4336401,0
1.725647,0.2530931,-0.4124511,0
1.748596,0.2609588,-0.3961408,0
1.766235,0.2688229,-0.3782343,0
1.781921,0.2766855,-0.3589017,0
1.799133,0.2845465,-0.3487625,0
1.815857,0.2924059,-0.3276778,0
1.842224,0.3002637,-0.2944964,0
1.865906,0.30812,-0.271725,0
1.882874,0.3159747,-0.2487579,0
1.898804,0.3238278,-0.2372899,0
1.91626,0.3316794,-0.2145639,0
1.932251,0.3395294,-0.1923522,0
1.949219,0.3473778,-0.181525,0
1.966248,0.3552247,-0.1605923,-0.0430053
1.992249,0.3630492,-0.1314549,-0.19402
2.016418,0.3707786,-0.1138591,-0.2962036
2.033325,0.3783634,-0.0979481,-0.3866316
2.057739,0.3857602,-0.08387588,-0.462139
2.082703,0.3929325,-0.06646787,-0.5390027
2.099304,0.3998432,-0.06169154,-0.5629661
2.116089,0.4064809,-0.05370994,-0.5824081
2.132202,0.4128363,-0.04782701,-0.591903
2.158203,0.4189047,-0.04401555,-0.5928074
2.174866,0.4246859,-0.04221319,-0.5928074
2.199158,0.4301798,-0.04232466,-0.5928074
2.21582,0.4353866,-0.04422472,-0.5932595
2.232544,0.440306,-0.04776174,-0.5946159
2.24939,0.4449376,-0.05009052,-0.5991373
2.266602,0.4492791,-0.05575124,-0.6027544
2.294556,0.4533288,-0.0663723,-0.6167707
2.308167,0.4570801,-0.07037585,-0.6298828
2.332275,0.4605267,-0.08340163,-0.6678625
2.348694,0.4636504,-0.08799331,-0.691826
2.366028,0.4664395,-0.09739605,-0.7347792
2.383667,0.4688736,-0.1069279,-0.7655247
2.408752,0.4709377,-0.1164065,-0.8261116
2.432678,0.4726028,-0.1301741,-0.8704212
2.449097,0.4738475,-0.1345749,-0.9029752
2.475769,0.4746563,-0.1470253,-0.9373379
2.499695,0.4750125,-0.154607,-0.9531628
2.52594,0.4749088,-0.1648048,-0.9608492
2.549072,0.4743414,-0.1708212,-0.9649185
2.565491,0.4733085,-0.1762534,-0.9649185
2.58252,0.4718102,-0.1811704,-0.9644663
2.599365,0.4698468,-0.183465,-0.960397
2.625549,0.4674203,-0.1898694,-0.9463807
2.642456,0.4645377,-0.1939142,-0.9314601
2.665771,0.4612061,-0.1979621,-0.9138266
