Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01635742,0,0.03503782,0,0.5704651
0.03201294,0,0.02765206,0,0.5354309
0.04924011,0,0.0239619,0,0.507782
0.07637024,0,0.0130775,0,0.4838257
0.09883118,0,0.006121606,0,0.4707336
0.1150818,0,-0.0004616678,0,0.4645996
0.1327057,0,-0.006564647,0,0.4650574
0.1485901,0,-0.009404272,0,0.4716187
0.1653595,0,-0.01460135,0,0.4810181
0.1824188,0,-0.01908526,0,0.4956055
0.199295,0,-0.02103618,0,0.514679
0.2247925,0,-0.02563232,0,0.5357056
0.2489166,0,-0.02759004,0,0.5613403
0.265213,0,-0.02862579,0,0.5889587
0.2821655,0,-0.02872622,0,0.6175842
0.2992401,0,-0.02842617,0,0.6463318
0.3152313,0,-0.02713561,0,0.6747437
0.3323059,0,-0.02494991,0,0.7018738
0.3493652,0,-0.02353472,0,0.7268372
0.3757477,0,-0.01808792,0,0.7503967
0.3983765,0,-0.01354665,0,0.7684937
0.4155579,0,-0.008377612,0,0.7820435
0.4320221,0,-0.002680182,0,0.7904358
0.4506073,0,0.0034374,0,0.7931213
0.4651031,0,0.006617308,0,0.7896729
0.482193,0,0.01314491,0,0.7830505
0.4989014,0,0.01646149,0,0.7698975
0.5161133,0,0.02312189,0,0.7534485
0.5422211,0,0.03294587,0,0.7303162
0.5651245,0,0.03920478,0,0.6973572
0.5825806,0,0.04509395,0,0.6581421
0.5986938,0,0.04786515,0,0.6130371
0.6152191,0,0.05299652,0,0.5652161
0.6323242,0,0.05750155,0,0.512207
0.6501617,0,0.06129715,0,0.4547119
0.6645355,0,0.06290661,0,0.3934021
0.6822968,0,0.06551233,0,0.3305054
0.7092896,0,0.06726299,0,0.2649841
0.7312469,0,0.06822322,0,0.1977234
0.7489166,0,0.06809321,0,0.1294861
0.7655792,0,0.06716168,0,0.06140137
0.7818298,0,0.06535304,0,-0.005774698
0.7982941,0,0.06413031,0,-0.07112774
0.8148804,0,0.06107795,0,-0.1352581
0.8318787,0,0.05726671,0,-0.196336
0.8495026,0,0.05509853,0,-0.2536027
0.8767395,0,0.04766858,0,-0.3087013
0.8985291,0,0.04206097,0,-0.3563699
0.9158173,0,0.03604949,0,-0.3984308
0.9322968,0,0.02974355,0,-0.4344804
0.9494476,0,0.02651572,0,-0.464224
0.9660797,0,0.01998258,0,-0.4907396
0.9823608,0,0.01344264,0,-0.5107223
0.9985809,0,0.01020598,0,-0.524165
1.015457,0,0.003868937,0,-0.534371
1.041718,0,-0.005097151,0,-0.5382399
1.06517,0,-0.01057148,0,-0.5331428
1.084137,0,-0.01554143,0,-0.5225713
1.098724,0,-0.01781344,0,-0.5070299
1.11618,0,-0.02189088,0,-0.4892164
1.132294,0,-0.02530253,0,-0.4673256
1.149033,0,-0.02674544,0,-0.4420231
1.165482,-0.02090259,-0.0290885,-0.07917649,-0.4152776
1.192993,-0.0650676,-0.03122163,-0.2464682,-0.3652866
1.210251,-0.0780784,-0.03172791,-0.2957515,-0.2689973
1.231781,-0.08691138,-0.03152591,-0.3292098,-0.159191
