Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01631927,0,0.03503782,0,0.5704651
0.03240013,0,0.02765206,0,0.5354309
0.04976654,0,0.0239619,0,0.507782
0.06636143,0,0.01666,0,0.4838257
0.08275127,0,0.009559959,0,0.4671631
0.0994978,0,0.006121606,0,0.4576111
0.1168308,0,-0.0004616678,0,0.4515076
0.1344614,0,-0.006564647,0,0.4519653
0.1607189,0,-0.01460135,0,0.4585266
0.1823788,0,-0.01908526,0,0.473114
0.1998243,0,-0.02103618,0,0.4921875
0.2162199,0,-0.02431637,0,0.5132141
0.232873,0,-0.02672499,0,0.5375366
0.2491961,0,-0.02759004,0,0.56427
0.266696,0,-0.02862579,0,0.5918579
0.2826662,0,-0.02872622,0,0.6205139
0.299468,0,-0.02842617,0,0.649231
0.3271999,0,-0.02615213,0,0.6776428
0.34904,0,-0.02353472,0,0.7037964
0.3664017,0,-0.02009535,0,0.7273254
0.3831053,0,-0.01590151,0,0.747406
0.39958,0,-0.01354665,0,0.7633057
0.4158506,0,-0.008377612,0,0.7768555
0.4325533,0,-0.002680182,0,0.7852478
0.4495916,0,0.00033319,0,0.7879333
0.4770565,0,0.009858429,0,0.7875977
0.4991322,0,0.01646149,0,0.7777405
0.5160761,0,0.02312189,0,0.7612915
0.5329618,0,0.02971423,0,0.7381592
0.5512905,0,0.03611445,0,0.7084351
0.5661402,0,0.03920478,0,0.6723328
0.582634,0,0.04509395,0,0.6331177
0.5997477,0,0.04786515,0,0.5880127
0.6287308,0,0.05533284,0,0.5401611
0.6492014,0,0.05949274,0,0.4848328
0.6659718,0,0.06290661,0,0.425354
0.6828432,0,0.06551233,0,0.3624573
0.7002029,0,0.06726299,0,0.296936
0.7167673,0,0.06780744,0,0.2296753
0.7328014,0,0.06822322,0,0.1618652
0.7492352,0,0.06809321,0,0.09362793
0.768383,0,0.06716168,0,0.02554321
0.7941866,0,0.06413031,0,-0.04161953
0.8158875,0,0.06107795,0,-0.1057498
0.8357306,0,0.05726671,0,-0.1668278
0.8559113,0,0.05276871,0,-0.2240945
0.8666477,0,0.05028832,0,-0.2768632
0.8825912,0,0.04492188,0,-0.3271516
0.8995152,0,0.04206097,0,-0.3720734
0.916008,0,0.03604949,0,-0.4141344
0.9331436,0,0.02974355,0,-0.4501839
0.960247,0,0.01998258,0,-0.4799275
0.9824486,0,0.01344264,0,-0.4999101
0.999382,0,0.01020598,0,-0.5133528
1.016253,0,0.003868937,0,-0.5235589
1.032951,0,-0.002197385,0,-0.5274279
1.049244,0,-0.005097151,0,-0.5252306
1.066507,0,-0.01057148,0,-0.5201334
1.083433,0,-0.01554143,0,-0.509562
1.110769,0,-0.02189088,0,-0.4940206
1.132418,0,-0.02530253,0,-0.4721297
1.14958,0,-0.02674544,0,-0.4468272
1.165733,0,-0.0290885,0,-0.4200819
1.184563,0,-0.0306952,0,-0.3909934
1.199526,0,-0.03122163,0,-0.3602982
1.216116,0,-0.03172791,0,-0.3290766
1.232975,0,-0.03152591,0,-0.2973487
1.249319,0,-0.03117073,0,-0.2658228
1.277601,0,-0.0291639,0,-0.2346521
1.299307,0,-0.02712137,0,-0.2054882
1.316244,0,-0.02460307,0,-0.1783668
1.333122,0,-0.02169573,0,-0.1537638
1.349483,0,-0.02012563,0,-0.132068
1.366543,0,-0.01681477,0,-0.1119424
1.384893,0,-0.01336282,0,-0.09512764
1.399471,0,-0.01161706,0,-0.08176482
1.426908,0,-0.006460607,0,-0.07014775
1.449324,0,-0.003221929,0,-0.06368716
1.466301,0,-0.0002611279,0,-0.06046524
1.482988,0,0.002326548,0,-0.06020411
1.499962,0,0.003452897,0,-0.06253067
1.516043,0,0.005320191,0,-0.06598356
1.533239,0,0.006614864,0,-0.07130376
1.549297,0,0.007028222,0,-0.07791862
1.566572,0,0.00735569,0,-0.08494686
1.59379,0,0.006531358,0,-0.09230255
1.616573,0,0.005074084,0,-0.09883391
1.632639,0,0.002886415,0,-0.103908
1.649572,0,0.001522303,0,-0.1067944
1.667267,0,-0.00173068,0,-0.1083167
1.682827,0,-0.005651474,0,-0.106586
1.700333,0,-0.01018935,0,-0.1009346
1.71702,0,-0.01267022,0,-0.09074524
1.745872,0,-0.02084833,0,-0.07807502
1.766247,0,-0.02680665,0,-0.05722669
1.782888,0,-0.03305972,0,-0.03042004
1.799166,0,-0.03626499,0,0.002639677
1.818487,0,-0.04276636,0,0.03890991
1.832579,0,-0.0492975,0,0.08166504
1.849144,0,-0.05253959,0,0.1309509
1.867226,0,-0.0589073,0,0.1835022
1.893167,0,-0.06796366,0,0.2424011
1.915915,0,-0.07351837,0,0.3103638
1.932575,0,-0.07857281,0,0.3838806
1.949652,0,-0.08088437,0,0.4624633
1.965763,0,-0.08502573,0,0.543335
1.982944,0,-0.08846515,0,0.6283569
1.999765,0,-0.08990234,0,0.7168274
2.018536,0,-0.09217989,0,0.8067322
2.043892,0,-0.09403574,0,0.8989258
2.065933,0,-0.09420061,0,0.9929504
2.082863,0,-0.09350121,0,1.087158
2.099524,0,-0.09283066,0,1.180664
2.11623,0,-0.09086108,0,1.273499
2.132612,0,-0.08808279,0,1.364349
2.149506,0,-0.08640432,0,1.452423
2.166447,0,-0.08250308,0,1.538818
2.182608,0,-0.07793117,0,1.621307
2.212811,0,-0.06998038,0,1.699249
2.232361,0.01015975,-0.06407452,0.0384839,1.769226
2.249628,0.02352862,-0.06097436,0.08912357,1.823151
2.266165,0.03092925,-0.05453897,0.1171562,1.860596
2.282925,0.03725558,-0.0478723,0.1411196,1.884216
2.299322,0.04346255,-0.04448295,0.1646309,1.894836
2.316526,0.04453685,-0.03765392,0.1687002,1.895874
2.345362,0.04417874,-0.0274632,0.1673437,1.889008
2.359381,0.04179145,-0.02412581,0.1583009,1.872284
2.382118,0.03642003,-0.01444316,0.1379547,1.854645
2.39949,0.0345102,-0.01135731,0.1307204,1.832672
2.417257,0.03307782,-0.005449057,0.1252948,1.80954
2.444361,0.02985496,0.002645731,0.113087,1.781921
2.466137,0.02890003,0.007464886,0.1094698,1.74942
2.483707,0.03116798,0.01178432,0.1180605,1.713043
2.499624,0.03534574,0.01375127,0.1338854,1.670105
2.527235,0.03868796,0.01887035,0.1465453,1.621002
2.543003,0.04083653,0.0216403,0.1546838,1.563446
2.565855,0.04023971,0.02391887,0.1524232,1.501007
2.582993,0.03630066,0.02573752,0.1375025,1.436829
2.599281,0.0293775,0.02648735,0.1112784,1.374786
2.616478,0.02531909,0.02769995,0.09590563,1.318909
2.633167,0.02317052,0.02857685,0.08776712,1.265869
2.661972,0.02412544,0.02940249,0.09138424,1.214142
2.675955,0.02531909,0.02958179,0.09590563,1.160645
